Date,Open,High,Low,Close,Volume
20100114,51.12,51.13,51.12,51.13,550
20100115,51.18,51.27,51.17,51.24,4739
20100120,51.23,51.23,51.23,51.23,2536
20100121,51.27,51.27,51.27,51.27,1288
20100122,51.32,51.32,51.32,51.32,1148
20100126,51.37,51.37,51.37,51.37,210
20100127,51.39,51.41,51.38,51.38,4245
20100128,51.73,51.73,51.44,51.44,1599
20100129,51.52,51.52,51.52,51.52,300
20100203,51.58,51.58,51.58,51.58,490
20100205,51.68,51.68,51.68,51.68,100
20100209,51.67,51.67,51.63,51.64,14954
20100210,51.59,51.59,51.59,51.59,200
20100211,51.6,51.6,51.6,51.6,1677
20100212,51.57,51.57,51.54,51.57,1087
20100216,51.57,51.57,51.57,51.57,566
20100217,51.58,51.58,51.58,51.58,499
20100219,51.57,51.57,51.57,51.57,1466
20100223,51.67,51.67,51.66,51.66,200
20100224,51.77,51.77,51.76,51.77,1997
20100302,51.93,51.93,51.93,51.93,2172
20100303,51.94,51.97,51.85,51.94,4999
20100304,52.05,52.07,52.05,52.07,390
20100305,52.09,52.12,52.09,52.1,11141
20100308,52.1,52.1,52.1,52.1,699
20100309,52.11,52.17,52.08,52.17,1650
20100310,52.12,52.12,52.12,52.12,260
20100311,52.12,52.12,52.12,52.12,500
20100315,52.13,52.13,52.12,52.13,3752
20100316,52.15,52.15,52.15,52.15,300
20100317,52.1,52.1,52.1,52.1,1771
20100322,52.1,52.1,52.1,52.1,325
20100323,52.08,52.08,52.07,52.08,1159
20100324,51.8,51.8,51.8,51.8,999
20100325,51.42,51.42,51.19,51.19,2097
20100326,51.2,51.2,51.11,51.2,3195
20100330,51.19,51.19,51.17,51.17,799
20100331,51.13,51.13,51.06,51.08,1486
20100405,50.97,50.97,50.94,50.94,3669
20100406,51,51,50.95,50.95,2397
20100407,50.96,50.96,50.92,50.95,4067
20100408,50.94,51,50.94,51,1977
20100409,51.08,51.11,51.07,51.11,3978
20100412,51.15,53.87,51.15,51.5,7588
20100413,51.63,51.76,51.63,51.76,1099
20100414,51.64,51.64,51.63,51.64,589
20100415,51.97,52.26,51.97,52.26,898
20100416,51.86,55.78,51.86,52.18,4980
20100419,52.3,53.77,52.3,52.6,5892
