Date,Open,High,Low,Close,Volume
20100520,26.95,27.43,26.88,27.43,38643
20100521,27.48,27.48,27.4,27.4,3116
20100524,26.99,27.09,26.99,27.05,1693
20100525,26.67,26.67,26.67,26.67,112
20100526,26.63,26.63,26.5,26.5,782
20100527,26.72,26.99,26.72,26.93,24907
20100528,26.92,26.97,26.66,26.85,2507
20100601,26.66,26.66,26.66,26.66,559
20100602,26.72,26.79,26.72,26.77,916
20100603,26.8,26.8,26.65,26.65,1860
20100604,26.4,26.4,26.31,26.31,559
20100607,26.29,26.29,26.29,26.29,1665
20100608,26.23,26.24,26.23,26.24,391
20100609,26.17,26.42,26.15,26.39,2189
20100610,26.4,26.4,26.37,26.37,1062
20100611,26.33,26.33,26.33,26.33,190
20100614,26.89,26.93,26.75,26.75,2123
20100616,26.98,27.03,26.77,26.97,2178
20100617,27.13,27.13,27.06,27.1,1570
20100618,26.94,27,26.94,27,1733
20100621,27.05,27.05,26.89,26.89,1613
20100622,26.9,26.98,26.9,26.94,2675
20100623,26.88,27.06,26.82,27.06,5544
20100624,27.07,27.18,27.07,27.15,3696
20100625,27.22,27.22,27.21,27.21,248
20100628,27.05,27.05,26.99,27.01,12130
20100629,26.81,26.85,26.81,26.85,1119
20100630,26.96,26.96,26.9,26.9,962
20100701,27.19,27.36,27.19,27.36,617
20100706,27.65,27.69,27.65,27.69,481
20100707,27.63,27.73,27.62,27.72,3493
20100708,27.76,27.76,27.7,27.73,713
20100709,27.64,27.69,27.64,27.67,2064
20100712,27.5,27.63,27.5,27.55,2073
20100713,27.81,27.88,27.81,27.84,755
20100714,27.81,27.94,27.81,27.94,3213
20100715,27.96,28.15,27.96,28.12,1199
20100716,28.23,28.28,28.19,28.23,5506
20100719,28.34,28.34,28.29,28.29,935
20100720,28.18,28.25,28.18,28.24,912
20100721,28.11,28.11,28.01,28.01,2605
20100722,28.3,28.3,28.13,28.28,1169
20100723,28.14,28.32,28.09,28.32,4518
20100726,28.39,28.44,28.39,28.44,640
20100727,28.44,28.47,28.38,28.47,1511
20100728,28.55,28.62,28.55,28.62,2441
20100729,28.9,28.9,28.78,28.86,875
20100730,28.68,28.88,28.68,28.88,1993
20100802,29.1,29.2,29.05,29.14,3441
20100803,29.38,29.38,29.38,29.38,111
20100804,29.35,29.35,29.22,29.23,2186
20100805,29.22,29.32,29.22,29.32,5310
20100806,29.54,29.66,29.49,29.66,2984
20100809,29.49,29.61,29.46,29.59,6431
20100810,29.16,29.48,29.16,29.46,5763
20100811,28.97,29.08,28.75,28.75,19172
20100812,28.87,28.87,28.67,28.73,22793
20100813,28.54,28.57,28.54,28.55,1161
20100816,28.67,28.75,28.63,28.75,2391
20100817,29.05,29.05,28.84,28.87,1243
20100818,29.03,29.03,28.84,28.85,1911
20100819,28.9,28.9,28.69,28.77,4225
20100820,28.49,28.54,28.49,28.54,1059
20100823,28.62,28.65,28.34,28.51,4238
20100824,28.69,28.69,28.68,28.68,2891
20100825,28.55,28.6,28.47,28.6,4113
20100826,28.76,28.76,28.68,28.75,4284
20100827,28.69,28.73,28.69,28.73,2470
20100830,28.63,28.69,28.52,28.6,4777
20100831,28.85,28.85,28.52,28.58,3951
20100901,28.88,28.88,28.88,28.88,289
20100902,28.89,28.89,28.78,28.81,1643
20100903,28.86,28.94,28.86,28.94,4211
20100907,28.68,28.75,28.65,28.69,7059
20100908,28.68,28.75,28.66,28.67,1809
20100909,28.56,28.58,28.56,28.58,1117
20100910,28.53,28.58,28.45,28.52,4889
