Date,Open,High,Low,Close,Volume
20190614,24.47,24.47,24.22,24.22,2127
20190617,25.54,26.05,25.54,26.04,3337
20190618,26.44,26.55,26.24,26.5,3806
20190619,26.6,26.6,26.48,26.49,3373
20190620,26.77,26.77,26.41,26.41,10512
20190621,26.32,26.32,26.02,26.3,4009
20190624,26.47,26.47,25.84,25.84,1095
20190625,26.02,26.02,25.83,25.83,2439
20190626,25.49,25.49,25.49,25.49,30
20190627,25.79,26.03,25.79,26.01,2422
20190628,26.4,26.4,26.4,26.4,335
20190701,27.09,27.09,26.77,26.87,22111
20190702,26.62,26.62,26.62,26.62,183
20190703,26.95,26.95,26.95,26.95,261
20190705,27.11,27.11,27.01,27.01,518
20190708,26.49,26.49,26.24,26.35,586
20190709,26.7,26.7,26.66,26.66,609
20190710,26.98,26.98,26.98,26.98,132
20190711,26.5,26.5,26.5,26.5,132
20190712,26.46,26.46,26.43,26.43,743
20190715,26.38,26.68,26.38,26.63,5630
20190716,26.86,26.86,26.6,26.6,1803
20190717,26.83,26.9,26.57,26.84,20257
20190718,27.24,27.24,27.24,27.24,20547
20190719,27.4,27.4,26.91,26.92,5476
20190722,27,27.06,27,27.04,625
20190723,27.02,27.02,26.87,26.94,5104
20190724,27.11,27.11,27.11,27.11,30
20190725,26.9,26.9,26.9,26.9,184
20190726,26.9,27.05,26.9,27.05,438
20190729,27.07,27.12,27.06,27.1,1759
20190730,27.12,27.13,27.03,27.13,661
20190731,27.38,27.48,27.31,27.31,1202
20190801,27.17,27.17,27.01,27.01,590
20190802,26.84,26.84,26.37,26.38,953
20190805,25.93,25.93,25.54,25.8,2203
20190806,25.76,25.78,25.76,25.78,285
20190807,26.3,26.3,26.3,26.3,366
20190808,26.59,26.86,26.59,26.86,416
20190809,26.86,26.86,26.46,26.72,2962
20190812,26.4,26.4,26.06,26.06,1126
20190813,26.41,26.41,26.28,26.29,2932
20190814,26.13,26.13,26.01,26.1,1354
20190815,25.86,25.86,25.83,25.83,237
20190816,26.34,26.34,26.34,26.34,132
20190819,26.66,26.66,26.66,26.66,405
20190820,26.24,26.24,26.24,26.24,30
20190821,26.4,26.4,26.4,26.4,30
20190822,25.91,25.91,25.91,25.91,412
20190823,25.83,25.83,25.75,25.75,526
20190826,25.41,25.41,25.41,25.41,181
20190827,25.38,25.53,24.89,24.89,1521
20190828,24.95,24.95,24.95,24.95,132
20190829,25.49,25.49,25.49,25.49,30
20190830,25.31,25.37,25.31,25.35,4917
20190903,25.1,25.1,25.1,25.1,845
20190904,25.09,25.09,25.09,25.09,30
20190905,25.4,25.4,25.19,25.19,726
20190906,25.42,25.42,25.3,25.3,2983
20190909,25.34,25.34,24.96,25.13,2083
20190910,24.82,25.23,24.58,25.11,4505
20190911,25.48,25.62,25.48,25.6,539
20190912,25.68,25.68,25.56,25.6,1006
20190913,25.46,25.46,25.46,25.46,30
20190916,25.16,25.16,25.16,25.16,161
20190917,25.69,25.69,25.69,25.69,30
20190918,25.66,25.66,25.44,25.44,1771
20190919,25.54,25.54,25.54,25.54,30
20190920,25.84,25.84,25.74,25.74,1175
20190923,25.87,25.87,25.6,25.64,612
20190924,25.38,25.38,25.38,25.38,132
20190925,24.85,24.85,24.85,24.85,336
20190926,24.49,24.49,24.49,24.49,335
20190927,24.12,24.34,24.02,24.06,971
20190930,24.06,24.06,24.06,24.06,30
20191001,23.99,23.99,23.5,23.53,2659
20191002,23.36,23.36,23.36,23.36,234
20191003,23.2,23.2,23.2,23.2,234
20191004,23.84,23.84,23.84,23.84,30
20191007,23.91,23.91,23.88,23.88,1150
20191008,23.41,23.5,23.4,23.4,854
20191009,23.49,23.49,23.42,23.42,641
20191010,23.23,23.23,23.23,23.23,132
20191011,23.78,23.78,23.78,23.78,1076
20191014,23.76,23.76,23.76,23.76,980
20191015,24.03,24.08,24.03,24.03,642
20191016,24.1,24.13,24.07,24.09,1056
20191017,24.46,24.46,24.42,24.42,536
20191018,24.21,24.21,24.19,24.19,234
20191021,24.52,24.66,24.52,24.66,641
20191022,24.95,24.95,24.79,24.79,568
20191023,24.8,24.92,24.8,24.85,991
20191024,24.84,24.88,24.84,24.88,743
20191025,24.8,25.19,24.8,25.19,3013
20191028,25.3,25.52,25.15,25.51,6435
20191029,25.74,25.74,25.51,25.59,1366
20191030,25.62,25.67,25.59,25.67,3366
20191031,25.43,25.49,25.41,25.49,1258
20191101,25.88,26.01,25.88,26.01,1027
20191104,26.04,26.33,25.88,25.95,12504
20191105,26.06,26.21,26.06,26.17,1057
20191106,26.12,26.12,25.77,25.77,4998
20191107,25.93,25.93,25.76,25.76,626
20191108,25.54,26.33,25.54,26.33,26683
20191111,26.31,26.31,26.03,26.05,7127
20191112,26.09,26.26,26.09,26.1,3563
20191113,26.13,26.38,26.04,26.3,7457
20191114,26.36,26.36,25.99,26.08,7352
20191115,26.31,26.42,26.31,26.42,1211
20191118,26.49,26.49,26.39,26.39,715
20191119,27.01,27.16,27.01,27.16,2983
20191120,27.22,27.4,27.16,27.31,1615
20191121,27.33,27.33,27.19,27.27,2169
20191122,27.5,27.5,27.23,27.28,3867
20191125,27.81,28.16,27.81,28.1,5013
20191126,28.29,28.32,28.09,28.13,4769
20191127,28.46,28.53,28.29,28.53,4777
20191129,28.59,28.75,28.48,28.69,3788
20191202,28.75,28.75,28.42,28.42,1053
20191203,28.53,28.85,28.34,28.83,2005
20191204,28.86,29.11,28.86,29.11,2680
20191205,29.25,29.25,28.87,28.89,3688
20191206,29.06,29.09,29.03,29.03,3900
20191209,29.44,29.44,29,29,2118
20191210,29.2,29.2,29.17,29.17,1450
20191211,29.25,29.35,28.82,28.82,4632
20191212,28.87,28.91,28.84,28.91,1136
20191213,29.49,29.49,29.22,29.39,9759
20191216,29.75,29.9,29.57,29.85,9347
20191217,29.56,29.76,29.56,29.7,4660
20191218,29.65,29.65,29.47,29.47,687
20191219,29.4,29.83,29.4,29.83,2151
20191220,29.9,29.92,29.8,29.92,2477
20191223,30.27,30.46,29.99,30.44,4212
20191224,30.53,30.53,30.37,30.41,2248
20191226,30.54,30.54,30.38,30.38,2721
20191227,30.35,30.35,29.84,29.87,6564
20191230,29.97,29.97,29.38,29.45,5372
20191231,29.28,29.66,29.26,29.55,6065
20200102,29.31,29.36,29.23,29.31,7122
20200103,29.11,29.28,28.94,28.97,6890
20200106,28.89,29.22,28.7,29.22,5511
20200107,29.25,29.26,29.07,29.14,3667
20200108,29.35,29.68,29.33,29.67,7126
20200109,29.7,29.86,29.58,29.64,5727
20200110,30.3,30.3,29.55,29.55,4917
20200113,29.33,29.33,28.95,29.12,18853
20200114,29.18,29.5,28.97,29.5,3970
20200115,29.63,29.88,29.63,29.65,4206
20200116,29.92,29.99,29.67,29.74,5996
20200117,30.07,30.07,29.63,29.63,5192
20200121,29.52,29.62,29.21,29.21,9361
20200122,29.45,29.45,29.25,29.25,2754
