Date,Open,High,Low,Close,Volume
20140227,23.07,23.17,23.06,23.16,3853
20140228,23.32,23.36,23.32,23.36,678
20140303,22.97,23.02,22.88,22.88,1627
20140304,23.3,23.31,23.25,23.29,4027
20140305,23.26,23.26,23.26,23.26,257
20140306,23.43,23.49,23.43,23.49,8683
20140307,23.47,23.47,23.35,23.38,2521
20140310,23.16,23.26,23.16,23.26,749
20140312,22.93,23.06,22.93,23.06,2141
20140313,22.93,22.93,22.63,22.64,6808
20140314,22.61,22.61,22.61,22.61,1070
20140317,22.85,22.89,22.83,22.88,4193
20140318,22.92,23.04,22.92,23.03,46098
20140319,23.07,23.07,22.78,22.78,3101
20140320,22.69,22.78,22.69,22.76,1020
20140321,22.83,22.88,22.74,22.75,50592
20140324,22.61,22.76,22.61,22.76,6797
20140325,22.81,22.98,22.78,22.92,18722
20140326,22.92,22.92,22.91,22.91,1713
20140327,23.15,23.15,23.01,23.05,4391
20140328,23.25,23.26,23.21,23.26,21031
20140331,23.41,23.45,23.36,23.39,5236
20140401,23.47,23.51,23.47,23.51,4306
20140403,23.51,23.51,23.44,23.49,299849
20140404,23.47,23.48,23.41,23.43,316120
20140407,23.33,23.37,23.29,23.35,49828
20140408,23.27,23.32,23.25,23.3,42032
20140409,23.48,23.63,23.48,23.63,18936
20140410,23.45,23.48,23.21,23.21,244971
20140411,23.2,23.2,23.12,23.12,2747
20140414,23.17,23.17,23.03,23.13,3073
20140415,22.98,23.12,22.98,23.12,12707
20140416,23.27,23.39,23.27,23.36,2301
20140417,23.57,23.57,23.47,23.53,21755
20140421,23.51,23.59,23.51,23.56,2769
20140422,23.64,23.68,23.64,23.68,14100
20140423,23.63,23.65,23.62,23.63,12327
20140424,23.67,23.67,23.67,23.67,543
20140425,23.58,23.58,23.53,23.57,9297
20140428,23.59,23.65,23.58,23.65,8993
20140429,23.86,23.89,23.82,23.82,5660
20140430,23.9,24.05,23.9,24.04,10568
20140501,24.06,24.06,24.03,24.05,6108
20140502,24.01,24.01,24.01,24.01,107
20140505,24.02,24.05,24.02,24.05,2267
20140506,24.08,24.08,24.01,24.01,2583
20140507,24.04,24.05,24.02,24.04,10140
20140508,24.17,24.17,24.05,24.05,7260
20140509,23.9,23.97,23.9,23.93,1249
20140512,24.05,24.05,24.04,24.04,1016
20140513,24.06,24.06,24.06,24.06,2388
20140514,24.14,24.14,24.05,24.05,4529
20140515,23.93,23.96,23.93,23.96,428
20140516,23.98,23.98,23.93,23.96,2325
20140519,24.02,24.03,24.02,24.03,3029
20140520,23.96,23.96,23.9,23.91,3029
20140521,24.05,24.13,24.03,24.12,9373
20140522,24.16,24.19,24.16,24.19,12813
20140523,24.19,24.24,24.19,24.24,3884
20140527,24.34,24.34,24.29,24.3,2918
20140528,24.25,24.25,24.2,24.25,8584
20140529,24.33,24.34,24.32,24.32,700
20140530,24.41,24.43,24.36,24.42,6985
20140602,24.43,24.43,24.4,24.42,5706
20140603,24.35,24.36,24.34,24.36,1668
20140604,24.3,24.37,24.29,24.34,3756
20140605,24.4,24.53,24.4,24.53,3930
20140606,24.6,24.65,24.6,24.65,9548
20140609,24.69,24.69,24.59,24.68,21711
20140610,24.6,24.62,24.6,24.62,2291
20140611,24.52,24.52,24.46,24.46,559
20140612,24.57,24.57,24.55,24.56,5638
20140613,24.57,24.59,24.55,24.59,8856
20140616,24.65,24.65,24.64,24.65,1499
20140617,24.62,24.62,24.62,24.62,406
20140618,24.79,24.9,24.73,24.9,4240
20140619,25.02,25.04,24.96,24.98,8843
20140620,25.07,25.08,25.02,25.05,12778
20140623,25.01,25.06,25,25.06,3196
20140624,25.03,25.04,24.89,24.9,16016
20140625,24.83,24.87,24.83,24.86,1541
20140626,24.83,24.92,24.82,24.92,6738
20140627,24.92,24.97,24.89,24.97,4816
20140630,25.03,25.07,25.02,25.06,3419
20140701,25.19,25.25,25.19,25.22,8949
20140702,25.21,25.22,25.19,25.22,5555
20140703,25.25,25.3,25.23,25.29,2637
20140707,25.15,25.15,25.04,25.09,11703
20140708,24.85,24.89,24.8,24.89,5884
20140709,24.89,24.95,24.89,24.95,1341
20140710,24.54,24.66,24.54,24.66,795
20140711,24.62,24.69,24.62,24.67,132138
20140714,24.89,24.89,24.87,24.88,2080
20140715,24.83,24.83,24.76,24.76,1690
20140716,25.08,25.08,24.88,24.9,6557
20140717,24.84,24.87,24.78,24.81,8106
20140718,24.68,24.87,24.68,24.87,4011
20140721,24.77,24.78,24.7,24.78,1559
20140722,24.86,24.89,24.82,24.82,4999
20140723,24.91,24.91,24.88,24.89,2519
20140724,24.91,24.91,24.86,24.9,7534
20140725,24.85,24.85,24.79,24.79,3471
20140728,24.74,24.78,24.74,24.78,3182
20140729,24.71,24.73,24.71,24.73,1375
20140730,24.5,24.62,24.48,24.57,10727
20140731,24.26,24.27,24.13,24.13,7190
20140801,24.06,24.08,23.97,24,16374
20140804,24.07,24.16,24.03,24.16,2759
20140805,23.93,23.95,23.77,23.8,103095
20140806,23.64,23.72,23.63,23.7,17562
20140807,23.69,23.69,23.43,23.46,8202
20140808,23.46,23.6,23.45,23.6,2524
20140811,23.74,23.76,23.69,23.74,6615
20140812,23.68,23.68,23.65,23.65,1058
20140813,23.81,23.84,23.77,23.8,8105
