Date,Open,High,Low,Close,Volume
20140612,40.38,40.44,40.38,40.44,12600
20140613,40.4,40.4,40.36,40.4,3091
20140616,40.19,40.21,40.19,40.21,1240
20140617,39.98,40.21,39.98,40.21,1857
20140618,40.31,40.83,40.31,40.83,31652
20140619,40.76,41.04,40.76,40.89,15545
20140620,40.6,40.76,40.6,40.76,2693
20140623,40.44,40.67,40.36,40.67,5195
20140624,40.73,40.73,40.32,40.33,98175
20140625,39.89,40.15,39.89,40.15,6675
20140626,40,40.02,39.73,40.02,4633
20140627,39.96,39.96,39.96,39.96,618
20140630,40.2,40.2,40.2,40.2,226
20140701,40.4,40.58,40.4,40.58,2449
20140702,40.48,40.66,40.45,40.62,4942
20140703,40.78,40.81,40.78,40.81,2471
20140707,40.49,40.49,40.19,40.23,121817
20140708,39.91,39.91,39.79,39.79,6497
20140709,39.81,39.81,39.79,39.79,4076
20140710,39.18,39.36,39.17,39.33,5931
20140711,39.31,39.36,39.31,39.36,989
20140714,39.73,39.79,39.71,39.71,1507
20140715,39.72,39.72,39.47,39.47,3587
20140716,40.1,40.1,40.1,40.1,358
20140717,39.59,39.59,39.28,39.28,2953
20140718,39.45,39.5,39.45,39.5,1746
20140722,39.59,39.63,39.51,39.52,3582
20140723,39.76,39.76,39.68,39.68,1112
20140724,39.81,39.82,39.81,39.82,630
20140725,39.5,39.56,39.5,39.55,3037
20140728,39.46,39.46,39.34,39.4,2567
20140729,39.82,39.82,39.42,39.42,4880
20140730,39.08,39.29,39.08,39.29,9136
20140731,38.82,38.82,38.65,38.67,6877
20140801,38.46,38.46,38.22,38.22,4877
20140804,38.25,38.37,38.25,38.37,1855
20140805,38.24,38.24,37.93,38.03,8053
20140806,37.63,37.94,37.55,37.94,5416
20140807,37.87,37.87,37.46,37.49,12069
20140808,37.47,37.67,37.46,37.67,10928
20140811,37.9,38.03,37.82,37.98,8438
20140812,37.79,37.87,37.79,37.87,7486
20140813,37.99,38,37.96,37.99,2798
20140814,38.19,38.29,38.19,38.25,17895
20140815,38.36,38.36,37.99,38.17,24305
20140818,38.4,38.55,38.33,38.55,104501
20140819,38.48,38.62,38.38,38.62,187392
20140820,38.28,38.53,38.27,38.48,306062
20140821,38.53,38.73,38.49,38.7,337968
20140822,38.48,38.54,38.37,38.39,177162
20140825,38.55,38.91,38.55,38.82,130473
20140826,38.87,39.02,38.87,38.9,186045
20140827,39.04,39.09,38.98,39.01,183833
20140828,38.67,38.83,38.64,38.78,109529
20140829,38.78,38.83,38.62,38.8,72357
20140902,38.74,38.79,38.66,38.79,142508
20140903,39.19,39.19,38.98,39.01,106749
20140904,38.83,39.07,38.76,38.86,58263
20140905,38.76,38.94,38.71,38.94,62845
20140908,38.35,38.57,38.32,38.43,122969
20140909,38.32,38.41,38.24,38.36,172698
20140910,38.25,38.53,38.23,38.52,64383
20140911,38.28,38.4,38.23,38.39,51988
20140912,38.31,38.41,38.23,38.39,34623
20140915,38.26,38.34,38.23,38.27,28354
20140916,38.06,38.53,38.06,38.45,45948
20140917,38.53,38.54,38.28,38.34,45953
20140918,38.65,38.72,38.53,38.66,65008
20140919,38.77,38.77,38.37,38.37,86209
20140922,38.45,38.45,38.22,38.33,34989
20140923,37.89,38.03,37.8,37.87,14267
20140924,37.72,37.99,37.63,37.96,62550
20140925,37.81,37.81,37.34,37.42,112359
20140926,37.45,37.6,37.37,37.55,31261
20140929,37.31,37.34,37.06,37.3,88583
20140930,37.2,37.4,37.13,37.21,56938
20141001,36.97,37.05,36.75,36.79,33447
20141002,36.5,36.5,36.16,36.31,27980
20141003,36.02,36.27,36.02,36.25,59166
20141006,36.43,36.61,36.28,36.55,113417
20141007,36.25,36.25,35.8,35.8,23678
20141008,35.9,36.42,35.75,36.42,87662
20141009,36.19,36.19,35.3,35.3,41136
20141010,35.32,35.32,34.8,34.88,24102
20141013,35.09,35.2,34.86,34.89,73585
20141014,35.12,35.12,34.83,34.83,17643
20141015,34.81,34.81,33.9,34.52,52490
20141016,33.86,34.37,33.61,34.08,128264
20141017,35.08,35.08,34.75,34.87,30098
20141020,34.95,35.07,34.81,35.03,15857
20141021,35.34,35.64,35.34,35.64,9455
20141022,35.76,35.76,35.31,35.31,24000
20141023,35.76,35.85,35.54,35.7,9825
20141024,35.91,35.91,35.71,35.83,34077
20141027,35.61,35.78,35.37,35.63,174054
20141028,36,36.2,35.99,36.2,17187
20141029,36.32,36.32,35.73,35.81,36809
20141030,35.77,36.07,35.67,36.04,17740
20141031,36.36,36.42,36.17,36.37,25479
20141103,36.28,36.28,35.94,36.06,36069
20141104,36.12,36.12,35.76,35.96,13367
20141105,36.12,36.23,36.03,36.15,35216
20141106,36.34,36.34,35.97,36.02,53932
20141107,35.81,36.02,35.81,36.02,12374
20141110,36.15,36.24,36.03,36.16,64426
20141111,36.39,36.48,36.15,36.45,19404
20141112,36.14,36.14,35.92,36.07,10956
20141113,36.12,36.25,36,36.15,64264
20141114,36.04,36.26,35.9,36.21,12507
20141117,36.2,36.28,36.08,36.24,20264
20141118,36.74,36.79,36.54,36.75,36205
20141119,36.9,36.9,36.58,36.75,717898
20141120,36.59,36.66,36.43,36.54,30811
20141121,37.18,37.18,36.75,36.76,32144
20141124,37.24,37.24,37.01,37.13,38813
20141125,37.09,37.39,37.09,37.34,17401
20141126,37.48,37.48,37.3,37.42,22307
20141128,37.35,37.35,37.11,37.15,39123
20141201,37.34,37.34,37.05,37.17,132451
20141202,37.1,37.21,37.04,37.08,78903
20141203,37.12,37.17,36.99,37.06,57499
20141204,37.14,37.17,36.87,37.03,19555
20141205,37.26,37.26,37.09,37.18,16316
20141208,37.05,37.05,36.83,36.94,29212
20141209,36.61,36.69,36.35,36.56,36200
20141210,36.68,36.68,36.11,36.16,46328
20141211,36.29,36.31,36.07,36.11,27976
20141212,35.94,35.97,35.24,35.29,229361
20141215,35.59,35.59,34.66,34.66,130994
20141216,34.63,35.51,34.63,35.07,63721
20141217,35.14,35.62,34.99,35.33,44573
20141218,35.93,36.13,35.75,36.13,135389
20141219,35.88,36.16,35.88,36.11,195933
20141222,36.17,36.33,36.08,36.21,155707
20141223,36.31,36.31,36.04,36.07,79157
20141224,36.2,36.43,36.17,36.28,186584
20141226,36.48,36.51,36.32,36.42,23401
20141229,36.1,36.28,36.05,36.06,85380
20141230,35.86,36.05,35.76,35.89,309331
20141231,36.19,36.19,35.63,35.64,83011
20150102,35.61,35.67,35.31,35.45,21107
20150105,34.85,34.85,34.32,34.39,113223
20150106,34.46,34.52,33.97,34.04,36145
20150107,34.14,34.41,33.98,34.35,22447
20150108,34.57,34.96,34.57,34.8,47775
20150109,34.89,34.89,34.43,34.67,36751
20150112,34.7,34.73,34.46,34.63,21973
20150113,35.11,35.14,34.53,34.76,22164
20150114,34.53,34.83,34.52,34.71,29866
20150115,34.91,35.1,34.74,34.96,18172
20150116,35.08,35.39,34.85,35.3,34309
20150120,36.24,36.24,35.5,35.58,29507
20150121,35.83,35.89,35.62,35.89,47646
20150122,35.92,36.11,35.75,36,50717
20150123,36.03,36.09,35.77,35.84,385291
20150126,36.11,36.41,35.97,36.33,239939
20150127,36.31,36.42,36.07,36.25,112143
20150128,36.99,36.99,35.71,35.71,72628
20150129,35.97,36.31,35.97,36.27,51589
20150130,36.13,36.13,35.74,35.74,5013590
20150202,35.86,36.16,35.78,36.15,130768
20150203,36.7,36.99,36.51,36.87,93070
20150204,36.76,36.83,36.38,36.38,61800
20150205,37.03,37.04,36.64,37.03,119182
20150206,36.92,36.92,36.31,36.33,186929
20150209,36.28,36.41,36.11,36.33,66610
20150210,36.64,36.71,36.35,36.7,54326
20150211,36.55,36.55,36.22,36.44,84252
20150212,36.8,37.23,36.8,37.23,83476
20150213,37.49,37.49,36.99,37.24,84479
20150217,37.34,37.44,37.01,37.41,64606
20150218,37.52,37.62,37.3,37.51,42816
20150219,37.59,37.69,37.43,37.5,55873
20150220,37.47,38.08,37.31,38.06,88833
20150223,37.91,37.91,37.67,37.86,300186
20150224,37.89,38.13,37.78,38.08,100028
20150225,38.15,38.15,37.89,38.04,92580
20150226,37.96,38.06,37.82,37.94,119136
20150227,38.03,38.2,37.82,38.03,127860
20150302,37.97,38.1,37.87,38,366738
20150303,37.96,37.96,37.59,37.69,83018
20150304,37.56,38,37.25,37.56,91159
20150305,37.76,37.82,37.58,37.73,136927
20150306,37.46,37.46,36.94,37.01,114451
20150309,37.16,37.2,36.96,37.16,209649
20150310,36.68,36.68,36.19,36.32,92739
20150311,36.31,36.41,36.1,36.25,122797
20150312,36.44,36.66,36.34,36.54,100526
20150313,36.33,36.35,36.06,36.33,78843
20150316,36.54,36.89,36.32,36.77,81549
20150317,36.66,36.72,36.47,36.67,281619
20150318,36.67,37.66,36.62,37.43,144229
20150319,37.3,37.3,36.9,36.99,145032
20150320,37.78,38.15,37.52,37.91,203528
20150323,38,38.27,37.91,38.2,246084
20150324,38.26,38.41,38.08,38.11,98517
20150325,38.32,38.5,37.85,37.85,91430
20150326,37.69,37.69,37.22,37.49,60041
20150327,37.54,37.65,37.35,37.56,71590
