Date,Open,High,Low,Close,Volume
20071227,31.74,31.74,31.56,31.59,15482
20071228,31.78,31.85,31.78,31.84,4758
20071231,32.04,32.04,31.75,31.9,11412
20080102,32.04,32.04,31.81,31.81,3263
20080103,31.66,31.72,31.61,31.61,5333
20080104,31.31,31.31,31.01,31.01,4976
20080107,30.67,30.67,30.53,30.53,13696
20080108,30.74,30.74,30.39,30.39,8565
20080109,29.89,31.17,29.89,30.04,10179
20080110,36.17,36.17,29.46,29.78,8956
20080111,29.37,29.54,29.18,29.38,10045
20080114,29.89,29.89,29.79,29.88,1417
20080115,29.16,29.22,29.05,29.14,6026
20080116,28.36,28.36,27.18,27.68,34617
20080117,28.32,28.4,28.2,28.4,9468
20080118,28.16,28.16,28.08,28.09,6436
20080122,26.32,27.37,26.04,27.37,83887
20080123,26.54,26.54,26.08,26.11,6111
20080124,27.68,27.91,27.68,27.85,3926
20080125,28.6,28.6,28,28.02,5856
20080128,28.38,29.33,27.82,28.4,23561
20080129,28.71,28.74,28.65,28.65,1906
20080130,28.64,29.1,28.46,29,22903
20080131,28.01,28.78,28.01,28.78,8873
20080201,29.03,29.3,29.03,29.19,24028
20080204,29.33,29.37,29.31,29.34,3211
20080205,28.47,28.52,28.17,28.17,4891
20080206,28.23,28.26,27.8,27.8,5445
20080207,27.49,27.49,27.43,27.43,3246
20080208,27.34,27.52,27.33,27.52,8668
20080211,27.64,27.75,27.64,27.74,2992
20080212,27.84,27.9,27.67,27.67,27941
20080213,28.03,28.36,28.03,28.36,1651
20080214,28.5,28.53,28.44,28.44,1374
20080215,28.65,28.68,28.57,28.68,4107
20080219,29.04,29.16,28.89,28.89,4596
20080220,28.46,28.81,28.46,28.72,5664
20080221,29.19,29.19,29.09,29.09,1667
20080222,29.12,29.12,28.96,28.98,3071
20080225,29.24,29.76,29.24,29.76,31409
20080226,29.5,30.04,29.5,29.9,2528
20080227,29.74,30.13,29.2,30.12,2704
20080228,30.18,30.18,29.87,30,6981
20080229,29.69,29.7,29.37,29.37,19779
20080303,29.18,29.33,29.14,29.33,7438
20080304,28.38,29.1,28.38,29.09,11075
20080305,29.27,29.54,29.11,29.24,5891
20080307,28.85,29.02,28.68,28.68,7877
20080310,28.98,28.98,28.24,28.25,2886
20080311,28.69,28.77,28.65,28.77,511
20080312,29.21,29.34,29.13,29.13,4097
20080313,28.81,29.23,28.81,29.23,616
20080314,29.28,29.28,28.35,28.66,4698
20080317,27.83,27.99,27.83,27.99,1024
20080319,28.35,28.35,27.7,27.72,1106
20080320,27.92,28.04,27.92,28.04,2642
20080324,28.48,28.77,28.48,28.68,1819
20080325,28.71,28.8,28.71,28.8,329
20080326,29.09,29.09,29.09,29.09,219
20080328,29.69,29.69,29.64,29.64,1938
20080331,29.75,29.9,29.74,29.8,1602
20080401,30.14,30.36,30.14,30.36,1265
20080402,30.06,30.45,30.06,30.41,3802
20080403,29.87,30.21,29.87,30.21,7147
20080404,30.23,30.26,30.16,30.26,6677
20080407,30.47,30.47,30.34,30.36,12415
20080408,29.91,29.97,28.51,29.97,8619
20080409,29.92,29.92,29.79,29.79,1755
20080410,29.63,29.72,29.63,29.66,1975
20080411,29.37,29.37,29.37,29.37,197
20080414,29.39,29.39,29.33,29.34,1283
20080415,29.41,29.48,29.41,29.48,841
20080416,30.75,30.75,29.95,30.29,5590
20080417,30.02,30.18,30.02,30.18,4621
20080418,30.22,30.33,30.16,30.32,5649
20080421,30.24,30.38,30.12,30.38,5215
20080422,30.28,30.35,30.21,30.21,1404
20080423,30.14,30.27,30.14,30.23,7272
20080424,29.74,30,29.74,29.97,2560
20080425,30.23,30.23,30.15,30.15,438
20080428,30.41,30.47,30.41,30.47,1530
20080429,30.23,30.26,30.17,30.26,6963
20080430,30.52,30.64,30.52,30.56,3291
20080501,30.47,30.71,30.47,30.71,1281
20080502,30.84,30.84,30.68,30.68,2688
20080505,30.87,30.95,30.85,30.93,6481
20080506,30.96,31.38,30.96,31.38,54661
20080507,31.27,31.27,30.86,30.86,2468
20080508,31.3,31.33,31.27,31.28,2845
20080509,31.08,31.11,31.08,31.1,2554
20080512,31.43,31.43,31.43,31.43,688
20080513,31.14,31.19,31.01,31.17,7706
20080514,31.3,31.3,31.25,31.25,292
20080515,31.39,31.57,31.35,31.57,2192
20080516,31.79,31.88,31.78,31.88,5879
20080519,31.97,32.02,31.79,31.79,5552
20080520,31.72,31.72,31.49,31.54,8776
20080521,31.68,31.69,31.3,31.3,5547
20080522,31.68,31.68,31.58,31.64,2080
20080523,31.66,31.66,31.27,31.4,16218
20080527,31.16,31.17,30.99,31.17,7898
20080528,31.12,31.12,30.98,31.12,5387
20080529,31.01,31.15,30.91,31.15,2120
20080530,31.22,31.36,31.15,31.29,11132
20080602,31.08,31.08,30.77,30.86,9458
20080603,31,31.1,30.77,30.77,14285
20080604,30.8,30.96,30.69,30.74,7269
20080605,31.1,31.35,30.95,31.34,10792
20080606,30.96,30.96,30.77,30.77,6787
20080609,30.69,30.69,30.22,30.39,17758
20080610,29.85,29.92,29.73,29.76,3889
20080611,29.63,29.63,29.33,29.33,3244
20080612,29.22,29.39,29.22,29.22,2319
20080613,29.54,29.54,29.3,29.33,2969
20080616,29.32,29.7,29.22,29.7,6019
20080617,32.12,32.12,29.8,29.8,6665
20080618,29.75,29.75,29.24,29.35,8782
20080619,29.11,29.38,29.11,29.37,805
20080620,29.02,29.02,28.74,28.93,5087
20080623,28.71,28.73,28.64,28.7,3510
20080624,28.33,29.82,28.33,28.61,79551
20080625,28.84,29.07,28.84,28.85,5446
20080626,28.61,28.61,28.17,28.32,9403
20080627,28.57,28.57,28.3,28.37,5255
20080630,28.41,28.42,28.39,28.42,8057
20080701,27.84,27.91,27.48,27.91,21027
20080702,27.86,27.86,27.45,27.45,37096
20080703,27.37,27.37,27.26,27.26,899
20080707,29.04,29.04,26.91,27.2,4016
20080708,26.96,27.13,26.83,27.13,16452
20080709,27.09,27.25,26.91,26.91,5752
20080710,27,27.02,26.85,26.85,25606
20080711,26.77,26.84,26.61,26.84,3932
20080714,26.88,26.97,26.66,26.76,15091
20080715,26.51,26.51,26.51,26.51,397
20080716,26.26,26.84,26.26,26.84,8813
20080717,27.31,27.31,27.21,27.21,2125
20080718,27.4,27.4,27.4,27.4,147
20080721,27.73,27.73,27.68,27.7,1932
20080722,27.63,27.63,27.5,27.6,4053
20080723,27.87,28,27.87,27.9,4396
20080724,27.72,27.72,27.37,27.37,8367
20080725,27.23,27.3,27.19,27.19,723
20080728,27.11,27.11,26.82,26.82,1872
20080729,26.83,26.97,26.83,26.93,1584
20080730,27.15,27.27,27.12,27.26,4565
20080731,27.02,27.32,27.02,27.09,6697
20080801,27.11,27.11,26.77,26.91,7839
20080804,26.73,26.73,26.63,26.69,2317
20080805,26.85,27.04,26.79,27.04,9212
20080806,27.13,27.34,27.13,27.31,30258
20080807,27.04,27.04,26.79,26.8,4023
20080808,26.52,26.91,26.48,26.91,2627
20080811,26.95,27.06,26.84,26.85,8112
20080812,26.7,26.7,26.21,26.28,50664
20080813,25.85,26.08,25.77,25.91,8312
20080814,25.83,25.99,25.73,25.86,5973
20080815,25.82,25.84,25.75,25.83,4923
20080818,26.03,26.03,25.63,25.77,14280
20080819,25.41,25.61,25.27,25.45,18698
20080820,25.53,25.58,25.43,25.48,7288
20080821,25.67,26.69,25.61,25.86,53045
20080822,25.74,25.97,25.65,25.89,24271
20080825,25.67,25.78,25.57,25.57,4102
20080826,25.7,25.76,25.59,25.61,3067
20080827,25.72,25.95,25.72,25.86,28286
20080828,26.04,26.18,26.04,26.18,3241
20080829,26.29,26.36,26.2,26.34,13400
20080902,25.96,26.08,25.72,25.76,7810
20080903,25.77,25.77,25.61,25.7,2243
20080904,25.32,25.32,24.61,24.61,6934
20080905,24.69,24.69,24.41,24.51,648
20080908,25.12,25.13,24.69,24.97,12590
20080909,24.62,24.62,24.07,24.07,27779
20080910,24.02,24.28,24.02,24.27,14421
20080911,23.53,23.87,23.49,23.84,9500
20080912,23.97,24.4,23.97,24.31,19025
20080915,23.58,24.4,23.17,23.44,65765
20080916,23.01,23.43,22.89,23.42,15392
20080917,22.94,23.19,22.53,22.87,27899
20080918,23.21,23.9,22.69,23.83,13780
20080919,24.53,24.76,24.28,24.75,15706
20080922,24.42,24.43,23.98,24.1,20944
20080923,23.84,24.02,23.43,23.52,44499
20080924,23.74,24,23.49,23.6,65095
20080925,23.71,24.06,23.68,23.79,58486
20080926,23.23,23.23,23.12,23.12,4255
20080929,22.24,22.84,20.37,21.34,23137
20080930,21.64,22.05,21.62,21.92,21940
20081001,21.59,21.78,21.47,21.64,6501
20081002,21.06,21.23,20.93,20.93,4549
20081003,20.82,21.17,20.56,20.62,9523
20081006,19.559,19.586,18.599,18.996,18502
20081007,19.239,19.239,17.779,17.779,47382
20081008,17.494,17.925,16.695,17.694,8221
20081009,18.099,19.364,17.098,17.098,19172
20081010,16.167,16.563,15.958,15.958,4664
20081013,17.251,18.175,17.251,18.175,9605
20081014,20.03,20.03,18.009,18.148,25639
20081015,17.126,17.195,16.841,17.112,7125
20081016,16.82,17.161,16.174,17.056,5728
20081017,16.598,16.987,16.598,16.987,1100
20081020,16.885,17.244,16.885,17.244,1248
20081021,16.896,17.001,16.577,16.728,5024
20081022,16.181,16.181,15.277,15.562,46175
20081023,15.771,15.812,15.249,15.312,2792
20081024,14.763,16.174,14.7,15.11,29803
20081027,14.353,14.797,14.082,14.312,25962
20081028,14.624,15.249,14.436,15.249,32412
20081029,15.748,16.049,15.729,16.049,1058
20081030,15.75,16.681,15.75,16.243,11000
20081031,16.215,16.591,16.037,16.292,7670
20081103,16.675,16.681,16.55,16.55,3885
20081104,17.446,18.071,17.446,17.737,21662
20081105,17.633,17.744,17.279,17.279,4506
20081106,16.827,16.827,16.194,16.257,4848
20081107,16.681,16.82,16.589,16.618,7079
20081110,16.959,17.049,16.424,16.424,3821
20081111,16.328,16.403,16.007,16.16,5504
20081112,15.896,15.896,15.417,15.562,3410
20081113,15.36,16.215,15.333,16.215,9397
20081114,15.562,15.833,14.804,15.312,19649
20081117,15.298,15.402,15.201,15.201,5724
20081118,15.014,15.096,14.756,15.062,5502
20081119,14.964,14.964,14.172,14.2,6533
20081120,14.102,14.144,13.136,13.963,20502
20081121,14.089,14.29,13.637,14.241,15638
20081124,14.596,14.999,14.596,14.832,1702
20081125,15.305,15.305,14.721,14.971,26994
20081126,14.658,15.069,14.658,15.069,9114
20081128,15.242,15.36,15.23,15.342,914
20081201,14.742,14.923,14.2,14.412,10627
20081202,14.617,14.916,14.425,14.731,5503
20081203,14.686,15.263,14.631,15.263,10309
20081204,14.735,15.312,14.512,14.519,25959
20081205,14.512,14.867,14.394,14.728,21024
20081208,15.138,15.388,15.138,15.371,2242
20081209,15.096,15.451,15.089,15.214,13199
20081210,15.347,15.569,15.347,15.467,3271
20081211,15.569,16.361,15.5,15.569,40214
20081212,15.493,15.715,15.437,15.677,1871
20081215,15.944,15.993,15.764,15.858,3957
20081216,15.832,16.368,15.498,16.368,9331
20081217,16.447,16.674,16.447,16.607,11074
20081218,16.403,16.438,16.055,16.055,6340
20081219,15.993,15.993,15.944,15.951,3117
20081222,15.709,16.336,15.589,15.754,13198
20081223,15.815,16.286,15.575,15.595,21022
20081224,15.758,16.511,15.744,15.955,6561
20081226,16.115,16.145,15.912,16.145,8811
20081229,16.058,16.209,16.037,16.037,7213
20081230,16.392,16.504,16.223,16.323,16334
20081231,16.497,16.617,16.385,16.617,11215
20090102,16.687,16.906,16.687,16.873,1623
20090105,16.709,16.772,16.589,16.589,2697
20090106,16.842,16.842,16.547,16.814,21384
20090107,16.751,16.751,16.443,16.514,5286
20090109,16.52,16.61,16.358,16.471,1886
20090112,16.153,16.16,15.97,15.97,2730
20090113,15.744,15.794,15.681,15.794,1307
20090114,15.26,15.336,15.203,15.203,3067
20090115,15.252,15.498,15.125,15.442,4039
20090116,15.463,15.836,15.463,15.536,3287
20090120,14.865,14.865,14.273,14.294,8267
20090121,14.752,15.181,14.738,14.747,3133
20090122,14.675,15.202,14.618,14.734,7127
20090123,14.2,14.477,14.2,14.477,1407
20090126,14.598,14.738,14.598,14.624,6947
20090127,14.872,15.139,14.872,15.139,616
20090128,15.167,15.378,15.167,15.378,767
20090129,15.491,15.491,14.963,14.963,867
20090130,14.928,15.033,14.808,15.012,3552
20090202,14.472,14.738,14.472,14.598,2260
20090203,14.604,14.829,14.104,14.829,3634
20090204,14.47,14.47,14.47,14.47,1606
20090205,14.935,15.04,14.935,15.04,1257
20090206,15.273,15.442,15.273,15.315,1943
20090209,15.618,15.618,15.618,15.618,142
20090210,14.903,15.026,14.895,15.026,1112
