Date,Open,High,Low,Close,Volume
20071227,35.38,35.39,35.38,35.39,662
20071228,35.16,40.37,34.7,34.76,5274
20071231,34.79,42.94,34.73,35.27,16738
20080102,35.12,35.12,35.02,35.02,926
20080103,34.57,34.57,34.15,34.17,6350
20080104,33.67,33.67,32.88,32.88,8993
20080107,32.54,32.86,32.15,32.78,5291
20080109,31.75,31.97,31,31.97,529
20080110,32.64,32.64,32.03,32.03,3704
20080111,32.35,32.35,31.3,31.31,529
20080118,31.93,31.93,31.04,31.08,5099
20080122,27.54,32.31,27.54,31.76,2142
20080124,34.02,34.78,34.02,34.18,21087
20080125,34.51,34.51,33.72,33.72,7569
20080130,34.99,37.05,34.79,35.47,3041
20080131,34.17,34.73,34.14,34.73,1323
20080201,35.88,35.88,33.8,33.8,1263
20080204,36.22,36.22,35.53,35.83,2545
20080205,37.42,37.42,34.89,34.89,2513
20080206,34.27,34.29,34.07,34.21,7324
20080207,33.8,33.8,33.8,33.8,132
20080208,33.86,33.86,33.46,33.46,1191
20080211,33.05,33.05,33.05,33.05,265
20080212,33.87,34.13,32.44,33.62,7311
20080213,33.8,34.16,33.8,34.16,529
20080214,34.13,34.29,33.86,33.86,1852
20080215,33.4,33.4,33.4,33.4,4629
20080219,34.03,34.03,34.03,34.03,132
20080220,33.44,33.84,33.28,33.74,3439
20080221,34.06,34.06,33.61,33.61,3563
20080222,33.01,33.58,33.01,33.43,6419
20080225,33.72,34.83,33.66,34.83,23941
20080226,34.71,35.03,34.67,35.02,38623
20080228,34.19,34.62,34.19,34.58,24997
20080229,34,34.08,33.84,34.02,3193
20080303,33.43,33.87,33.43,33.72,5088
20080306,33.52,34.4,32.28,32.28,35126
20080307,32.05,32.52,32.03,32.5,3176
20080310,32.53,32.56,32.26,32.34,1456
20080311,32.97,33.38,32.75,32.75,1572
20080312,33.61,33.89,33.54,33.54,1318
20080313,32.84,33.77,32.49,33.77,1721
20080314,34.11,34.11,33.27,33.28,4342
20080317,32.62,33.18,32.4,33.18,2005
20080319,34.94,36.15,34.2,34.87,67212
20080320,34.93,35.16,34.91,35.09,14609
20080324,36,36.27,35.57,36.17,109365
20080325,35.64,36,35.54,36,32813
20080326,36.56,36.56,36.56,36.56,1308
20080327,36.22,36.27,35.91,35.94,16488
20080328,35.64,35.71,35.64,35.71,5759
20080331,36.22,36.26,35.66,35.67,3989
20080401,37.64,37.64,36.94,37.26,1953
20080402,37.58,37.62,37.46,37.62,1178
20080403,37.52,37.82,37.52,37.82,1772
20080404,37.6,37.6,37.6,37.6,131
20080407,37.56,37.56,37.56,37.56,131
20080408,37.35,37.35,37.2,37.2,262
20080409,36.81,36.81,36.1,36.24,8069
20080411,36.16,36.16,36.16,36.16,131
20080417,37.71,37.95,37.71,37.95,51172
20080418,38.31,38.31,38.01,38.01,524
20080421,37.63,37.63,37.59,37.63,3010
20080422,37.63,37.63,37.28,37.36,3272
20080424,38.34,38.36,38.34,38.36,2486
20080428,38.62,38.81,38.62,38.68,2303
20080429,38.31,38.31,38.29,38.29,772
20080430,38.01,39.76,37.57,37.72,3141
20080501,38.02,38.35,37.96,38.23,1636
20080502,39.03,40.8,36.94,37.63,31566
20080505,37.81,37.81,37.81,37.81,523
20080506,36.88,37.5,36.88,37.5,879
20080507,38.04,38.96,37.07,37.43,4974
20080508,37.45,37.55,37.26,37.55,6007
20080509,37.11,37.11,37.07,37.1,4371
20080512,37.75,38.56,37.75,37.9,903
20080513,37.82,38.15,37.82,38.13,7227
20080514,38.37,38.49,38.37,38.49,1454
20080515,38.42,38.55,38.42,38.52,1964
20080516,38.54,38.54,38.24,38.24,1047
20080519,38.3,38.64,38.3,38.35,18100
20080520,38.28,38.35,37.6,37.6,2593
20080521,37.58,38.01,37.3,37.3,6626
20080522,37,37,36.95,36.95,524
20080528,37.28,37.3,35.92,37.01,2116
20080530,37.59,37.59,37.49,37.49,398
20080602,37.28,37.28,37.28,37.28,262
20080610,35.9,35.9,35.45,35.45,1179
20080611,35.55,35.55,35.55,35.55,131
20080616,36.33,36.33,36.33,36.33,1309
20080617,36.32,36.34,35.9,35.9,5316
20080620,35.22,35.22,35.22,35.22,1309
20080623,35.47,35.47,34.69,34.69,18585
20080624,34.31,34.9,34.31,34.9,524
20080625,34.73,34.83,34.69,34.69,1297
20080627,33.38,33.59,33.38,33.57,533
20080702,33.4,33.4,33.4,33.4,240
20080708,32.3,32.3,32.3,32.3,260
20080709,34.12,34.12,33.75,33.75,390
20080710,32.67,32.67,31.75,32.13,3370
20080717,33.21,33.21,33.21,33.21,648
20080718,33.7,33.7,33.7,33.7,260
20080721,33.88,33.88,33.88,33.88,130
20080722,33.81,33.81,33.81,33.81,648
20080723,34.71,34.72,34.71,34.72,2463
20080724,31.71,33.95,31.71,32.7,15509
20080725,32.8,33.25,32.8,33.13,2929
20080728,33.39,33.52,33.39,33.48,1686
20080729,33.93,34.44,33.88,34.44,778
20080730,35.88,35.88,34.15,34.56,2067
20080806,35.23,35.23,34.25,34.25,2021
20080807,34.71,34.71,34.06,34.06,1944
20080811,32.42,37.26,32.42,36.11,3557
20080812,35.64,35.64,35.49,35.49,2018
20080814,35.25,35.25,35.25,35.25,648
20080818,37.02,37.02,34.9,34.9,1100
20080820,34.23,34.23,33.94,33.95,685
20080825,33.55,34.72,33.55,34.72,1620
20080828,35.06,35.06,35.06,35.06,648
20080904,35.15,35.18,35.15,35.17,13221
20080908,36.78,36.78,36.78,36.78,130
20080912,37.03,37.03,37.03,37.03,1431
20080915,27,37.03,27,37.03,372
20080916,33.88,33.89,33.88,33.89,908
20080917,34.55,34.55,34.55,34.55,648
20080918,34.72,36.08,33.56,36.08,778
20080919,34.11,37.39,34.11,37.39,359
20080922,35.26,35.26,35.26,35.26,641
20080923,34.44,34.62,34.44,34.62,261
20080924,34.01,34.01,34.01,34.01,192
20080926,36.9,37.92,33.56,36.18,2178
20080929,35.97,35.97,32.91,32.91,1921
20080930,33.45,33.48,33.45,33.48,897
20081001,35.97,35.97,34.09,34.09,256
20081002,34.21,34.21,34.17,34.17,256
20081003,32.45,32.45,32.45,32.45,128
20081006,30.27,30.27,28.02,28.02,1168
20081008,26.6,27.88,26.6,27.66,4999
20081010,23.87,24.76,23.48,24.76,2299
20081013,27.32,27.32,27.32,27.32,6922
20081014,27.34,27.34,27.34,27.34,602
20081015,22.24,24.58,19.678,20.37,640
20081016,20.44,20.44,20.36,20.36,1282
20081017,23.17,27.62,22.56,24.54,19878
20081020,24.28,24.28,21.67,23.39,3280
20081021,23.83,23.87,23.73,23.73,1409
20081022,22.92,22.92,22.92,22.92,128
20081023,20.28,20.28,20.28,20.28,128
20081024,22.62,23.41,20.29,20.4,40205
20081028,20.14,20.14,19.715,19.879,768
20081029,21.9,22.04,21.88,22,1667
20081031,23.41,23.78,23.41,23.78,384
20081104,23.78,26.76,23.41,24.07,28201
20081105,23.6,23.83,23.6,23.83,378
20081106,21.85,21.85,20.71,21.28,2179
20081107,21.57,23.36,21.54,22.23,4486
20081110,22.23,22.38,21.17,21.17,1346
20081111,19.676,20.6,19.676,20.6,319
20081112,19.286,19.442,19.216,19.426,900
20081113,18.771,18.771,18.139,18.139,762
20081114,20.28,21.3,18.529,18.529,3461
20081117,18.365,20.05,17.187,18.513,9549
20081118,18.022,18.248,16.953,16.953,2820
20081119,16.93,16.93,16.93,16.93,128
20081120,15.471,15.471,14.425,15.291,640
20081124,16.313,16.313,15.611,15.611,2053
20081125,16.774,16.969,16.774,16.969,1222
20081126,17.788,17.788,17.788,17.788,295
20081202,15.845,16.664,15.322,16.664,1923
20081203,17.374,18.49,16.908,17.593,6916
20081204,17.554,19.496,17.554,17.616,2394
20081205,17.499,17.616,17.421,17.616,763
20081208,19.504,20.59,19.36,20.59,8774
20081209,20.63,20.63,20.09,20.09,682
20081210,20.83,20.83,20.83,20.83,183
20081211,20.32,20.32,17.803,17.858,1833
20081212,17.764,19.192,17.764,18.685,2052
20081215,19.372,19.372,19.216,19.216,10806
20081216,19.301,20.362,17.476,19.949,23122
20081217,20.58,22.43,20.45,22.43,727
20081219,20.33,20.33,20.33,20.33,128
20081222,20.96,20.96,20.02,20.02,870
20081223,20.14,20.14,20.14,20.14,622
20081224,19.975,19.975,19.733,19.91,3729
20081226,20.19,20.19,20.13,20.13,894
20081229,20.21,21.761,19.303,21.761,5904
20081230,19.529,20.27,19.529,20.21,2728
20081231,20.15,23.78,19.34,20.48,7031
20090102,21,21,21,21,124
20090105,20.36,20.36,20.03,20.03,1488
20090106,20.54,21.1,20.29,21,4961
20090107,20.4,20.4,20.4,20.4,237
20090109,19.891,19.972,19.883,19.883,4957
20090112,18.642,18.747,17.917,18.07,50608
20090113,18.062,19.416,17.844,18.296,10307
20090115,17.248,18.513,17.248,17.538,2977
20090116,17.014,17.643,17.014,17.643,1240
20090120,17.643,18.038,17.643,17.731,3312
20090121,17.013,17.733,17.013,17.733,1303
20090123,17.731,17.74,17.731,17.74,5956
20090126,18.392,21.27,18.392,21.27,248
20090128,17.248,17.248,17.248,17.248,124
20090129,18.537,18.57,18.537,18.57,248
20090130,20.87,20.87,18.054,18.054,3040
20090203,17.676,17.676,17.634,17.634,620
20090205,16.732,16.732,16.732,16.732,124
20090209,20.77,20.77,20.77,20.77,124
20090211,17.038,17.038,16.402,16.966,992
20090213,16.305,16.587,16.305,16.313,1757
20090217,15.999,15.999,15.12,15.12,1843
20090218,13.871,16.111,13.831,15.128,1302
20090219,15.459,15.459,14.919,14.919,248
20090220,14.612,14.612,14.612,14.612,130
20090223,14.209,14.209,14.209,14.209,124
20090224,14.338,15.708,14.33,14.596,6169
20090227,14.274,14.596,14.274,14.443,1688
20090302,13.863,13.863,13.46,13.46,372
20090303,12.775,13.291,12.775,13.242,868
20090306,11.928,12.291,11.928,12.291,3327
20090309,12.275,12.396,12.09,12.396,2756
20090313,15.023,15.499,14.628,15.499,2767
20090316,11.147,15.596,11.147,14.427,8877
20090318,14.483,14.483,14.475,14.475,1365
20090319,19.73,19.73,15.136,15.136,496
20090320,14.395,14.395,13.951,13.951,372
20090323,14.209,15.426,14.209,15.426,1209
20090324,15.148,15.148,14.877,14.877,2805
20090326,14.262,14.647,14.262,14.647,976
20090330,13.917,13.917,13.614,13.614,1927
20090401,14.729,14.729,14.729,14.729,366
20090406,16.468,16.468,16.468,16.468,6097
20090407,16.148,16.148,15.344,15.344,1160
20090409,16.033,17.354,16.033,17.354,651
20090413,17.643,17.643,17.192,17.516,10688
20090414,17.411,17.452,16.55,16.55,2937
20090416,16.935,16.935,16.935,16.935,305
20090417,18.01,18.01,18.01,18.01,702
20090420,21.61,21.61,16.476,16.952,4479
20090421,16.713,18.084,16.713,18.084,1525
20090422,18.494,18.494,17.6,17.6,8641
20090423,17.509,18.272,17.509,18.272,2196
20090424,18.452,19.272,18.124,19.224,2630
20090427,18.805,18.887,17.764,17.805,5151
20090428,17.635,17.663,17.635,17.663,582
20090430,18.658,18.846,18.362,18.846,1268
20090501,18.494,18.731,18.108,18.108,1488
20090504,18.608,18.608,17.797,18.313,493
20090506,19.125,20.91,19.092,20.36,4803
20090507,21.23,21.23,18.608,18.633,4471
20090508,19.273,20.339,17.633,20.339,6493
20090511,19.682,20.342,19.479,19.479,5506
20090512,18.945,19.092,18.945,19.092,9754
20090513,18.289,18.453,18.018,18.018,6463
20090514,17.961,18.215,17.961,18.215,732
20090515,17.649,17.657,15.5,17.206,9246
20090518,18.633,19.027,18.633,19.027,18414
20090519,19.166,19.296,18.658,19.133,4492
20090520,22.96,22.96,19.191,19.191,10093
20090521,19.314,19.314,18.846,18.846,2573
20090522,18.969,18.969,18.969,18.969,140
20090526,21.7,21.7,19.01,19.01,1052
20090527,19.068,19.289,18.617,18.617,12218
20090529,18.871,18.953,18.871,18.953,244
20090601,20.64,20.64,19.68,20.23,19917
20090602,19.963,20.02,19.963,20.02,837
20090604,20.77,20.77,20.77,20.77,345
20090605,20.95,20.95,20.45,20.45,2654
20090608,20.44,21.19,20.07,20.07,10229
20090609,19.773,20.1,19.536,20.08,5739
20090610,19.273,21.15,19.273,20.36,3310
20090611,19.494,21.16,19.494,20.12,7859
20090612,19.593,20.08,19.593,19.921,2593
20090615,20.1,20.1,18.74,18.74,2124
20090616,18.92,18.92,18.379,18.444,3633
20090617,18.305,18.305,18.305,18.305,154
20090618,18.198,18.198,18.198,18.198,138
20090622,18.702,18.702,17.101,17.491,6658
