Date,Open,High,Low,Close,Volume
20150305,20.94,20.94,20.93,20.93,431
20150401,20.72,20.77,20.72,20.77,1202
20150402,20.64,20.7,20.64,20.7,1922
20150414,20.75,20.77,20.75,20.77,480
20150422,20.82,20.82,20.82,20.82,123
20150424,20.81,20.81,20.77,20.77,582
20150427,20.8,20.8,20.8,20.8,724
20150501,20.53,20.56,20.53,20.56,5393
20150504,20.52,20.65,20.52,20.65,2637
20150513,20.69,20.69,20.69,20.69,240
20150520,20.77,20.77,20.75,20.75,479
20150521,20.74,20.74,20.74,20.74,362
20150529,20.95,20.95,20.55,20.55,240
20150612,20.97,20.97,20.97,20.97,121
20150615,20.66,20.66,20.66,20.66,124
20150616,20.61,20.61,20.61,20.61,241
20150617,20.75,20.75,20.75,20.75,478
20150619,20.57,20.57,20.57,20.57,201
20150624,20.65,20.65,20.65,20.65,119
20150629,20.56,20.56,20.55,20.55,3226
20150715,20.4,20.4,20.35,20.35,1190
20150722,20.49,20.49,20.49,20.49,357
20150807,20.59,20.59,20.59,20.59,119
20150814,20.14,20.14,20.14,20.14,119
20150824,20.08,20.08,20.07,20.07,476
20150910,20.26,20.26,20.26,20.26,474
20150911,20.26,20.26,20.26,20.26,493
20150914,20.23,20.26,20.23,20.26,474
20150915,20.21,20.21,20.21,20.21,770
20150916,20.26,20.27,20.26,20.27,237
20150918,20.28,20.28,20.27,20.27,237
20150921,20.26,20.26,20.26,20.26,493
20150923,20.22,20.26,20.21,20.23,37917
20150924,20.25,20.25,20.18,20.18,27141
20150925,20.15,20.17,20.15,20.16,947
20150928,20.13,20.13,20.09,20.09,1373
20150929,20.02,20.02,20.02,20.02,152
20150930,20.02,20.06,20,20.06,1270
20151001,19.967,20.035,19.959,19.959,1598
20151005,19.933,19.984,19.933,19.984,236
20151007,20.09,20.09,20.08,20.08,388
20151008,20.13,20.14,20.13,20.14,902
20151012,20.08,20.08,20.08,20.08,138
20151013,20.18,20.19,20.15,20.15,1064
20151014,20.12,20.15,20.12,20.15,428
20151015,20.09,20.12,20.09,20.12,1856
20151016,20.1,20.19,20.1,20.19,888
20151019,20.14,20.25,20.14,20.25,2015
20151021,20.2,20.29,20.2,20.29,709
20151022,20.24,20.24,20.22,20.22,905
20151023,20.29,20.45,20.21,20.21,1026
20151027,20.37,20.44,20.31,20.31,502
20151028,20.24,20.36,20.24,20.36,1268
20151029,20.35,20.35,20.33,20.33,310
20151030,20.44,20.44,20.32,20.32,2075
20151102,20.43,20.43,20.24,20.24,877
20151103,20.36,20.41,20.36,20.37,1178
20151104,20.32,20.4,20.32,20.4,485
20151105,20.42,20.45,20.42,20.42,1089
20151106,20.31,20.36,20.31,20.31,10277
20151109,20.47,20.52,20.47,20.52,471
20151110,20.56,20.58,20.56,20.58,1443
20151111,20.53,20.53,20.53,20.53,750
20151112,20.58,20.63,20.5,20.53,6134
20151113,20.57,20.57,20.5,20.5,291
20151116,20.51,20.57,20.47,20.54,2749
20151117,20.49,20.54,20.49,20.54,1766
20151118,20.49,20.57,20.47,20.47,668
20151119,20.6,20.61,20.52,20.6,673
20151120,20.55,20.55,20.55,20.55,190
20151123,20.48,20.58,20.48,20.58,989
20151124,20.52,20.52,20.52,20.52,676
20151125,20.59,20.59,20.55,20.58,3049
20151127,20.56,20.59,20.56,20.59,1983
20151130,20.59,20.63,20.59,20.63,3205
20151201,20.64,20.64,20.53,20.53,234
20151202,20.4,20.4,20.4,20.4,596
20151203,20.33,20.33,20.31,20.33,1767
20151204,20.56,20.56,20.56,20.56,946
20151207,20.45,20.56,20.45,20.56,1820
20151209,20.44,20.44,20.42,20.42,470
20151210,20.61,20.61,20.43,20.44,937
20151211,20.39,20.42,20.39,20.39,1925
20151214,20.32,20.33,20.32,20.33,357
20151215,20.41,20.42,20.35,20.35,951
20151216,20.5,20.5,20.24,20.4,1130
20151217,20.38,20.47,20.22,20.29,4552
20151218,20.37,20.37,20.36,20.36,387
20151221,20.29,20.29,20.22,20.22,234
20151222,20.3,20.46,20.3,20.31,2072
20151223,20.33,20.33,20.33,20.33,287
20151224,20.31,20.31,20.22,20.22,1635
20151228,20.32,20.32,20.32,20.32,351
20151230,20.34,20.35,20.32,20.32,2427
20151231,20.43,20.43,20.43,20.43,633
20160104,20.33,20.33,20.33,20.33,165
20160105,20.32,20.32,20.32,20.32,143
20160106,20.34,20.35,20.32,20.32,1291
20160107,20.29,20.29,20.2,20.2,578
20160108,20.2,20.2,20.2,20.2,183
20160111,20.4,20.41,19.98,19.98,769
20160112,20.26,20.29,20.26,20.29,719
20160113,20.1,20.1,20.03,20.1,1592
20160114,20.11,20.34,20.11,20.34,1492
20160115,19.982,19.982,19.982,19.982,472
20160119,19.837,19.837,19.829,19.829,779
20160120,19.871,19.897,19.624,19.624,1113
20160121,19.675,19.675,19.648,19.648,687
20160122,20.1,20.2,19.692,20.2,2750
20160125,20.26,20.26,19.658,19.658,1000
20160126,19.564,19.76,19.564,19.76,489
20160127,19.692,19.735,19.632,19.632,608
20160128,19.701,19.701,19.701,19.701,342
20160129,19.53,19.667,19.521,19.521,1460
20160201,19.502,19.647,19.502,19.586,7447
20160202,19.622,19.724,19.622,19.716,2336
20160203,19.587,19.587,19.587,19.587,812
20160204,19.51,19.51,19.51,19.51,147
20160205,19.425,19.776,19.425,19.776,4781
20160208,19.63,19.63,19.373,19.373,2292
20160210,19.433,19.724,19.295,19.724,690
20160211,19.253,19.253,19.253,19.253,123
20160212,19.639,19.639,19.639,19.639,117
20160216,19.262,19.262,19.262,19.262,260
20160217,19.202,19.238,19.202,19.238,375
20160218,19.339,19.339,19.339,19.339,144
20160219,19.408,19.836,19.408,19.485,1051
20160222,19.459,19.459,19.459,19.459,238
20160223,19.502,19.502,19.502,19.502,255
20160224,19.493,19.493,19.467,19.467,2075
20160225,19.527,19.545,19.525,19.525,934
20160226,19.545,19.553,19.545,19.553,2481
20160229,19.579,19.622,19.57,19.57,546
20160301,19.536,19.536,19.485,19.495,802
20160302,19.656,19.656,19.624,19.624,1201
