Date,Open,High,Low,Close,Volume
20010827,31.21,31.67,31.21,31.67,1417
20010829,30.38,30.38,30.15,30.15,1961
20010830,29.24,29.24,29.24,29.24,1089
20010831,28.59,28.59,28.59,28.59,109
20010904,28.5,28.69,28.09,28.09,5447
20010905,27.08,27.08,25.75,26.37,3269
20010906,25.7,25.7,24.78,25.11,4576
20010907,24.42,24.83,24.42,24.83,8825
20010910,24.64,24.73,24.44,24.46,2070
20010917,23.41,23.41,23.41,23.41,545
20010918,23.87,23.87,23.55,23.55,1634
20010919,22.64,23.36,22.13,23.36,1744
20010920,22.86,22.99,22.49,22.81,22551
20010924,22.67,22.71,22.67,22.71,2178
20010925,23.18,23.18,23.18,23.18,109
20010926,23.5,23.5,22.17,22.17,7954
20010927,20.99,21.53,20.84,21.53,1308
20010928,23.27,23.27,22.12,22.12,1852
20011001,21.62,21.62,21.43,21.43,1416
20011002,21.56,21.56,21.39,21.39,218
20011003,21.57,23.26,21.57,23.26,1962
20011004,23.41,24.22,22.99,23.13,8064
20011005,22.99,23.91,22.99,23.86,654
20011008,24.74,24.74,24.51,24.51,763
20011009,24.33,24.33,23.46,23.5,5884
20011010,23.87,24.09,23.87,23.87,3269
20011011,25.24,26.39,25.24,26.39,12421
20011012,26.57,27.26,26.35,26.35,2398
20011015,26.8,26.98,26.44,26.98,1416
20011016,27.17,27.68,26.58,27.68,5012
20011017,28.55,28.55,26.76,26.76,8171
20011018,26.39,26.75,26.21,26.25,5666
20011019,26.16,26.76,26.06,26.76,654
20011022,26.48,26.48,26.48,26.48,327
20011023,27.36,27.54,26.99,26.99,7299
20011024,27.4,27.48,27.4,27.48,872
20011025,26.9,28.45,26.62,28.45,15796
20011026,28.27,28.27,28.27,28.27,1089
20011029,27.45,27.45,26.9,26.96,437278
20011030,25.98,26.01,25.71,25.89,8933
20011031,25.98,26.53,25.98,26.53,3377
20011101,26.35,26.99,26.35,26.99,8279
20011102,26.71,26.71,26.71,26.71,1525
20011105,27.81,27.81,27.8,27.8,654
20011106,27.68,27.94,27.68,27.72,2724
20011107,28.09,29.07,28.09,28.32,28107
20011108,29.19,29.47,28.14,28.14,2506
20011109,28.04,28.59,28.04,28.32,13403
20011112,28.23,28.78,28.18,28.78,7299
20011113,29.74,29.97,29.42,29.88,10132
20011114,30.89,31.16,30.29,31.07,6210
20011115,30.75,31.35,30.75,31.03,10024
20011116,31.21,32.04,31.12,32.04,5885
20011119,32.59,33.05,32.4,32.82,15036
20011120,32.5,32.5,31.07,31.07,226048
