Date,Open,High,Low,Close,Volume
20010717,48.84,48.84,48.74,48.74,300
20010718,46.9,46.9,46.61,46.61,200
20010719,45.96,45.96,45.96,45.96,100
20010720,45.09,45.35,45.09,45.35,52100
20010724,44.39,44.8,44.39,44.8,52000
20010725,45.12,45.12,45.12,45.12,5200
20010726,45.91,46.92,45.91,46.92,103900
20010727,47.06,47.64,47.06,47.54,31600
20010730,46.58,46.58,46.58,46.58,300
20010731,46.86,47.45,46.86,47.45,5400
20010801,47.78,48.07,47.06,47.06,21500
20010802,48.46,48.5,47.83,47.83,53400
20010803,47.83,47.83,47.16,47.16,400
20010806,46.68,46.72,46.58,46.58,1100
20010808,45.33,45.71,44.42,44.42,130000
20010809,43.5,43.98,43.5,43.98,600
20010810,43.37,43.37,41.82,42.63,2300
20010814,43.45,43.45,43.45,43.45,200
20010815,42.83,42.83,41.82,41.82,1600
20010816,40.29,41.05,40.29,41.05,203900
20010817,40.18,40.28,40.08,40.08,300
20010821,40.66,40.66,38.74,38.74,105000
20010822,38.59,38.59,38.58,38.59,700
20010823,40.18,40.18,38.83,38.83,1100
20010827,40.47,41.34,40.47,41.34,5300
20010828,40.07,40.07,40.07,40.07,101700
20010829,39.07,39.07,38.79,38.79,7600
20010830,37.16,37.24,37.16,37.24,1400
20010831,37.82,37.82,37.82,37.82,1000
20010905,36.34,36.34,35.85,35.85,1200
20010906,35.32,35.32,34.42,34.5,2400
20010907,34.12,34.54,34.12,34.54,5700
20010910,34.45,34.45,34.45,34.45,200
20010917,32.39,32.99,31.95,31.95,1500
20010918,31.95,31.95,31.66,31.66,500
20010919,29.83,29.83,29.83,29.83,100
20010920,29.53,29.56,29.02,29.02,17400
20010921,28.39,28.39,28.39,28.39,2700
20010924,30.17,30.17,29.69,29.69,600
20010925,30.46,30.46,30.46,30.46,100
20010926,28.15,28.54,28.15,28.39,2700
20010927,27.38,27.38,27.38,27.38,100
20010928,29.02,29.02,28.87,28.87,2100
20011001,28.39,28.39,27.91,28.25,5500
20011002,29.21,29.21,29.21,29.21,700
20011003,29.11,32.48,29.11,32.47,1600
20011004,32.58,34.06,32.58,33.15,32300
20011005,32.29,33.48,31.64,33.35,12700
20011008,33.54,33.73,33.54,33.73,400
20011009,32.53,32.87,32.53,32.82,1500
20011010,33.54,33.64,33.26,33.58,10700
20011011,34.84,36.23,34.84,36.13,6800
20011012,35.27,35.8,34.52,34.52,3300
20011015,35.52,35.89,35.52,35.89,5200
20011016,35.75,36.43,35.57,35.81,5800
20011017,37.15,37.15,34.45,34.45,2500
20011018,34.41,34.94,34.41,34.45,2600
20011022,35.99,36.09,35.95,36.04,4300
20011023,36.43,36.95,35.9,35.9,10200
20011024,36.38,37.39,36.38,37.39,2800
20011025,36.57,36.66,36.43,36.66,4300
20011026,38.5,38.54,37.82,38.02,3100
20011029,37.25,37.29,36.48,36.48,600
20011030,34.94,35.23,34.79,35.18,3500
20011031,35.32,36.09,34.94,35.65,6600
20011101,35.61,36.56,35.61,36.35,1000
20011102,36.23,36.91,36.23,36.91,2600
20011105,37.92,38.35,37.82,38.07,3400
20011106,37.77,39.46,37.77,39.46,600
20011107,39.16,40.59,39.16,39.97,4600
20011108,40.63,40.9,38.74,38.74,5400
20011109,39.46,39.46,39.27,39.27,300
20011112,38.26,39.64,37.98,39.64,8800
20011113,40.66,40.98,40.25,40.25,1253300
20011114,40.71,41.09,40.42,41.09,600
20011115,40.76,41.14,40.57,40.81,3300
20011116,41.05,41.05,40.66,40.76,1100
20011119,41.68,42.27,41.67,42.18,8400
20011120,42.25,42.48,40.82,40.82,4400
20011121,40.42,40.69,39.84,40.22,51600
20011123,40.57,40.97,40.57,40.97,2200
20011126,41.53,42.15,41.28,42.15,456400
20011127,41.86,43.19,41.38,42.59,228100
20011128,42.06,42.35,41.19,41.19,16600
20011129,41.48,42.44,41.48,42.4,2200
20011130,42.54,42.54,41.44,41.44,27700
20011203,41,41.07,40.81,40.81,27200
20011204,41.05,42.01,41.05,42.01,208500
20011205,43.79,45.24,43.79,45.2,219100
20011206,45.04,45.81,44.95,45.23,213400
20011207,44.85,44.92,44.06,44.1,214300
20011210,43.93,44.42,43.79,43.79,7100
20011211,44.61,45.33,44.51,44.51,58000
20011212,44.61,45.18,44.25,45.18,8300
20011213,44.37,44.42,43.55,43.55,9700
20011214,43.58,43.79,42.94,43.78,4100
20011217,43.69,44.58,43.69,43.77,1251700
20011218,45.19,45.78,45.19,45.78,16000
20011219,45.14,45.73,45.14,45.33,3200
20011220,45.09,45.09,43.08,43.12,5300
20011221,43.89,44.13,43.71,43.91,14000
20011224,44.03,44.03,43.5,43.55,2300
20011226,44.2,44.42,43.55,43.74,8000
20011227,44.06,44.07,43.36,43.69,18100
20011228,44.46,44.66,44.3,44.56,57100
20011231,44.66,44.67,43.8,43.8,4200
20020102,44.03,44.16,42.63,43.02,202800
20020103,43.79,45.76,43.74,45.65,4800
20020104,47.16,47.38,46.27,46.68,16100
20020107,47.64,47.64,46.48,46.48,10700
20020108,46.68,47.39,46.68,47.01,5800
20020109,48.26,49.15,47.54,47.54,320700
20020110,47.49,48.01,47.25,47.28,231100
20020111,47.49,47.78,46.97,47.01,8100
20020114,46.58,46.79,45.47,45.87,8600
20020115,46.04,46.1,45.44,46,43500
20020116,45.04,45.43,44.08,44.08,424400
20020117,45.47,45.94,44.86,45.8,9000
20020118,44.27,44.89,44.27,44.32,15400
20020122,45.14,45.15,43.06,43.13,565600
20020123,43.98,45,43.42,44.81,110500
20020124,45.86,46.6,45.86,46.51,325200
20020125,45.52,45.71,45.16,45.62,213300
20020128,45.71,46.16,45.24,45.82,19300
20020129,46.15,46.15,44.5,44.56,212600
20020130,44.26,44.26,42.37,44.03,750000
20020131,44.27,44.61,43.76,44.22,214800
20020201,43.82,44.34,43.82,44.26,2400
20020204,43.4,43.4,42.2,42.2,4100
20020205,42.39,42.39,40.85,40.85,4700
20020206,41.48,41.48,39.8,39.8,7200
20020207,39.99,40.59,39.6,39.65,6500
20020208,39.75,41.09,39.62,41.09,18100
20020211,41.29,41.43,41.24,41.43,1700
20020212,40.77,41.38,40.77,41.38,25400
20020213,41.43,41.53,41.43,41.48,600
20020214,42.27,42.57,41.73,41.77,2400
20020215,41.04,41.04,39.96,40.19,3800
20020219,39.37,39.37,38.05,38.05,59100
20020220,37.49,38.3,37.05,38.3,1600
20020221,37.91,37.91,36.73,36.74,800
20020222,36.66,36.66,35.81,36.43,210000
20020225,36.81,37.97,36.81,37.97,213700
20020226,38.5,38.62,37.97,38.62,4100
20020227,39.12,39.32,37.91,38.06,5700
20020228,37.94,38.25,37.26,37.26,3800
20020301,37.49,39.07,37.49,39.07,638300
20020304,38.59,40.4,38.59,40.4,226400
20020305,40.18,41.14,40.18,40.6,676100
20020306,39.94,40.93,39.55,40.78,117600
20020307,41.62,41.62,40.23,40.52,57500
20020308,41.58,42.34,41.58,41.89,337200
20020311,41.38,43.38,41.38,42.99,117000
20020312,41.86,42.48,41.58,42,215400
20020313,41.57,41.77,40.97,40.97,4500
20020314,41.06,41.06,40.31,40.31,800
20020315,39.91,39.92,39.68,39.68,8200
20020318,40.42,40.61,39.84,40.26,11800
20020319,40.81,41.09,40.47,40.9,13200
20020320,40.18,40.18,39.29,39.29,5500
20020321,39,40.32,38.79,40.32,9400
20020322,39.62,39.71,39.55,39.57,7000
20020325,39.46,39.46,38.45,38.45,4600
20020326,38.26,39.08,38.17,38.28,6200
20020327,38.69,39,38.64,38.83,5900
20020328,39.65,39.99,39.65,39.69,200100
20020401,38.59,39.9,38.59,39.8,5200
20020402,38.11,38.11,37.2,37.2,18200
20020403,37.05,37.23,36.19,36.19,41500
20020404,35.61,35.61,34.86,35.09,58500
20020405,35.75,35.8,34.94,34.98,998100
20020408,34.07,35.86,33.92,35.69,18800
20020409,35.9,35.99,34.54,34.54,11400
20020410,35.13,35.13,33.44,34.63,120700
20020411,33.57,33.57,33,33,114900
20020412,33.83,34.69,33.49,34.47,11300
20020415,34.94,34.94,34.65,34.74,2200
20020416,35.6,36.16,35.6,36.04,20100
20020417,35.37,35.37,34.53,34.53,14500
20020418,34.36,34.62,34.24,34.59,22300
20020419,34.84,34.86,34.53,34.86,6400
20020422,33.78,33.88,33.5,33.88,2600
20020423,33.3,33.54,32.72,32.72,4200
20020424,32.47,32.87,32.24,32.44,5900
20020425,31.76,32.28,31.62,32.28,14400
20020426,32.24,32.42,30.89,30.89,10600
20020429,31.35,31.36,30.51,30.57,5800
20020430,30.9,32,30.9,31.69,7900
20020501,31.52,31.52,30.22,31.04,2800
20020502,31.04,31.04,29.5,29.66,11200
20020503,29.06,29.35,28.82,29.29,14700
20020506,28.73,29.02,28.07,28.07,106100
20020507,28.44,28.44,27.46,27.82,270600
20020508,29.74,31.21,29.46,31.21,144500
20020509,31.04,31.09,29.94,29.94,13400
20020510,30.08,30.08,29.42,29.49,1700
20020513,28.97,30.03,28.97,30.02,19200
20020514,31.71,32,31.47,31.95,55200
20020515,31.57,32.87,31.26,31.63,63300
20020516,31.86,32.39,31.66,31.82,120400
20020517,32.43,32.48,31.81,32.19,78200
20020520,31.52,31.52,30.99,31.33,216000
20020521,31.28,31.28,29.93,29.93,218200
20020522,29.26,30.03,28.99,29.67,1164500
20020523,29.93,30.44,29.53,30.41,742700
20020524,30.12,30.12,29.74,29.97,1354900
20020528,30.03,30.03,29.14,29.62,368900
20020529,28.87,29.16,28.78,28.82,649800
20020530,28.49,29.64,28.49,29.64,632400
20020531,29.64,29.73,29.02,29.02,321700
20020603,28.82,28.82,27.58,27.77,1178300
20020604,27.77,29.11,27.77,28.55,792500
20020605,28.49,28.95,27.89,28.95,1676300
20020606,28.87,28.87,27.91,28.15,1310400
20020607,27.81,28.63,27.58,28.18,12300
20020610,28.49,28.92,28.35,28.49,1101000
20020611,28.54,28.86,27.62,27.62,218400
20020612,26.71,27.77,26.62,27.77,695500
20020613,27.48,28,27.2,27.33,10500
20020614,26.21,27.36,26.21,27.28,1878900
20020617,28.15,28.63,28.12,28.34,28700
20020618,28.49,28.85,28.02,28.38,19400
20020619,27.86,28.25,27.19,27.19,22900
20020620,27.19,27.24,26.56,26.56,525700
20020621,26.48,26.48,25.49,25.55,1408800
20020624,25.02,26.08,24.83,25.99,335700
20020625,26.03,26.03,25.15,25.15,5900
20020626,24.73,25.31,24.73,25.31,421200
20020627,26.23,26.37,25.78,26.37,3900
20020628,26.47,26.73,26.39,26.42,3700
20020701,26.37,26.37,25.02,25.02,4100
20020702,24.4,24.68,24.16,24.2,720800
20020703,24.64,25.26,24.11,25.26,639000
20020705,25.99,26.66,25.89,26.66,189900
20020708,26.71,26.71,25.12,25.2,86100
20020709,25.26,25.26,24.56,24.69,5600
20020710,24.69,24.92,23.8,23.87,7400
20020711,22.96,24.13,22.96,24.13,157200
