Date,Open,High,Low,Close,Volume
20210319,25.091,25.091,25.091,25.091,307
20210322,25.12,25.12,25.12,25.12,148
20210324,25.17,25.17,25.17,25.17,10
20210325,25.19,25.19,25.189,25.189,100
20210326,25.1971,25.1971,25.1971,25.1971,15
20210329,25.19,25.19,25.19,25.19,4
20210330,25.2135,25.2135,25.2135,25.2135,2
20210331,25.21,25.21,25.21,25.21,3
20210401,25.25,25.25,25.25,25.25,3
20210405,25.24,25.24,25.24,25.24,1
20210406,25.26,25.26,25.26,25.26,3
20210408,25.35,25.35,25.35,25.35,1
20210409,25.34,25.34,25.34,25.34,1
20210412,25.34,25.34,25.34,25.34,1
20210413,25.39,25.39,25.39,25.39,2
20210414,25.39,25.39,25.39,25.39,4
20210415,25.4691,25.4691,25.4691,25.4691,4
20210416,25.4457,25.4457,25.4457,25.4457,71
20210421,25.465,25.465,25.465,25.465,1
20210422,25.485,25.485,25.485,25.485,1
20210423,25.49,25.49,25.49,25.49,2
20210426,25.48,25.48,25.48,25.48,2
20210427,25.4972,25.4972,25.4972,25.4972,1
20210428,25.5033,25.5033,25.5033,25.5033,1
20210503,25.44,25.44,25.44,25.44,1
20210507,25.47,25.47,25.47,25.47,2
20210510,25.489,25.49,25.46,25.46,1079
20210511,25.45,25.45,25.45,25.45,1
20210513,25.45,25.45,25.45,25.45,1
20210514,25.46,25.46,25.46,25.46,2
20210518,25.47,25.47,25.47,25.47,3
20210520,25.48,25.48,25.48,25.48,1
20210521,25.4781,25.49,25.4781,25.49,295
20210525,25.53,25.53,25.53,25.53,1
20210526,25.55,25.55,25.55,25.55,1
20210527,25.56,25.56,25.5453,25.5453,261
20210528,25.55,25.55,25.55,25.55,3
20210601,25.54,25.54,25.54,25.54,1
20210603,25.55,25.55,25.55,25.55,1
20210604,25.59,25.59,25.59,25.59,1
20210609,25.66,25.66,25.66,25.66,2
20210610,25.7,25.7,25.7,25.7,1
20210614,25.675,25.675,25.675,25.675,1
20210615,25.68,25.68,25.68,25.68,3
20210617,25.6601,25.6601,25.6601,25.6601,1
20210618,25.63,25.63,25.63,25.63,1
20210621,25.6,25.6,25.6,25.6,2
20210622,25.5904,25.5904,25.5904,25.5904,31
20210623,25.56,25.56,25.56,25.56,1
20210625,25.57,25.67,25.57,25.57,14539
20210628,25.6,25.6,25.6,25.6,2
20210701,25.62,25.62,25.61,25.61,102
20210702,25.66,25.67,25.645,25.645,2657
20210706,25.68,25.68,25.68,25.68,7
20210708,25.74,25.76,25.74,25.74,1072
20210709,25.71,25.71,25.71,25.71,5
20210712,25.73,25.73,25.73,25.73,2
20210713,25.715,25.725,25.715,25.725,1078
20210714,25.76,25.76,25.745,25.745,1073
20210715,25.755,25.755,25.755,25.755,3
20210716,25.775,25.775,25.775,25.775,1
20210719,25.84,25.84,25.815,25.815,783
20210720,25.8,25.8,25.8,25.8,5
20210721,25.81,25.81,25.785,25.785,550
20210722,25.81,25.81,25.8,25.8,62154
20210723,25.7999,25.7999,25.785,25.785,302
20210726,25.78,25.78,25.78,25.78,92
20210727,25.8,25.8,25.8,25.8,1
20210730,25.82,25.82,25.82,25.82,4
20210802,25.785,25.785,25.785,25.785,1
20210804,25.75,25.8,25.75,25.8,200
20210806,25.775,25.775,25.775,25.775,1
20210809,25.775,25.775,25.775,25.775,6
20210810,25.765,25.765,25.765,25.765,2
