Date,Open,High,Low,Close,Volume
20150716,24.95,25.01,24.93,24.98,6828
20150717,25.04,25.04,24.93,25.01,11762
20150720,25.19,25.34,25.15,25.27,12788
20150721,25.26,25.32,25.14,25.14,8953
20150722,25.14,25.23,25.11,25.14,4290
20150723,25.12,25.12,24.71,24.74,9908
20150724,24.5,24.89,24.46,24.65,3541
20150727,24.35,24.4,24.29,24.3,3780
20150728,24.45,24.51,24.32,24.51,4951
20150729,24.76,24.88,24.6,24.88,12490
20150730,25.15,25.15,24.69,24.94,11115
20150731,25.14,25.27,25.14,25.17,22921
20150803,25.34,25.41,24.94,24.95,54483
20150804,25.39,25.39,25.14,25.15,9474
20150805,25.39,25.39,25.18,25.18,4581
20150806,25.44,25.44,24.96,25,5287
20150807,24.85,25.06,24.8,25.03,2417
20150810,25.4,26.67,25.1,25.28,6042
20150811,25.39,25.39,25.07,25.11,9514
20150812,25.14,25.14,24.65,25.05,9139
20150813,25.28,25.28,24.99,25.06,6644
20150814,25.19,25.24,25.19,25.23,404
20150817,25.37,25.37,25.01,25.28,12240
20150818,25.56,25.56,25.31,25.35,6972
20150819,25.47,25.47,24.98,25.09,5634
20150820,25.43,25.43,24.59,24.59,6192
20150821,24.45,24.45,24.07,24.12,4924
20150824,22.82,23.51,14.599,22.92,5679
20150825,24.57,24.57,23.27,23.27,1513
20150826,23.21,23.54,23.04,23.5,4745
20150827,24.07,24.07,23.71,23.95,7382
20150828,23.98,23.99,23.91,23.91,886
20150831,23.95,23.98,23.73,23.83,3841
20150901,23.32,23.4,22.95,23.06,4353
20150902,23.05,23.18,23.05,23.17,1007
20150903,23.74,23.74,23.69,23.69,599
20150904,23.28,23.28,23.2,23.2,446
20150908,23.46,23.81,23.46,23.78,4387
20150909,24.14,24.14,23.51,23.51,1525
20150910,23.78,23.78,23.57,23.58,2680
20150911,23.7,23.7,23.7,23.7,278
20150914,24.02,24.02,23.63,23.63,1164
20150915,23.68,23.93,23.68,23.93,1691
20150916,24,24.07,23.89,24.07,2214
20150917,24.31,24.31,24.04,24.04,2927
20150921,24.2,24.2,24,24.05,3301
20150922,23.67,23.67,23.62,23.62,293
20150923,23.7,23.7,23.7,23.7,101
20150924,23.6,23.6,23.55,23.55,1465
20150925,23.68,23.68,23.68,23.68,304
20150928,23.03,23.03,22.9,22.9,1109
20150929,22.83,22.85,22.83,22.85,260
20150930,23.04,23.04,23.04,23.04,202
20151001,23.48,23.48,23.27,23.33,520
20151002,23.16,23.46,23.05,23.46,531
20151005,24.09,24.12,24.09,24.12,213
20151006,24.51,24.51,22.88,24.03,802
20151007,24.22,24.27,24.22,24.27,415
20151008,24.44,24.59,24.3,24.59,4454
20151009,24.59,24.59,24.59,24.59,167
20151012,24.72,24.72,24.72,24.72,673
20151013,24.71,24.71,24.68,24.71,1097
20151014,24.66,24.66,24.36,24.36,612
20151015,24.56,24.56,24.51,24.51,1259
20151016,24.76,24.78,24.73,24.78,1469
20151019,24.93,24.98,24.79,24.96,4776
20151020,25.05,25.05,24.92,24.94,2791
20151021,25.3,25.3,24.66,24.66,5221
20151022,24.9,25.09,24.9,25.09,3052
20151023,25.08,25.24,25.08,25.2,1190
20151026,25.37,25.37,25.12,25.25,12966
20151027,25.42,25.42,24.91,24.91,7744
20151028,25.09,25.55,24.99,25.55,12189
20151029,25.84,25.84,25.32,25.34,9587
20151030,25.42,25.45,25.37,25.38,20461
20151102,25.71,25.71,25.29,25.46,5134
20151103,25.64,25.64,25.36,25.41,5684
20151104,25.76,25.76,25.31,25.31,5313
20151105,26.6,26.6,25.37,25.45,21794
20151106,25.53,25.53,25.5,25.51,3689
20151109,25.77,25.77,25.15,25.27,11173
20151110,25.34,25.36,25.21,25.36,5361
20151111,25.56,25.58,25.38,25.38,3333
20151112,25.43,25.43,25.16,25.16,2381
20151113,24.99,24.99,24.64,24.64,2836
20151116,24.7,24.74,24.66,24.74,921
20151117,25.16,25.16,25.02,25.04,2811
20151118,25.16,25.33,25.09,25.33,3075
20151119,25.48,25.48,25.28,25.29,3544
20151120,25.63,25.63,25.3,25.37,4815
20151123,25.65,25.65,25.34,25.38,4603
20151124,25.43,25.43,25,25.23,9173
20151125,25.32,25.35,25.29,25.35,2896
20151127,25.62,25.62,25.3,25.31,11225
20151130,25.51,26.44,25.26,25.27,3898
20151201,25.39,25.47,25.31,25.43,5842
20151202,25.5,25.5,25.23,25.24,4779
20151203,25.44,25.44,24.84,24.84,1405
20151204,25.17,25.24,25,25.24,11707
20151207,25.36,25.36,24.94,24.96,1461
20151208,24.69,24.93,24.69,24.93,400
20151209,24.93,25.03,24.69,24.69,3972
20151210,24.85,25.14,24.85,25.14,759
20151211,24.63,24.63,24.3,24.3,2105
20151214,24.18,24.4,24.18,24.2,649
20151215,24.85,24.85,24.73,24.75,637
20151216,25.18,25.18,24.69,24.88,800
20151217,25.04,25.04,24.73,24.73,6430
20151218,24.31,24.31,24.04,24.04,974
20151221,24.31,25.46,24.15,24.16,23897
20151222,24.45,24.61,24.19,24.44,3076
20151223,24.64,24.7,24.56,24.7,1328
20151224,24.5,24.5,24.5,24.5,506
20151228,24.67,24.67,24.55,24.55,3319
20151229,24.69,24.75,24.67,24.75,5140
20151230,24.71,24.71,24.59,24.59,334
20151231,24.6,24.6,24.3,24.3,4531
20160104,23.71,23.71,23.56,23.69,4162
20160105,23.86,23.86,23.79,23.79,10857
20160106,23.6,23.6,23.47,23.47,395
20160107,23.23,23.23,23,23,1445
20160108,23.02,23.05,22.65,22.66,2126
20160111,22.64,23.28,22.64,22.67,585
20160112,22.73,22.73,22.42,22.42,1285
20160113,22.95,22.95,22.19,22.19,861
