Date,Open,High,Low,Close,Volume
20160407,22.02,22.02,21.99,21.99,235
20160408,21.99,21.99,21.99,21.99,11
20160411,21.99,21.99,21.99,21.99,11
20160412,21.99,21.99,21.99,21.99,11
20160413,21.99,21.99,21.99,21.99,11
20160414,22.76,22.76,22.76,22.76,236
20160415,22.71,22.71,22.71,22.71,236
20160418,22.71,22.71,22.71,22.71,11
20160419,22.71,22.71,22.71,22.71,11
20160420,23.36,23.36,23.36,23.36,123
20160421,23.05,23.05,22.94,23,910
20160422,22.99,22.99,22.99,22.99,11
20160425,22.85,22.85,22.85,22.85,446
20160426,22.85,22.85,22.85,22.85,11
20160427,22.85,22.85,22.85,22.85,11
20160428,22.79,22.79,22.78,22.78,461
20160429,22.73,22.73,22.59,22.67,3867
20160502,23.02,23.02,22.96,23.02,5520
20160503,22.9,22.9,22.7,22.7,1080
20160504,22.53,22.53,22.53,22.53,236
20160505,22.51,22.51,22.44,22.44,1342
20160506,22.42,22.47,22.41,22.47,685
20160509,22.59,22.59,22.59,22.59,7318
20160510,22.59,22.59,22.59,22.59,11
20160511,22.71,22.71,22.71,22.71,221
20160512,22.68,22.68,22.68,22.68,1135
20160513,22.52,22.52,22.51,22.51,798
20160516,22.56,22.63,22.56,22.63,911
20160517,22.63,22.63,22.63,22.63,11
20160518,22.58,22.58,22.58,22.58,123
20160519,22.58,22.58,22.58,22.58,11
20160520,22.58,22.58,22.58,22.58,11
20160523,22.47,22.47,22.46,22.46,910
20160524,22.46,22.46,22.46,22.46,11
20160525,22.46,22.46,22.46,22.46,11
20160526,22.46,22.46,22.46,22.46,11
20160527,22.92,22.93,22.92,22.92,5633
20160531,22.92,22.92,22.92,22.92,11
20160601,22.92,22.92,22.92,22.92,11
20160602,22.8,22.8,22.79,22.8,8554
20160603,22.88,22.88,22.88,22.88,798
20160606,23.2,23.2,23.2,23.2,123
20160607,23.2,23.2,23.2,23.2,11
20160608,23.41,23.41,23.36,23.36,1810
20160609,23.1,23.1,23.1,23.1,123
20160610,22.6,22.6,22.6,22.6,123
20160613,22.27,22.27,22.27,22.27,123
20160614,21.72,21.72,21.72,21.72,461
20160615,21.99,21.99,21.99,21.99,348
20160616,21.99,21.99,21.99,21.99,11
20160617,21.99,21.99,21.99,21.99,11
20160620,21.99,21.99,21.99,21.99,11
20160621,21.99,21.99,21.99,21.99,11
20160622,22.9,22.9,22.89,22.9,1462
20160623,22.9,22.9,22.9,22.9,11
20160624,21.63,21.87,21.33,21.33,2690
20160627,21.15,21.15,20.78,20.84,8384
20160628,21.05,21.05,21.05,21.05,123
20160629,21.05,21.05,21.05,21.05,11
20160630,22.02,22.02,22.02,22.02,123
20160701,22.29,22.3,22.27,22.27,2802
20160705,21.9,21.9,21.83,21.83,457
20160706,21.64,21.64,21.64,21.64,123
20160707,21.64,21.64,21.64,21.64,11
20160708,21.64,21.64,21.64,21.64,11
20160711,22.27,22.27,22.27,22.27,681
20160712,22.46,22.46,22.46,22.46,569
20160713,22.5,22.5,22.5,22.5,235
20160714,22.5,22.5,22.5,22.5,11
20160715,22.44,22.44,22.44,22.44,457
20160718,22.44,22.44,22.44,22.44,11
20160719,22.44,22.44,22.44,22.44,11
20160720,22.44,22.44,22.44,22.44,11
20160721,22.5,22.52,22.49,22.51,1040
20160722,22.48,22.48,22.48,22.48,123
20160725,22.55,22.55,22.53,22.54,459
20160726,22.65,22.65,22.65,22.65,457
20160727,22.65,22.65,22.65,22.65,11
20160728,22.85,22.85,22.76,22.85,861
20160729,23.06,23.06,23.06,23.06,1574
20160801,23.06,23.06,23.06,23.06,11
20160802,22.83,22.84,22.83,22.84,458
20160803,22.84,22.84,22.84,22.84,11
20160804,22.84,22.84,22.84,22.84,11
20160805,22.66,22.7,22.65,22.7,1127
20160808,22.7,22.7,22.7,22.7,11
20160809,22.76,22.81,22.76,22.78,570
20160810,22.78,22.78,22.78,22.78,11
20160811,23.09,23.09,23.09,23.09,457
20160812,23.09,23.09,23.09,23.09,11
20160815,23.09,23.09,23.09,23.09,11
20160816,23.13,23.13,23.09,23.09,904
20160817,23.03,23.03,23.03,23.03,664
20160818,23.11,23.11,23.1,23.1,1080
20160819,22.91,22.91,22.91,22.91,123
20160822,23.03,23.03,23.03,23.03,229
20160823,23.22,23.22,23.21,23.21,346
20160824,23.08,23.08,23.04,23.08,1168
20160825,23.03,23.03,23.03,23.03,123
20160826,23.03,23.03,23.03,23.03,11
20160829,23.03,23.03,23.03,23.03,11
20160830,22.79,22.79,22.75,22.79,5196
20160831,22.66,22.7,22.58,22.66,6360
20160901,22.73,22.79,22.73,22.79,1269
20160902,22.93,23.04,22.93,23.04,235
20160906,23.18,23.18,23.18,23.18,1239
20160907,23.23,23.23,23.22,23.23,661
20160908,23.19,23.19,23.18,23.18,616
20160909,22.89,22.89,22.7,22.7,1798
20160912,22.7,22.7,22.7,22.7,11
20160913,22.68,22.68,22.68,22.68,123
20160914,22.54,22.58,22.51,22.54,1452
20160915,22.54,22.54,22.54,22.54,11
20160916,22.48,22.48,22.46,22.46,235
20160919,22.46,22.46,22.46,22.46,11
20160920,22.46,22.46,22.46,22.46,11
20160921,22.46,22.46,22.46,22.46,11
20160922,22.46,22.46,22.46,22.46,11
20160923,22.46,22.46,22.46,22.46,11
20160926,22.53,22.53,22.53,22.53,11
20160927,22.53,22.53,22.53,22.53,11
20160928,23.1,23.1,23.1,23.1,11
20160929,22.91,22.91,22.69,22.77,998
20160930,22.92,22.92,22.92,22.92,230
20161003,22.92,22.92,22.92,22.92,11
20161004,22.78,22.78,22.76,22.76,910
20161005,22.82,22.84,22.82,22.83,5345
20161006,22.59,22.63,22.59,22.62,1561
20161007,22.38,22.39,22.38,22.39,453
20161010,22.39,22.39,22.39,22.39,11
20161011,22.16,22.16,22.16,22.16,386
20161012,22.08,22.08,22.08,22.08,172
20161013,21.72,22.05,21.72,22.05,1345
20161014,22.05,22.06,22.05,22.06,601
20161017,21.87,21.91,21.87,21.88,1087
20161018,22.13,22.15,22.13,22.15,233
20161019,22.25,22.27,22.25,22.27,6765
20161020,22.27,22.27,22.27,22.27,11
20161021,22.27,22.27,22.27,22.27,11
20161024,22.07,22.07,22.02,22.04,928
20161025,21.96,21.98,21.94,21.97,3956
20161026,21.97,21.97,21.97,21.97,11
20161027,21.98,21.98,21.98,21.98,11
20161028,21.75,21.75,21.75,21.75,234
20161031,21.7,21.77,21.69,21.76,1401
20161101,21.68,21.68,21.68,21.68,150
