Date,Open,High,Low,Close,Volume
20180914,25.15,25.25,25.15,25.25,300
20180918,25.9,25.9,25.9,25.9,200
20181001,25.89,25.89,25.89,25.89,136
20181011,24.85,24.85,24.3,24.3,900
20181016,24.67,24.67,24.67,24.67,300
20181024,23.7,23.7,23.7,23.7,100
20181026,23.69,23.69,23.25,23.45,300
20181031,23.81,23.83,23.81,23.83,700
20181106,24.06,24.06,24.06,24.06,100
20181120,23.51,23.51,23.37,23.37,600
20181211,23.25,23.25,23.25,23.25,200
20181220,22.75,22.75,22.75,22.75,100
20181224,22.25,22.25,22.25,22.25,200
20190104,22.75,22.75,22.75,22.75,100
20190108,22.75,22.75,22.75,22.75,100
20190109,22.75,22.75,22.75,22.75,100
20190110,22.75,22.75,22.75,22.75,100
20190111,22.75,22.75,22.75,22.75,100
20190114,22.75,22.75,22.5,22.5,200
20190115,22.75,22.75,22.75,22.75,100
20190116,22.75,22.75,22.75,22.75,100
20190117,22.75,22.75,22.75,22.75,100
20190118,22.75,22.75,22.75,22.75,100
20190122,22.75,22.75,22.75,22.75,100
20190123,22.75,23.52,22.75,23.43,300
20190125,22.75,22.75,22.75,22.75,100
20190315,24.6,24.75,24.6,24.75,400
20190319,24.75,24.85,24.75,24.85,1100
20190401,24.849,24.849,24.849,24.849,375
20190411,25.13,25.13,25.13,25.13,100
20190415,25.14,25.15,25.14,25.15,300
20190501,25.06,25.06,25.06,25.06,1602
20190502,24.88,24.94,24.81,24.94,64075
20190503,25.04,25.04,25.0286,25.0286,755
20190506,24.67,24.75,24.67,24.75,572
20190509,24.135,24.135,24.135,24.135,102
20190510,24.17,24.34,24.17,24.34,7299
20190517,24.31,24.31,24.31,24.31,8424
20190520,24.16,24.19,24.16,24.19,1000
20190522,24.21,24.21,24.21,24.21,5286
20190523,24.05,24.05,23.88,23.88,300
20190524,24.12,24.12,24.12,24.12,200
20190528,24.19,24.19,24.03,24.03,2200
20190603,23.88,23.88,23.88,23.88,129
20190604,24.18,24.18,24.18,24.18,131
20190610,24.67,24.67,24.65,24.65,6406
20190611,24.76,24.76,24.76,24.76,3043
20190613,24.58,24.834,24.58,24.834,6261
20190614,24.59,24.59,24.49,24.49,9111
20190617,24.49,24.49,24.46,24.46,8117
20190618,24.72,24.83,24.72,24.83,7393
20190619,24.81,24.81,24.8,24.8,5719
20190620,25.17,25.17,25.04,25.11,62116
