Date,Open,High,Low,Close,Volume
20141217,21.14,21.34,21.12,21.27,16019
20141218,21.55,21.64,21.49,21.63,12929
20141219,21.66,21.71,21.55,21.55,11835
20141222,21.6,21.62,21.57,21.6,14826
20141223,21.59,21.62,21.55,21.58,9610
20141224,22.69,26.26,21.56,21.62,5832
20141226,21.71,21.73,21.71,21.73,1605
20141229,21.51,21.55,21.49,21.5,47610
20141230,21.47,21.47,21.42,21.42,5019
20141231,21.48,21.48,21.31,21.34,9313
20150102,21.34,21.34,21.25,21.25,10329
20150105,21.12,21.15,20.85,20.91,18943
20150106,20.85,20.85,20.59,20.73,16376
20150107,20.84,20.89,20.79,20.88,25809
20150108,21.04,21.18,21.01,21.01,11008
20150109,20.99,20.99,20.87,20.91,4404
20150112,20.88,20.88,20.66,20.74,4331
20150113,21.11,21.15,21.11,21.15,17268
20150114,20.84,20.87,20.83,20.84,12462
20150115,21.05,21.07,21.05,21.05,2271
20150116,21.05,21.29,21.05,21.29,663
20150120,21.48,21.48,21.05,21.18,14529
20150121,21.23,21.28,21.16,21.27,4613
20150122,21.31,21.44,21.31,21.39,46138
20150123,21.39,21.39,21.23,21.23,33332
20150126,21.28,21.49,21.28,21.38,2517
20150127,21.49,21.55,21.48,21.52,20316
20150128,21.4,21.41,21.33,21.33,2558
20150129,21.36,21.41,21.34,21.41,1776
20150130,21.39,21.39,21.39,21.39,168
20150202,21.45,21.62,21.45,21.62,2175
20150203,21.85,21.85,21.85,21.85,118
20150204,21.85,21.92,21.83,21.83,1250
20150205,22,22,21.99,21.99,709
20150206,21.81,21.81,21.75,21.78,1594
20150209,21.73,21.73,21.62,21.62,2162
20150210,21.62,21.72,21.62,21.72,52538
20150211,21.56,21.57,21.49,21.57,2205
20150212,21.64,21.87,21.61,21.87,5978
20150213,22.1,22.1,21.92,22.05,10567
20150217,22.24,22.32,22.24,22.31,5982
20150218,22.5,22.62,22.48,22.6,13685
20150219,22.55,22.61,22.55,22.58,6542
20150220,22.7,22.76,22.7,22.73,3789
20150223,22.89,22.89,22.51,22.57,4726
20150224,22.53,22.53,22.51,22.51,2131
20150225,23.08,23.08,22.51,22.64,5961
20150226,22.88,22.88,22.55,22.55,3965
20150227,22.51,22.59,22.51,22.57,2364
20150302,22.59,22.64,22.57,22.64,35976
20150303,22.65,22.65,22.56,22.62,7129
20150304,22.5,22.51,22.48,22.48,6488
20150305,22.59,22.6,22.49,22.49,17124
20150306,22.43,22.43,22.26,22.3,7877
20150310,22.18,22.18,22.03,22.03,1397
20150311,22.03,22.07,22,22.07,3375
20150312,22.37,22.37,22.21,22.25,7340
20150316,22.25,22.25,22.25,22.25,237
20150317,22.12,22.12,22.12,22.12,237
20150318,22.17,22.17,22.17,22.17,531
20150319,22.31,22.31,22.29,22.29,7323
20150320,22.76,22.79,22.71,22.72,16655
20150323,23.34,23.34,22.87,22.97,880
20150324,22.95,22.96,22.83,22.83,2715
20150325,22.89,22.92,22.83,22.86,7677
20150326,22.62,22.71,22.61,22.65,1888
20150327,22.63,22.63,22.63,22.63,356
20150330,22.69,22.69,22.57,22.67,1251
20150331,22.4,22.44,22.4,22.44,3983
20150401,22.36,22.38,22.16,22.2,32490
20150402,22.4,22.51,22.38,22.5,5044
20150406,22.83,22.85,22.76,22.82,3642
20150407,22.87,22.94,22.87,22.89,9406
20150408,22.98,22.98,22.94,22.94,453
20150409,23.41,23.41,22.83,22.92,1807
20150410,22.89,22.91,22.82,22.9,2236
20150413,22.73,22.78,22.73,22.75,708
20150414,22.9,22.98,22.9,22.91,950
20150415,23.06,23.15,22.99,23.15,7368
20150416,23.27,23.33,23.21,23.29,6221
20150417,23.2,23.2,22.93,23.07,8395
20150420,23.04,23.06,22.99,23.01,5135
20150421,23.14,23.19,23.13,23.13,1434
20150422,23.13,23.22,23.1,23.22,20536
20150423,23.2,23.4,23.17,23.4,9390
20150424,23.45,23.58,23.45,23.58,1714
20150427,23.73,23.73,23.73,23.73,152
20150428,23.69,23.74,23.67,23.74,6283
20150429,23.66,23.66,23.5,23.58,8846
20150430,23.5,23.5,23.42,23.45,13447
20150501,23.49,23.64,23.47,23.64,39460
20150504,23.71,23.71,23.51,23.51,4118
20150505,23.49,23.49,23.28,23.29,6028
20150506,23.33,23.36,23.28,23.32,6961
20150507,23.34,23.37,23.34,23.37,944
20150508,23.54,23.64,23.53,23.64,1422
20150511,23.48,23.66,23.48,23.66,248
20150512,23.66,23.73,23.63,23.71,7095
20150513,24.05,24.06,23.94,24.06,4142
20150514,24.24,24.24,24.06,24.07,9776
20150515,24.07,24.07,23.99,24.07,4034
20150518,23.81,24.14,23.81,24.1,6659
20150519,23.88,23.89,23.85,23.86,4428
20150520,23.8,23.89,23.77,23.86,24119
20150521,23.86,23.95,23.84,23.93,1890
20150522,23.94,23.98,23.86,23.86,4376
20150526,23.9,23.9,23.59,23.59,12160
20150527,23.6,23.72,23.58,23.72,7177
20150528,23.74,23.99,23.47,23.63,7384
20150529,23.49,23.49,23.47,23.47,1671
20150601,23.58,23.59,23.52,23.52,3881
20150602,23.72,23.73,23.69,23.72,2243
20150603,23.78,23.78,23.71,23.76,12059
20150604,23.67,23.68,23.46,23.46,12158
20150605,23.2,23.46,23.2,23.39,5329
20150608,23.66,23.66,23.18,23.33,21667
20150609,23.16,23.19,23.14,23.15,7563
20150610,23.52,23.54,23.49,23.49,885
20150611,23.57,23.61,23.57,23.6,2632
20150612,23.45,23.5,23.41,23.5,1653
20150615,23.4,23.4,23.29,23.35,1172
20150616,23.28,23.29,23.16,23.16,3103
20150617,23.33,23.35,23.03,23.06,7907
20150618,23.01,23.26,23.01,23.23,3014
20150619,23.68,23.68,23.37,23.41,49795
20150622,23.73,23.73,23.57,23.61,29254
20150623,23.68,24,23.65,23.97,10225
20150624,23.76,23.76,23.39,23.39,14128
20150625,23.3,23.3,23.23,23.26,8949
20150626,23.21,23.21,23.03,23.1,11559
20150629,23.01,23.04,22.63,22.63,12714
20150630,22.64,22.72,22.63,22.72,10178
20150701,22.71,22.75,22.52,22.66,35425
20150702,22.63,22.63,22.52,22.52,56500
20150706,22.19,22.42,20.35,22.31,36149
20150707,22.11,22.11,21.9,22.05,10084
20150708,21.73,21.73,21.6,21.6,5571
20150709,21.71,21.74,21.71,21.74,3321
20150710,22.1,22.1,21.99,21.99,3574
20150713,22.19,22.19,22.03,22.06,4523
20150714,22.28,22.31,22.25,22.25,5831
20150715,22.25,22.26,22.16,22.16,855
20150716,22.28,22.54,22.28,22.49,16538
20150717,22.49,22.49,22.29,22.38,4814
20150720,22.41,22.47,22.28,22.28,4355
20150721,22.42,22.42,22.42,22.42,586
20150722,22.28,22.36,22.24,22.29,9647
20150723,22.28,22.28,22.19,22.19,468
20150724,22.16,22.16,21.83,21.83,3694
20150727,21.88,21.88,21.71,21.71,3973
20150728,21.81,21.82,21.77,21.77,1493
20150729,22.01,22.1,22.01,22.1,359
20150731,22.08,22.24,22.08,22.24,691
20150803,22.24,22.32,22.01,22.05,14824
20150804,21.99,22.13,21.98,21.98,2702
20150805,22.32,22.35,22.19,22.29,126845
20150806,22.19,22.19,22.05,22.05,13671
20150807,22.01,22.05,21.99,22.05,2194
20150810,22.24,22.24,22.24,22.24,702
20150811,22.12,22.12,22.12,22.12,2108
20150812,21.97,21.97,21.55,21.86,1396
20150813,21.95,21.96,21.95,21.96,8050
20150814,21.93,22.06,21.93,22.06,19213
20150817,21.78,21.88,21.69,21.84,2403
20150818,21.72,21.72,21.67,21.67,2519
20150819,21.55,21.55,21.52,21.52,2081
20150820,21.38,21.38,21.14,21.14,10028
20150821,20.92,21.1,20.83,20.85,13225
20150824,20.55,20.55,18.791,19.975,7046
20150825,20.45,20.45,19.98,19.98,9103
20150826,20.55,20.65,20.35,20.64,10821
20150827,20.78,20.98,20.78,20.9,17141
20150828,20.96,21.11,20.94,21.11,1852
20150831,20.81,20.95,20.79,20.79,4184
20150901,20.29,20.31,19.932,19.932,119982
20150902,20.21,20.21,20.16,20.19,18527
20150903,20.27,20.4,20.27,20.27,13642
20150904,20.05,20.15,19.787,19.787,6462
20150908,20.3,20.4,20.3,20.39,9295
20150909,20.49,20.61,20.48,20.49,6539
20150910,20.54,20.54,20.54,20.54,234
20150911,20.38,20.45,20.32,20.45,901
20150914,20.4,20.4,20.32,20.36,5489
20150915,20.44,20.5,20.44,20.5,6783
20150916,20.68,20.92,20.68,20.92,1829
20150917,20.84,20.84,20.84,20.84,1093
20150918,20.7,20.7,20.7,20.7,117
20150921,20.38,20.38,20.38,20.38,261
20150923,20.03,20.04,19.957,19.957,19406
20150924,19.631,19.768,19.623,19.746,818
20150925,19.769,19.983,19.769,19.931,2888
20150928,19.64,19.76,19.521,19.529,2987
20150929,19.394,19.421,19.367,19.379,2549
20150930,19.727,19.727,19.727,19.727,117
20151001,19.897,20.1,19.794,19.803,36787
20151005,20.56,20.87,20.56,20.87,1812
20151006,20.89,20.98,20.65,20.66,4639
20151007,20.97,21.06,20.96,20.97,706
20151008,21.07,21.21,21.07,21.21,1522
20151009,21.54,21.54,21.38,21.39,1005
20151012,21.4,21.4,21.4,21.4,263
20151013,21.29,21.29,21.29,21.29,234
20151016,21.34,21.34,21.34,21.34,117
20151019,21.28,21.3,21.12,21.28,5335
20151020,21.14,21.14,21.14,21.14,781
20151021,21.25,21.43,21.25,21.36,2220
20151022,21.42,21.45,21.42,21.45,234
20151023,21.56,21.87,21.56,21.65,5046
20151026,21.61,21.64,21.61,21.64,351
20151028,21.64,21.64,21.64,21.64,115
20151029,21.39,21.45,21.39,21.45,414
20151030,21.23,21.41,21.23,21.37,2454
20151102,21.51,21.61,21.51,21.53,3824
20151103,21.53,21.58,21.53,21.56,4241
20151104,21.48,21.48,21.39,21.44,59624
20151106,21.31,21.39,21.31,21.32,5579
20151109,21.14,21.17,21.14,21.17,456
20151110,20.99,20.99,20.97,20.97,2240
20151116,20.84,20.96,20.84,20.96,234
20151117,20.98,21.05,20.98,20.98,1203
20151119,21.19,21.19,21.19,21.19,234
20151123,21.1,21.1,21.1,21.1,1449
20151124,20.95,21.06,20.95,21.06,386
20151125,21.12,21.12,21.07,21.11,2147
20151127,21.11,21.11,21.1,21.1,5960
20151130,21.1,21.1,21.06,21.06,3825
20151201,21.27,21.47,21.27,21.47,3530
20151202,21.37,21.37,21.37,21.37,3038
20151204,21.28,21.47,21.28,21.33,664
20151207,21.2,21.2,21.14,21.14,874
20151208,20.92,20.92,20.82,20.85,2360
20151209,20.94,20.94,20.88,20.88,865
20151210,20.98,21.01,20.97,20.97,2999
20151211,20.54,20.54,20.44,20.44,6007
20151214,20.39,20.39,20.27,20.27,1140
20151215,20.33,20.54,20.27,20.53,2673
20151216,20.54,20.8,20.54,20.8,2277
20151217,20.71,20.71,20.52,20.54,2080
20151218,20.27,20.27,20.27,20.27,935
20151221,20.29,20.45,20.19,20.19,1761
20151222,20.39,20.4,20.39,20.39,1169
20151223,20.8,20.82,20.72,20.72,1099
20151224,20.72,20.72,20.72,20.72,220
20151228,20.74,20.74,20.71,20.71,4211
20151229,20.76,20.96,20.75,20.81,12437
20151230,20.68,20.7,20.67,20.67,2327
20151231,20.85,20.85,19.921,20.58,1702
20160104,20.26,20.43,20.09,20.43,126210
20160105,20.41,20.42,20.23,20.23,9276
20160106,19.92,19.92,19.782,19.782,2908
20160107,19.498,20.031,19.387,19.421,2878
20160108,19.378,19.378,19.327,19.327,2094
20160111,19.524,19.524,19.361,19.429,1215
20160112,19.275,19.404,19.129,19.271,5484
20160113,19.447,19.447,19.447,19.447,233
20160114,19.37,19.438,19.37,19.438,2792
20160115,18.854,18.854,18.596,18.596,2892
20160119,19.017,19.206,19.009,19.065,88128
20160120,18.673,18.673,18.218,18.596,95353
20160121,18.502,18.771,18.416,18.631,2676
20160122,19.275,19.284,19.267,19.267,466
20160126,19.12,19.266,19.12,19.215,3905
20160129,19.327,19.345,19.318,19.327,10021
20160201,19.567,19.696,19.361,19.696,21521
20160202,19.215,19.215,19.017,19.017,29730
20160203,18.991,19.155,18.966,19.155,643
20160204,19.184,19.184,19.12,19.12,829
20160205,18.82,18.82,18.82,18.82,126
20160208,18.609,18.639,18.532,18.639,2974
20160209,18.244,18.304,18.201,18.287,25357
20160210,18.321,18.321,18.244,18.244,288
20160211,17.703,17.943,17.702,17.874,2552
20160212,17.788,17.96,17.659,17.96,1405
20160216,18.295,18.476,18.295,18.476,912
