Date,Open,High,Low,Close,Volume
20000526,34.33,34.47,34.14,34.47,101849
20000530,34.97,35.75,34.97,35.75,76387
20000531,35.86,36.34,35.86,35.88,47740
20000601,36.61,36.69,36.61,36.69,9283
20000602,38.37,38.6,38.37,38.59,38965
20000605,38.5,38.88,38.41,38.46,64183
20000606,39.06,39.52,38.72,38.83,201311
20000607,38.6,38.88,38.24,38.88,173722
20000608,39.3,39.3,38.79,38.81,121210
20000609,39.16,39.47,39.14,39.47,55169
20000612,39.59,39.59,38.27,38.27,112987
20000613,38.34,38.79,37.98,38.79,222247
20000614,39.1,39.1,38.6,38.6,57289
20000615,38.36,38.64,37.98,38.64,35540
20000616,38.81,38.83,38.43,38.43,40049
20000619,38.64,39.4,38.47,39.4,78507
20000620,39.46,39.72,39.3,39.68,62327
20000621,39.33,39.94,39.33,39.87,88534
20000622,39.99,39.99,38.74,38.74,185026
20000623,39.04,39.04,38.1,38.22,312533
20000626,38.56,38.71,38.38,38.71,124054
20000627,38.94,39.28,38.27,38.27,149505
20000628,38.43,39.37,38.43,39.04,226111
20000629,39.04,39.11,38.5,38.74,280719
20000630,38.65,38.99,38.33,38.96,1552896
20000703,38.9,39.54,38.86,39.54,20941
20000705,39.32,39.33,38.95,38.95,183967
20000706,39.15,39.55,38.78,39.55,204672
20000707,39.55,39.95,39.55,39.87,95163
20000710,39.77,40.2,39.77,40.05,59376
20000711,39.99,40.21,39.87,40.01,282578
20000712,40.34,40.81,40.29,40.79,59736
20000713,40.85,40.94,40.74,40.94,135984
20000714,41.15,41.15,40.65,40.98,72632
20000717,41.01,41.19,40.91,41.12,61765
20000718,40.85,40.85,40.41,40.51,312001
20000719,40.28,40.28,39.7,39.7,46919
20000720,40.1,40.36,40.1,40.36,199230
20000721,40.15,40.15,39.61,39.73,199495
20000724,39.47,39.47,38.6,38.62,49039
20000725,38.99,38.99,38.53,38.77,48767
20000726,38.48,38.69,38.08,38.69,20941
20000727,38.61,38.61,37.73,37.73,364431
20000728,37.85,37.85,36.88,36.93,227403
20000731,37.27,37.91,36.85,37.91,219866
20000801,37.63,37.77,37.45,37.66,349118
20000802,37.44,37.94,37.35,37.66,515059
20000803,36.99,37.77,36.99,37.77,1437026
20000804,38.15,38.16,37.66,38.03,756026
20000807,38.04,38.59,38.04,38.59,116881
20000808,38.48,38.6,38.41,38.43,65739
20000809,38.69,38.69,38.12,38.12,30483
20000810,38.14,38.17,37.79,37.91,56992
20000811,37.54,38.57,37.54,38.57,233010
20000814,38.52,38.97,38.5,38.96,75148
20000815,38.89,38.95,38.41,38.41,250768
20000816,38.57,38.88,38.43,38.51,290797
20000817,38.74,39.11,38.64,38.95,475560
20000818,39.09,39.19,38.81,38.89,64147
20000821,39.14,39.17,38.78,39.03,171242
20000822,39.06,39.3,39.04,39.16,259254
20000823,38.93,39.04,38.76,39.03,202787
20000824,39.13,39.7,39.13,39.59,366081
20000825,39.52,39.75,39.4,39.6,276484
20000828,39.85,40.08,39.69,39.83,188207
20000829,39.85,40.11,39.73,40.11,185718
20000830,40.07,40.29,39.93,40.25,952978
20000831,40.29,40.86,40.29,40.68,200402
20000901,40.74,40.95,40.54,40.88,247588
20000905,40.82,40.95,40.69,40.78,146325
20000906,40.79,40.79,40.36,40.42,288675
20000907,40.6,41.05,40.6,41.05,283376
20000908,40.81,40.91,40.56,40.56,170447
20000911,40.52,40.68,40.23,40.35,416909
20000912,40.6,40.6,40.18,40.23,123262
20000913,40.06,40.32,40.06,40.26,107623
20000914,40.61,40.82,40.42,40.77,141289
20000915,40.46,40.51,39.92,39.92,85622
20000918,40.09,40.09,38.87,38.97,266937
20000919,39.22,39.52,38.95,39.42,69713
20000920,39.6,39.6,39.08,39.41,50457
20000921,39.37,39.37,38.85,38.85,273959
20000922,37.85,39.06,37.85,39.06,168548
20000925,39.5,39.5,39.09,39.11,150034
20000926,39.08,39.08,38.35,38.37,86123
20000927,38.73,38.92,38.23,38.37,57590
20000928,38.47,39.48,38.44,39.47,152432
20000929,39.38,39.51,39.23,39.25,172220
20001002,39.52,39.52,38.66,38.67,224025
20001003,39.05,39.05,38.21,38.24,199426
20001004,38.23,38.29,37.75,38.29,131707
20001005,38.33,38.47,38.04,38.04,539998
20001006,37.97,37.97,36.93,37.15,245159
20001009,37,37,36.57,36.98,477914
20001010,36.95,37.14,36.32,36.44,555228
20001011,36.13,36.2,35.58,35.89,222181
20001012,36.22,36.22,34.89,34.94,213201
20001013,34.89,36.44,34.87,36.44,500370
20001016,36.34,36.74,36.13,36.48,1450385
20001017,36.44,36.53,35.26,35.56,347081
20001018,34.68,35.44,34.59,35.3,440400
20001019,35.79,36.41,35.79,36.31,196818
20001020,36.6,37.12,36.57,36.86,347670
20001023,36.98,37.19,36.83,37.18,183078
20001024,37.26,37.5,36.81,36.81,97482
20001025,36.53,36.72,35.91,35.91,42266
20001026,36.11,36.34,35.46,36.34,127864
20001027,36.05,36.53,36.05,36.36,182815
20001030,36.29,36.74,35.98,36.65,96690
20001031,36.67,37.61,36.67,37.48,358175
20001101,37.36,37.64,37.31,37.5,697450
20001102,37.77,38.47,37.76,38.47,278718
20001103,38.46,38.47,38.14,38.42,275542
20001106,38.68,38.68,38.02,38.16,88499
20001107,38.08,38.37,37.9,38.37,104617
20001108,38.4,38.42,37.85,37.85,253883
20001109,37.38,37.62,36.74,37.38,328910
20001110,37.38,37.38,36.39,36.39,243313
20001113,35.96,36.26,35.06,36.08,212403
20001114,36.72,36.95,36.67,36.91,169918
20001115,36.88,37.43,36.76,37.26,556109
20001116,36.98,37.28,36.46,36.49,201007
20001117,36.72,37.02,36.37,36.46,271274
20001120,36.1,36.22,35.49,35.68,103822
20001121,35.63,35.63,35.16,35.16,109636
20001122,35.04,35.2,34.42,34.68,159299
20001124,34.98,35.65,34.97,35.53,101444
20001127,36.27,36.38,35.63,35.63,303233
20001128,35.49,35.75,34.45,34.71,180963
20001129,34.82,34.82,34.11,34.47,695073
20001130,34.07,34.28,33.29,33.9,240406
20001201,34.21,35.01,34.16,34.63,394691
20001204,34.62,34.62,34.11,34.16,690582
20001205,34.68,35.77,34.68,35.77,515548
20001206,35.65,35.98,35.01,35.2,320460
20001207,34.61,35.13,34.61,34.89,310946
20001208,35.56,36.17,35.56,36.17,485308
20001211,36.36,36.93,36.22,36.83,307654
20001212,36.93,36.93,36.22,36.22,419262
20001213,36.42,36.42,35.43,35.46,683768
20001214,35.36,35.62,34.89,34.98,737151
20001215,34.48,34.76,34.22,34.56,428672
20001218,34.86,35.34,34.84,35.13,313483
20001219,35.17,35.55,34.6,34.7,580412
20001220,34.02,34.22,33.39,33.63,337416
20001221,33.51,34.19,33.27,33.98,502045
20001222,34.41,35.24,34.36,35.22,1113103
20001226,35.17,35.45,34.99,35.45,675878
20001227,35.55,36.31,35.31,36.31,969516
20001228,36.3,37.55,36.3,37.42,1555335
20001229,37.62,37.73,36.36,36.52,2371872
20010102,36.41,36.41,34.86,34.98,1076142
20010103,34.79,37.07,34.77,36.59,1850631
20010104,36.46,36.72,35.98,36.12,666147
20010105,36.08,36.08,34.84,34.96,346090
20010108,34.94,35.17,34.53,35.17,481663
20010109,35.13,35.41,34.86,35.29,403161
20010110,34.77,36.2,34.77,36.05,1322997
20010111,35.93,36.84,35.93,36.68,367918
20010112,36.56,37.06,36.37,36.72,1174836
20010116,36.76,37.53,36.6,37.53,541232
20010117,38.1,38.17,37.24,37.5,1411451
20010118,37.62,37.64,37.12,37.61,1173225
20010119,37.95,37.95,36.98,37.07,769503
20010122,36.88,37.34,36.71,37.31,311644
20010123,37.31,38.17,37.22,38.1,4040721
20010124,38.22,38.33,37.88,38.02,1164238
20010125,38.04,38.14,37.73,37.88,1001983
20010126,37.67,38.02,37.4,37.86,569634
20010129,37.87,38.65,37.87,38.63,690284
20010130,38.9,38.9,38.46,38.9,1722573
20010131,38.96,39.18,38.41,38.42,1168449
20010201,38.4,38.65,38.23,38.65,921137
20010202,38.71,38.71,37.8,37.8,1127153
20010205,37.64,38.02,37.61,38.02,708484
20010206,37.93,38.59,37.93,38.41,558581
20010207,38.04,38.63,38.04,38.6,531496
20010208,38.65,38.71,37.97,37.98,3053518
20010209,37.93,38.01,37.36,37.49,1295207
20010212,37.51,38.37,37.46,38.33,582777
20010213,38.65,38.98,37.99,38.06,1197638
20010214,38.18,38.37,37.76,38.37,439714
20010215,38.79,38.84,38.42,38.58,1441946
20010216,37.68,38.18,37.61,37.84,886528
20010220,37.91,38.02,37.08,37.29,825517
20010221,36.96,37.32,36.52,36.52,506512
20010222,36.64,36.69,35.84,36.12,677459
20010223,36.05,36.31,35.15,36.29,481006
20010226,36.56,37.07,36.39,36.96,1163974
20010227,37,37,36.22,36.3,563057
20010228,36.43,36.43,35.69,35.79,413679
20010301,35.76,36.05,35.25,36.05,700600
20010302,35.48,36.62,35.46,36.28,1333858
20010305,36.5,36.52,35.97,35.98,681132
20010306,36.51,36.66,36.37,36.51,650306
20010307,36.81,36.96,36.6,36.79,490472
20010308,36.73,36.81,36.44,36.47,1090342
20010309,36.04,36.41,35.82,35.99,295512
20010312,35.53,35.53,34.54,34.67,1308324
20010313,34.98,35.13,34.3,35.13,683419
20010314,34.2,35.17,34.18,34.44,849026
20010315,34.69,34.83,34.1,34.16,752970
20010316,34.23,34.43,33.4,33.53,298407
20010319,34.02,34.44,33.45,34.44,1024877
20010320,34.33,34.73,33.64,33.66,817269
20010321,33.63,33.76,32.82,33.05,640375
20010322,32.86,33.05,31.68,32.77,1557651
20010323,33.43,33.72,33.15,33.53,387378
20010326,33.91,34.27,33.76,34.03,1049799
20010327,34.14,34.52,33.57,34.36,829866
20010328,33.87,33.91,33.36,33.54,1564994
20010329,33.45,34.06,33.34,33.49,745100
20010330,33.7,34.23,33.49,34.18,276625
20010402,34.12,34.29,33.28,33.34,446429
20010403,33.26,33.26,32.1,32.31,665834
20010404,32.25,32.71,32.16,32.25,467686
20010405,32.77,33.87,32.77,33.87,1246644
20010406,33.34,33.45,32.86,32.96,531989
20010409,33.38,33.76,33.19,33.55,746412
20010410,33.82,34.58,33.8,34.44,999682
20010411,34.98,34.98,33.96,34.22,688146
20010412,34.01,34.67,33.93,34.63,633025
20010416,34.48,34.6,34.1,34.31,333048
20010417,33.82,34.71,33.82,34.7,387597
20010418,35.11,36.58,35.05,35.43,890226
20010419,35.55,36,35.32,35.96,264542
20010420,35.82,35.82,35.05,35.51,657963
20010423,35.07,35.23,34.95,34.97,380877
20010424,35.14,35.45,34.93,34.95,400898
20010425,35.24,35.97,35.02,35.88,501541
20010426,36.01,36.54,35.95,36.29,357194
20010427,36.67,36.92,36.54,36.86,2220594
20010430,37.21,37.38,36.77,36.96,1398060
20010501,36.83,37.42,36.59,37.42,728037
20010502,37.49,37.57,36.96,37.32,732755
20010503,37.02,37.05,36.69,36.92,485007
20010504,36.58,37.53,36.45,37.53,929730
20010507,37.57,37.72,37.11,37.21,333568
20010508,37.38,37.53,36.98,37.51,548521
20010509,37,37.49,37,37.28,309161
20010510,37.66,37.66,37.15,37.25,723840
20010511,37.21,37.47,36.83,36.86,1170802
20010514,36.93,37.08,36.69,36.92,310737
20010515,36.96,37.42,36.9,37.19,530130
20010516,37,38.01,37,38,694178
20010517,38.01,38.43,37.91,38.39,221754
20010518,38.2,38.62,38.2,38.51,399969
20010521,38.48,39.21,38.42,39.17,489530
20010522,39.32,39.55,38.98,39.4,1096252
20010523,39.11,39.23,38.54,38.54,720161
20010524,38.77,39,38.28,39,693941
20010525,38.9,38.94,38.6,38.6,430676
20010529,38.67,38.67,38.16,38.2,978173
20010530,38.06,38.06,37.45,37.57,1033009
20010531,37.78,38.18,37.78,37.84,1250833
20010601,38.03,38.29,37.55,38.12,539011
20010604,38.44,38.7,38.27,38.59,541263
20010605,38.71,39.42,38.65,39.24,1468412
20010606,39.25,39.34,38.92,38.96,1382062
20010607,38.92,39.3,38.92,39.26,335964
20010608,39.16,39.2,38.61,38.86,692789
20010611,38.93,38.93,38.4,38.53,669762
20010612,38.21,38.78,38,38.54,896419
20010613,38.69,38.97,38.36,38.46,989851
20010614,38.11,38.23,37.5,37.68,1124121
20010615,37.44,37.88,37.39,37.66,1058422
20010618,37.63,37.83,37.25,37.37,849301
20010619,37.83,37.86,37.13,37.21,990636
20010620,37.06,37.86,37.06,37.86,1122296
20010621,37.69,38.05,37.65,37.91,939605
20010622,37.92,37.92,37.06,37.14,878356
20010625,37.33,37.36,36.77,36.96,2368365
20010626,36.68,37.48,36.62,37.44,1273563
20010627,37.52,37.9,37.41,37.73,1260477
20010628,38.02,38.49,38.02,38.39,1192694
20010629,38.55,39.12,38.38,38.86,2956485
20010702,38.82,38.82,37.97,37.97,2682447
20010703,37.92,38.03,37.67,37.83,1171749
20010705,37.44,37.82,37.31,37.42,1079104
20010706,37.1,37.23,36.51,36.63,765816
20010709,36.77,37.04,36.39,36.85,1106061
20010710,37.1,37.1,36.14,36.14,1002411
20010711,36.22,36.39,35.72,36.39,1437399
20010712,36.6,37.25,36.58,37.23,1596275
20010713,37.1,37.5,36.95,37.37,254398
20010716,37.33,37.44,36.79,36.87,642802
20010717,36.81,37.46,36.73,37.46,720335
20010718,36.95,37.4,36.77,36.8,1131971
20010719,37.14,37.51,36.87,37.11,544387
20010720,36.87,37.29,36.87,37.13,820512
20010723,37.31,37.31,36.69,36.69,1826595
20010724,36.68,36.81,35.84,36.11,764767
20010725,36.26,36.41,35.88,36.39,787535
20010726,36.3,37.1,36.09,36.99,811355
20010727,36.94,37.09,36.76,36.96,693103
20010730,37.02,37.06,36.56,36.81,489695
20010731,36.9,37.32,36.73,36.73,807169
20010801,37.08,37.37,36.85,37.29,558528
20010802,37.62,37.63,37.02,37.25,723416
20010803,37.25,37.36,36.72,37.12,379508
20010806,37.06,37.06,36.53,36.68,292091
20010807,36.6,36.72,36.41,36.66,551722
20010808,36.3,36.8,35.82,35.97,1353651
20010809,36.07,36.18,35.78,36.09,689494
20010810,36.05,36.37,35.73,36.13,553810
20010813,36.35,36.53,36.15,36.45,2104554
20010814,36.51,36.83,36.46,36.56,4799814
20010815,36.58,36.77,36.3,36.53,1117058
20010816,36.43,36.87,36.14,36.82,2063141
20010817,36.55,36.68,36.24,36.39,793050
20010820,36.14,36.58,36.13,36.58,3228927
20010821,36.56,36.68,35.92,35.92,1184317
20010822,36.28,36.43,35.85,36.35,1657973
20010823,36.37,36.68,36.07,36.07,1099255
20010824,36.36,36.72,36.3,36.63,3056530
20010827,36.72,36.85,36.53,36.56,251517
20010828,36.55,36.56,36.11,36.11,1230379
20010829,36.32,36.32,35.84,36,854537
20010830,35.84,35.99,35.38,35.58,1202374
