Date,Open,High,Low,Close,Volume
20090928,18.68,18.68,18.665,18.665,1874
20090929,18.777,18.777,18.65,18.65,13388
20091001,18.351,18.359,18.351,18.359,2945
20091002,17.911,17.911,17.906,17.906,1362
20091006,18.628,18.628,18.449,18.449,4686
20091012,18.927,18.927,18.927,18.927,10711
20091014,19.083,19.158,19.075,19.158,5278
20091015,19.173,19.173,19.173,19.173,268
20091016,19.12,19.158,19.076,19.158,42041
20091019,19.091,19.143,19.091,19.143,493
20091021,19.195,19.195,18.927,18.934,76851
20091023,18.986,18.986,18.904,18.904,1607
20091026,18.852,18.852,18.635,18.635,12586
20091027,18.605,18.635,18.575,18.59,9373
20091028,18.441,18.441,18.366,18.366,12050
20091029,18.635,18.635,18.635,18.635,268
20091030,18.508,18.538,18.486,18.538,9506
20091102,17.993,17.993,17.993,17.993,134
20091104,18.396,18.449,18.396,18.449,5490
20091106,18.575,18.576,18.575,18.576,2617
20091109,18.889,18.889,18.889,18.889,1339
20091110,19.046,19.061,19.016,19.061,2544
20091113,18.941,18.941,18.934,18.934,9506
20091117,19.218,19.218,19.218,19.218,2008
20091119,19.06,19.091,19.06,19.091,268
20091120,18.964,18.964,18.964,18.964,147
20091123,19.263,19.263,19.263,19.263,1339
20091124,19.128,19.128,19.128,19.128,1339
20091130,19.024,19.039,18.994,19.001,17372
20091201,19.31,19.337,19.31,19.337,804
20091203,19.3,19.3,19.131,19.131,2503
20091204,19.375,19.442,19.143,19.166,1707
20091207,19.307,19.307,19.151,19.188,4619
20091208,19.068,19.068,18.986,18.986,1326
20091211,19.218,19.218,19.218,19.218,261
20091215,19.255,19.255,19.158,19.18,15532
20091216,19.278,19.33,19.278,19.33,8168
20091218,19.128,19.128,18.949,18.949,804
20091221,19.3,19.3,19.3,19.3,134
20091222,19.33,19.352,19.33,19.337,25438
20091223,19.304,19.304,19.281,19.289,8129
20091224,19.356,19.356,19.356,19.356,526
20091228,19.341,19.341,19.341,19.341,695
20091229,19.431,19.431,19.356,19.356,4219
20091230,19.296,19.341,19.296,19.341,7456
20091231,19.349,19.349,19.349,19.349,1864
20100105,19.627,19.627,19.627,19.627,533
20100107,19.942,19.942,19.942,19.942,1997
20100108,19.852,19.859,19.807,19.842,2496
20100111,19.98,19.995,19.972,19.995,605
20100112,19.829,19.837,19.829,19.837,798
20100119,19.702,19.957,19.694,19.957,63747
20100120,19.799,19.807,19.64,19.777,2572
20100121,19.807,19.807,19.439,19.439,1331
20100125,19.101,19.108,18.935,19.003,76109
20100126,19.041,19.041,19.041,19.041,533
20100127,18.845,18.845,18.77,18.838,1332
20100128,18.958,18.958,18.958,18.958,671
20100129,18.875,18.935,18.778,18.778,1199
20100201,18.883,18.883,18.883,18.883,133
20100202,18.973,19.251,18.943,19.243,1041883
20100203,19.161,19.228,19.056,19.078,51777
20100204,18.614,18.628,18.591,18.591,15829
20100205,18.29,18.29,18.29,18.29,799
20100209,18.357,18.53,18.357,18.5,4711
20100216,18.793,18.951,18.793,18.951,1065
20100217,18.996,18.996,18.996,18.996,666
20100223,18.988,18.988,18.873,18.918,8537
20100301,19.226,19.226,19.215,19.215,6658
20100302,19.341,19.341,19.266,19.266,1011
20100304,19.335,19.559,19.335,19.379,66763
20100305,19.476,19.649,19.476,19.649,14645
20100308,19.694,19.694,19.694,19.694,6258
20100309,19.596,19.784,19.596,19.784,9053
20100310,19.747,19.874,19.732,19.837,41865
20100311,19.769,19.799,19.769,19.799,832
20100312,19.972,19.972,19.882,19.912,1798
20100318,20.16,20.16,20.12,20.12,266
20100322,19.919,20.15,19.919,20.14,2530
20100324,20.26,20.3,20.22,20.29,127531
20100325,20.47,20.47,20.22,20.22,33459
20100326,20.16,20.23,20.16,20.23,24690
20100329,20.3,20.38,20.3,20.35,38445
20100330,20.4,20.4,20.26,20.34,29199
20100331,20.2,20.32,20.2,20.25,22718
20100401,20.35,20.41,20.35,20.39,16303
20100405,20.62,20.62,20.59,20.62,20759
20100406,20.54,20.73,20.54,20.7,27565
20100407,20.66,20.69,20.49,20.52,29126
20100408,20.48,20.74,20.48,20.73,20039
20100409,20.77,20.91,20.73,20.8,75462
20100412,20.91,20.92,20.85,20.85,21779
20100413,20.81,20.87,20.81,20.84,335091
20100414,21.01,21.14,21.01,21.14,209895
20100415,21.1,21.2,21.1,21.16,43803
20100416,20.95,20.95,20.68,20.72,34441
20100419,20.65,20.87,20.59,20.87,174145
20100420,21.02,21.09,20.96,21.06,31173
20100421,21.11,21.11,20.84,20.94,35597
20100422,20.76,20.98,20.71,20.97,18737
20100423,21,21.17,21,21.17,88558
20100426,21.17,21.17,21.07,21.08,14339
20100427,20.93,20.93,20.49,20.49,44434
20100428,20.7,20.75,20.55,20.7,33881
20100429,20.84,21.05,20.84,20.99,18734
20100430,20.96,20.96,20.64,20.64,29248
20100503,20.77,20.98,20.74,20.9,27695
20100504,20.59,20.65,20.38,20.46,20597
20100505,20.28,20.47,20.17,20.19,26471
20100506,20.12,21.71,18.371,19.675,63232
20100507,19.456,19.667,19.132,19.253,40814
20100510,20.26,20.29,19.911,19.956,26521
20100511,20.01,20.31,19.999,20.1,79099
20100512,20.16,20.33,20.13,20.26,25620
20100513,20.25,20.28,20.04,20.13,22659
20100514,19.75,19.75,19.524,19.584,15113
20100517,19.592,19.667,19.388,19.644,110229
20100518,19.494,19.494,19.268,19.366,48956
20100519,19.177,19.388,19.17,19.32,36826
20100520,18.8,18.898,18.507,18.507,35360
20100521,18.16,18.891,17.934,18.891,142429
20100524,18.718,18.808,18.499,18.552,23959
20100525,18.16,18.559,18.107,18.492,29716
20100526,18.8,18.8,18.461,18.537,41102
20100527,18.763,19.087,18.763,19.042,27987
20100528,18.989,18.989,18.868,18.88,57772
20100601,18.627,18.876,18.522,18.522,60804
20100602,18.537,18.981,18.537,18.981,23010
20100603,18.868,19.064,18.868,19.057,18054
20100604,18.687,18.748,18.341,18.341,13904
20100607,18.461,18.461,18.168,18.168,49473
20100608,18.175,18.394,18.1,18.394,22190
20100609,18.454,18.62,18.205,18.205,57757
20100610,18.605,18.793,18.574,18.793,28881
20100611,18.74,18.778,18.725,18.725,8409
20100614,19.064,19.087,18.837,18.837,16915
20100615,19.004,19.23,18.921,19.213,22545
20100616,19.283,19.298,19.147,19.238,20909
20100617,19.253,19.253,19.094,19.222,23658
20100618,19.268,19.32,19.268,19.283,12157
20100621,19.501,19.501,19.2,19.253,10368
20100622,19.268,19.268,18.972,19.032,54885
20100623,18.785,18.846,18.785,18.846,6973
20100624,18.582,18.582,18.454,18.492,28493
20100625,18.407,18.687,18.407,18.633,23139
20100628,18.567,18.665,18.567,18.642,13912
20100629,18.281,18.326,17.994,18.062,18257
20100630,18.13,18.16,17.821,17.851,52099
20100701,17.663,17.828,17.512,17.798,27396
20100702,17.746,17.746,17.617,17.617,77184
20100706,17.905,17.905,17.693,17.799,65042
20100707,17.913,18.368,17.913,18.352,17344
20100708,18.413,18.534,18.36,18.519,18391
20100709,18.527,18.709,18.527,18.671,32360
20100712,18.64,18.739,18.633,18.724,26045
20100713,18.906,19.073,18.906,19.065,20589
20100714,18.891,18.974,18.845,18.974,16776
20100715,18.966,18.966,18.785,18.929,29905
20100716,18.648,18.648,18.451,18.489,16477
20100719,18.39,18.603,18.39,18.474,12009
20100720,18.565,18.694,18.565,18.694,10454
20100721,18.656,18.678,18.383,18.383,10273
20100722,18.807,18.86,18.807,18.86,8005
20100723,18.822,18.951,18.762,18.944,25252
20100726,19.057,19.156,19.057,19.156,65041
20100727,19.201,19.247,19.201,19.209,5745
20100728,19.103,19.148,19.035,19.08,17053
20100729,19.201,19.201,18.921,19.042,164180
20100730,18.792,19.05,18.792,19.035,220940
20100802,19.383,19.467,19.383,19.459,53586
20100803,19.369,19.436,19.369,19.406,83379
20100804,19.399,19.497,19.391,19.49,67646
20100805,19.323,19.474,19.323,19.459,21716
20100806,19.345,19.345,19.255,19.277,47783
20100809,19.376,19.497,19.376,19.467,34320
20100810,19.285,19.429,19.239,19.414,27648
20100811,19.103,19.103,18.838,18.86,22722
20100812,18.58,18.8,18.58,18.8,24815
20100813,18.762,18.8,18.747,18.792,15338
20100816,18.724,18.724,18.663,18.678,14249
20100817,18.838,18.951,18.815,18.906,33294
20100818,18.891,18.989,18.891,18.982,13232
20100819,18.822,18.853,18.542,18.64,30771
20100820,18.557,18.557,18.421,18.496,16517
20100823,18.648,18.686,18.496,18.543,79808
20100824,18.201,18.337,18.201,18.254,69842
20100825,18.026,18.284,18.026,18.284,40976
20100826,18.224,18.224,18.117,18.178,32042
20100827,18.375,18.375,18.368,18.368,14318
20100830,18.39,18.39,18.224,18.224,8574
20100831,18.208,18.246,18.049,18.216,44504
20100901,19.505,19.505,18.489,18.686,61150
20100902,18.777,18.868,18.747,18.859,28115
20100903,19.042,19.095,19.004,19.057,7091
20100907,18.929,18.929,18.868,18.898,13408
20100908,18.898,19.08,18.898,19.042,16883
20100909,19.247,19.262,19.126,19.217,33237
20100910,19.209,19.285,19.209,19.27,12656
20100913,19.482,19.482,19.406,19.467,19257
20100914,19.383,19.535,19.383,19.467,55743
20100915,19.361,19.497,19.361,19.497,16557
20100916,19.414,19.459,19.399,19.459,28677
20100917,19.535,19.573,19.436,19.444,23207
20100920,19.474,19.732,19.444,19.725,19877
20100921,19.702,19.785,19.641,19.709,7685
20100922,19.626,19.664,19.52,19.543,90320
20100923,19.378,19.485,19.302,19.302,24521
20100924,19.538,19.698,19.538,19.69,26154
20100927,19.629,19.706,19.629,19.698,16332
20100928,19.622,19.667,19.5,19.637,35718
20100929,19.568,19.614,19.492,19.553,26164
20100930,19.66,19.667,19.432,19.542,34778
20101001,19.538,19.66,19.538,19.652,28110
20101004,19.492,19.492,19.416,19.485,26038
20101005,19.683,19.896,19.652,19.873,41974
20101006,19.858,19.896,19.827,19.852,25411
20101007,19.987,19.987,19.843,19.85,38418
20101008,19.896,19.987,19.805,19.987,20271
20101011,19.972,19.972,19.965,19.972,87080
20101012,19.873,19.957,19.873,19.942,85488
20101013,20.12,20.2,20.12,20.13,40156
20101014,20.03,20.05,19.873,19.957,63657
20101015,20.12,20.12,19.827,19.827,32513
20101018,19.935,20.06,19.935,20.06,25845
20101019,19.861,19.98,19.755,19.793,44901
20101020,20.02,20.06,19.977,19.977,31749
20101021,20.07,20.09,19.866,19.937,13727
20101022,19.995,19.995,19.942,19.949,21649
20101025,20.11,20.15,20.01,20.02,18627
20101026,19.972,20.03,19.972,20.01,29227
20101027,19.858,19.98,19.835,19.98,39986
20101028,20.02,20.06,19.957,20.05,22064
20101029,19.98,20,19.98,20,20144
20101101,20.15,20.15,19.965,19.965,24770
20101102,20.14,20.14,20.08,20.11,16829
20101103,20.16,20.16,20.03,20.12,28355
20101104,20.41,20.61,20.38,20.59,106508
20101105,20.62,20.74,20.62,20.74,54303
20101108,20.64,20.64,20.6,20.64,21213
20101109,20.67,20.67,20.42,20.44,24472
20101110,20.46,20.57,20.37,20.54,25039
20101111,20.47,20.54,20.41,20.47,100056
20101112,20.41,20.44,20.23,20.28,47825
20101115,20.42,20.48,20.39,20.43,63965
20101116,20.2,20.21,19.949,20.02,18097
20101117,20,20.04,20,20.04,5715
20101118,20.19,20.32,20.18,20.29,22869
20101119,20.26,20.28,20.22,20.28,17742
20101122,19.98,20.17,19.98,20.16,32440
20101123,19.949,19.949,19.866,19.866,6045
20101124,20,20.09,20,20.06,3007
20101126,19.98,19.98,19.919,19.957,13355
20101129,19.805,19.972,19.721,19.972,39423
20101130,19.805,19.888,19.805,19.835,19670
20101201,20.09,20.25,20.09,20.23,46643
20101202,20.24,20.52,20.23,20.52,11600
20101203,20.45,20.49,20.44,20.49,23528
20101206,20.52,20.57,20.5,20.56,38639
20101207,20.73,20.73,20.57,20.57,20102
20101208,20.63,20.66,20.62,20.65,10787
20101209,20.76,20.78,20.72,20.78,521
20101210,20.86,20.96,20.83,20.92,17467
20101213,21.04,21.1,21.02,21.02,12080
20101214,21.05,21.12,21.02,21.02,11694
20101215,20.99,21.07,20.89,20.99,31621
20101216,20.91,21.03,20.91,21.02,20198
20101217,20.98,21.06,20.96,21.05,18624
20101220,21.04,21.13,21.01,21.11,23543
20101221,21.13,21.25,21.13,21.23,20317
20101222,21.24,21.38,21.24,21.36,40498
20101223,21.36,21.38,21.31,21.32,45867
20101227,21.24,21.37,21.24,21.36,27575
20101228,21.35,21.43,21.35,21.42,24705
20101229,21.43,21.47,21.43,21.43,30611
20101230,21.4,21.4,21.36,21.4,54604
20101231,21.41,21.44,21.39,21.4,55856
20110103,21.58,21.72,21.58,21.64,51597
20110104,21.69,21.74,21.6,21.74,24014
20110105,21.69,21.9,21.69,21.89,33306
20110106,21.85,21.85,21.75,21.83,122672
20110107,21.85,21.85,21.67,21.75,922508
20110110,21.64,21.7,21.62,21.7,21615
20110111,21.76,21.76,21.7,21.75,30923
20110112,21.86,21.97,21.85,21.94,14106
20110113,21.92,21.92,21.84,21.84,23083
20110114,21.87,22.07,21.87,22.07,48003
20110118,21.98,22.06,21.98,22.02,51542
20110119,21.93,21.97,21.75,21.79,40269
20110120,21.76,21.87,21.73,21.86,82460
20110121,22.06,22.06,21.93,22.01,37578
20110124,21.97,22.08,21.97,22.06,182065
20110125,21.96,22.06,21.86,22.02,23910
20110126,22.15,22.15,22.05,22.09,37937
20110127,22.06,22.07,21.98,22.06,52385
20110128,22.09,22.13,21.74,21.74,62825
20110131,21.88,21.9,21.75,21.89,22208
20110201,22.09,22.31,22.09,22.31,38655
20110202,22.26,22.26,22.23,22.24,22316
20110203,22.11,22.29,22.11,22.29,36999
20110204,22.23,22.24,22.16,22.22,27612
20110207,22.36,22.43,22.35,22.42,49151
20110208,22.43,22.55,22.39,22.52,42697
20110209,22.47,22.48,22.33,22.41,60264
20110210,22.4,22.48,22.38,22.45,49724
20110211,22.33,22.62,22.33,22.62,58040
20110214,22.59,22.61,22.54,22.61,16289
20110215,22.58,22.6,22.52,22.59,43209
20110216,22.66,22.71,22.6,22.71,64755
20110217,22.71,22.81,22.63,22.81,99693
20110218,22.84,22.84,22.77,22.8,31138
20110222,22.6,22.7,22.34,22.39,28765
20110223,22.39,22.42,22.3,22.34,26958
20110224,22.32,22.34,22.19,22.29,14143
20110225,22.42,22.55,22.42,22.51,11011
20110228,22.65,22.7,22.58,22.68,18006
20110301,22.71,22.71,22.34,22.35,47520
20110302,22.33,22.43,22.33,22.36,7065
20110303,22.65,22.75,22.63,22.75,3406
20110304,22.57,22.57,22.41,22.55,27687
20110307,22.63,22.63,22.4,22.43,28882
20110308,22.45,22.7,22.41,22.67,8554
20110309,22.59,22.68,22.55,22.68,9778
20110310,22.42,22.42,22.22,22.31,26710
20110311,22.21,22.46,22.21,22.38,28847
20110314,22.22,22.26,22.05,22.25,51871
20110315,21.62,22.02,21.62,22.01,43606
20110316,21.93,21.93,21.45,21.58,36147
20110317,21.87,21.87,21.7,21.86,16071
20110318,22.17,22.18,22.01,22.01,48509
20110321,22.28,22.32,22.25,22.31,47107
20110322,22.26,22.26,22.22,22.22,56177
20110323,22.13,22.29,22.08,22.26,45622
20110324,22.37,22.44,22.27,22.43,60947
20110325,22.46,22.54,22.43,22.5,16668
20110328,22.58,22.59,22.5,22.51,27738
20110329,22.45,22.6,22.37,22.58,23770
20110330,22.74,22.82,22.69,22.78,40586
20110331,22.74,22.75,22.68,22.74,19784
20110401,22.8,22.86,22.75,22.77,30968
20110404,22.88,22.88,22.74,22.78,37625
20110405,22.77,22.87,22.77,22.8,58413
20110406,22.89,22.89,22.81,22.87,26019
20110407,22.91,22.91,22.75,22.83,23902
20110408,22.91,22.92,22.71,22.71,22751
20110411,22.84,22.87,22.71,22.73,17115
20110412,22.6,22.6,22.49,22.57,36492
20110413,22.64,22.64,22.42,22.51,31801
20110414,22.36,22.5,22.3,22.47,19478
20110415,22.52,22.65,22.52,22.64,48286
20110418,22.35,22.37,22.23,22.33,70565
20110419,22.36,22.47,22.31,22.47,96508
20110420,22.74,22.74,22.6,22.64,41206
20110421,22.75,22.75,22.67,22.69,45289
20110425,22.66,22.71,22.6,22.71,40304
20110426,22.78,22.94,22.77,22.93,38750
20110427,22.95,23.13,22.93,23.13,27650
20110428,23.11,23.23,23.11,23.22,26497
20110429,23.21,23.28,23.21,23.28,6272
20110502,23.37,23.37,23.25,23.29,45820
20110503,23.17,23.27,23.11,23.21,26693
20110504,23.18,23.18,22.98,23.06,27312
