Date,Open,High,Low,Close,Volume
20011127,32.48,32.48,32.48,32.48,200
20011205,32.59,32.59,32.59,32.59,24200
20011206,32.84,32.84,32.84,32.84,24200
20011218,31.9,31.9,31.9,31.9,300
20011219,32.15,32.2,32.15,32.2,3900
20011220,32.07,32.07,32.05,32.05,1100
20011224,31.9,31.9,31.9,31.9,1100
20011227,32.11,32.11,32.11,32.11,200
20011228,32.42,32.45,32.42,32.43,2400
20020102,32.32,32.39,32.32,32.39,1100
20020104,32.86,32.86,32.86,32.86,200
20020107,32.89,32.89,32.78,32.8,3500
20020108,32.36,32.36,32.3,32.3,500
20020109,32.44,32.51,32.44,32.51,500
20020111,32.36,32.36,32.36,32.36,800
20020114,31.84,31.84,31.83,31.83,1100
20020115,32,32,32,32,300
20020117,32.08,32.08,32.08,32.08,300
20020123,31.94,31.94,31.94,31.94,1600
20020124,32.18,32.23,32.18,32.23,1300
20020128,32.26,32.26,31.87,31.87,9500
20020129,31.78,31.78,31.05,31.13,24400
20020130,30.74,30.89,30.74,30.89,600
20020204,30.65,30.65,30.58,30.58,500
20020211,30.97,30.97,30.97,30.97,300
20020214,31.46,31.46,31.35,31.35,500
20020215,30.99,30.99,30.99,30.99,200
20020222,29.82,29.82,29.71,29.71,300
20020226,30.66,30.66,30.56,30.56,300
20020304,31.93,32.42,31.93,32.42,21900
20020305,32.62,32.62,32.62,32.62,1100
20020306,32.76,32.86,32.76,32.86,600
20020308,32.99,32.99,32.9,32.9,8200
20020311,33.03,33.09,33.03,33.09,500
20020314,32.78,32.99,32.78,32.86,2400
20020315,32.99,32.99,32.99,32.99,8100
20020318,33.57,33.57,33.57,33.57,1000
20020319,33.58,33.66,33.58,33.61,5600
20020320,33.27,33.32,33.26,33.26,1100
20020321,32.98,32.98,32.98,32.98,200
20020325,32.89,32.89,32.89,32.89,1300
20020326,32.85,32.85,32.85,32.85,200
20020327,32.87,32.93,32.87,32.93,1500
20020404,32.83,32.83,32.83,32.83,1600
20020405,33.14,33.14,33.14,33.14,200
20020408,32.8,32.86,32.77,32.86,1100
20020415,33.18,33.18,33.18,33.18,200
20020416,33.34,33.34,33.34,33.34,500
20020418,33.66,33.66,33.66,33.66,1500
20020419,33.83,33.83,33.83,33.83,1800
20020422,33.67,33.67,33.66,33.66,300
20020424,33.45,33.6,33.45,33.48,2300
20020425,33.32,33.32,33.32,33.32,1800
20020426,33.17,33.17,33.17,33.17,200
20020429,32.9,33.02,32.9,32.98,1300
20020501,33.12,33.12,33.11,33.11,4400
20020507,33.08,33.36,33.08,33.36,600
20020509,33.42,33.42,33.37,33.37,600
20020510,33.14,33.17,33.14,33.17,28400
20020513,33.05,33.05,33.05,33.05,300
20020514,33.6,33.61,33.58,33.61,1500
20020520,33.79,33.79,33.79,33.79,500
20020522,33.48,33.51,33.48,33.48,800
20020523,33.61,33.61,33.49,33.55,20300
20020524,33.79,33.79,33.66,33.66,6100
20020528,33.39,33.39,33.38,33.38,300
20020530,33.42,33.42,33.42,33.42,5600
20020603,33.48,33.48,33.48,33.48,200
