Date,Open,High,Low,Close,Volume
20121024,38.01,38.01,37.95,37.97,2536
20121025,38.17,38.22,38.05,38.22,616
20121026,38,38,38,38,236
20121031,38.06,38.16,37.93,38.01,3697
20121101,38.31,38.39,38.23,38.38,2416
20121102,38.38,38.38,38.13,38.13,3819
20121105,38.07,38.09,38.06,38.09,773
20121107,38.06,38.06,37.66,37.86,7846
20121108,37.66,37.66,37.49,37.49,3816
20121109,37.38,37.59,37.38,37.54,6530
20121112,37.68,37.68,37.39,37.39,2115
20121113,37.39,37.39,37.39,37.39,765
20121114,37.18,37.18,36.89,36.89,4449
20121115,36.88,36.88,36.88,36.88,382
20121116,36.95,36.95,36.45,36.85,2448
20121119,37.37,37.61,37.37,37.6,3336
20121120,37.41,37.57,37.41,37.57,1800
20121126,38.06,38.24,38.06,38.24,1402
20121127,38.28,38.29,38.16,38.29,4880
20121128,37.89,38.29,37.88,38.29,1135
20121129,38.7,38.74,38.62,38.62,3495
20121130,38.81,38.81,38.73,38.74,2103
20121203,38.97,38.97,38.88,38.88,680
20121204,38.92,38.92,38.7,38.85,9307
20121205,38.99,39.11,38.86,39.11,8465
20121206,39.07,39.12,38.92,38.93,4819
20121207,39.17,39.19,38.95,39.15,19260
20121210,39.18,39.21,39.05,39.18,4929
20121211,39.44,39.46,39.35,39.35,1614
20121212,39.55,39.77,39.54,39.54,2102
20121213,39.53,39.54,39.32,39.38,2903
20121214,39.52,39.72,39.44,39.55,11629
20121217,39.35,39.73,39.35,39.67,16873
20121218,39.88,40.12,39.88,40.12,4597
20121219,40.4,40.4,40.19,40.19,40223
20121220,40.35,40.43,40.27,40.35,5767
20121221,39.95,40.11,39.88,40.07,11112
20121224,40.07,40.23,40.02,40.14,10205
20121226,40.26,40.42,40.12,40.27,5167
20121227,40.37,40.37,40.04,40.29,9589
20121228,40.12,40.27,39.96,39.96,27707
20121231,40.14,40.87,40.14,40.87,28406
20130102,41.19,41.37,41.03,41.2,21711
20130103,41.04,41.59,40.83,40.93,26025
20130104,40.86,41.11,40.74,41.07,27575
20130107,40.86,40.93,40.7,40.88,82563
20130108,40.82,40.82,40.5,40.64,25665
20130109,40.84,40.91,40.71,40.85,25810
20130110,41.24,41.32,41.12,41.31,15827
20130111,41.31,41.32,41.12,41.3,38058
20130114,41.23,41.38,41.18,41.36,26236
20130115,41.13,41.29,41.11,41.25,14456
20130116,41.05,41.14,41.01,41.1,13356
20130117,41.36,41.44,41.27,41.43,37207
20130118,41.44,41.44,41.25,41.26,21547
20130122,41.36,41.43,41.14,41.34,11763
20130123,41.3,41.4,41.13,41.27,12907
20130124,41.37,41.55,41.05,41.34,50968
20130125,41.54,41.69,41.39,41.6,124132
20130128,41.52,41.52,41.16,41.18,256514
20130129,41.5,41.69,41.44,41.64,66724
20130130,41.67,41.73,41.55,41.57,78769
