Date,Open,High,Low,Close,Volume
20000616,48.22,48.77,48.22,48.43,14500
20000619,48.13,49.13,48.13,49.13,2300
20000620,49.08,49.08,48.65,48.65,6300
20000621,49.08,49.43,49.08,49.43,11600
20000622,49.03,49.03,47.98,47.98,5700
20000623,48.24,48.24,47.95,48.1,800
20000626,48.36,48.72,48.36,48.6,1300
20000627,49.1,49.3,48.88,49.04,36100
20000628,49.08,49.37,47.71,49.37,26900
20000629,50.04,50.06,49.66,50.06,1000
20000630,49.87,49.94,49.56,49.66,115000
20000703,50.47,50.64,50.23,50.61,3900
20000705,50.81,51.57,50.81,51.33,3400
20000706,51.24,51.24,50.81,51.05,5300
20000707,51.24,51.64,51.19,51.26,40800
20000710,51.45,52.15,51.38,51.79,6100
20000711,51.98,52.67,51.81,52.41,33500
20000712,52.41,52.41,51.62,51.88,146000
20000713,51.19,51.19,49.66,49.66,17300
20000714,49.46,49.46,48.24,48.68,14300
20000717,48.88,50.54,48.88,50.23,24500
20000718,50.23,50.23,49.7,49.73,2600
20000719,49.87,49.87,48.6,48.82,9600
20000720,48.27,48.51,48.12,48.12,20700
20000721,48.31,48.87,48.31,48.82,29900
20000724,49.32,49.87,49.32,49.66,2900
20000725,49.22,49.22,48.12,48.12,4200
20000726,48.17,48.63,47.92,48.03,4000
20000727,48.29,48.97,48.17,48.97,4600
20000728,48.79,48.87,48.48,48.65,3900
20000731,48.65,48.65,47.88,47.93,9100
20000801,49.06,49.78,48.79,49.68,47900
20000802,49.63,50.33,49.51,50.09,22700
20000803,50.14,50.47,50.11,50.47,4600
20000804,50.33,50.33,49.85,50.02,3100
20000807,50.28,50.28,50.16,50.16,800
20000808,49.85,50.35,49.49,50.18,7300
20000809,49.75,50.21,47.55,47.55,135400
20000810,47.74,48.12,47.71,47.83,7000
20000811,48,48.65,47.88,48.55,5700
20000814,48.55,48.55,48.07,48.46,6100
20000815,48.31,48.48,47.91,47.91,12500
20000816,48.22,48.51,48.17,48.31,9100
20000817,48.22,48.91,48.22,48.75,7000
20000818,48.19,48.19,47.5,47.64,39500
20000821,47.71,48.39,47.71,48.27,4000
20000822,48.31,48.48,48.07,48.07,5900
20000823,48.24,48.6,48.24,48.31,8700
20000824,48.55,48.94,48.54,48.91,13000
20000825,49.06,49.32,49.06,49.25,18100
20000828,49.32,49.51,48.84,48.84,7200
20000829,48.57,48.81,48.19,48.19,10000
20000830,48.12,48.6,48.12,48.51,8300
20000831,48.72,49.44,48.72,49.15,7200
20000901,49.08,49.22,48.98,49.1,5100
20000905,48.31,48.31,47.45,47.77,22400
20000906,47.74,47.74,46.54,46.64,12800
20000907,46.97,47.64,46.88,47.45,28900
20000908,47.45,47.86,47.36,47.56,13600
20000911,47.55,47.57,47.28,47.48,6500
20000912,47.93,48,47.79,47.79,6600
20000913,48.22,48.41,48.1,48.27,8700
20000914,48.53,48.53,47.98,48.29,6300
20000915,48.12,48.19,48.1,48.1,3700
20000918,48.22,48.31,47.55,47.55,6600
20000919,47.69,47.95,47.26,47.76,114900
20000920,47.55,47.95,47.28,47.95,48100
20000921,47.83,49.1,47.83,49.03,8700
20000922,49.85,50.93,49.84,50.83,11900
20000925,50.83,50.95,50.47,50.59,28400
20000926,50.4,50.4,49.44,50.02,76400
20000927,49.66,50.23,49.63,50.14,51100
20000928,50.35,51.21,50.35,51,73500
20000929,51.09,51.6,51.09,51.17,38200
20001002,50.64,50.78,49.85,50.16,12300
20001003,50.3,51,50.14,50.4,4700
20001004,49.87,49.92,49.32,49.36,13200
20001005,49.99,50.81,49.99,50.69,20300
20001006,50.85,50.85,49.51,50.09,14900
20001009,50.09,50.14,49.34,49.49,7300
20001010,49.66,50.97,49.66,50.83,12500
20001011,50.65,51.19,50.49,50.49,8700
20001012,50.47,51.09,50.21,50.64,7800
20001013,50.33,50.33,49.56,50.02,40800
20001016,50.61,51.24,50.61,51.19,7300
20001017,51.38,51.98,51.31,51.96,9100
20001018,51.08,51.7,50.84,51.54,20800
20001019,51.18,51.18,50.1,50.74,18400
20001020,50.65,51.22,50.65,51.2,27900
20001023,51.73,52.69,51.73,52.41,15800
20001024,52.21,52.26,51.49,51.66,33100
20001025,52.4,53.21,52.38,52.83,32600
20001026,52.86,53.02,52.28,52.95,224800
20001027,51.94,52.21,51.63,52.03,121400
20001030,51.99,52.4,51.56,52.02,65400
20001031,52.28,52.66,51.99,52.26,21400
20001101,52.74,52.9,52.47,52.86,20100
20001102,52.95,53.19,52.62,53.12,15100
20001103,53.05,53.19,52.6,52.88,22000
20001106,52.9,53.81,52.88,53.33,37500
20001107,53.43,53.62,52.95,53.23,107500
20001108,54.34,54.68,53.91,53.91,96600
20001109,53.33,53.81,52.06,53.65,143200
20001110,53.43,54.17,53.19,53.72,112100
20001113,53.05,53.05,50.6,51.49,62000
20001114,51.3,52.45,50.89,52.26,120100
20001115,52.42,52.95,52.18,52.94,85100
