Date,Open,High,Low,Close,Volume
20000616,27.12,27.12,27.06,27.06,1100
20000619,26.89,26.89,26.89,26.89,200
20000626,26.69,26.69,26.69,26.69,300
20000627,26.75,26.75,26.75,26.75,38200
20000710,26.97,26.97,26.97,26.97,300
20000711,26.48,26.48,26.24,26.24,1500
20000713,26.5,26.65,26.5,26.65,900
20000714,27.28,27.28,27.28,27.28,200
20000720,27.88,27.88,27.88,27.88,200
20000803,26.98,26.98,26.98,26.98,300
20000809,26.98,26.98,26.79,26.79,800
20000810,26.79,26.79,26.65,26.65,3100
20000811,27.1,27.1,27.1,27.1,300
20000814,27.3,27.53,27.3,27.53,1800
20000816,27.49,27.49,27.47,27.47,3200
20000822,27.49,27.49,27.49,27.49,300
20000823,27.34,27.34,27.2,27.2,1500
20000824,27.53,27.53,27.53,27.53,900
20000825,27.3,27.3,27.3,27.3,200
20000828,27.22,27.22,27.22,27.22,800
20000829,27.12,27.12,27.12,27.12,500
20000830,26.75,26.87,26.75,26.87,1700
20000831,26.63,26.63,26.63,26.63,300
20000901,26.71,26.71,26.71,26.71,300
20000905,26.98,26.98,26.83,26.83,2600
20000906,26.83,26.83,26.83,26.83,300
20000907,26.67,26.67,26.67,26.67,300
20000912,26.71,26.71,26.71,26.71,300
20000914,26.44,26.44,26.44,26.44,300
20000925,26.12,26.12,26.12,26.12,300
20000926,26.34,26.34,26.34,26.34,200
20000927,26.3,26.3,26.3,26.3,200
20000928,26.79,26.79,26.79,26.79,200
20000929,26.75,26.75,26.75,26.75,800
20001004,26.58,26.81,26.58,26.75,600
20001005,27.41,27.67,27.41,27.59,1200
20001006,26.51,27.33,26.51,27.33,300
20001009,27.28,27.28,27.08,27.08,2800
20001010,27.14,27.3,27.14,27.3,3400
20001011,26.91,26.91,26.91,26.91,200
20001012,26.51,26.51,26.22,26.22,800
20001013,26.22,26.22,25.99,25.99,2400
20001016,26.44,26.44,26.44,26.44,800
20001017,25.99,25.99,25.99,25.99,500
20001018,25.61,25.61,25.61,25.61,200
20001024,26.55,26.55,26.55,26.55,300
20001025,27.06,27.06,26.86,26.86,500
20001026,26.8,26.86,26.41,26.86,38600
20001027,27,27.29,27,27.29,2400
20001030,27.43,27.78,27.43,27.78,600
20001031,27.58,27.82,27.58,27.82,1200
20001101,28.09,28.19,27.86,28.01,6200
20001102,28.15,28.21,28,28.07,3200
20001103,28.05,28.05,27.84,27.93,2100
20001106,27.9,28.34,27.9,28.25,2400
20001107,28.25,28.4,28.25,28.4,2000
20001108,28.44,28.45,28.34,28.45,1500
20001109,28.5,28.5,28.03,28.03,39200
20001110,28.38,28.52,28.38,28.4,1800
20001113,28.21,28.21,27.76,27.86,5800
20001114,28.05,28.05,28.05,28.05,200
20001115,28.11,28.31,28.09,28.31,42100
20001116,28.34,28.34,28.11,28.25,3700
20001117,28.48,28.48,28.25,28.27,800
20001120,28.05,28.05,27.84,27.93,6900
20001121,27.62,27.82,27.62,27.82,1400
20001122,27.66,27.7,27.39,27.7,1200
20001127,27.47,27.52,27.39,27.39,2300
20001128,27.6,27.6,27.47,27.56,2100
20001130,27.68,27.8,27.66,27.78,1400
20001201,27.64,27.7,27.54,27.54,10700
20001204,27.84,27.84,27.84,27.84,200
20001205,27.56,27.86,27.56,27.7,3400
20001206,27.62,27.62,27.45,27.45,5800
20001207,27.72,27.9,27.72,27.86,32500
20001208,27.88,27.93,27.7,27.86,4100
20001211,27.62,27.62,27.38,27.39,1200
20001212,27.49,27.9,27.49,27.7,43000
20001213,27.76,28.03,27.76,28.01,2400
20001214,28.19,28.19,28.05,28.05,4100
20001215,27.72,27.76,27.72,27.76,1500
20001218,27.58,27.58,27.49,27.49,600
20001219,27.72,28.13,27.72,27.86,1700
20001220,27.53,27.55,27.28,27.28,5200
20001221,27.14,27.53,27.14,27.34,2000
20001222,27.59,27.63,27.47,27.63,11100
20001226,27.9,28.1,27.9,28.1,3200
20001227,28.25,28.45,28.25,28.45,1500
20001228,28.15,28.43,28.02,28.43,22800
20001229,28.47,28.6,28.21,28.58,85400
20010102,28.33,28.33,28.08,28.08,2400
20010103,28.23,28.41,27.59,27.59,8100
20010104,27.18,27.18,26.58,26.81,6800
20010105,26.69,27.26,26.69,27.08,7300
20010108,27.32,27.43,27.32,27.32,1800
20010109,27.38,27.9,27.38,27.71,68100
20010110,27.55,27.73,27.55,27.73,20700
20010111,27.71,27.71,27.61,27.61,1200
20010112,27.36,27.36,27.04,27.32,4700
20010116,27.8,27.8,27.8,27.8,1500
20010117,27.82,27.82,27.59,27.59,600
20010118,27.57,27.88,27.57,27.82,1500
20010119,27.49,27.49,27.34,27.47,2600
20010122,27.36,27.59,27.26,27.55,13200
20010123,27.59,27.64,27.47,27.47,236200
20010124,27.38,27.84,27.38,27.67,3600
20010125,27.67,27.96,27.63,27.96,1800
20010126,27.96,28.02,27.57,27.59,15500
20010129,27.63,27.63,27.41,27.57,62300
20010130,27.99,28.06,27.96,27.96,8400
20010131,27.93,27.95,27.89,27.95,2300
20010201,28.16,28.45,28.16,28.45,1200
20010202,28.5,28.5,28.19,28.32,4000
20010205,28.5,28.56,28.36,28.56,1700
20010206,28.36,28.59,28.36,28.59,4600
20010207,28.62,28.99,28.62,28.91,4900
20010208,28.7,29.07,28.7,28.95,10600
20010209,29.01,29.05,28.93,28.96,5800
20010212,28.98,29.11,28.93,29.11,4000
20010213,28.98,28.99,28.62,28.91,1500
20010214,28.45,28.57,28.45,28.49,3800
20010215,28.39,28.39,28.28,28.39,4700
20010216,28.59,28.83,28.59,28.83,2100
20010220,28.89,29.28,28.89,29.11,2700
20010221,28.85,28.85,28.52,28.74,4900
20010222,28.45,28.45,28.12,28.2,4600
20010223,28.17,28.17,27.88,28.07,2300
20010226,27.93,28.05,27.78,28.02,7100
20010227,28.06,28.14,27.89,28.14,4300
20010228,28.15,28.23,28.07,28.23,1500
20010301,28.28,28.28,28.13,28.13,800
20010302,28.11,28.2,28.09,28.2,132500
20010305,27.8,28.05,27.8,28.05,2400
20010306,27.85,27.85,27.57,27.57,3000
20010307,27.8,28.02,27.8,27.92,15200
20010308,28.16,28.47,28.03,28.47,14900
20010309,28.39,28.45,28.33,28.36,3800
20010312,28.1,28.26,27.93,28.1,115100
20010313,27.5,27.53,27.27,27.39,5000
20010314,27.26,27.27,26.94,27.04,5300
20010315,26.77,26.89,26.64,26.89,3200
20010316,26.81,26.81,26.81,26.81,500
20010319,26.81,26.98,26.71,26.94,3300
20010320,26.93,26.94,26.71,26.71,2100
20010321,26.45,26.45,26.13,26.15,2400
20010322,25.69,25.69,25.24,25.38,3600
20010323,25.76,26,25.76,25.99,900
20010326,26.15,26.15,25.96,26.01,4200
20010327,26.39,26.64,26.39,26.64,1400
20010328,26.58,26.58,26.39,26.52,22200
20010329,26.56,26.56,26.56,26.56,200
20010330,26.58,26.85,26.45,26.85,3300
20010402,26.88,27.18,26.44,26.65,7900
20010403,26.25,26.25,25.98,26.04,1100
20010404,26.2,26.2,26.19,26.19,4100
20010405,26.17,26.17,26.17,26.17,600
20010406,26.22,26.22,26.1,26.15,5200
20010409,26.42,26.42,26.42,26.42,500
20010410,25.92,25.96,25.92,25.96,2300
20010411,25.65,25.73,25.59,25.73,14000
20010412,25.59,25.78,25.59,25.78,16700
20010416,26.02,26.21,25.8,25.8,5800
20010417,25.99,26.17,25.96,26.17,1200
20010418,26.22,26.56,26.02,26.06,8200
20010419,26.02,26.12,26.02,26.12,1400
20010420,26.22,26.31,26.04,26.12,6200
20010423,26.22,26.22,25.87,26.09,3500
20010424,26.03,26.12,25.8,25.8,10800
20010425,25.97,26.56,25.97,26.56,8800
20010426,26.48,26.72,26.44,26.69,7700
20010427,26.7,26.75,26.67,26.75,5900
20010430,27.04,27.08,26.68,26.68,7600
20010501,26.98,27.47,26.98,27.41,8000
20010502,27.14,27.39,27.14,27.37,6500
20010503,27.13,27.21,26.98,27.18,2000
20010504,27.11,27.25,27.11,27.25,3900
20010507,27.31,27.49,27.31,27.45,9300
20010508,27.44,27.44,27.21,27.21,3200
20010509,27.32,27.37,27.23,27.33,4900
20010510,27.44,27.46,27.31,27.31,4400
20010511,27.57,27.57,27.25,27.34,1200
20010514,27.37,27.37,27.27,27.27,1800
20010515,27.37,27.37,27.25,27.25,4400
20010516,27.58,28.02,27.58,28.02,1400
20010517,27.99,27.99,27.74,27.74,2900
20010518,27.67,27.74,27.56,27.7,2000
20010521,27.47,27.68,27.33,27.41,4400
20010522,27.53,27.57,27.47,27.47,2400
20010523,27.54,27.54,27.54,27.54,300
20010524,27.5,27.77,27.34,27.77,2000
20010525,27.52,27.6,27.52,27.6,300
20010529,27.37,27.74,27.37,27.74,19300
20010530,27.76,27.8,27.56,27.8,3500
20010531,27.72,27.77,27.57,27.57,4600
20010601,27.64,27.74,27.54,27.69,4600
20010604,27.5,27.75,27.39,27.74,1200
20010605,27.6,27.78,27.6,27.78,1400
20010606,27.74,27.77,27.64,27.64,4400
20010607,27.57,27.58,27.37,27.48,3800
20010608,27.52,27.52,27.31,27.4,4100
20010611,27.23,27.4,27.23,27.33,3500
20010612,27.26,27.26,27.26,27.26,600
20010613,27.46,27.46,27.32,27.32,600
20010614,27.26,27.26,27.09,27.09,13300
20010615,26.93,26.93,26.83,26.83,1200
20010618,26.79,26.79,26.49,26.57,3800
20010619,26.6,26.6,26.43,26.5,22500
20010620,26.5,26.56,26.5,26.56,800
20010621,26.99,27.13,26.89,26.99,1700
20010622,26.98,27.03,26.87,26.87,6400
20010625,26.97,27.01,26.85,26.85,1400
20010626,26.92,27.03,26.88,26.89,2300
20010627,26.93,27.16,26.93,27.15,4100
20010628,27.24,27.44,27.24,27.44,5100
20010629,27.43,27.51,27.26,27.26,10400
20010702,27.36,27.77,27.36,27.77,4100
20010703,27.59,27.61,27.41,27.55,1200
20010705,27.41,27.41,27.38,27.4,6500
20010706,27.08,27.22,27.08,27.19,2300
20010709,27.13,27.17,27.13,27.16,1100
20010710,27.11,27.11,26.95,27.03,4100
20010711,26.93,27.18,26.93,27.17,5400
20010712,27.07,27.08,26.93,27.08,1400
20010713,27.16,27.2,27.14,27.2,1200
20010716,27.22,27.35,27.18,27.35,10100
20010717,27.1,27.35,27.1,27.35,3300
20010718,27.6,27.6,27.59,27.59,4800
20010719,27.79,27.79,27.43,27.49,1400
20010720,27.57,27.67,27.57,27.67,500
20010723,27.42,27.46,27.32,27.36,1800
20010724,27.24,27.24,26.89,26.89,2000
20010725,27.22,27.37,27.22,27.37,2900
20010726,27.19,27.21,27.19,27.21,300
20010727,27.32,27.32,27.2,27.2,1500
20010730,27.19,27.19,27.08,27.19,900
20010731,27.42,27.61,27.42,27.61,600
20010801,27.59,27.59,27.4,27.4,1500
20010802,27.55,27.55,27.44,27.54,2100
20010803,27.37,27.43,27.25,27.4,1500
20010806,27.34,27.34,27.3,27.3,600
20010807,27.19,27.47,27.16,27.42,16000
20010808,27.31,27.5,27.16,27.32,2000
20010809,27.26,27.36,27.22,27.36,1400
20010810,27.32,27.54,27.32,27.54,300
20010813,27.55,27.55,27.45,27.45,3900
