Date,Open,High,Low,Close,Volume
20210714,20.07,20.32,19.32,19.38,196302
20210715,19.35,19.57,18.81,19.1087,61461
20210716,19.34,19.34,18.91,18.91,28967
20210719,18.7,18.98,18.39,18.92,28190
20210720,19.05,19.6,18.985,19.47,72120
20210721,19.55,20.18,19.55,20.18,53696
20210722,20.18,20.3394,19.9599,20.04,26380
20210723,20.16,20.16,19.96,20.1439,8453
20210726,20.14,20.3576,19.9001,20.05,25900
20210727,19.9,19.95,19.2,19.6369,30169
20210728,19.72,20.3799,19.71,20.202,9442
20210729,20.36,20.41,20.236,20.236,4958
20210730,20.12,20.21,19.91,19.952,8280
20210802,20.12,20.36,20.12,20.16,3576
20210803,20.1,20.1571,19.85,20.1571,7444
20210804,20,20.4,20,20.3233,13777
20210805,20.3528,21.0298,20.3528,21.0239,2818
20210806,21.1623,21.24,20.94,20.97,19401
20210809,21.02,21.24,20.96,21.0732,17890
20210810,21.33,21.33,20.69,20.699,16397
20210811,20.79,20.79,20.23,20.3052,18182
20210812,20.23,20.27,20.14,20.2345,13641
20210813,20.257,20.324,19.95,19.9864,8516
20210816,19.81,19.81,19.45,19.4908,5676
20210817,19.2,19.2,18.8344,19.1535,10429
20210818,19.06,19.35,19.06,19.088,12428
20210819,19.01,19.01,18.71,18.7371,6304
20210820,18.85,19.22,18.85,19.145,9915
20210823,19.84,19.91,19.68,19.865,7862
20210824,19.971,20.2,19.89,20.1913,10640
20210825,20.4292,20.5801,20.4292,20.4835,4095
20210826,20.4,20.4,20.1545,20.1545,8492
20210827,20.432,20.7646,20.42,20.7281,7081
20210830,20.79,20.79,20.55,20.6169,2341
20210831,20.72,20.9103,20.6201,20.9103,5503
20210901,21,21.39,20.98,21.2945,13613
20210902,21.3801,21.66,21.29,21.5405,13192
20210903,21.77,21.98,21.77,21.9756,9187
20210907,22.04,22.04,21.6309,21.6309,10711
20210908,21.345,21.345,20.89,21.0252,12761
20210909,21.29,21.38,21.2705,21.2705,3998
20210910,20.97,20.98,20.7797,20.7797,6998
20210913,20.6,20.6,20.07,20.4,10920
20210914,20.4305,20.52,20.21,20.2258,4528
20210915,20.2499,20.34,20.2499,20.33,2738
20210916,20.2262,20.533,20.15,20.533,3039
20210917,20.59,20.8,20.45,20.8,13808
20210920,20.05,20.16,19.712,19.9415,20248
20210921,20,20.32,20,20.1181,2421
20210922,20.3,20.62,20.3,20.5644,5143
20210923,20.595,20.885,20.56,20.885,3733
20210924,20.6,20.66,20.53,20.5743,924
20210927,20.405,20.405,20.3701,20.3963,1507
20210928,19.7999,19.7999,19.4362,19.4362,6156
20210929,19.21,19.39,19.2,19.2357,2785
20210930,19.47,19.72,19.47,19.5858,2078
20211001,19.34,19.75,19.34,19.7479,1713
20211004,19.22,19.22,18.95,19.16,8693
20211005,19.2169,19.5446,19.2169,19.5446,3213
20211006,19.53,19.75,19.53,19.6931,731
20211007,20.052,20.41,20.03,20.2261,5519
20211008,20.17,20.172,20.02,20.0452,3448
20211011,20.17,20.22,19.9774,19.9774,3667
20211012,20.02,20.24,20.02,20.2321,2201
20211013,20.29,20.4101,20.25,20.4063,7590
20211014,20.6501,20.84,20.52,20.587,4875
20211015,20.63,20.648,20.5761,20.5761,2065
20211018,20.32,20.4673,20.32,20.4673,2486
20211019,20.64,20.685,20.64,20.685,713
20211020,20.64,20.78,20.64,20.7591,2904
20211021,21.02,21.0322,20.975,21.0322,1110
20211022,20.78,20.78,20.44,20.6093,8252
20211025,20.6901,20.8599,20.6901,20.8035,10010
20211026,20.84,20.94,20.84,20.8771,1626
20211027,20.77,20.78,20.6001,20.6004,1061
20211028,20.64,21.5003,20.64,21.5003,1925
20211029,21.54,21.65,21.439,21.439,1591
20211101,21.58,21.952,21.58,21.952,2816
20211102,21.7601,22.2196,21.7601,22.2196,3167
20211103,22.04,22.3199,22.03,22.3199,1136
20211104,22.5921,22.5921,22.21,22.334,1527
20211105,22.63,22.8299,22.17,22.4936,5105
20211108,22.735,22.87,22.72,22.7778,3256
20211109,22.74,22.865,22.3156,22.3156,8811
20211110,22.12,22.12,21.4485,21.4485,3928
20211111,21.85,21.85,21.5634,21.5634,2963
20211112,21.65,21.6728,21.4485,21.6728,1573
20211115,21.62,21.62,21.24,21.2985,1753
20211116,21.29,21.53,21.29,21.5201,1511
20211117,21.04,21.07,20.8043,20.8043,1300
20211118,20.814,20.814,20.3828,20.3828,15583
20211119,20.3,20.6416,20.28,20.4849,9937
20211122,20.45,20.45,19.49,19.6463,9425
20211123,19.45,19.52,19.1551,19.3989,2749
