Date,Open,High,Low,Close,Volume
20151001,23.16,23.16,23.06,23.06,321
20151002,22.82,23.32,22.82,23.32,21497
20151005,24.88,24.88,23.79,23.88,21925
20151006,23.67,23.67,23.67,23.67,21390
20151007,23.81,23.81,23.74,23.74,21497
20151008,23.82,24.08,23.82,24.08,21497
20151009,24.02,24.02,23.96,24.02,23044
20151012,24.11,24.11,24.11,24.11,21390
20151013,23.96,23.96,23.96,23.96,21390
20151014,23.81,23.81,23.68,23.68,21497
20151015,23.92,23.92,23.92,23.92,21390
20151016,24.02,24.08,24.02,24.08,21604
20151019,24.1,24.15,24.1,24.15,23467
20151020,24.38,24.38,24.17,24.17,22636
20151021,24.05,24.05,24.05,24.05,21390
20151022,24.18,24.2,24.16,24.2,21631
20151023,24.18,24.18,24.18,24.18,21390
20151026,24.5,24.5,24.36,24.36,21550
20151027,24.19,24.2,24.1,24.2,22342
20151028,24.42,24.52,24.34,24.52,22888
20151029,24.47,24.47,24.47,24.47,21390
20151030,24.63,24.63,24.63,24.63,21390
20151102,24.57,24.76,24.54,24.76,22850
20151103,24.81,24.85,24.81,24.82,22781
20151104,24.67,24.67,24.61,24.62,22323
20151105,24.7,24.7,24.69,24.7,29946
20151106,24.64,24.64,24.64,24.64,21390
20151109,24.35,24.4,24.31,24.4,18127
20151111,24.33,24.36,24.32,24.32,749
20151116,23.33,23.33,23.33,23.33,7062
20151117,23.73,23.73,23.72,23.72,2572
20151120,24.17,24.28,24.17,24.28,963
20151123,24.33,24.42,24.33,24.42,321
20151124,24.26,24.26,24.17,24.17,1444
20151125,24.53,24.53,24.53,24.53,385
20151130,24.26,24.26,24.26,24.26,930
20151201,24.35,24.45,24.35,24.45,845
20151203,24.16,24.16,24.16,24.16,214
20151204,24.07,24.07,23.99,24.07,981
20151207,24.19,24.19,24.14,24.14,802
20151208,24.1,24.1,24.1,24.1,1048
20151210,23.85,24.02,23.85,24.02,339
20151214,23.62,23.62,23.28,23.28,2177
20151215,23.66,23.66,23.66,23.66,569
20151216,23.96,23.96,23.96,23.96,535
20151217,23.79,23.79,23.79,23.79,214
20151218,23.59,23.59,23.55,23.55,829
20151221,23.56,23.56,23.56,23.56,267
20151223,23.64,23.68,23.64,23.68,228
20151224,23.68,23.68,23.68,23.68,720
20151229,23.91,23.91,23.91,23.91,419
20151230,23.91,23.91,23.91,23.91,3272
20151231,23.74,23.74,23.74,23.74,526
20160106,22.87,22.87,22.87,22.87,160
20160107,22.79,22.79,22.72,22.75,32684
20160108,22.37,22.43,22.37,22.43,320
20160111,21.99,21.99,21.99,21.99,213
20160113,22.35,22.35,22.35,22.35,213
20160114,21.6,21.6,21.6,21.6,213
20160115,21.27,21.27,21.27,21.27,189
20160120,20.94,21.49,20.94,21.49,1653
20160121,21.37,21.6,21.37,21.6,960
20160126,21.93,21.93,21.93,21.93,533
20160127,22.08,22.13,21.82,21.82,1542
20160128,21.79,21.79,21.79,21.79,213
20160202,22.02,22.02,22.02,22.02,213
20160203,21.98,21.98,21.98,21.98,213
20160205,21.72,21.72,21.34,21.34,465
20160208,20.85,20.85,20.85,20.85,213
20160211,20.75,20.75,20.75,20.75,533
20160212,21.03,21.03,21.01,21.01,785
20160216,21.58,21.58,21.58,21.58,533
20160217,22.06,22.21,22.06,22.21,2487
20160224,22.41,22.41,22.41,22.41,853
20160226,22.77,22.77,22.77,22.77,107
20160301,22.95,22.95,22.95,22.95,533
20160303,23.32,23.41,23.27,23.41,1068
20160304,23.42,23.42,23.42,23.42,267
20160309,23.17,23.17,23.17,23.17,427
20160310,23.19,23.19,23.11,23.11,2787
20160311,23.58,23.65,23.58,23.65,395
20160314,23.7,23.7,23.7,23.7,107
20160317,23.77,23.84,23.77,23.84,320
20160318,24.18,24.2,24.14,24.18,1923
20160323,23.96,23.96,23.96,23.96,107
20160324,23.62,23.67,23.62,23.67,2408
20160328,23.79,23.8,23.79,23.8,437
20160330,24.27,24.27,24.27,24.27,426
20160331,24.31,24.32,24.31,24.32,681
20160404,24.32,24.33,24.09,24.24,3949
20160405,23.77,23.83,23.77,23.83,267
20160406,24.03,24.03,24.03,24.03,211
20160407,24.04,24.04,23.86,23.86,2240
20160411,23.78,23.78,23.78,23.78,1334
20160413,24.08,24.09,24.08,24.08,747
20160414,24.55,24.55,24.18,24.18,427
20160415,24.13,24.28,24.13,24.19,2454
20160418,24.32,24.32,24.26,24.26,2512
20160421,24.26,24.26,24.26,24.26,160
20160425,24.02,24.02,24.02,24.02,533
20160426,24.28,24.37,24.23,24.37,2455
20160429,23.9,23.9,23.9,23.9,133
20160502,24.28,24.28,24.28,24.28,2240
20160509,24,24,24,24,107
20160510,24.09,24.27,24.09,24.14,2422
20160511,23.94,23.94,23.68,23.68,1814
20160512,23.59,23.59,23.59,23.59,107
20160513,23.5,23.5,23.34,23.35,1814
20160516,23.5,23.5,23.5,23.5,186
20160517,23.47,23.51,23.23,23.23,1615
20160518,23.09,23.09,23.02,23.02,2133
20160519,23.12,23.12,23.04,23.05,1388
20160520,23.28,23.28,23.27,23.27,1359
20160524,23.5,23.5,23.5,23.5,2987
20160525,23.59,23.59,23.59,23.59,212
20160526,23.62,23.62,23.62,23.62,322
20160606,23.86,23.86,23.86,23.86,533
20160607,24.04,24.04,24.04,24.04,107
20160608,24.02,24.02,24.02,24.02,1493
20160609,23.89,23.89,23.89,23.89,107
20160610,23.69,23.69,23.69,23.69,640
20160613,23.44,23.44,23.44,23.44,374
20160614,23.21,23.21,23.21,23.21,107
20160617,23.55,23.55,23.55,23.55,3840
20160620,23.91,23.98,23.77,23.77,1440
20160621,23.75,23.75,23.66,23.66,1896
20160622,23.66,23.66,23.66,23.66,107
20160623,23.85,23.87,23.85,23.87,2986
20160624,23.24,23.38,23.03,23.11,6179
20160627,22.53,22.53,22.37,22.37,370
20160628,22.86,22.86,22.74,22.74,924
