Date,Open,High,Low,Close,Volume
20150929,22.69,22.69,22.64,22.64,214
20150930,22.99,24.06,22.99,23.04,21611
20151001,23.09,23.09,23.09,23.09,21397
20151002,23.23,23.23,23.23,23.23,21397
20151005,23.85,23.85,23.85,23.85,21397
20151006,23.78,23.78,23.7,23.7,21509
20151007,23.92,23.92,23.92,23.92,21397
20151008,24.01,24.23,23.97,24.23,22788
20151009,24.21,24.21,24.21,24.21,21397
20151012,24.25,24.25,24.25,24.25,21397
20151013,24.26,24.26,24.07,24.07,21600
20151014,23.91,23.91,23.91,23.91,21397
20151015,24.12,24.12,24.12,24.12,21397
20151016,24.16,24.17,24.16,24.17,22146
20151019,24.43,24.43,24.15,24.16,21878
20151020,24.01,24.27,24.01,24.27,21504
20151021,24.01,24.13,24.01,24.13,21611
20151022,24.23,24.34,24.2,24.34,21718
20151023,24.37,24.37,24.35,24.37,21611
20151026,24.28,24.33,24.28,24.33,22060
20151027,24.54,24.54,24.1,24.16,22413
20151028,24.42,24.53,24.42,24.53,21825
20151029,24.61,25.33,24.4,24.42,25499
20151030,24.5,24.51,24.5,24.51,22248
20151102,25.74,25.74,24.59,24.81,30250
20151103,24.8,24.8,24.76,24.76,22574
20151104,24.79,24.79,24.71,24.71,30889
20151105,24.76,24.76,24.57,24.71,24372
20151106,24.63,24.68,24.61,24.68,27713
20151109,24.36,24.62,24.36,24.51,19190
20151110,24.32,24.53,24.32,24.53,1013
20151111,24.49,24.49,24.43,24.43,856
20151112,24.35,24.35,24.18,24.18,2648
20151113,23.84,23.92,23.84,23.92,3017
20151116,23.79,24.03,23.79,24,15521
20151117,24.21,24.21,24.01,24.04,6038
20151118,24.13,24.18,24.13,24.18,1498
20151119,24.39,24.39,24.37,24.37,4493
20151120,24.51,24.51,24.46,24.47,6805
20151123,24.56,24.6,24.51,24.53,749
20151124,24.44,24.52,24.44,24.52,535
20151125,24.62,24.67,24.62,24.64,1838
20151127,24.7,24.7,24.7,24.7,715
20151130,24.73,24.73,24.64,24.65,2859
20151201,24.77,24.83,24.7,24.83,7883
20151202,24.65,24.65,24.64,24.64,1208
20151203,24.54,24.54,24.13,24.13,8858
20151204,24.36,24.56,24.36,24.56,1776
20151207,24.41,24.41,24.27,24.27,2295
20151208,24.34,24.34,24.13,24.17,909
20151209,24.25,24.35,23.92,23.95,3648
20151210,24.06,24.15,23.95,23.95,1602
20151211,23.74,23.77,23.61,23.62,802
20151214,23.52,23.52,23.52,23.52,214
20151215,23.83,23.83,23.81,23.81,856
20151216,24,24.11,23.84,24.11,2296
20151217,24.01,24.01,23.84,23.84,1204
20151218,23.94,23.94,23.47,23.47,5359
20151221,23.62,23.62,23.43,23.51,19970
20151222,23.77,23.77,23.77,23.77,2626
20151223,24.03,24.08,24,24.08,2711
20151224,24.12,24.12,24.12,24.12,799
20151229,24.25,24.28,24.25,24.27,6717
20151230,24.27,24.27,24.26,24.26,794
20151231,24,24.06,24,24.02,1605
20160104,23.63,23.63,23.42,23.42,3120
20160105,23.61,23.61,23.58,23.58,796
20160106,23.32,23.32,23.23,23.23,2127
20160107,22.93,22.96,22.76,22.77,38003
20160108,22.69,22.7,22.48,22.48,4436
20160111,22.57,22.57,22.17,22.36,6970
20160112,22.32,22.32,22.21,22.26,586
20160114,22.04,22.12,21.63,22.12,2278
20160115,21.61,21.68,21.43,21.67,6586
20160119,22.02,22.02,21.38,21.38,1847
20160120,21.23,21.51,20.77,21.51,7194
20160121,21.39,21.64,21.39,21.64,1120
20160125,21.68,21.68,21.58,21.58,1620
20160126,21.71,21.85,21.71,21.81,1973
20160127,21.63,21.63,21.63,21.63,213
20160128,21.66,21.66,21.63,21.63,1925
20160129,22.05,22.05,22.05,22.05,533
20160201,22.27,22.27,22.25,22.25,1886
20160202,22.01,22.01,21.88,21.88,1482
20160203,21.78,21.78,21.78,21.78,213
20160204,22.11,22.13,22.05,22.13,3369
20160205,22.29,22.29,21.67,21.67,1821
20160208,21.23,21.23,20.96,20.96,2103
20160209,21.11,21.27,21.11,21.26,746
20160210,21.29,21.29,21.29,21.29,1066
20160211,21,21,20.87,21,1067
20160212,21.3,21.33,21.3,21.33,960
20160216,21.64,21.64,21.64,21.64,1602
20160217,22.18,22.24,22.18,22.23,3284
20160218,22.15,22.18,22.08,22.17,1386
20160219,22.15,22.15,22.15,22.15,978
20160222,22.42,22.47,22.42,22.47,293
20160223,22.68,22.68,22.29,22.33,2553
20160224,21.99,22.03,21.99,22.03,1088
20160225,22.6,22.6,22.6,22.6,213
20160226,22.71,22.84,22.7,22.76,1378
20160229,22.68,22.83,22.64,22.65,7532
20160301,22.85,23.05,22.82,23.05,3036
20160302,22.99,23.14,22.98,23.14,2399
20160303,23.23,23.44,23.23,23.44,3120
20160304,23.6,23.6,23.46,23.51,1523
20160307,23.62,23.62,23.49,23.49,1757
20160308,23.44,23.44,23.27,23.27,2094
20160310,23.47,23.47,23.18,23.19,1422
20160311,23.72,23.8,23.71,23.8,2135
20160314,23.71,23.76,23.69,23.75,3939
20160315,23.58,23.58,23.54,23.58,2350
20160316,23.62,23.62,23.62,23.62,107
20160317,24.03,24.03,23.98,23.98,746
20160318,24.13,24.13,24.09,24.09,2030
20160321,24.07,24.14,24.03,24.14,5525
20160322,24.15,24.3,24,24.3,4812
20160323,24.01,24.19,24.01,24.15,1279
20160324,23.87,23.89,23.73,23.89,321
20160328,23.9,23.96,23.9,23.96,764
20160329,24.06,24.49,24.05,24.45,14467
20160330,24.4,24.62,24.33,24.43,6666
20160331,24.34,24.43,24.34,24.37,7020
20160401,24.19,24.47,24.19,24.47,854
20160404,22.99,24.56,22.99,24.34,2218
20160405,24.39,24.39,24.03,24.04,30915
20160406,24.14,24.21,24.14,24.21,7321
20160407,24.04,24.04,23.97,23.97,2330
20160408,24.1,24.1,23.99,24.03,1691
20160411,24.24,24.24,24.06,24.06,1919
20160412,23.87,24.15,23.87,24.15,9935
20160413,24.35,24.52,24.35,24.52,826
20160414,24.66,24.66,24.46,24.48,2575
20160415,24.49,24.51,24.49,24.51,1298
20160418,24.54,24.64,24.47,24.54,3440
20160419,24.71,24.74,24.63,24.74,3303
20160420,24.81,24.81,24.67,24.67,513
20160421,24.73,24.78,24.58,24.59,3705
20160422,24.68,24.68,24.67,24.67,930
20160425,24.72,24.72,24.59,24.59,2706
20160426,24.77,24.81,24.75,24.81,3998
20160427,24.91,24.97,24.79,24.97,4009
20160428,24.85,24.92,24.85,24.85,4900
20160429,24.39,24.39,24.37,24.38,666
20160502,24.63,24.68,24.63,24.68,1920
20160503,24.41,24.46,24.26,24.37,24130
20160504,24.33,24.4,24.18,24.29,36642
20160505,24.36,24.36,24.24,24.24,16540
20160506,24.15,24.35,24.12,24.34,5027
20160509,24.64,24.64,24.4,24.4,322
20160510,24.58,24.67,24.55,24.67,8436
20160511,24.67,24.67,24.47,24.47,6845
20160512,24.49,24.49,24.3,24.43,7086
20160513,24.43,24.46,24.23,24.25,3500
20160516,24.53,24.53,24.48,24.48,731
20160517,24.62,24.62,24.3,24.3,601
20160518,24.06,24.34,24.06,24.22,3113
20160519,24.27,24.29,24.02,24.11,3409
20160520,24.42,24.42,24.36,24.36,749
20160523,24.39,24.43,24.39,24.43,1360
20160524,24.7,24.71,24.68,24.71,624
20160525,24.87,24.89,24.85,24.89,1602
20160526,24.88,24.88,24.87,24.88,1200
20160527,24.92,24.92,24.92,24.92,309
20160531,25.79,25.79,24.95,25.01,2286
20160601,25.04,25.15,25,25.13,12599
20160602,25.23,25.23,25.23,25.23,277
20160603,25.01,25.09,25.01,25.08,974
20160606,25.25,25.33,25.22,25.31,2604
20160607,25.35,25.46,25.34,25.4,6537
20160608,25.47,25.5,25.41,25.48,2446
20160609,25.38,25.38,25.38,25.38,107
20160610,25.15,25.15,25.04,25.04,2187
20160613,24.96,24.96,24.84,24.84,694
20160614,24.87,24.87,24.6,24.67,1423
20160615,24.85,24.94,24.76,24.76,2157
20160616,25.84,30.95,24.52,24.77,3815
20160617,24.78,24.78,24.69,24.69,8891
20160620,25.13,25.16,25,25,3243
20160621,25.04,25.05,24.96,25.04,4113
20160622,25.35,25.35,25.04,25.04,9551
20160623,25.1,25.34,25.1,25.34,12842
20160624,24.66,24.89,24.33,24.33,14809
20160627,23.99,23.99,23.57,23.67,848
20160628,23.97,23.97,23.97,23.97,208
20160629,24.43,24.57,24.42,24.54,2425
20160630,24.56,24.94,24.56,24.94,6048
20160701,25.1,25.15,24.99,25.09,15528
20160705,24.82,24.82,24.7,24.82,808
20160707,25.06,25.12,24.88,24.89,3656
20160708,25.15,25.42,25.15,25.4,4496
20160711,25.53,25.56,25.53,25.55,5326
20160712,25.65,25.8,25.65,25.8,1639
20160713,25.72,25.72,25.71,25.71,684
20160714,25.85,25.9,25.82,25.82,3929
20160715,25.87,25.87,25.77,25.8,22423
20160718,25.73,25.98,25.73,25.88,7423
20160719,25.79,25.81,25.71,25.72,10030
20160720,25.93,25.96,25.93,25.96,4992
20160721,25.99,26.07,25.82,25.82,4575
20160722,25.9,26.04,25.84,26.03,34677
20160725,26,26,25.9,25.96,36264
20160726,26.08,27.15,26.01,26.12,29763
20160727,26.03,26.03,25.9,25.97,18331
20160728,25.9,26.08,25.9,26.05,48087
20160729,26.01,26.08,25.98,26.06,2321
20160801,26.16,26.16,25.95,25.95,5041
20160802,25.91,25.91,25.69,25.71,4566
20160803,25.82,25.82,25.72,25.79,1315
20160804,26.14,26.14,25.83,25.86,8043
20160805,25.94,26.05,25.94,26.01,15446
20160808,26.1,26.11,26.02,26.03,8697
20160809,26.09,26.09,26.01,26.01,1412
20160810,26.18,26.18,25.98,26.01,1390
20160811,26.17,26.17,25.99,26.09,6436
20160812,26.04,26.11,26.01,26.05,5878
20160815,26.22,26.22,26.18,26.18,4354
20160816,26.26,26.26,26.03,26.04,1101
20160817,25.89,25.93,25.78,25.91,5253
20160818,26.05,26.08,26.05,26.08,1060
20160819,26.02,26.11,26.02,26.11,3909
20160822,26.05,26.14,26.05,26.13,7863
20160823,26.19,26.31,26.19,26.25,6351
20160824,26.55,26.55,26.06,26.06,6886
20160825,26.14,26.16,26.13,26.13,2464
20160826,26.27,26.27,25.98,26,13410
20160829,26.19,26.25,26.19,26.2,5430
20160830,26.25,26.25,26.08,26.16,5728
20160831,26.14,26.14,25.99,26.09,23006
20160901,25.95,26.08,25.95,26.03,3162
20160902,26.15,26.33,26.15,26.28,17221
20160906,26.32,26.32,26.23,26.26,3254
20160907,26.38,26.38,26.26,26.31,992
20160908,26.62,26.62,26.28,26.29,21578
20160909,26.18,26.18,25.65,25.65,4127
20160912,25.59,25.89,25.54,25.87,4140
20160913,25.84,25.84,25.44,25.49,12673
20160914,25.5,25.54,25.4,25.49,6418
20160915,25.6,25.72,25.6,25.72,1293
20160919,25.86,25.86,25.64,25.64,6786
20160920,25.78,25.8,25.63,25.68,3455
20160921,25.78,25.98,25.65,25.94,7665
20160922,26.21,26.3,26.16,26.16,2795
20160923,26.2,26.2,26.05,26.07,4802
20160926,25.93,25.99,25.9,25.92,7217
20160927,25.91,26,25.89,25.98,4675
20160928,26.05,26.12,26,26.12,1400
20160929,26.12,26.12,25.92,25.92,45648
20160930,26,26.19,25.96,26.19,11749
20161003,26.1,26.1,25.93,26.03,15776
20161004,25.95,26,25.78,25.84,4642
20161005,26.02,26.08,25.99,25.99,15190
20161006,25.93,26.03,25.87,26.03,8337
20161007,25.88,25.89,25.78,25.88,3266
20161010,26.03,26.03,25.98,26,65551
20161011,25.77,25.77,25.48,25.58,5853
20161012,25.83,25.83,25.62,25.65,2629
20161013,25.39,25.55,25.32,25.55,3039
20161014,25.66,25.71,25.54,25.54,2004
20161017,25.51,25.51,25.45,25.45,611
20161018,25.85,25.85,25.61,25.64,5732
20161019,25.67,25.8,25.66,25.72,8464
20161020,25.7,25.7,25.6,25.66,16767
20161021,25.6,25.63,25.58,25.61,3153
20161024,25.77,25.77,25.68,25.72,7494
20161025,25.63,25.63,25.52,25.52,1692
20161026,25.65,25.75,25.42,25.47,17585
20161027,25.89,25.89,25.27,25.28,9838
20161028,25.45,25.5,25.28,25.33,8120
20161031,25.36,25.46,25.36,25.46,8512
20161101,25.39,25.39,25.16,25.21,2198
20161102,25.31,25.31,25.01,25.01,10693
20161103,25.4,25.4,24.92,24.92,12649
20161104,25.08,25.11,24.96,24.96,1871
20161107,25.26,25.45,25.26,25.45,9882
20161108,25.37,25.62,25.37,25.6,8130
20161109,25.41,25.94,25.41,25.87,18871
20161110,26.05,26.15,25.98,26.03,7336
20161111,26.12,26.12,25.91,26.12,29426
20161114,26.35,26.42,26.3,26.42,11001
20161115,26.55,26.63,26.47,26.62,8727
20161116,26.66,26.66,26.49,26.54,8966
20161117,26.91,26.91,26.64,26.73,208306
20161118,26.72,26.73,26.65,26.66,51992
20161121,26.77,26.87,26.76,26.87,21303
20161122,27,27,26.83,26.97,652611
20161123,26.99,27.04,26.97,27.02,4159
20161125,27.13,27.16,27.13,27.13,1146
20161128,27.21,27.21,26.97,26.97,19441
20161129,27.07,27.12,27.03,27.04,10016
20161130,27.04,27.09,26.94,26.94,8986
20161201,27,27,26.77,26.79,7468
20161202,26.89,26.89,26.78,26.82,3960
20161205,26.93,27.1,26.93,27.07,8939
20161206,27.06,27.28,27.06,27.25,7831
20161207,27.42,27.66,27.33,27.59,14441
20161208,27.68,27.9,27.66,27.83,16792
20161209,27.83,27.87,27.76,27.83,10575
20161212,27.87,27.89,27.6,27.67,16702
20161213,27.71,27.79,27.65,27.72,11464
20161214,27.67,27.87,27.4,27.49,12878
20161215,27.83,27.83,27.44,27.53,27824
20161216,27.62,27.62,27.43,27.43,11907
20161219,27.58,27.6,27.45,27.54,5079
20161220,27.82,27.83,27.61,27.66,18768
20161221,27.69,27.79,27.61,27.61,68829
20161222,27.5,27.52,27.39,27.45,14480
20161223,27.47,27.52,27.47,27.51,24940
20161227,27.51,27.65,27.51,27.61,9940
20161228,27.74,27.74,27.3,27.33,6691
20161229,27.4,27.4,27.27,27.36,4618
20161230,27.3,27.36,27.23,27.23,11605
20170103,27.42,27.87,27.31,27.38,9113
20170104,27.55,27.83,27.55,27.82,37508
20170105,28.16,28.16,27.58,27.67,9697
20170106,27.7,27.81,27.67,27.76,6754
20170109,27.74,27.74,27.58,27.59,30447
20170110,27.68,27.77,27.64,27.72,14710
20170111,27.86,27.88,27.69,27.77,24212
20170112,27.76,27.76,27.49,27.73,19922
20170113,27.86,27.89,27.81,27.82,10602
20170117,27.83,27.83,27.6,27.67,8072
20170118,27.81,27.84,27.63,27.8,8385
20170119,27.85,27.89,27.57,27.59,28034
20170120,27.7,27.79,27.68,27.7,17885
20170123,27.64,27.92,27.53,27.69,34920
20170124,27.75,28.04,27.75,28.01,17250
20170125,28.18,28.27,28.18,28.25,21631
20170126,28.29,28.3,28.15,28.18,12424
20170127,28.23,28.23,28.05,28.09,9563
20170130,28.15,28.15,27.67,27.92,22137
20170131,27.89,27.99,27.76,27.98,24701
20170201,28.59,28.59,27.83,27.92,16755
20170202,27.85,28.01,27.83,27.96,32966
20170203,28.14,28.24,28.1,28.21,16884
20170206,28.17,28.2,28.1,28.12,57037
20170207,28.11,28.2,28.05,28.08,20836
