Date,Open,High,Low,Close,Volume
20071025,52.48,52.53,52.38,52.49,33500
20071026,52.65,52.65,52.52,52.65,800
20071030,54.01,54.01,54.01,54.01,400
20071031,53.87,55.05,53.87,55.05,16500
20071101,55.13,55.54,55.13,55.54,30300
20071102,55.96,55.96,55.96,55.96,100
20071105,55.26,55.61,54.82,54.82,36000
20071106,55.81,55.81,55.17,55.27,46000
20071107,55.39,55.42,54.26,54.26,39500
20071108,55.27,55.27,54.61,54.96,28800
20071109,54.38,55.33,54.38,55.33,20800
20071114,54.48,54.48,54.48,54.48,100
20071115,53.52,53.52,53.52,53.52,10000
20071116,54.51,54.51,54.45,54.45,200
20071120,54.93,55,54.93,55,40000
20071121,55.42,55.42,55.07,55.07,2100
20071126,55.6,55.6,55.6,55.6,10810
20071127,54.72,54.72,54.72,54.72,300
20071128,53.82,53.82,52.34,52.34,40000
20071129,52.43,52.57,52.43,52.57,20000
20071203,50.57,50.57,50.57,50.57,500
20071204,50.23,50.23,50.23,50.23,200
20071205,50.77,50.77,50.77,50.77,200
20071206,50.81,50.98,50.79,50.98,11000
20071207,50.25,50.25,50.25,50.25,100
20071210,49.91,49.91,49.91,49.91,1000
20071211,50.66,50.88,50.64,50.88,1200
20071212,52.22,53.19,52.22,53.19,2600
20071213,52.34,52.34,52.34,52.34,1000
20071214,51.89,52.11,51.89,52.01,3200
20071217,51.75,51.75,51.4,51.4,11810
20071218,52.27,52.27,51.49,51.49,2000
20071219,52.17,52.17,52.17,52.17,1000
20071220,51.9,51.9,51.9,51.9,100
20071226,52.77,53.13,52.77,53.03,1700
20071227,53.03,53.03,53.03,53.03,4990
20071228,53.59,53.59,53.59,53.59,1000
20080102,54.9,55.99,54.9,55.99,1300
20080103,55.34,55.56,55.34,55.56,1100
20080104,54.91,54.91,54.91,54.91,1000
20080107,54.65,54.65,54.11,54.38,600
20080108,55.13,55.13,55.13,55.13,1000
20080110,54.13,54.47,54.13,54.47,10500
20080114,54.39,54.59,54.39,54.59,200
20080115,53.86,53.86,53.23,53.23,2000
20080116,52.62,52.76,52.62,52.72,14000
20080122,51.3,51.84,51.3,51.6,9300
20080123,50.96,50.96,50.96,50.96,1000
20080124,51.3,51.8,51.13,51.8,1200
20080125,52.68,52.68,52.68,52.68,1000
20080128,52.62,53.4,52.62,53.4,2370
