Date,Open,High,Low,Close,Volume
20040713,58.53,58.59,58.53,58.59,200
20040714,46.56,46.7,46.38,46.41,1134
20040715,46.47,46.48,46.38,46.41,1385
20040716,46.48,46.48,46.23,46.23,1008
20040719,46.24,46.24,46.02,46.21,1888
20040720,46.2,46.52,46.19,46.52,1007
20040721,46.73,46.73,46.13,46.13,3399
20040722,45.61,45.61,45.61,45.61,755
20040723,45.31,45.31,45.18,45.25,504
20040726,44.78,44.8,44.68,44.8,1763
20040727,44.94,45.27,44.9,45.26,5666
20040728,45,45.35,45,45.35,629
20040729,45.5,45.55,45.5,45.55,4279
20040730,45.63,45.72,45.63,45.65,1888
20040802,45.53,45.73,45.45,45.73,630
20040803,45.66,45.67,45.52,45.52,1260
20040804,45.1,45.48,45.1,45.41,34734
20040805,44.96,44.96,44.85,44.85,881
20040806,44.22,44.22,44.03,44.03,882
20040809,44.08,44.08,44.01,44.05,1259
20040810,44.19,44.53,44.19,44.53,9314
20040811,44.17,44.2,44.17,44.2,8558
20040813,43.81,43.81,43.7,43.7,504
20040816,44.37,44.51,44.37,44.51,4154
20040817,45,45,44.76,44.78,7426
20040818,45.08,45.37,45.04,45.37,26683
20040819,45.2,45.2,45.05,45.13,4658
20040820,45.34,45.52,45.34,45.52,5034
20040823,45.61,45.61,45.53,45.53,8936
20040824,45.68,45.68,45.35,45.51,47320
20040825,45.48,45.72,45.48,45.72,7048
20040826,45.79,45.82,45.71,45.82,6671
20040827,45.82,45.83,45.79,45.83,1385
20040830,45.83,45.83,45.55,45.55,1636
20040831,45.49,45.57,45.44,45.57,32594
20040901,45.95,45.95,45.9,45.9,1511
20040902,46.08,46.44,46.07,46.44,1259
20040903,46.41,46.41,46.3,46.33,2643
20040907,46.68,46.87,46.68,46.79,3777
20040908,46.71,46.71,46.41,46.41,4279
20040909,46.54,46.58,46.29,46.54,9439
20040910,46.48,46.75,46.41,46.75,53739
20040913,46.79,47.06,46.79,46.95,3525
20040914,46.93,46.94,46.81,46.94,6421
20040915,46.6,46.75,46.6,46.63,1764
20040916,47.04,47.04,46.93,46.93,1512
20040917,47.07,47.11,46.96,46.96,8432
20040920,46.83,46.87,46.75,46.77,2266
20040921,46.87,47.16,46.82,47.16,1512
20040922,46.88,46.88,46.68,46.71,4658
20040923,46.51,46.6,46.51,46.51,3775
20040924,46.64,46.69,46.57,46.57,504
20040927,46.33,46.38,46.3,46.3,1883
20040928,46.18,46.47,46.18,46.47,1883
20040929,46.48,46.61,46.43,46.6,3142
20040930,46.82,47.01,46.71,47,6657
20041001,47.35,47.52,47.35,47.52,2136
20041004,47.85,47.99,47.78,47.78,2765
20041005,47.51,47.7,47.51,47.6,6657
