Date,Open,High,Low,Close,Volume
20180913,45.9,45.91,45.9,45.91,169606
20180914,45.91,45.91,45.88,45.88,654
20180917,45.78,45.78,45.78,45.78,436
20180918,45.73,45.76,45.59,45.64,3054
20180919,45.55,45.59,45.55,45.59,550
20180920,45.62,45.62,45.62,45.62,153
20180921,45.67,45.68,45.65,45.65,3272
20180924,45.6,45.69,45.6,45.63,4035
20180925,45.62,45.62,45.62,45.62,327
20180926,45.74,45.74,45.74,45.74,154
20180927,45.71,45.71,45.69,45.7,1418
20181001,45.7,45.7,45.7,45.7,360
20181002,45.77,45.77,45.77,45.77,109
20181003,45.66,45.66,45.62,45.62,26616
20181004,45.47,45.47,45.41,45.45,7690
20181008,45.39,45.45,45.37,45.37,7170
20181009,45.42,45.42,45.42,45.42,419
20181010,45.36,45.42,45.36,45.4,6294
20181011,45.55,45.62,45.54,45.57,3602
20181012,45.48,45.5,45.47,45.5,1581
20181015,45.41,45.41,45.41,45.41,109
20181016,45.51,45.52,45.51,45.52,3303
20181017,45.51,45.51,45.51,45.51,390
20181018,45.37,45.43,45.36,45.38,4908
20181019,45.36,45.36,45.36,45.36,154
20181022,45.43,45.43,45.41,45.41,998
20181023,45.48,45.48,45.46,45.46,1527
20181029,45.57,45.58,45.57,45.58,327
20181030,45.55,45.56,45.52,45.52,1526
20181031,45.48,45.48,45.48,45.48,113
20181101,45.32,45.35,45.3,45.31,2067
20181105,45.35,45.35,45.32,45.33,5708
20181106,45.27,45.28,45.21,45.24,4187
20181107,45.34,45.34,45.27,45.27,870
20181108,45.34,45.34,45.25,45.26,24587
20181109,45.35,45.39,45.31,45.31,43319
20181112,45.35,45.35,45.35,45.35,326
20181113,45.43,45.53,45.37,45.42,75426
20181114,45.45,45.45,45.4,45.4,3309
20181116,45.58,45.7,45.58,45.7,11003
20181119,45.74,45.78,45.74,45.74,6491
20181120,45.72,45.72,45.7,45.7,2989
20181121,45.63,45.63,45.55,45.61,378
20181123,45.66,45.7,45.62,45.62,2275
20181126,45.61,45.66,45.6,45.66,3501
20181127,45.69,45.72,45.66,45.69,4460
20181128,45.72,45.77,45.7,45.74,10177
20181129,45.82,45.82,45.78,45.82,1025
20181130,45.85,45.88,45.84,45.88,4062
20181203,45.83,45.84,45.75,45.75,1520
20181204,45.84,45.92,45.84,45.92,3146
20181206,46.02,46.02,45.99,46,5319
20181207,46.13,46.18,46.11,46.18,1607
20181210,46.25,46.3,46.21,46.21,1114
20181211,46.26,46.28,46.2,46.23,15388
20181212,46.19,46.19,46.19,46.19,33
20181213,46.18,46.18,46.16,46.18,707
20181214,46.2,46.23,46.15,46.2,20210
20181217,46.2,46.2,46.2,46.2,1877
20181218,46.36,46.36,46.36,46.36,1660
20181219,46.42,46.5,46.34,46.44,818307
20181220,46.34,46.4,46.31,46.36,4900
20181221,46.37,46.38,46.33,46.37,10515
20181224,46.39,46.44,46.35,46.35,2645
20181226,46.44,46.44,46.32,46.34,2581
20181227,46.26,46.29,46.25,46.25,5775
20181228,46.37,46.56,46.37,46.56,52587
20181231,46.57,46.65,46.57,46.65,5113
20190102,46.71,46.71,46.61,46.71,6948
20190103,46.77,46.84,46.76,46.83,5099
20190104,46.88,46.88,46.8,46.88,1913
20190107,46.72,46.73,46.69,46.71,9639
20190108,46.63,46.72,46.62,46.67,9770
20190109,46.67,46.67,46.58,46.62,6261
20190110,46.71,46.71,46.66,46.7,1724
20190111,46.68,46.72,46.65,46.72,13294
20190114,46.7,46.72,46.69,46.69,1900
20190115,46.7,46.73,46.66,46.68,12535
20190116,46.73,46.73,46.63,46.68,5883
20190117,46.73,46.73,46.63,46.72,18217
20190118,46.65,46.66,46.57,46.6,31455
20190122,46.64,46.65,46.62,46.62,4234
20190123,46.58,46.66,46.58,46.66,2886
20190124,46.64,46.66,46.63,46.65,8801
20190125,46.61,46.65,46.58,46.65,19307
20190128,46.63,46.66,46.58,46.62,3662
20190129,46.71,46.73,46.63,46.67,4473
20190130,46.7,46.7,46.7,46.7,1583
20190131,46.9,46.93,46.86,46.92,7499
20190201,46.99,46.99,46.78,46.86,61930
20190204,46.74,46.75,46.74,46.75,683
20190205,46.89,46.89,46.82,46.89,3422
20190206,46.94,46.94,46.92,46.94,2241
20190207,46.97,46.97,46.75,46.77,11630
20190208,46.9,46.9,46.9,46.9,33
20190211,47,47.02,47,47.02,639
20190212,47.02,47.02,46.81,46.81,5544
20190213,46.94,46.98,46.89,46.97,167423
20190214,46.99,46.99,46.99,46.99,141
20190215,46.94,46.94,46.94,46.94,33
20190219,47.02,47.02,46.99,46.99,441
20190220,47.09,47.11,46.94,47.05,56653
20190221,47.06,47.06,46.85,47.06,20872
20190222,46.97,46.97,46.97,46.97,573
20190225,47.04,47.04,47.04,47.04,33
20190226,47,47.07,47,47.03,897
20190227,47.07,47.07,47.04,47.04,2673
20190228,47.02,47.02,47.02,47.02,33
20190301,46.84,46.84,46.84,46.84,300
20190304,46.87,46.92,46.87,46.92,1118
20190305,46.96,47.01,46.96,46.99,24100
20190306,46.95,47.05,46.95,46.98,3399
20190307,47.07,47.07,47.07,47.07,33
20190308,47.13,47.13,47.13,47.13,33
20190311,47.2,47.24,47.2,47.23,3523
20190312,47.21,47.25,47.21,47.25,1455
20190313,47.31,47.31,47.28,47.29,2859
20190314,47.22,47.29,47.21,47.21,2482
20190315,47.28,47.28,47.23,47.28,1929
20190318,47.36,47.38,47.33,47.33,9722
20190319,47.38,47.39,47.37,47.38,5357
20190320,47.37,47.44,47.37,47.44,1380
20190321,47.5,47.54,47.5,47.54,1830
20190322,47.63,47.63,47.61,47.63,1653
20190325,47.74,47.74,47.72,47.73,2566
20190326,47.76,47.77,47.72,47.72,10905
20190327,47.81,47.83,47.8,47.8,14418
20190328,47.79,47.8,47.78,47.79,3588
20190329,47.7,47.76,47.7,47.76,924
20190401,47.68,47.68,47.66,47.67,2931
20190402,47.61,47.61,47.61,47.61,1629
20190403,47.59,47.61,47.59,47.61,9414
20190404,47.58,47.62,47.58,47.62,878
20190405,47.63,47.63,47.62,47.62,2709
20190408,47.58,47.61,47.58,47.6,620
20190409,47.61,47.63,47.61,47.63,7215
20190410,47.63,47.67,47.61,47.67,25394
20190411,47.64,47.66,47.63,47.65,4203
20190412,47.59,47.66,47.59,47.62,2550
20190415,47.58,47.59,47.55,47.55,1799
20190416,47.63,47.63,47.59,47.59,26268
20190417,47.52,47.58,47.48,47.56,34584
20190418,47.57,47.57,47.48,47.48,1679
20190422,47.55,47.55,47.52,47.52,3361
20190423,47.48,47.53,47.48,47.52,3948
20190424,47.59,47.63,47.59,47.61,12930
20190425,47.63,47.66,47.6,47.64,11821
20190426,47.66,47.67,47.66,47.66,2327
20190429,47.71,47.74,47.71,47.74,2477
20190430,47.69,47.74,47.66,47.74,29323
20190501,47.68,47.76,47.68,47.74,6795
20190502,47.74,47.74,47.66,47.74,19708
20190503,47.76,47.77,47.72,47.75,8067
20190506,47.81,47.81,47.75,47.81,1583
20190507,47.82,47.86,47.81,47.86,2632
20190508,47.84,48.03,47.83,47.84,10756
20190509,47.85,47.85,47.82,47.84,2928
20190510,47.88,47.88,47.86,47.86,1746
20190513,47.92,47.95,47.9,47.9,5192
20190514,47.96,47.96,47.94,47.94,388
20190515,48.02,48.03,47.95,48.01,26016
20190516,48.03,48.03,48,48.03,1682
20190517,47.95,48.01,47.95,48.01,2032
20190520,47.98,48,47.96,48,3321
20190521,47.95,47.95,47.9,47.94,4889
20190522,47.95,47.98,47.95,47.96,24966
20190523,47.99,48.04,47.98,48.04,5409
20190524,48.08,48.08,48,48.07,2068
20190528,48.06,48.12,48.03,48.04,3826
20190529,48.12,48.16,48.12,48.15,711
20190530,48.15,48.18,48.12,48.18,5643
20190531,48.23,48.27,48.21,48.27,730
20190603,48.39,48.42,48.36,48.42,1663
20190604,48.45,48.45,48.43,48.45,2247
20190605,48.4,48.4,48.35,48.35,1668
20190606,48.44,48.46,48.39,48.46,1809
