Date,Open,High,Low,Close,Volume
20171109,22.77,22.77,22.77,22.77,100
20171114,22.85,22.85,22.85,22.85,1093100
20171221,22.85,22.85,22.85,22.85,100
20171228,23.61,23.61,23.6,23.6,300
20180103,23.64,23.64,23.64,23.64,400
20180105,23.75,23.76,23.75,23.76,200
20180116,23.97,23.97,23.97,23.97,100
20180119,24.09,24.09,24.09,24.09,400
20180122,24.24,24.25,24.24,24.25,300
20180123,24.33,24.33,24.33,24.33,100
20180124,24.36,24.36,24.36,24.36,100
20180202,23.99,23.99,23.99,23.99,100
20180208,22.93,22.94,22.92,22.92,700
20180212,22.92,22.92,22.92,22.92,100
20180216,23.52,23.52,23.52,23.52,1100
20180226,23.52,23.52,23.52,23.52,1100
20180227,23.4,23.4,23.4,23.4,700
20180305,23.22,23.22,23.22,23.22,400
20180312,23.61,23.64,23.61,23.62,1600
20180321,23.29,23.29,23.29,23.29,100
20180322,23.14,23.14,23.14,23.14,100
20180329,22.89,23.14,22.89,23.14,1600
20180501,23.08,23.11,23.08,23.11,700
20180502,22.99,22.99,22.99,22.99,200
20180509,23.11,23.11,23.11,23.11,1600
20180511,23.44,23.44,23.44,23.44,1100
20180521,23.4,23.42,23.4,23.42,2700
20180522,23.41,23.41,23.4,23.4,1600
20180627,23.87,23.87,23.86,23.86,2029
20180711,24.25,24.25,24.25,24.25,5087
20180712,24.32,24.32,24.32,24.32,1082
20180713,24.38,24.38,24.38,24.38,1948
20180717,24.35,24.37,24.35,24.36,623
20180719,24.26,24.42,24.26,24.38,1080
20180726,24.63,24.63,24.62,24.62,931
20180730,24.42,24.42,24.42,24.42,144
20180731,24.6,24.6,24.6,24.6,1508
20180809,24.87,24.87,24.87,24.87,2003
20180814,24.81,24.81,24.81,24.81,108
20180815,24.81,24.82,24.81,24.82,2993
20180821,25.17,25.17,25.17,25.17,649
20180831,25.25,25.25,25.2,25.2,860
20180907,25.32,25.32,25.27,25.27,216
20180910,25.3,25.32,25.3,25.32,396
20180911,25.34,25.34,25.33,25.33,433
20180912,25.35,25.35,25.35,25.35,396
20180914,25.53,25.53,25.53,25.53,193
20180917,25.51,25.51,25.48,25.48,1780
20180918,25.57,25.57,25.57,25.57,649
20180920,25.49,25.49,25.49,25.49,108
20180921,25.58,25.59,25.58,25.59,1462
20180924,25.43,25.43,25.43,25.43,791
20180925,25.39,25.39,25.39,25.39,968
20180927,25.26,25.26,25.26,25.26,108
20180928,25.36,25.36,25.36,25.36,640
20181001,25.58,25.6,25.5,25.54,6238
20181002,25.46,25.49,25.46,25.49,1184
20181003,25.39,25.39,25.39,25.39,269
20181004,25.18,25.18,25.18,25.18,538
20181005,25.29,25.29,25.2,25.23,432
20181008,25.23,25.23,25.23,25.23,645
20181009,25.33,25.35,25.33,25.33,1291
20181010,25.23,25.23,25.02,25.02,753
20181011,24.35,24.35,24.35,24.35,220
20181016,24.78,24.78,24.78,24.78,113
20181017,24.68,24.68,24.68,24.68,168
20181023,24.18,24.38,24.18,24.38,3581
20181029,24.19,24.19,24.19,24.19,161
20181101,24.32,24.32,24.32,24.32,2054
20181106,24.68,24.68,24.67,24.67,431
20181107,24.92,25.13,24.92,25.13,86369
20181108,25.06,25.11,25.06,25.11,371
20181109,25.1,25.1,25.1,25.1,3202
20181112,25.04,25.04,25.04,25.04,272
20181114,24.81,24.83,24.69,24.69,11288
20181115,24.65,24.84,24.58,24.8,2783
20181116,24.91,24.98,24.9,24.98,2657
20181119,24.78,24.78,24.78,24.78,216
20181120,24.55,24.55,24.55,24.55,215
20181121,24.53,24.53,24.53,24.53,366
20181123,24.46,24.46,24.46,24.46,753
20181126,24.63,24.63,24.54,24.54,216
20181127,24.65,24.65,24.65,24.65,1378
20181129,25.05,25.05,25.05,25.05,2947
20181130,25.03,25.03,25.03,25.03,403
20181203,25.21,25.21,25.21,25.21,215
20181204,25.41,25.41,25.04,25.05,9478
20181206,24.75,24.75,24.52,24.62,2602
20181207,24.85,24.85,24.44,24.44,882
20181210,24.51,24.51,24.51,24.51,33
20181211,24.51,24.51,24.51,24.51,33
20181212,24.61,24.61,24.61,24.61,33
20181213,24.65,24.65,24.65,24.65,33
20181214,24.37,24.37,24.37,24.37,447
20181217,24.29,24.29,24.29,24.29,33
20181218,24.15,24.15,24.15,24.15,3000
20181219,23.93,23.95,23.93,23.95,411
20181220,23.79,23.82,23.79,23.82,348
20181221,23.64,23.64,23.6,23.6,664
20181224,23.05,23.05,23.05,23.05,30
20181226,23.34,23.34,23.28,23.33,5998
20181227,23.47,23.47,23.4,23.4,699
20181228,23.25,23.25,23.15,23.18,4518
20181231,23.18,23.18,23.18,23.18,352
20190102,23.15,23.15,23.15,23.15,140
20190103,22.84,22.84,22.84,22.84,140
20190104,23.31,23.34,23.26,23.27,3331
20190107,23.44,23.6,23.44,23.6,247
20190108,23.63,23.63,23.63,23.63,140
20190109,23.79,23.79,23.79,23.79,247
20190110,23.71,23.82,23.71,23.82,1712
20190111,23.93,23.93,23.9,23.9,456
20190114,23.95,23.95,23.95,23.95,33
20190115,24.12,24.12,24.1,24.1,616
20190116,24.17,24.17,24.17,24.17,139
20190117,24.23,24.23,24.23,24.23,139
20190118,24.36,24.43,24.36,24.43,4900
20190122,24.33,24.33,24.17,24.17,435
20190123,24.55,24.55,24.34,24.36,16294
20190124,24.37,24.37,24.29,24.29,1502
20190125,24.35,24.35,24.35,24.35,33
20190128,24.35,24.35,24.35,24.35,33
20190129,24.27,24.34,24.24,24.32,6404
20190130,24.41,24.61,24.41,24.61,2095
20190131,24.69,24.69,24.69,24.69,1046
20190201,24.82,24.87,24.76,24.87,5852
20190204,24.75,24.75,24.75,24.75,140
20190205,25.03,25.03,25.03,25.03,460
20190206,24.97,25.03,24.95,24.98,7531
20190207,24.94,24.94,24.87,24.91,2486
20190208,24.88,24.88,24.88,24.88,2007
20190211,25.04,25.04,25.04,25.04,246
20190212,25.3,25.3,25.3,25.3,140
20190213,25.32,25.32,25.28,25.32,780
20190214,25.24,25.28,25.24,25.28,567
20190215,25.47,25.47,25.46,25.46,652
20190219,25.54,25.6,25.52,25.59,2774
20190220,25.59,25.59,25.59,25.59,140
20190221,25.64,25.64,25.64,25.64,140
20190222,25.71,25.71,25.71,25.71,33
20190225,25.67,25.67,25.63,25.63,1742
20190226,25.62,25.62,25.62,25.62,140
20190227,25.5,25.5,25.5,25.5,140
20190228,25.63,25.63,25.63,25.63,33
20190301,25.81,25.81,25.81,25.81,33
20190304,25.66,25.66,25.66,25.66,33
20190305,25.66,25.66,25.66,25.66,33
20190306,25.55,25.55,25.53,25.53,530
20190307,25.42,25.43,25.42,25.43,567
20190308,25.31,25.31,25.27,25.27,758
20190311,25.46,25.46,25.46,25.46,1528
20190312,25.76,25.76,25.76,25.76,140
20190313,25.93,25.93,25.93,25.93,140
20190314,25.91,25.91,25.88,25.88,1288
20190315,26.03,26.03,26.03,26.03,353
20190318,26.02,26.02,26.02,26.02,247
20190319,26.09,26.09,26.08,26.08,247
20190320,25.87,25.97,25.86,25.97,724
20190321,25.94,26.19,25.94,26.19,426
20190322,26.14,26.14,26.04,26.14,2370
20190325,25.95,25.95,25.95,25.95,146
20190326,26.1,26.14,26.1,26.14,1053
20190327,26.07,26.07,26.07,26.07,33
20190328,26.14,26.14,26.14,26.14,33
20190329,26.23,26.23,26.23,26.23,331
20190401,26.38,26.4,26.32,26.4,61817
20190402,26.29,26.32,26.29,26.32,392
20190403,26.32,26.35,26.31,26.31,685
20190404,26.27,26.32,26.27,26.3,3292
20190405,26.46,26.46,26.43,26.43,1447
20190408,26.41,26.43,26.4,26.43,1996
20190409,26.37,26.39,26.37,26.39,4288
20190410,26.43,26.43,26.43,26.43,535
20190411,26.6,26.6,26.41,26.5,6042
20190412,26.55,26.55,26.55,26.55,139
20190415,26.58,26.58,26.58,26.58,139
20190416,26.6,26.6,26.43,26.43,3012
20190417,26.23,26.23,26.16,26.18,1008
20190418,26.32,26.32,26.25,26.25,914
20190422,26.23,26.24,26.23,26.24,738
20190423,26.37,26.37,26.37,26.37,139
20190424,26.53,26.53,26.52,26.52,362
20190425,26.39,26.45,26.39,26.45,1437
20190426,26.46,26.57,26.46,26.57,207403
20190429,26.55,26.55,26.55,26.55,458
20190430,26.61,26.76,26.61,26.76,44863
