Date,Open,High,Low,Close,Volume
20150109,41.62,41.67,41.62,41.66,1473
20150112,42.07,42.07,41.48,41.48,4909
20150115,41.74,41.74,41.74,41.74,247
20150123,43.45,43.45,43.45,43.45,123
20150126,43.36,43.36,43.36,43.36,147
20150127,42.93,42.93,42.93,42.93,123
20150128,42.98,42.98,42.98,42.98,184
20150129,42.49,42.49,42.49,42.49,1227
20150130,41.8,41.8,41.72,41.72,712
20150203,42.96,43.1,42.96,43.1,429
20150205,43.05,43.05,43.05,43.05,1228
20150212,42.76,43.08,42.76,43.08,235110
20150213,43.54,43.54,43.52,43.52,279
20150217,43.33,43.33,43.33,43.33,123
20150220,43.38,43.38,43.38,43.38,123
20150223,43,43,43,43,147
20150224,43.4,43.4,43.4,43.4,123
20150225,43.41,43.43,43.41,43.43,307
20150303,42.99,43,42.92,42.94,737
20150306,42.18,42.18,42.1,42.1,430
20150311,41.12,41.12,41.12,41.12,123
20150313,40.75,40.75,40.72,40.72,246
20150316,41.27,41.3,41.27,41.3,591
20150317,41.46,41.57,41.46,41.57,10677
20150318,41.63,41.65,41.58,41.59,1001
20150319,41.89,41.89,41.89,41.89,1105
20150320,42.31,42.47,42.31,42.39,1045
20150323,42.6,42.6,42.6,42.6,123
20150324,42.65,42.65,42.65,42.65,245
20150325,42.62,42.62,42.22,42.22,351123
20150326,41.85,41.85,41.85,41.85,123
20150330,42.37,42.62,42.37,42.62,430
20150331,42.54,42.54,42.39,42.39,246
20150402,43.71,43.71,43.71,43.71,982
20150406,44.35,44.35,44.33,44.33,368
20150408,44.93,44.98,44.72,44.86,14365
20150409,45.23,45.28,45.19,45.28,2755
20150410,45.06,45.23,45.06,45.19,3939
20150413,45.4,45.4,45.27,45.27,417
20150415,45.04,45.35,44.99,45.35,5430
20150416,45.61,45.81,45.61,45.81,860
20150417,45.15,45.15,44.73,44.8,1669
20150420,44.86,44.86,44.81,44.83,1645
20150421,45.52,45.52,45.12,45.19,4612
20150422,45.3,45.52,45.21,45.52,1345
20150423,45.53,45.98,45.51,45.98,4148
20150424,46.06,46.09,46.03,46.03,7370
20150427,46.27,46.27,46.09,46.09,8813
20150428,46.11,46.29,46.07,46.18,2235
20150429,45.77,45.84,45.64,45.7,1969
20150430,45.24,45.24,45.08,45.08,492
20150501,45.15,45.29,45.15,45.29,246
20150506,44.96,44.96,44.6,44.6,5892
20150507,44.44,44.51,44.29,44.43,592452
20150508,45.08,45.28,45.08,45.17,2069
20150511,45.12,45.12,44.8,44.8,655
20150512,44.58,44.73,44.58,44.73,513
20150513,45,45,45,45,123
20150514,45.12,45.19,45.08,45.18,1596
20150515,44.29,45.39,44.29,45.39,283
20150518,45.44,45.44,45.24,45.24,3746
20150520,45.17,45.3,45.12,45.3,925
20150522,45.37,45.37,45.26,45.27,1756
20150526,45,45,44.66,44.66,402
20150527,44.38,44.63,44.38,44.63,491
20150528,43.98,44.06,43.98,44.05,10346
20150601,43.53,43.58,43.49,43.52,3633
20150602,43.79,43.79,43.59,43.69,38527
20150603,43.49,43.49,43.38,43.4,8091
20150604,43.01,43.01,42.79,42.82,4800
20150605,42.62,42.62,42.62,42.62,215
20150608,42.63,42.64,42.57,42.61,2008
