Date,Open,High,Low,Close,Volume
20210909,25.21,25.23,25.0865,25.0865,40501
20210910,25.13,25.13,24.81,24.81,41060
20210913,24.92,24.9297,24.92,24.9297,40301
20210914,24.64,24.69,24.6104,24.6104,41304
20210915,24.52,24.5246,24.28,24.5246,41771
20210916,24.5,24.56,24.45,24.5022,1073
20210917,24.425,24.4581,24.425,24.4581,116
20210920,24.35,24.35,23.95,24.1854,4408
20210921,24.36,24.36,24.32,24.32,1305
20210922,24.7695,24.7695,24.7695,24.7695,49
20210923,25.25,25.36,25.25,25.32,1380
20210924,25.43,25.43,25.43,25.43,245
20210927,25.5592,25.5592,25.5592,25.5592,72
20210928,25.17,25.17,25.0955,25.0955,514
20210929,24.9,24.9,24.9,24.9,1362
20210930,24.7199,24.7199,24.665,24.69,730
20211001,24.93,25.6,24.93,25.52,4429
20211004,25.2625,25.2625,25.2625,25.2625,16
20211005,25.3643,25.3643,25.3643,25.3643,12
20211006,25.04,25.24,25.04,25.2271,3430
20211007,25.45,25.54,25.45,25.48,10365
20211008,25.47,25.47,25.3781,25.3781,5202
20211011,25.2537,25.2537,25.2537,25.2537,9
20211012,25.3909,25.3909,25.3909,25.3909,45
20211013,25.42,25.42,25.37,25.37,374
20211014,25.55,25.5891,25.55,25.5891,195
20211015,25.71,25.77,25.71,25.77,222
20211018,25.54,25.66,25.54,25.5734,55387
20211019,25.47,25.53,25.39,25.4458,2179
20211020,25.2852,25.2852,25.2852,25.2852,182
20211021,25.3512,25.3512,25.3512,25.3512,3
20211022,25.5,25.5489,25.4221,25.4221,210
20211025,25.3517,25.3517,25.3517,25.3517,5
20211026,25.48,25.57,25.4217,25.4217,424
20211027,25.3301,25.36,25.2641,25.2641,304
20211028,25.3001,25.3926,25.3001,25.3926,131
20211029,25.3419,25.3419,25.3419,25.3419,7
20211101,25.7081,25.7081,25.7081,25.7081,25
20211102,25.69,25.7112,25.69,25.7112,163
20211103,25.9473,25.9473,25.9473,25.9473,10
20211104,26.069,26.069,25.8177,25.8177,1725
20211105,26.709,26.93,26.69,26.8915,7088
20211108,27.25,27.31,26.975,26.975,4991
20211109,26.71,26.8,26.651,26.7551,5652
20211110,26.54,26.621,26.28,26.3119,2184
20211111,26.19,26.2022,26.15,26.15,2203
20211112,26.22,26.31,26.22,26.2385,2487
20211115,26.38,26.38,26.2014,26.2014,395
20211116,26.125,26.16,26.05,26.13,1142
20211117,26.05,26.05,25.9665,25.9665,922
20211118,25.725,25.83,25.675,25.8277,1057
20211119,25.5,25.6351,25.298,25.5702,3030
20211122,25.497,25.497,25.4036,25.4036,261
20211123,25.3967,25.47,25.3463,25.3463,288
20211124,25.2873,25.2873,25.2873,25.2873,141
20211126,24.14,24.14,23.22,23.9915,4320
20211129,24.32,24.32,24.0496,24.1394,2170
20211130,23.889,23.889,23.5001,23.614,3171
20211201,23.9,24.07,23.08,23.08,5129
20211202,23.24,23.9,23.24,23.9,3362
20211203,24.03,24.03,23.6,23.6,292
20211206,23.87,24.5234,23.87,24.38,2885
20211207,24.81,24.92,24.7238,24.7238,2774
20211208,25.03,25.03,24.92,25.02,1145
20211209,24.88,24.9181,24.7277,24.73,3674
20211210,24.55,24.6847,24.55,24.6847,861
20211213,24.57,24.57,24.07,24.07,1573
20211214,23.9,23.9,23.8493,23.8493,1255
20211215,23.62,23.9661,23.6199,23.9661,1765
20211216,24.17,24.17,23.7747,23.7747,105
20211217,23.62,23.7234,23.41,23.7234,417
20211220,23.4,23.5131,23.4,23.5131,250
20211221,23.69,24.4114,23.69,24.4114,575
20211222,24.63,24.7,24.63,24.6757,1540
20211223,24.8,25.07,24.8,24.9545,2190
20211227,24.94,24.9836,24.84,24.9836,2126
20211228,24.98,24.98,24.9,24.9473,6603
20211229,24.935,24.935,24.84,24.9334,51305
20211230,25.15,25.15,24.9938,24.9938,4249
20211231,24.985,24.985,24.985,24.985,50
20220103,25.1956,25.1956,25.1956,25.1956,26
20220104,25.41,25.504,25.41,25.4358,242
20220105,25.445,25.445,24.9876,24.9876,550
20220106,24.99,24.99,24.89,24.89,694
20220107,24.91,25.1199,24.78,25.0192,1115
20220110,24.81,24.81,24.31,24.6312,889
20220111,24.9746,24.9746,24.9746,24.9746,3
20220112,25.1,25.1,25.01,25.05,1478
20220113,25.02,25.05,24.7468,24.7468,1533
20220114,24.69,24.69,24.42,24.5826,1032
20220118,24.31,24.31,24.1312,24.1312,158
20220119,24.29,24.29,24.0095,24.0095,944
20220120,24.1,24.435,23.9076,23.9076,970
20220121,23.93,23.9488,23.6311,23.6311,5309
20220124,23.14,23.5,23.06,23.5,554
20220125,23.34,23.5497,23.34,23.5497,311
20220126,23.77,24.01,23.4453,23.4453,332
20220127,23.6,23.6,23.041,23.041,1377
20220128,22.979,23.3956,22.979,23.3956,189
20220131,23.963,24.1402,23.963,24.1402,256
20220202,24.52,24.539,24.415,24.415,3166
20220203,24.0728,24.0728,24.0728,24.0728,28
20220204,24.0201,24.3648,23.96,24.3648,2706
20220207,24.75,24.75,24.605,24.605,108
20220208,24.73,25.143,24.73,25.143,718
20220209,25.39,25.6503,25.39,25.6503,180
20220210,26.019,26.019,25.6094,25.6094,622
20220211,25.6,25.6,24.979,24.979,877
20220214,24.95,25.015,24.95,25.015,554
20220215,25.45,25.45,25.45,25.45,101
20220216,25.9,26.14,25.9,26.08,7088
20220217,25.83,25.85,25.8,25.8,410
20220218,25.5,25.5,25.1,25.3299,2100
