Date,Open,High,Low,Close,Volume
20080522,25.2,25.2,25.15,25.15,600
20080523,25.41,25.41,25.39,25.39,290
20080527,25.34,25.34,25.11,25.12,6260
20080528,25.05,25.05,25.05,25.05,100
20080530,24.87,24.87,24.87,24.87,100
20080603,24.94,24.94,24.94,24.94,800
20080604,24.97,24.97,24.97,24.97,100
20080609,24.73,24.73,24.66,24.66,700
20080613,24.23,24.23,24.23,24.23,400
20080616,24.28,24.28,24.28,24.28,100
20080620,24.38,24.46,24.38,24.46,22580
20080623,24.33,24.33,24.33,24.33,500
20080624,24.3,24.3,24.3,24.3,1250
20080625,24.47,24.47,24.24,24.24,500
20080630,24.79,24.81,24.71,24.73,5410
20080701,24.77,24.84,24.74,24.74,2850
20080702,24.75,24.77,24.75,24.77,4010
20080703,24.57,24.6,24.57,24.6,2810
20080707,24.37,24.49,24.37,24.49,1100
20080709,24.46,24.49,24.46,24.49,1700
20080711,24.67,24.67,24.67,24.67,900
20080714,24.67,24.67,24.67,24.67,1150
20080715,25.05,25.19,25.02,25.06,5200
20080716,25.17,25.17,24.99,24.99,1200
20080717,24.88,24.88,24.58,24.6,1300
20080718,24.6,24.64,24.6,24.63,900
20080721,24.57,24.61,24.57,24.6,3650
20080722,24.46,24.46,24.45,24.45,400
20080723,24.36,24.36,24.36,24.36,1100
20080724,24.46,24.46,24.46,24.46,500
20080725,24.32,24.32,24.32,24.32,500
20080728,24.4,24.4,24.4,24.4,1760
20080729,24.26,24.28,24.26,24.26,1400
20080730,24.24,24.24,24.24,24.24,300
20080801,24.43,24.43,24.39,24.39,1000
20080804,24.29,24.29,24.27,24.27,1600
20080805,24.28,24.28,24.24,24.24,1760
20080806,24.11,24.11,23.94,23.94,6010
20080807,23.97,23.99,23.97,23.99,5210
20080808,23.88,23.88,23.81,23.81,1400
20080811,23.9,23.9,23.9,23.9,1150
20080812,23.91,24.01,23.91,24.01,1290
20080814,23.94,23.94,23.87,23.91,860
20080815,23.76,23.76,23.76,23.76,800
20080818,23.79,23.79,23.79,23.79,650
20080819,23.89,23.93,23.89,23.93,210
20080820,23.93,23.93,23.93,23.93,1500
20080829,24.12,24.12,24.12,24.12,5010
20080903,24.27,24.27,24.27,24.27,200
20080905,24.63,24.63,24.63,24.63,200
20080908,24.16,24.16,24.16,24.16,200
20080909,24.42,24.42,24.42,24.42,260
20080910,24.34,24.34,24.34,24.34,1500
20080911,24.7,24.72,24.5,24.51,6300
20080915,24.87,24.92,24.73,24.92,3800
20080916,25.33,25.34,24.88,24.88,27750
20080917,24.97,25.1,24.94,24.96,101130
20080918,24.94,25.14,24.94,25.12,1280
20080919,24.57,24.57,24.5,24.5,950
20080922,24.63,24.82,24.63,24.82,11820
20080923,27.2,27.2,24.87,24.87,200
20080924,24.86,24.86,24.86,24.86,500
20080925,24.81,24.81,24.57,24.58,3540
20080926,24.88,24.88,24.71,24.74,2970
20080929,25,25.17,25,25.17,10100
20080930,25.15,25.15,24.84,24.89,4750
20081001,25.46,25.46,24.7,24.7,7060
20081002,24.85,24.85,24.81,24.85,4300
20081003,24.9,24.9,24.87,24.87,6010
