Date,Open,High,Low,Close,Volume
20101202,8.748,8.793,8.748,8.793,14087
20101203,8.855,8.855,8.782,8.793,15997
20101206,8.859,8.859,8.853,8.855,14629
20101207,8.911,8.926,8.896,8.896,6639
20101208,8.896,8.896,8.859,8.859,4200
20101209,8.907,8.926,8.903,8.926,9482
20101210,8.988,9.022,8.988,9.016,3522
20101213,9.055,9.066,9.051,9.055,13818
20101214,9.066,9.073,9.025,9.025,57161
20101215,9.058,9.058,8.999,9.022,4969
20101217,8.959,8.959,8.959,8.959,2438
20101220,9.058,9.058,8.992,9.007,98955
20101221,9.044,9.092,9.029,9.084,149119
20101222,9.11,9.14,9.095,9.118,143506
20101223,9.106,9.143,9.106,9.136,83996
20101227,9.132,9.154,9.132,9.147,22910
20101228,9.121,9.132,9.118,9.125,24067
20101229,9.114,9.147,9.058,9.147,49265
20101230,9.151,9.173,9.151,9.169,11393
20101231,9.132,9.166,9.132,9.136,26979
20110103,9.173,9.206,9.173,9.191,18529
20110104,9.222,9.26,9.065,9.091,131831
20110105,9.08,9.136,9.069,9.121,29333
20110106,9.192,9.192,9.133,9.14,75244
20110107,9.2,9.2,9.069,9.118,57740
20110110,9.099,9.106,9.058,9.099,43100
20110111,9.169,9.17,9.133,9.163,103030
20110112,9.35,9.35,9.192,9.2,35454
20110113,9.26,9.26,9.166,9.166,43985
20110114,9.239,9.28,9.16,9.28,176922
20110118,9.288,9.299,9.224,9.299,75961
20110119,9.322,9.322,9.111,9.114,38621
20110120,9.08,9.084,9.039,9.069,99064
20110121,9.144,9.144,9.088,9.095,65177
20110124,9.104,9.182,9.101,9.182,17799
20110125,9.156,9.167,9.141,9.16,93258
20110126,9.165,9.242,9.165,9.225,47100
20110127,9.252,9.276,9.237,9.275,13257
20110128,9.258,9.258,9.13,9.132,15709
20110131,9.122,9.16,9.116,9.133,13880
20110201,9.24,9.28,9.24,9.28,5937
20110202,9.322,9.322,9.258,9.269,23390
20110203,9.276,9.303,9.239,9.291,17792
20110204,9.269,9.284,9.252,9.284,23389
20110207,9.295,9.344,9.295,9.344,11896
20110208,9.325,9.359,9.31,9.359,23887
20110209,9.359,9.363,9.337,9.344,212602
20110210,9.318,9.329,9.303,9.31,54237
20110211,9.318,9.382,9.318,9.382,11014
20110214,9.488,9.488,9.356,9.39,77242
20110215,9.355,9.363,9.321,9.328,18674
20110216,9.423,9.423,9.351,9.363,14620
20110217,9.366,9.42,9.366,9.412,14655
20110218,9.609,9.609,9.416,9.435,22642
20110222,9.458,9.458,9.275,9.275,55328
20110223,9.313,9.313,9.188,9.249,68414
20110224,9.317,9.317,9.245,9.295,4028
20110225,9.34,9.412,9.332,9.401,34834
20110228,9.421,9.48,9.421,9.44,23044
20110301,9.545,9.545,9.344,9.344,41735
20110302,9.382,9.382,9.325,9.347,15177
20110303,9.458,9.469,9.423,9.453,6661
20110304,9.45,9.45,9.38,9.38,12931
20110307,9.435,9.435,9.344,9.344,19405
20110308,9.398,9.442,9.398,9.424,7715
20110309,9.442,9.45,9.416,9.423,11846
20110310,9.401,9.401,9.321,9.321,17279
20110311,9.275,9.313,9.266,9.313,16761
20110314,9.298,9.298,9.23,9.264,10662
20110315,9.187,9.241,9.049,9.203,52273
20110316,9.16,9.214,9.099,9.114,63361
20110317,9.16,9.199,9.149,9.16,37054
20110318,9.16,9.206,9.16,9.206,30124
20110321,9.337,9.337,9.291,9.333,36870
20110322,9.291,9.291,9.211,9.222,27761
20110323,9.21,9.302,8.437,9.252,63611
20110324,9.302,9.302,9.256,9.271,55252
20110325,9.279,9.344,9.279,9.329,5344
20110328,9.294,9.317,9.226,9.237,27462
20110329,9.229,9.275,9.229,9.239,57013
20110330,9.283,9.314,9.279,9.314,25640
20110331,9.321,9.333,9.294,9.333,11108
20110401,9.314,9.402,9.314,9.379,25304
20110404,9.398,9.421,9.39,9.421,57241
20110405,9.421,9.455,9.409,9.428,65879
20110406,9.471,9.478,9.445,9.478,22202
20110407,9.453,9.459,9.383,9.402,26683
20110408,9.383,9.383,9.276,9.298,12627
20110411,9.245,9.352,9.245,9.305,27056
20110412,9.294,9.302,9.203,9.203,45418
20110413,9.283,9.283,9.187,9.21,31793
20110414,9.165,9.264,9.165,9.264,15013
20110415,9.324,9.324,9.25,9.312,51455
20110418,9.293,9.293,9.181,9.231,29720
20110419,9.243,9.243,9.189,9.2,48933
20110420,9.201,9.293,9.201,9.266,18604
20110421,9.274,9.32,9.274,9.316,43370
20110425,9.339,9.351,9.315,9.351,38424
20110426,9.401,9.448,9.401,9.42,43017
20110427,9.448,9.448,9.428,9.448,28528
20110428,9.459,9.509,9.459,9.498,14564
20110429,9.478,9.552,9.478,9.544,5861
20110502,9.559,9.559,9.482,9.482,19425
20110503,9.498,9.498,9.417,9.467,25264
20110504,9.475,9.475,9.432,9.444,8922
20110505,9.427,9.459,9.389,9.404,49845
20110506,9.441,9.478,9.414,9.414,6814
20110509,9.421,9.451,9.386,9.44,26561
20110510,9.509,9.54,9.482,9.539,18706
20110511,9.544,9.544,9.44,9.459,54409
20110512,9.428,9.517,9.414,9.494,58344
20110513,9.535,9.535,9.399,9.399,48538
20110516,9.422,9.422,9.356,9.36,9258
20110517,9.306,9.348,9.298,9.329,40179
20110518,9.356,9.399,9.347,9.399,42430
20110519,9.411,9.422,9.399,9.415,10672
20110520,9.392,9.426,9.387,9.406,9394
20110523,9.31,9.341,9.31,9.31,26005
20110524,9.333,9.337,9.282,9.308,19190
20110525,9.298,9.317,9.255,9.31,29016
20110526,9.3,9.31,9.3,9.31,1157
20110527,9.345,9.407,9.345,9.397,19674
20110531,9.519,9.519,9.341,9.472,25304
20110601,9.43,9.43,9.294,9.298,37330
20110602,9.302,9.337,9.267,9.31,49113
20110603,9.219,9.302,9.219,9.247,27454
20110606,9.193,9.263,9.193,9.207,16408
20110607,9.238,9.286,9.238,9.263,12013
20110608,9.259,9.275,9.208,9.212,29521
20110609,9.243,9.263,9.205,9.22,72652
20110610,9.22,9.22,9.096,9.107,42299
20110613,9.146,9.146,9.092,9.126,26960
20110614,9.224,9.224,9.162,9.216,46133
20110615,9.148,9.196,9.085,9.134,33312
20110616,9.135,9.18,9.096,9.134,41529
20110617,9.184,9.192,9.11,9.118,25882
20110620,9.161,9.204,9.145,9.192,45804
20110621,9.207,9.266,9.207,9.244,12685
20110622,9.255,9.333,9.255,9.278,24137
20110623,9.227,9.235,9.132,9.223,15532
20110624,9.219,9.219,9.149,9.157,19377
20110627,9.099,9.215,9.099,9.19,14504
20110628,9.137,9.231,9.137,9.211,24853
20110629,9.223,9.321,9.223,9.321,18026
20110630,9.317,9.396,9.309,9.384,55864
20110701,9.443,9.533,9.443,9.509,48283
20110705,9.497,9.501,9.47,9.501,24273
20110706,9.482,9.56,9.482,9.545,13826
20110707,9.689,9.689,9.548,9.662,31137
20110708,9.592,9.639,9.588,9.635,22468
20110711,9.56,9.56,9.478,9.484,15187
20110712,9.462,9.501,9.447,9.45,17375
20110713,9.564,9.564,9.452,9.466,25136
20110714,9.486,9.486,9.317,9.331,13460
20110715,9.327,9.355,9.3,9.317,36908
20110718,9.363,9.363,9.177,9.213,22099
20110719,9.28,9.367,9.26,9.367,14056
20110720,9.379,9.399,9.371,9.398,12407
20110721,9.458,9.478,9.448,9.454,12280
