Date,Open,High,Low,Close,Volume
20111101,18.648,18.648,18.076,18.084,10563
20111102,18.449,18.449,18.449,18.449,1100
20111104,18.966,19.07,18.887,18.927,15593
20111107,18.942,19.245,18.795,19.245,81987
20111108,20.67,20.67,19.165,19.173,19240
20111109,19.245,19.245,18.99,18.99,4778
20111111,19.109,19.125,19.086,19.086,25100
20111114,18.903,19.03,18.68,18.68,383534
20111115,18.68,19.038,18.489,19.022,35836
20111116,18.871,19.3,18.775,18.807,133747
20111117,19.03,19.07,18.767,18.767,48537
20111118,18.702,18.76,18.694,18.76,9309
20111121,18.29,18.29,18.29,18.29,126
20111125,17.416,17.766,17.376,17.416,20117
20111128,18.012,18.012,17.956,17.956,21980
20111129,17.956,17.956,17.956,17.956,126
20111130,18.688,19.205,18.688,19.205,71970
20111201,19.221,19.237,18.887,18.887,20744
20111202,19.109,19.539,19.109,19.515,880
20111205,19.451,19.499,19.451,19.491,755
20111206,19.443,19.443,19.443,19.443,1509
20111208,19.428,19.428,18.895,18.903,42274
20111209,19.245,19.626,19.157,19.547,25530
20111212,19.165,19.292,19.054,19.284,39354
20111213,19.579,19.595,18.795,18.934,71021
20111214,18.807,19.117,18.736,18.736,58449
20111215,19.129,19.173,18.982,19.105,48789
20111216,19.309,19.692,19.173,19.245,141371
20111219,19.492,19.492,18.805,18.885,12253
20111220,19.277,19.692,19.277,19.668,24888
20111221,19.596,19.924,19.532,19.924,55281
20111222,20.15,20.55,20.13,20.3,26637
20111223,20.3,20.35,20.16,20.2,71328
20111227,20.07,20.4,20.02,20.37,32911
20111228,20.32,20.32,19.932,19.94,13500
20111229,20.25,20.34,20.2,20.32,17896
20111230,20.19,20.29,20.06,20.06,15001
20120103,20.49,20.82,20.49,20.56,22510
20120104,20.41,20.72,20.25,20.64,26512
20120105,20.5,21.22,20.42,21.05,44764
20120106,20.71,21.04,20.7,21,152822
20120109,21.09,21.28,20.94,21.27,19429
20120110,21.57,21.71,21.43,21.43,12961
20120111,21.39,21.39,21.15,21.29,12745
20120112,21.45,21.56,21.23,21.53,117198
20120113,21.2,21.44,21.19,21.4,55343
20120117,21.42,21.73,21.24,21.36,17371
20120119,21.37,21.39,21.24,21.31,140105
20120120,21.42,21.64,21.32,21.64,11984
20120123,21.5,21.72,21.5,21.56,4904
20120124,21.52,21.54,21.33,21.5,14050
20120125,21.55,21.64,21.54,21.61,7504
20120126,21.59,21.67,20.9,21.1,29014
20120127,21.03,21.16,21.03,21.16,13928
20120130,21.06,21.17,21.06,21.09,3289
20120131,21.22,21.22,21.11,21.15,19436
20120201,21.4,21.58,21.4,21.54,32489
20120202,21.64,21.8,21.49,21.73,59131
20120203,21.96,22.31,21.96,22.29,62414
20120206,22.22,22.22,21.96,21.96,886
20120207,21.88,22.05,21.88,22.05,600
20120208,22.21,22.22,21.84,22.04,3314
20120209,22.12,22.12,21.92,21.96,3771
20120210,21.62,21.64,21.57,21.6,6378
20120213,21.8,21.94,21.8,21.94,6378
20120214,21.63,21.64,21.6,21.6,16260
20120215,21.84,21.84,21.68,21.68,4127
20120216,22.02,22.28,21.97,22.28,1500
20120217,22.29,22.42,22.25,22.34,3251
20120221,22.15,22.35,22.07,22.12,1500
20120222,22,22,21.67,21.67,34290
20120223,21.62,21.97,21.62,21.97,2252
20120227,22.05,22.06,21.99,21.99,2814
20120228,22.08,22.08,21.91,21.91,5455
