Date,Open,High,Low,Close,Volume
20101202,12.094,12.221,12.094,12.221,11070
20101203,12.323,12.323,12.172,12.216,13836
20101206,12.221,12.221,12.221,12.221,3280
20101207,12.274,12.406,12.274,12.359,17649
20101208,12.357,12.357,12.196,12.196,4303
20101209,12.138,12.143,12.113,12.113,6560
20101210,12.125,12.226,12.125,12.203,4100
20101213,12.25,12.25,12.196,12.196,1845
20101214,12.206,12.206,12.031,12.035,14759
20101215,11.957,11.957,11.957,11.957,205
20101217,11.938,11.938,11.938,11.938,205
20101221,12.25,12.299,12.25,12.299,6037
20101222,12.431,12.431,12.431,12.431,615
20101229,12.582,12.582,12.582,12.582,795
20101230,12.679,12.679,12.679,12.679,795
20101231,12.64,12.665,12.611,12.611,12411
20110103,12.743,12.801,12.743,12.801,1065
20110104,12.847,12.857,12.536,12.536,73338
20110105,12.622,12.622,12.504,12.602,18842
20110106,12.764,12.764,12.499,12.504,28547
20110107,12.504,12.504,12.411,12.484,11508
20110110,12.563,12.563,12.42,12.514,26989
20110111,12.42,12.42,12.42,12.42,204
20110113,12.489,12.489,12.489,12.489,562
20110114,12.544,12.559,12.499,12.554,24815
20110118,12.578,12.578,12.502,12.519,4206
20110119,12.524,12.534,12.445,12.445,12310
20110120,12.435,12.514,12.435,12.467,8514
20110121,12.455,12.455,12.455,12.455,203
20110124,12.495,12.588,12.495,12.569,4377
20110125,12.521,12.633,12.521,12.633,1387
20110126,12.731,12.736,12.716,12.736,5514
20110127,12.855,12.864,12.855,12.864,4054
20110131,12.736,12.736,12.735,12.735,2108
20110201,12.736,12.815,12.736,12.815,4476
20110202,12.79,12.795,12.761,12.761,3432
20110203,12.726,12.726,12.726,12.726,1014
20110204,12.667,12.716,12.647,12.702,6523
20110207,12.786,12.805,12.786,12.805,3161
20110208,12.805,12.884,12.805,12.884,3397
20110209,12.968,12.968,12.835,12.835,24917
20110210,12.879,12.879,12.879,12.879,365
20110211,12.86,12.973,12.859,12.958,7501
20110214,12.973,12.993,12.943,12.978,9226
20110215,12.958,12.981,12.936,12.936,5361
20110216,12.966,13.035,12.951,12.951,6815
20110217,13.04,13.095,13.04,13.08,5956
20110218,13.095,13.115,13.085,13.085,3797
20110222,13.09,13.09,12.906,12.906,5178
20110223,12.907,12.907,12.793,12.793,9087
20110224,12.862,12.862,12.679,12.762,43152
20110225,12.837,12.966,12.817,12.966,21774
20110228,13.134,13.243,13.134,13.243,6171
20110301,13.209,13.209,12.982,12.982,7890
20110302,12.793,12.837,12.786,12.837,1799
20110303,12.912,12.936,12.912,12.921,5271
20110304,12.803,12.813,12.758,12.758,6836
20110307,12.741,12.808,12.72,12.774,8530
20110308,12.877,13.011,12.877,12.986,6395
20110309,12.926,12.931,12.926,12.931,1000
20110310,12.726,12.738,12.726,12.738,2524
20110311,12.897,12.897,12.728,12.728,3029
20110314,12.704,12.723,12.669,12.723,12127
20110315,12.535,12.655,12.481,12.6,14069
20110316,12.575,12.575,12.376,12.376,6230
20110317,12.505,12.505,12.495,12.495,4019
20110318,12.401,12.53,12.401,12.53,2352
20110321,12.69,12.744,12.69,12.744,3256
20110322,12.63,12.63,12.63,12.63,402
20110323,12.604,12.615,12.584,12.584,3015
20110325,12.645,12.774,12.645,12.744,7702
20110328,13.013,13.013,12.714,12.714,5426
20110329,12.61,12.61,12.61,12.61,4020
20110330,12.849,12.948,12.849,12.923,15358
20110331,12.978,12.978,12.978,12.978,804
20110401,13.033,13.033,12.959,12.973,1909
20110404,13.063,13.063,13.053,13.053,502
20110405,13.077,13.142,13.072,13.097,21468
20110406,13.13,13.157,13.127,13.157,3274
20110407,13.028,13.028,13.008,13.008,3106
20110408,12.943,12.978,12.879,12.879,3076
20110411,12.943,12.943,12.943,12.943,764
20110412,12.953,12.958,12.918,12.918,1407
20110413,12.864,12.864,12.839,12.863,8038
20110414,12.968,13.013,12.963,13.013,4034
20110415,13.19,13.205,13.165,13.205,3573
20110418,13.06,13.08,13.03,13.065,22829
20110419,13.165,13.195,13.135,13.185,3670
20110420,14.37,14.37,13.291,13.291,2570
20110421,13.33,13.395,13.33,13.395,18737
20110425,13.36,13.4,13.315,13.38,72607
20110426,13.535,13.535,13.523,13.523,1112
20110427,13.54,13.605,13.54,13.605,3888
20110428,13.685,13.75,13.685,13.741,2700
20110429,13.57,13.675,13.57,13.66,1920
20110502,13.625,13.625,13.57,13.58,2947
20110503,13.5,13.5,13.5,13.5,400
20110504,13.4,13.4,13.38,13.38,860
20110505,13.325,13.355,13.325,13.355,1500
20110506,13.256,13.26,13.246,13.246,2581
20110509,13.14,13.25,13.12,13.24,4254
20110510,13.299,13.46,13.299,13.444,20418
20110511,13.43,13.43,13.275,13.34,18785
20110512,13.245,13.245,13.245,13.245,1000
20110513,13.336,13.365,13.179,13.205,10304
20110516,13.205,13.205,13.205,13.205,797
20110517,12.974,13.155,12.708,13.151,3355
20110518,13.155,13.215,13.155,13.215,824
20110519,13.31,13.33,13.248,13.285,7505
20110520,13.185,13.21,13.185,13.21,5179
20110523,13.079,13.079,13.055,13.055,1520
20110524,13.185,13.185,13.039,13.064,11127
20110525,13.064,13.185,13.004,13.161,8446
20110526,13.124,13.31,13.124,13.305,9789
20110527,13.31,13.355,13.31,13.355,11114
20110531,13.451,13.526,13.431,13.506,10557
20110601,13.31,13.31,13.124,13.124,12947
20110602,13.124,13.124,13.024,13.024,6517
20110603,12.934,12.944,12.934,12.944,2590
20110606,12.944,12.999,12.863,12.863,3876
20110607,12.943,12.994,12.943,12.994,2209
20110608,12.929,12.979,12.888,12.888,3586
20110609,12.858,12.858,12.808,12.808,2569
20110610,12.582,12.622,12.482,12.552,20350
20110613,12.447,12.447,12.41,12.418,3115
20110614,12.612,12.657,12.577,12.648,4850
20110615,12.568,12.608,12.411,12.512,13468
20110616,12.653,12.653,12.653,12.653,329
20110617,12.679,12.749,12.679,12.694,5949
20110620,12.81,12.81,12.81,12.81,3966
20110621,12.951,13.027,12.951,13.022,5453
20110622,13.007,13.102,13.007,13.067,1750
20110623,12.709,12.795,12.709,12.785,1419
20110624,12.775,12.775,12.775,12.775,1190
