Date,Open,High,Low,Close,Volume
20180709,33.55,33.57,33.55,33.56,8900
20180720,33.62,33.63,33.62,33.63,200
20180724,33.72,33.72,33.72,33.72,200
20180725,33.68,33.68,33.68,33.68,100
20180727,33.84,33.84,33.84,33.84,2900
20180731,33.9,33.9,33.9,33.9,100
20180803,33.67,33.67,33.67,33.67,147200
20180809,33.89,33.89,33.89,33.89,1200
20180810,33.89,33.89,33.89,33.89,100
20180817,33.95,33.95,33.95,33.95,1200
20180824,34,34,34,34,1200
20180921,34.11,34.11,34.11,34.11,100
20181001,34.2,34.2,34.2,34.2,200
20181010,34.18,34.18,34.18,34.18,3000
20181018,34.12,34.12,34.12,34.12,400
20181102,34.25,34.25,34.12,34.12,100
20181116,34.25,34.25,34.12,34.12,100
20181119,33.68,33.68,33.68,33.68,582
20181210,33.68,33.68,33.68,33.68,36
20181211,33.68,33.68,33.68,33.68,36
20181212,33.68,33.68,33.68,33.68,36
20181213,33.68,33.68,33.68,33.68,36
20181214,33.68,33.68,33.68,33.68,36
20181217,33.68,33.68,33.68,33.68,36
20181218,33.68,33.68,33.68,33.68,36
20181219,33.68,33.68,33.68,33.68,36
20181220,33.68,33.68,33.68,33.68,36
20181221,33.68,33.68,33.68,33.68,36
20181224,33.68,33.68,33.68,33.68,36
20181226,33.51,33.51,33.51,33.51,24976
20181227,34.18,34.18,34.18,34.18,33
20181228,34.1,34.1,34.1,34.1,36
20181231,34.14,34.14,34.14,34.14,36
20190102,34.11,34.11,34.11,34.11,36
20190103,34.12,34.12,34.12,34.12,36
20190104,34.12,34.12,34.12,34.12,36
20190107,34.12,34.12,34.12,34.12,36
20190108,34.12,34.12,34.12,34.12,36
20190109,34.12,34.12,34.12,34.12,36
20190110,34.12,34.12,34.12,34.12,36
20190111,34.12,34.12,34.12,34.12,36
20190114,34.12,34.12,34.12,34.12,36
20190115,34.12,34.12,34.12,34.12,36
20190116,34.12,34.12,34.12,34.12,36
20190117,34.12,34.12,34.12,34.12,36
20190118,34.12,34.12,34.12,34.12,36
20190122,34.12,34.12,34.12,34.12,36
