Date,Open,High,Low,Close,Volume
20141204,31.16,31.16,31.09,31.12,29035
20141205,31.13,31.13,31.08,31.08,22721
20141208,31.05,31.05,31,31.04,17201
20141209,30.9,30.99,30.84,30.87,5178
20141210,30.96,30.98,30.96,30.98,1221
20141211,30.99,30.99,30.79,30.8,3614
20141212,30.9,30.9,30.86,30.87,1920
20141215,30.86,30.89,30.86,30.89,900
20141216,30.87,30.88,30.85,30.85,1756
20141217,30.81,30.87,30.81,30.82,1419
20141218,30.76,30.82,30.76,30.81,5877
20141219,30.79,30.82,30.78,30.82,1400
20141222,30.77,30.81,30.76,30.81,29644
20141223,30.69,30.75,30.65,30.75,34943
20141224,30.8,30.8,30.73,30.73,99952
20141226,30.85,30.85,30.73,30.73,6388
20141229,30.75,30.78,30.75,30.76,58544
20141230,31.06,31.06,30.77,30.9,253595
20141231,30.89,30.93,30.81,30.88,252532
20150102,30.82,30.83,30.76,30.83,3499
20150105,30.86,30.87,30.76,30.82,3419
20150106,30.69,30.89,30.69,30.89,104023
20150107,30.79,30.81,30.62,30.63,100177
20150108,30.79,30.83,30.79,30.83,366
20150109,30.89,30.89,30.82,30.85,2084
20150112,30.84,30.89,30.84,30.86,15122
20150113,30.91,30.94,30.88,30.93,159918
20150114,30.91,30.99,30.91,30.99,8077
20150115,30.88,30.89,30.87,30.88,764
20150116,30.92,30.92,30.86,30.86,6489
20150120,30.96,30.98,30.9,30.91,2688
20150121,30.85,30.94,30.85,30.85,2654
20150122,30.94,30.94,30.86,30.86,2390
20150123,30.85,30.85,30.8,30.8,3353
20150126,30.88,30.88,30.85,30.85,900
20150127,30.81,30.89,30.81,30.89,8349
20150128,30.81,30.81,30.75,30.75,1349
20150129,30.75,30.77,30.69,30.69,581
20150130,30.73,30.73,30.53,30.53,248
20150202,30.73,30.8,30.72,30.76,9135
20150203,30.76,30.79,30.75,30.76,4471
20150204,30.76,30.76,30.75,30.75,2856
20150205,30.74,30.81,30.74,30.8,1247
20150206,30.77,30.78,30.73,30.76,3393
20150209,30.75,30.79,30.75,30.77,5360
20150210,30.79,30.8,30.79,30.8,336
20150211,30.75,30.82,30.75,30.79,1144
20150212,30.84,30.84,30.79,30.79,853
20150213,30.85,30.85,30.83,30.83,17739
20150217,30.8,30.8,30.68,30.7,1580
20150218,30.69,30.81,30.69,30.76,2360
20150219,30.81,30.83,30.69,30.77,3114
20150220,30.7,30.82,30.69,30.69,1532
20150223,30.69,30.85,30.69,30.69,7642
20150224,30.68,30.77,30.63,30.63,2534
20150225,30.67,30.69,30.65,30.65,611
20150226,30.75,30.75,30.39,30.59,14932
20150227,30.58,30.61,30.52,30.59,4760
20150302,30.63,30.63,30.47,30.56,4701
20150303,30.58,30.58,30.51,30.51,561
20150304,30.56,30.56,30.41,30.53,2459
