Date,Open,High,Low,Close,Volume
20111208,14.417,14.417,14.417,14.417,269
20111209,14.611,14.797,14.577,14.745,220898
20111213,14.577,14.577,14.019,14.082,138048
20111214,13.874,13.963,13.807,13.848,55064
20111216,13.989,13.996,13.989,13.996,889
20111219,14.049,14.049,14.049,14.049,269
20111220,14.008,14.008,14.008,14.008,403
20111227,14.871,14.871,14.871,14.871,672
20111228,14.626,14.626,14.626,14.626,269
20111230,14.998,14.998,14.808,14.808,2418
20120103,15.218,15.218,14.998,15.154,1210
20120104,15.043,15.147,15.043,15.147,1016
20120105,15.147,15.147,14.991,14.991,5031
20120109,15.288,15.288,15.288,15.288,368
20120110,15.481,15.527,15.481,15.51,4768
20120111,15.624,15.624,15.445,15.524,6361
20120112,15.45,15.56,15.45,15.56,806
20120113,15.37,15.37,15.37,15.37,537
20120117,15.579,15.579,15.526,15.526,1678
20120119,15.962,15.97,15.917,15.917,127640
20120123,15.925,16.056,15.925,16.056,538
20120124,15.914,16.104,15.914,16.104,2705
20120125,16.167,16.167,16.167,16.167,537
20120126,16.167,16.167,16.119,16.119,1155
20120131,16.458,16.458,16.048,16.048,4028
20120201,16.406,16.506,16.406,16.506,1531
20120203,16.849,16.893,16.849,16.893,1074
20120206,16.904,16.904,16.83,16.851,5103
20120207,16.834,16.86,16.834,16.86,2685
20120208,16.923,16.923,16.918,16.918,1612
20120209,16.994,16.994,16.908,16.908,1612
20120210,16.718,16.718,16.68,16.68,806
20120213,16.904,16.968,16.829,16.829,2149
20120214,16.864,16.864,16.774,16.774,2418
20120215,17.016,17.016,16.876,16.876,1613
20120216,17.094,17.094,17.094,17.094,806
20120217,17.288,17.325,17.288,17.325,806
20120221,17.537,17.537,17.202,17.202,5640
20120222,17.128,17.128,17.124,17.124,2417
20120223,17.199,17.199,16.205,17.18,5216
20120227,17.197,17.221,17.177,17.177,968
20120228,17.202,17.243,17.117,17.117,4969
20120229,17.262,17.262,17.06,17.128,2686
20120301,17.132,17.132,17.091,17.091,1611
20120306,16.305,16.521,16.145,16.465,4125
20120307,16.595,16.618,16.595,16.618,806
20120308,16.886,16.886,16.886,16.886,269
20120309,17.053,17.053,17.053,17.053,806
20120312,17.262,17.262,16.915,16.915,1013
20120314,17.202,17.202,17.202,17.202,537
20120315,17.164,17.258,17.164,17.258,2175
20120316,17.303,17.303,17.303,17.303,269
20120319,17.403,17.403,17.403,17.403,269
20120320,17.5,17.5,17.144,17.232,2105
20120322,16.946,16.946,16.946,16.946,268
