Date,Open,High,Low,Close,Volume
20150528,8203.86,8203.86,7938.21,7938.21,2
20150529,7520.2,7520.2,7520.2,7520.2,1
20150601,7617.87,7617.87,7422.54,7600.29,10
20150602,7664.75,7664.75,7539.72,7539.72,6
20150603,7365.87,7377.61,7365.87,7377.61,7
20150604,7569.03,7569.03,7561.22,7561.22,4
20150605,7436.21,7436.21,7104.15,7149.08,23
20150608,7139.31,7276.04,6971.4,7125.64,45
20150609,7324.87,7627.63,7324.87,7453.79,72
20150610,7487,7569.03,7256.49,7326.83,50
20150611,7227.25,7319.99,7119.81,7119.81,22
20150612,7319.01,7500.67,7315.11,7422.54,63
20150615,7621.77,7813.2,7369.78,7430.35,39
20150616,7461.6,7461.6,7168.61,7207.67,58
20150617,7187.75,7187.75,6938.12,7014.3,327
20150618,6846.31,6846.31,6328.69,6434.17,371
20150619,6416.59,6566.99,6316.97,6322.83,223
20150622,6096.46,6184.15,5766,5775.92,339
20150623,5695.82,5988.82,5646.99,5791.53,356
20150624,5816.93,6242.75,5789.58,6174.38,651
20150625,6032.2,6522.07,6006.41,6320.9,659
20150626,6320.88,6772.09,6172.43,6445.93,423
20150629,6729.65,7105.71,6516.15,7102.14,716
20150630,6592.39,6738.88,6090.39,6150.94,1149
20150701,5914.59,6525.97,5871.72,6382.99,551
20150702,6240.79,6650.98,5990.77,6539.65,368
20150706,6865.85,6865.85,6092.34,6274,328
20150707,6256.42,6748.65,6195.87,6199.77,733
20150708,6469.33,6918.59,6391.2,6906.87,377
20150709,6506.44,6627.53,6367.76,6443.93,210
20150710,6316.97,6400.96,5994.68,6006.4,284
20150713,5838.41,5848.18,5479.01,5563,576
20150714,5553.23,5586.44,5137.18,5172.34,708
20150715,5049.28,5273.91,4857.48,5213.36,1155
20150716,5039.51,5150.46,4879.34,4912.55,646
20150717,4883.25,5068.81,4812.93,4812.93,871
20150720,4697.68,4961.38,4687.94,4824.65,702
20150721,4834.4,5250.47,4834.4,5051.21,1225
20150722,5373.51,5430.17,4959.26,4998.34,659
20150723,4965.29,5162.57,4830.51,5133.27,827
20150724,5309.07,5723.17,5092.25,5674.33,1357
20150727,5852.08,6191.96,5813.02,5932.17,1206
20150728,5689.96,6051.32,5369.62,5459.49,1086
