Date,Open,High,Low,Close,Volume
20141105,41.65,41.65,41.65,41.65,120
20141107,41.79,41.79,41.79,41.79,1202
20141113,41.92,41.96,41.92,41.96,362
20141114,41.82,41.82,41.82,41.82,477
20141124,42.09,42.13,42.09,42.13,477
20141125,42.2,42.2,42.2,42.2,120
20141202,41.99,41.99,41.99,41.99,237
20141204,42.26,42.26,42.26,42.26,240
20141205,41.85,41.85,41.85,41.85,240
20141211,42.13,42.13,42.13,42.13,240
20141215,42.38,42.38,42.24,42.24,353
20141217,42.3,42.3,42.15,42.15,357
20141218,42.08,42.11,42.08,42.11,1057
20141226,42.3,42.32,42.3,42.31,489
20150106,42.63,42.63,42.63,42.63,240
20150107,42.34,42.34,42.34,42.34,120
20150112,42.51,42.51,42.51,42.51,198
20150123,41.85,41.85,41.85,41.85,474
20150128,42.33,42.33,42.33,42.33,119
20150203,42.35,42.35,42.35,42.35,119
20150205,42.41,42.41,42.41,42.41,179
20150206,42.14,42.14,42.14,42.14,238
20150209,42.45,42.45,42.45,42.45,239
20150217,42.44,42.44,42.44,42.44,119
20150220,42.49,42.49,42.49,42.49,358
20150223,42.52,42.52,42.52,42.52,119
20150225,42.5,42.5,42.5,42.5,209
20150226,42.41,42.41,42.37,42.37,1076
20150227,42.4,42.51,42.4,42.51,357
20150303,42.44,42.46,42.44,42.46,238
20150304,42.46,42.46,42.46,42.46,357
20150305,42.57,42.57,42.57,42.57,119
20150306,42.36,42.41,42.3,42.35,1161
20150309,42.51,42.55,42.51,42.55,1071
20150312,42.64,42.79,42.63,42.76,2956
20150316,42.57,42.57,42.57,42.57,180
20150317,42.45,42.45,42.45,42.45,360
20150320,42.77,42.78,42.65,42.77,1524
20150323,42.67,42.67,42.67,42.67,175
20150330,42.65,42.69,42.65,42.65,1962
20150331,42.68,42.71,42.68,42.71,694
20150401,42.56,42.68,42.55,42.55,1190
20150402,42.55,42.55,42.55,42.55,118
20150406,42.8,42.81,42.8,42.81,951
20150408,42.69,42.79,42.69,42.72,1785
20150409,42.63,42.63,42.56,42.56,565
20150410,42.76,42.76,42.74,42.74,239
20150414,42.65,42.71,42.65,42.71,476
20150416,42.57,42.57,42.57,42.57,336
20150417,42.53,42.53,42.53,42.53,238
20150420,42.57,42.57,42.57,42.57,892
20150421,42.57,42.58,42.56,42.57,1070
20150422,42.43,42.43,42.39,42.39,2616
20150423,42.46,42.61,42.46,42.52,952
20150428,42.43,42.48,42.32,42.32,18695
20150429,42.47,42.47,42.47,42.47,594
20150430,42.44,42.5,42.44,42.5,1071
20150501,42.55,42.57,42.55,42.55,10526
20150505,42.63,42.63,42.59,42.59,5794
20150507,42.78,42.81,42.76,42.81,595
20150508,42.86,42.86,42.81,42.81,477
20150511,42.7,42.74,42.66,42.69,2380
20150512,42.77,42.79,42.71,42.71,24497
20150513,42.71,42.71,42.71,42.71,238
20150515,42.64,42.68,42.64,42.68,10483
20150518,42.6,42.6,42.6,42.6,302
20150519,42.55,42.59,42.54,42.54,8065
20150520,42.61,42.68,42.61,42.67,3868
20150522,42.68,42.68,42.65,42.67,887
20150526,42.75,42.75,42.75,42.75,237
20150527,43.23,43.23,42.6,42.64,1498
20150528,42.69,42.81,42.68,42.71,1545
20150602,42.63,42.66,42.63,42.66,298
20150603,42.63,42.64,42.63,42.63,357
20150604,42.63,42.63,42.63,42.63,240
20150605,42.63,42.64,42.63,42.64,1693
20150609,42.63,42.63,42.62,42.63,1199
20150610,42.87,42.87,42.64,42.64,1092
20150611,42.65,42.68,42.65,42.68,1921
20150615,42.63,42.63,42.63,42.63,241
20150616,42.54,42.54,42.54,42.54,119
20150618,42.6,42.61,42.6,42.61,2983
20150619,42.69,42.7,42.68,42.68,475
20150625,42.68,42.68,42.68,42.68,414
20150626,42.66,42.66,42.66,42.66,426
20150629,42.69,42.69,42.69,42.69,189
20150702,42.65,42.65,42.58,42.65,1302
20150706,42.7,42.7,42.7,42.7,408
20150707,42.72,42.72,42.72,42.72,118
20150708,42.75,42.75,42.75,42.75,232
20150709,42.68,42.74,42.68,42.74,1715
20150714,42.77,42.77,42.72,42.72,659
20150715,42.73,42.73,42.73,42.73,819
20150716,42.71,42.71,42.71,42.71,819
20150720,42.79,42.79,42.79,42.79,355
20150721,42.86,42.87,42.83,42.87,1222
20150727,42.69,42.69,42.67,42.67,21057
20150729,42.72,42.72,42.72,42.72,236
