Date,Open,High,Low,Close,Volume
20141126,65.29,65.41,65.29,65.38,2549
20141203,64.94,65.1,64.94,65.1,1398
20141208,64.53,64.54,64.52,64.53,3683
20141209,64.24,64.24,64.24,64.24,115
20141210,63.74,63.74,63.46,63.46,230
20141211,63.72,63.75,63.72,63.75,12663
20141212,62.82,62.92,62.4,62.49,1955
20141215,62.98,62.98,61.76,61.9,2507
20141216,61.71,62.62,61.71,62.12,920
20141217,62.42,62.58,61.82,62.55,3106
20141218,63.48,63.48,63.48,63.48,115
20141219,63.9,64.08,63.9,64.05,385
20141222,64.33,64.33,64.33,64.33,155
20141223,64.5,64.5,64.5,64.5,224
20141224,64.48,64.48,64.48,64.48,115
20141226,64.78,64.78,64.72,64.72,230
20141230,64.41,64.41,64.25,64.25,385
20141231,64.04,64.04,64.03,64.03,230
20150105,63.14,63.14,62.35,62.35,2873
20150107,62.5,62.52,62.5,62.52,270
20150108,63.36,63.41,63.36,63.41,7676
20150109,63.13,63.13,63.13,63.13,690
20150113,63.38,63.38,62.54,62.54,230
20150114,62.31,62.31,62.31,62.31,161
20150116,62.47,62.84,62.47,62.79,3995
20150120,63.26,63.26,63.26,63.26,165
20150122,64.38,64.38,64.38,64.38,115
20150123,64.09,64.09,64.09,64.09,230
20150128,63.9,64,63.27,63.27,427
20150130,62.77,62.77,62.77,62.77,115
20150202,63.1,63.1,63.1,63.1,472
20150204,64.32,64.52,64.31,64.52,937
20150205,64.72,64.74,64.72,64.73,1149
20150206,64.25,64.25,64.24,64.25,575
20150209,64.14,64.14,64.14,64.14,115
20150212,65.07,65.24,65.05,65.24,460
20150213,65.63,65.7,65.63,65.7,230
20150218,65.88,65.88,65.88,65.88,115
20150219,66.04,66.05,65.94,65.94,346
20150220,66.15,66.15,66.15,66.15,115
20150226,66.48,66.48,66.48,66.48,132
20150227,66.57,66.58,66.44,66.44,828
20150302,66.62,66.64,66.62,66.64,274
20150304,65.93,66.09,65.93,66.09,1243
20150309,65.24,65.24,65.24,65.24,920
20150316,65.18,65.36,65.18,65.36,517
20150317,65.05,65.05,65.01,65.04,632
20150323,66.81,66.89,66.81,66.85,2561
20150326,65.59,65.59,65.59,65.59,2298
20150330,66.19,66.19,66.19,66.19,117
20150331,65.51,65.51,65.51,65.51,115
20150401,65.37,65.37,65.37,65.37,115
20150406,66.52,66.52,66.52,66.52,115
20150408,67.02,67.02,66.77,66.77,230
20150410,67.2,67.2,67.2,67.2,115
20150414,67.07,67.07,67.04,67.04,345
20150415,67.5,67.5,67.5,67.5,230
20150417,67.21,67.21,66.87,66.87,919
20150420,67.25,67.28,67.25,67.28,1264
20150421,67.51,67.51,67.51,67.51,115
20150422,67.53,67.6,67.53,67.6,632
20150423,67.6,67.6,67.6,67.6,230
20150427,68.53,68.53,68.53,68.53,115
20150429,67.88,67.88,67.88,67.88,230
20150430,67.32,67.32,67.32,67.32,115
20150504,68.05,68.05,68.05,68.05,230
20150506,67.08,67.1,67.08,67.1,752
20150507,67,67.06,67,67.06,259
20150508,68.22,68.22,68.22,68.22,172
20150511,67.98,67.98,67.82,67.82,261
20150512,67.55,67.68,67.55,67.68,331
