Date,Open,High,Low,Close,Volume
20171228,22.21,22.22,22.21,22.22,1238
20180108,22.2,22.2,22.2,22.2,1439
20180117,22.15,22.16,22.15,22.15,1100
20180118,22.2,22.2,22.2,22.2,902
20180123,22.22,22.23,22.22,22.23,3439
20180124,22.22,22.23,22.22,22.23,5002
20180129,22.16,22.16,22.16,22.16,563
20180130,22.17,22.17,22.17,22.17,743
20180131,22.17,22.17,22.16,22.17,2255
20180201,22.16,22.16,22.16,22.16,450
20180202,22.13,22.13,22.13,22.13,226
20180206,22.17,22.17,22.17,22.17,675
20180207,22.18,22.18,22.18,22.18,1014
20180208,22.16,22.16,22.15,22.16,7657
20180209,22.16,22.16,22.15,22.15,901
20180212,22.16,22.16,22.16,22.16,226
20180214,22.11,22.12,22.09,22.12,4155
20180215,22.13,22.13,22.13,22.13,1123
20180216,22.2,22.2,22.2,22.2,1464
20180221,22.19,22.19,22.19,22.19,14640
20180222,22.12,22.12,22.12,22.12,113
20180223,22.13,22.13,22.13,22.13,766
20180228,22.12,22.13,22.12,22.13,1329
20180301,22.12,22.12,22.12,22.12,112
20180307,22.12,22.13,22.11,22.13,10805
20180313,22.13,22.13,22.13,22.13,693
20180322,22.11,22.11,22.11,22.11,27660
20180323,22.1,22.11,22.1,22.11,340
20180327,22.12,22.12,22.11,22.11,633
20180328,22.1,22.1,22.1,22.1,112
20180329,22.14,22.15,22.14,22.15,1992
20180402,22.15,22.15,22.15,22.15,112
20180403,22.14,22.14,22.14,22.14,280
20180406,22.12,22.12,22.12,22.12,1010
20180420,22.18,22.18,22.18,22.18,227
20180430,22.15,22.15,22.15,22.15,1724
20180521,22.14,22.15,22.14,22.15,560
20180530,22.2,22.2,22.2,22.2,1676
20180604,22.17,22.17,22.17,22.17,4469
20180605,22.19,22.19,22.18,22.18,782
20180608,22.18,22.18,22.18,22.18,678
20180614,22.15,22.15,22.15,22.15,232
20180615,22.19,22.19,22.19,22.19,2235
20180620,22.2,22.2,22.2,22.2,112
20180621,22.21,22.21,22.21,22.21,1098
20180622,22.23,22.23,22.2,22.2,1100
20180627,22.23,22.26,22.22,22.26,2471
20180628,22.26,22.26,22.26,22.26,1672
20180629,22.17,22.17,22.17,22.17,760
20180703,22.16,22.16,22.16,22.16,279
20180705,22.19,22.19,22.19,22.19,446
20180706,22.22,22.22,22.22,22.22,691
20180711,22.22,22.22,22.22,22.22,445
20180712,22.22,22.22,22.22,22.22,133
20180713,22.23,22.23,22.22,22.22,2063
20180717,22.24,22.24,22.24,22.24,443
20180719,22.26,22.26,22.26,22.26,780
20180723,22.3,22.3,22.3,22.3,111
20180725,22.31,22.31,22.31,22.31,784
20180727,22.23,22.23,22.23,22.23,448
20180731,22.26,22.26,22.26,22.26,2272
20180801,22.25,22.26,22.25,22.26,722
20180807,22.28,22.28,22.28,22.28,22241
20180808,22.27,22.27,22.27,22.27,1764
20180814,22.29,22.3,22.29,22.3,10563
20180816,22.32,22.32,22.31,22.32,1446
20180820,22.41,22.41,22.41,22.41,786
20180824,22.35,22.35,22.35,22.35,667
20180827,22.34,22.34,22.34,22.34,139
20180829,22.33,22.33,22.33,22.33,1664
20180830,22.34,22.34,22.34,22.34,444
20180831,22.35,22.35,22.34,22.35,1501
20180906,22.35,22.35,22.35,22.35,111
20180907,22.33,22.33,22.33,22.33,111
20180914,22.33,22.33,22.33,22.33,4368
20180918,22.29,22.29,22.29,22.29,3552
20180925,22.34,22.34,22.34,22.34,249
20180928,22.36,22.36,22.36,22.36,2104
20181002,22.37,22.37,22.32,22.32,20689
20181005,22.32,22.32,22.32,22.32,13459
20181011,22.32,22.33,22.32,22.33,27018
20181015,22.33,22.33,22.33,22.33,244
20181017,22.33,22.33,22.33,22.33,3877
20181018,22.32,22.32,22.32,22.32,22387
20181019,22.32,22.32,22.32,22.32,13704
20181024,22.33,22.33,22.33,22.33,111
20181025,22.33,22.33,22.33,22.33,111
20181031,22.34,22.34,22.34,22.34,2043
20181102,22.33,22.33,22.32,22.32,3535
20181105,22.33,22.33,22.31,22.31,14252
20181116,22.35,22.35,22.34,22.34,3435
20181119,22.33,22.33,22.33,22.33,221
20181121,22.31,22.31,22.31,22.31,17897
20181123,22.32,22.32,22.32,22.32,331
20181127,22.33,22.36,22.33,22.35,6353
20181128,22.32,22.33,22.32,22.33,3128
20181130,22.33,22.33,22.33,22.33,2278
20181204,22.33,22.33,22.33,22.33,660
20181206,22.33,22.33,22.31,22.31,10470
20181210,22.33,22.33,22.31,22.31,2166
20181211,22.32,22.32,22.32,22.32,33
20181212,22.32,22.32,22.32,22.32,33
20181213,22.33,22.33,22.33,22.33,33
20181214,22.36,22.36,22.36,22.36,143
20181217,22.33,22.36,22.33,22.35,13976
20181218,22.36,22.36,22.36,22.36,3780
20181219,22.38,22.38,22.37,22.38,1264
20181220,22.36,22.36,22.36,22.36,1135
20181221,22.35,22.36,22.32,22.36,15813
20181224,22.34,22.34,22.34,22.34,33
20181226,22.36,22.36,22.36,22.36,2721
