Date,Open,High,Low,Close,Volume
20201125,25.17,25.17,25.1341,25.1341,99002
20201127,25.1043,25.1043,25.1043,25.1043,21
20201130,24.9202,24.9202,24.9202,24.9202,16
20201201,25.3545,25.3545,25.3545,25.3545,1
20201202,25.2422,25.2422,25.2422,25.2422,42
20201203,25.52,25.57,25.4633,25.4633,883
20201204,25.48,25.4884,25.48,25.4884,122
20201207,25.596,25.596,25.596,25.596,11
20201208,25.7165,25.7165,25.7165,25.7165,1
20201209,25.819,25.819,25.6123,25.6123,228
20201210,25.67,25.7289,25.67,25.7289,103
20201211,25.44,25.51,25.44,25.5011,525
20201214,25.86,25.86,25.7025,25.7025,577
20201215,26.139,26.23,26.1068,26.2262,335
20201216,26.4469,26.4469,26.4469,26.4469,71
20201217,26.76,26.79,26.76,26.776,1708
20201218,26.6945,26.6945,26.6945,26.6945,86
20201221,26.33,26.549,26.25,26.4131,11981
20201222,26.5025,26.5025,26.5025,26.5025,57
20201223,26.61,26.6815,26.61,26.6815,352
20201224,26.88,26.88,26.78,26.8066,1240
20201228,26.88,26.97,26.88,26.8998,651
20201229,27.0281,27.0281,27.0281,27.0281,36
20201230,27.19,27.19,27.1651,27.1651,533
20201231,26.9951,26.9951,26.9951,26.9951,35
20210104,27.23,27.23,26.8925,26.8925,498
20210105,26.92,26.9792,26.92,26.9792,309
20210106,26.98,26.98,26.9625,26.9625,389
20210107,27.31,27.3145,27.31,27.3145,318
20210108,27.6243,27.6243,27.6243,27.6243,271
20210111,27.31,27.31,27.23,27.2568,1111
20210112,27.213,27.4466,27.213,27.4466,541
20210113,27.38,27.38,27.3424,27.3424,671
20210114,27.515,27.52,27.3752,27.3752,949
20210115,26.97,26.97,26.8536,26.8536,542
20210119,27.15,27.15,27.0912,27.0912,444
20210120,27.4837,27.4837,27.4837,27.4837,169
20210121,27.63,27.91,27.48,27.4957,7236
20210122,27.49,27.55,27.465,27.5028,2787
20210125,27.45,27.45,27.26,27.2739,2050
20210126,27.44,27.47,27.359,27.359,7161
20210127,26.7156,26.7156,26.7156,26.7156,268
20210128,27.07,27.07,26.9949,26.9949,254
20210129,26.82,26.89,26.52,26.5801,4686
20210201,26.8719,26.8719,26.8719,26.8719,233
20210202,27,27.2593,27,27.2593,11155
20210203,27.2701,27.3089,27.2701,27.3089,511
20210204,27.5384,27.5384,27.5384,27.5384,167
20210205,27.66,27.8632,27.66,27.8632,4572
20210208,28.2,28.2,28.02,28.0535,884
20210209,28.21,28.2864,28.21,28.2864,1681
20210210,28.135,28.1599,28.135,28.1599,960
20210211,28.21,28.3335,28.21,28.3335,355
20210212,28.32,28.3513,28.32,28.3513,512
20210216,28.6618,28.6618,28.6618,28.6618,297
20210217,28.46,28.46,28.2832,28.2832,656
20210218,28.29,28.458,28.29,28.458,433
20210219,28.739,28.74,28.5933,28.5933,606
20210222,28.3,28.3,28.1918,28.1918,1146
20210223,28.25,28.25,27.87,28.0192,1753
20210224,27.6,28.25,27.6,28.223,1608
20210225,27.6409,27.6409,27.6409,27.6409,274
20210226,27.81,27.83,27.626,27.626,1321
20210301,28.1215,28.1215,28.1215,28.1215,212
