Date,Open,High,Low,Close,Volume
20110527,48.31,48.31,48.31,48.31,310
20110531,48.45,48.45,48.42,48.42,310
20110601,48.23,48.23,47.88,47.89,41260
20110602,47.71,47.71,47.71,47.71,210
20110606,46.9,46.98,46.81,46.95,21530
20110608,46.68,46.68,46.53,46.63,5070
20110610,46.5,46.5,46.32,46.4,5490
20110613,46.3,46.3,46.3,46.3,4450
20110614,47.05,47.05,47.05,47.05,210
20110615,46.57,46.57,46.19,46.19,630
20110616,46.3,46.41,46.27,46.27,21260
20110617,46.66,46.69,46.63,46.63,410
20110620,46.55,46.79,46.55,46.79,410
20110622,47.3,47.3,47.13,47.13,410
20110623,46.39,46.39,46.32,46.32,2800
20110624,46.68,46.68,46.68,46.68,210
20110627,46.51,46.72,46.51,46.69,2680
20110628,46.79,47.05,46.79,47.05,8680
20110629,47.34,47.4,47.34,47.4,6610
20110630,47.82,47.85,47.78,47.85,7770
20110701,48.01,48.43,47.79,48.43,22480
20110705,48.62,48.62,48.05,48.09,34150
20110706,47.99,48.5,47.99,48.41,4190
20110707,48.72,48.86,48.72,48.86,1900
20110708,48.44,48.49,48.39,48.49,1770
20110711,47.78,47.91,47.71,47.71,9860
20110712,47.79,48.05,47.79,47.89,4930
20110713,47.97,48.1,47.72,47.72,3990
20110714,47.98,48,47.5,47.5,1100
20110715,47.61,47.78,47.6,47.78,6500
20110718,47.49,47.49,47.23,47.47,5870
20110719,47.82,48.11,47.72,48.05,11420
20110720,48.05,48.17,48.01,48.11,11050
20110721,48.53,48.69,48.53,48.65,690
20110722,48.52,48.52,48.52,48.52,100
20110725,48.27,48.46,48.27,48.36,780
20110726,48.25,48.25,48.09,48.09,780
20110727,47.66,47.66,47.37,47.37,1370
20110728,47.29,47.29,46.98,46.98,840
20110729,47.02,47.02,46.89,46.89,230
20110801,47.2,47.2,46.26,46.58,880
20110802,46.48,46.48,45.73,45.75,4470
20110803,45.63,45.69,45.08,45.69,3120
20110804,44.84,44.84,43.9,43.97,3340
20110805,43.5,44.12,43.33,44.12,870
20110808,43.41,43.41,41.71,41.79,2240
20110809,42.35,43.22,41.44,43.22,1510
