Date,Open,High,Low,Close,Volume
20110615,38.53,38.53,38.53,38.53,200
20110617,37,37,35.92,35.92,1200
20110620,36.83,36.8301,36.83,36.8301,220
20110621,38,39.89,37.96,39.83,2800
20110622,39.62,40.26,39.62,39.77,3900
20110623,37.02,38.75,36.38,38.75,28470
20110624,38.44,38.47,38.44,38.47,500
20110627,38.96,38.96,38.96,38.96,600
20110629,42.16,43.37,42.16,42.51,3970
20110630,42.89,44.38,42.75,43.94,2830
20110701,44.8,45.1,44.71,44.95,2810
20110705,45.9,46.1,45.2,45.89,4840
20110706,45.2,46.62,45.06,46.08,1000
20110707,47.96,49.76,47.7,48.57,4360
20110708,46.73,46.88,46,46.88,3160
20110711,44.93,45.6,40.13,44.47,4120
20110712,43.49,44.33,43.49,44.33,1200
20110713,44.75,46.26,44.75,45.2,2450
20110714,45.45,45.69,43.8,43.85,3570
20110715,44.65,44.65,44.06,44.06,350
20110718,44.27,44.27,42.99,43,1700
20110719,44.8,45.15,44.77,45.15,9550
20110720,45.57,45.76,45.1,45.18,14370
20110721,46.99,47,46.33,46.6,11750
20110722,46.57,46.73,45.83,46.14,2970
20110725,44.98,46.3,44.98,45.79,3800
20110726,45.66,45.66,44.25,44.25,5200
20110727,44.25,44.3,41.26,41.45,1600
20110728,41.77,42.93,41.01,41.06,11600
20110729,39.44,40.68,38.5,39.77,3580
20110801,41.91,41.91,38.32,39.33,3760
20110802,38.24,39.16,35.72,35.72,10100
20110803,35.79,36.08,33.67,36.08,9500
20110804,34,34,29.37,29.37,13990
20110805,30.68,30.68,27,28.81,8600
20110808,27,27.08,22.42,22.5,13830
20110809,23.29,25.63,21.99,25.63,6990
20110810,24.92,25.94,23.99,23.99,7290
20110811,24.56,27.87,24.56,27.7,14120
20110812,27.88,28.62,27.27,27.69,28000
20110815,28.56,28.86,27.9,28.7,20160
20110816,28,28.26,27,27.72,3550
20110817,28.2,29.04,27.74,27.91,3220
20110818,24.68,24.6801,22.4,23.14,7740
20110819,21.98,24.05,21.98,22.03,8100
20110822,23.57,23.57,21.74,21.75,7090
20110823,22.15,24.08,22.15,23.97,1800
20110824,25,25.06,23.68,25.03,4320
20110825,25.47,25.63,24.04,24.77,3460
20110826,24.02,25.92,23.38,25.86,6750
20110829,26.95,28.27,26.9,28.27,7540
20110830,28.38,29.44,27.74,29.07,13090
20110831,30.29,30.54,28.53,29.04,10030
20110901,28.89,29.99,28.06,28.15,4740
20110902,26.18,26.79,25.81,26.05,6940
20110906,23.45,25.6,23.45,25.6,9660
20110907,26.77,27.5,25.74,27.48,4990
20110908,27.38,27.38,26.64,26.73,1190
20110909,25.5,25.52,23.73,24.03,10380
20110912,23.09,24.11,22.15,23.4,8170
20110913,23.52,24.66,23.4,24.42,3600
20110914,25.25,26.64,23.96,25.98,9730
20110915,26.67,27.08,25.95,27.08,5770
20110916,26.62,27.69,26.62,27.27,5450
20110919,25.52,26.3001,25.1399,26.3,3500
20110920,26.66,26.77,25.18,25.18,1870
20110921,24.95,24.95,21.8,21.8,14060
20110922,19.51,19.51,17.25,18.34,17550
20110923,17.8,18.69,17.64,17.94,16530
20110926,18.34,19.72,17.44,19.72,15430
20110927,21.72,22.21,20.83,20.99,17230
20110928,20.47,20.69,18.15,18.21,18970
20110929,19.35,19.41,17.42,18.16,23860
20110930,17.39,17.62,16.25,16.25,34430
20111003,15.65,18.15,15,15,30320
20111004,14.27,16.65,13.87,16.65,24840
20111005,16.66,19.32,16.44,18.55,142110
20111006,19.02,20.05,18.58,20.04,64790
20111007,20.58,20.58,18.4,19.03,48520
20111010,20.47,21.42,20.44,21.42,36920
20111011,20.78,21.92,20.63,21.48,92080
20111012,21.83,23,21.81,22.11,24900
20111013,21.5,21.91,20.69,21.88,23140
20111014,22.85,23.47,22.35,23.4,9790
20111017,23.2,23.2,21.1548,21.17,30510
20111018,20.9,23.04,20.05,22.73,25680
20111019,22.56,22.56,20.58,20.78,15870
20111020,20.71,21.59,20.13,21.32,15530
20111021,22.26,22.97,22.1,22.97,33330
20111024,23.7255,24.653,23.5041,24.6,31650
20111025,24.39,24.59,22.549,22.84,25960
20111026,23.83,24.49,22.33,24.09,26600
20111027,26.66,28.68,26.12,27.88,68230
20111028,27,28.66,26.94,28.46,20670
20111031,27.07,27.5,24.86,24.86,31960
20111101,22,23.78,21.3,23,27560
20111102,24.32,24.89,23.55,24.48,23630
20111103,25.45,26.07,24.04,25.98,22950
20111104,25.39,26.03,24.4,25.96,25130
20111107,25.98,26.52,25,26.52,19960
20111108,26.9,27.5136,26,27.47,17360
20111109,25.23,25.66,23.39,23.49,96380
20111110,24.49,24.63,23.43,24.23,6270
20111111,25.29,26.2,25.11,25.9,23240
20111114,25.74,25.88,24.71,25.29,7690
20111115,24.82,25.77,24.44,25.49,16540
20111116,24.34,24.94,23.51,23.61,23950
20111117,23.55,23.5512,21.2,21.53,23680
20111118,22.19,22.49,21.46,21.84,12920
20111121,20.48,20.98,20.14,20.74,9380
20111122,20.71,21.06,20.14,20.31,11160
20111123,19.61,19.63,18.6,18.6,18320
20111125,18.46,19.13,18.386,18.39,8880
20111128,20.22,20.74,19.99,20.36,27000
20111129,20.6,20.97,20.29,20.77,20220
20111130,22.89,24.09,22.89,23.99,39340
20111201,23.71,24.67,23.28,23.59,23720
20111202,24.47,24.53,23.1,23.1,24980
20111205,23.95,24.43,23.42,23.77,26270
20111206,23.78,24.89,23.46,24.68,10050
20111207,23.91,24.67,23.55,24.43,35370
20111208,23.83,23.87,22.06,22.24,17320
20111209,21.66,23.4,21.62,22.99,22840
20111212,21.71,21.72,20.92,21.5,20350
20111213,21.99,22.56,20,20.4,25750
20111214,20.01,20.41,19.47,19.65,15320
20111215,20.43,20.58,19.9,20.01,28300
20111216,20.66,21.19,20.15,20.51,12270
20111219,20.64,21.1,19.16,19.29,9900
20111220,20.62,21.58,20.62,21.49,11220
20111221,21.38,21.75,20.97,21.75,5410
20111222,21.76,22.31,21.7,22.23,9770
20111223,22.37,22.86,22.33,22.804,8450
20111227,22.69,23.06,22.61,22.86,6300
20111228,22.85,22.89,21.31,21.33,4780
20111229,21.16,22.01,21.16,22,26570
20111230,22,22.21,22,22.15,5460
20120103,23.5,24.13,23.46,23.86,19690
20120104,23.75,24.507,23.59,24.43,13290
20120105,23.8,24.81,23.62,24.6,6920
20120106,24.41,24.67,24.17,24.6,5090
20120109,24.72,24.95,24.51,24.66,4140
20120110,25.87,26.38,25.85,26.05,15480
20120111,25.87,26.9,25.87,26.8,5190
20120112,27.23,28,26.7,27.93,17760
20120113,27.22,27.49,26.47,27.44,16880
20120117,28.53,28.57,27.67,27.87,12390
20120118,27.9,28.8,27.61,28.74,22990
20120119,28.94,28.94,28.21,28.72,14630
20120120,28.71,28.72,28.28,28.42,5530
20120123,28.37,29,28.27,28.47,3860
20120124,27.68,28.4101,27.43,28.41,12410
20120125,27.99,29.77,27.59,29.7,12900
20120126,30.42,31.21,29.44,29.8,22380
20120127,29.6,30.01,29.3,29.94,9750
20120130,28.58,29.9,28.35,29.79,14320
20120131,30.56,30.59,29.15,29.81,13100
20120201,30.57,31.25,30.57,30.68,14180
20120202,30.95,31.24,30.35,30.35,10220
20120203,31.51,31.79,31,31.55,33320
20120206,30.92,31.14,30.64,31.14,26270
20120207,31.07,31.26,30.26,30.99,11800
20120208,31.2,31.53,30.43,31.03,13630
20120209,31,31.28,30.71,31.13,4820
20120210,29.82,29.82,29.01,29.42,16120
