Date,Open,High,Low,Close,Volume
20210324,24.83,24.85,24.5754,24.5754,549121
20210325,24.5052,24.58,24.44,24.5503,5262
20210326,24.7,25.0389,24.7,25.0389,1702
20210329,24.97,25.13,24.86,25.078,20552
20210330,24.95,24.96,24.9399,24.96,5209
20210331,25.13,25.29,25.12,25.1756,9759
20210401,25.44,25.44,25.3599,25.427,18133
20210405,25.7,25.8514,25.7,25.8514,2426
20210406,25.87,25.9001,25.798,25.798,71765
20210407,25.9001,25.93,25.87,25.9125,13639
20210408,26.0901,26.1,26.09,26.0906,9279
20210409,26.12,26.353,26.1,26.353,5324
20210412,26.32,26.41,26.23,26.41,2978
20210413,26.57,26.61,26.524,26.5652,2158
20210414,26.5299,26.5299,26.3143,26.3143,421
20210415,26.66,26.7725,26.66,26.7725,1253
20210416,26.769,26.8063,26.769,26.8063,4975
20210419,26.7796,26.7796,26.57,26.5887,5347
20210420,26.34,26.34,26.2368,26.314,2374
20210421,26.316,26.5339,26.262,26.5339,2582
20210422,26.66,26.67,26.3804,26.3804,1824
20210423,26.71,26.77,26.7089,26.7089,4169
20210426,26.775,26.82,26.775,26.79,1979
20210427,26.747,26.8,26.747,26.7702,4357
20210428,26.75,26.86,26.7448,26.7448,8381
20210429,26.74,26.87,26.68,26.8629,2557
20210430,26.67,26.67,26.64,26.64,2809
20210503,26.8,26.82,26.5014,26.5014,11395
20210504,26.09,26.1812,25.97,26.1812,12434
20210505,26.3496,26.38,26.1816,26.1816,91189
20210506,26.31,26.3917,26.2,26.3917,2034
20210507,26.6234,26.6234,26.6089,26.6089,1141
20210510,26.43,26.43,26.22,26.2213,16162
20210511,26.01,26.18,25.77,26.18,1589
20210512,25.72,25.75,25.5188,25.5188,1773
20210513,25.7599,25.92,25.71,25.8061,19965
20210514,26.07,26.26,26.04,26.232,13480
20210517,26.01,26.0874,25.9399,26.0874,2316
20210518,26.14,26.17,25.936,25.936,2790
20210519,25.72,25.8578,25.72,25.8578,402
20210520,26.13,26.28,26.13,26.2471,6771
20210521,26.3398,26.3398,26.2165,26.2165,11983
20210524,26.6,26.61,26.5698,26.5698,690
20210525,26.63,26.67,26.6,26.6,9816
20210526,26.61,26.68,26.6049,26.6049,12248
20210527,26.7,26.7,26.59,26.6316,2021
20210528,26.82,26.87,26.761,26.761,5368
20210601,26.58,26.64,26.54,26.5473,2258
20210602,26.5497,26.5497,26.5497,26.5497,85
20210603,26.45,26.5,26.4288,26.4288,1528
20210604,26.74,26.74,26.7138,26.7138,4771
20210607,26.79,26.85,26.78,26.8011,5964
20210608,26.76,26.76,26.7236,26.7236,1325
20210609,26.76,26.81,26.7229,26.7229,6491
20210610,26.8999,26.94,26.8999,26.9389,8373
20210611,28.27,28.27,26.87,26.9646,5360
20210614,27,27.0926,26.99,27.0926,2867
20210615,27,27,26.919,26.919,3084
20210616,26.62,26.7394,26.62,26.7394,484
20210617,26.94,26.98,26.92,26.9762,12099
20210618,26.83,26.87,26.7555,26.7555,11133
20210621,26.93,27.002,26.93,27.002,1036
20210622,27.15,27.2421,27.15,27.2421,1597
20210623,27.2846,27.2846,27.21,27.2295,11171
20210624,27.56,27.56,27.49,27.5027,27807
20210625,27.52,27.53,27.52,27.5246,7429
20210628,27.65,27.71,27.56,27.7035,23847
