Date,Open,High,Low,Close,Volume
20140729,7.538,7.538,7.538,7.538,1600
20140730,7.427,7.427,7.402,7.402,272533
20140801,7.14,7.176,7.044,7.044,16534
20140805,7.14,7.238,7.082,7.129,19189
20140806,7.059,7.204,7.059,7.155,19602
20140807,7.213,7.221,7.067,7.11,21854
20140808,7.125,7.247,7.091,7.247,21321
20140811,7.354,7.354,7.314,7.318,9329
20140812,7.284,7.341,7.202,7.251,7995
20140813,7.329,7.404,7.288,7.386,19723
20140815,7.517,7.517,7.329,7.433,19188
20140818,7.571,7.607,7.571,7.607,2400
20140819,7.658,7.689,7.656,7.688,42121
20140820,7.697,7.753,7.697,7.746,12795
20140821,7.731,7.77,7.723,7.747,11194
20140825,7.8,7.8,7.794,7.794,3359
20140826,7.881,7.881,7.841,7.841,2932
20140827,7.866,7.866,7.83,7.837,5066
20140828,7.815,7.815,7.815,7.815,533
20140902,7.98,7.982,7.882,7.931,18127
20140903,7.989,7.989,7.875,7.884,16526
20140904,7.916,7.971,7.815,7.847,20258
20140905,7.815,7.897,7.815,7.897,16592
20140908,7.929,7.929,7.839,7.888,2771
20140909,7.813,7.813,7.813,7.813,533
20140910,7.736,7.789,7.727,7.789,2132
20140912,7.858,7.858,7.717,7.717,1066
20140915,7.657,7.657,7.62,7.62,4267
20140916,7.629,7.762,7.629,7.755,1599
20140917,7.768,7.768,7.719,7.719,2132
20140918,7.736,7.791,7.736,7.766,3199
20140919,7.663,7.676,7.663,7.676,2666
20140922,7.577,7.577,7.506,7.506,1599
20140923,7.487,7.487,7.35,7.354,8529
20140924,7.305,7.419,7.305,7.419,2132
20140925,7.234,7.234,7.183,7.183,1066
20140926,7.273,7.333,7.252,7.324,8532
20140929,7.226,7.288,7.226,7.286,2665
20140930,7.245,7.245,7.245,7.245,5333
20141001,7.123,7.123,6.9469,6.975,24530
20141002,6.9956,6.9956,6.8738,6.915,9598
20141003,7.134,7.134,7.114,7.129,10667
20141006,7.153,7.159,7.057,7.057,25067
