Date,Open,High,Low,Close,Volume
20170907,22.99,23,22.99,23,1088
20170908,23,23,23,23,261
20170911,23.23,23.23,23.23,23.23,544
20170912,23.35,23.35,23.35,23.35,17000
20170913,23.32,23.41,23.32,23.41,4092
20170915,23.44,23.44,23.44,23.44,496
20170918,23.56,23.56,23.52,23.54,7341
20170919,23.52,23.56,23.52,23.55,1734
20170920,23.52,23.55,23.52,23.55,9017
20170921,23.57,23.57,23.53,23.53,3932
20170922,23.52,23.52,23.52,23.52,213
20170925,23.59,23.59,23.5,23.58,9803
20170926,23.6,23.63,23.54,23.54,28576
20170927,23.59,23.64,23.53,23.64,1919
20170928,23.65,23.65,23.65,23.65,326
20171002,23.77,23.84,23.77,23.84,544
20171004,23.93,24,23.89,23.99,1471
20171005,23.95,23.95,23.95,23.95,272
20171006,24,24,23.98,23.98,794
20171010,24.01,24.01,24.01,24.01,252
20171011,24.04,24.04,24.04,24.04,276
20171012,24.03,24.03,24.03,24.03,415
20171013,24.06,24.06,24.06,24.06,1087
20171016,24.1,24.1,24.04,24.08,3928
20171017,24.05,24.05,24.05,24.05,157
20171018,24.14,24.17,24.14,24.17,2725
20171020,24.28,24.31,24.28,24.3,603
20171023,24.35,24.35,24.24,24.26,20115
20171024,24.32,24.32,24.32,24.32,327
20171025,24.28,24.28,24.17,24.17,544
20171026,24.26,24.29,24.23,24.24,4856
20171027,24.23,24.27,24.23,24.25,5302
20171030,24.2,24.2,24.13,24.17,18439
20171031,24.17,24.22,24.16,24.21,11577
20171101,24.15,24.21,24.15,24.21,666
20171102,24.21,24.21,24.21,24.21,110
20171103,24.26,24.28,24.23,24.28,1280
20171106,24.31,24.31,24.31,24.31,616
20171107,24.3,24.3,24.24,24.24,3371
20171108,24.3,24.31,24.3,24.31,498
20171109,24.19,24.23,24.19,24.19,4872
20171110,24.25,24.25,24.24,24.24,1087
20171113,24.28,24.32,24.27,24.32,3690
20171114,24.19,24.24,24.19,24.23,3622
20171115,24.07,24.16,24.05,24.16,2636
20171116,24.34,24.36,24.34,24.36,284
20171120,24.44,24.47,24.41,24.44,2001
20171127,24.54,24.58,24.54,24.58,9253
20171128,24.65,24.71,24.65,24.7,1931
20171129,24.97,24.98,24.93,24.98,1357
20171130,25.11,25.23,25.08,25.15,7597
20171201,25.14,25.14,24.81,25.04,3221
20171204,25.38,25.38,25.27,25.27,1493
20171205,25.23,25.23,25.12,25.12,790
20171206,25.08,25.11,25.08,25.08,1765
20171208,25.26,25.28,25.26,25.28,1129
20171211,25.29,25.29,25.29,25.29,109
20171212,25.41,25.41,25.38,25.38,1631
20171213,25.4,25.42,25.39,25.39,980
20171214,25.51,25.51,25.23,25.26,3604
20171215,25.48,25.48,25.48,25.48,217
20171218,25.64,25.64,25.64,25.64,652
20171219,25.6,25.6,25.58,25.58,1128
20171220,25.54,25.57,25.54,25.57,218
20171221,25.62,25.66,25.59,25.6,3826
20171222,25.7,25.7,25.57,25.6,7203
20171226,25.63,25.63,25.62,25.62,1397
20171227,25.64,25.64,25.6,25.63,6002
20171228,25.66,25.7,25.63,25.69,15036
20171229,25.71,25.71,25.65,25.65,3184
20180102,25.7,25.72,25.69,25.7,5772
20180103,25.83,25.87,25.83,25.87,1394
20180104,25.97,25.99,25.95,25.95,7200
20180105,26.02,26.14,26.02,26.14,12051
20180108,26.2,26.23,26.19,26.22,9101
20180109,26.24,26.33,26.21,26.27,5449
20180110,26.15,26.18,26.15,26.17,689
20180111,26.29,26.41,26.29,26.41,4617
20180112,26.59,26.6,26.57,26.6,2047
20180116,26.78,26.78,26.51,26.51,2814
20180117,26.61,26.79,26.61,26.79,1052
20180118,26.78,26.8,26.74,26.74,9416
20180119,26.83,26.83,26.81,26.81,915
20180122,26.99,27.08,26.96,27.08,6228
20180123,27.09,27.16,27.09,27.15,8111
20180124,27.25,27.25,27.12,27.15,3446
20180125,27.16,27.21,27.08,27.17,7869
20180126,27.22,27.22,27.22,27.22,108
20180129,27.4,27.4,27.28,27.29,2415
20180130,26.96,27.05,26.92,26.95,7352
20180131,27.4,27.4,26.88,26.88,17611
20180201,26.9,26.98,26.9,26.98,1752
20180202,26.72,26.72,26.28,26.38,25670
20180205,26.23,26.29,25.5,25.5,5619
20180206,25.07,25.76,25.07,25.71,38088
20180207,25.88,26.01,25.73,25.75,27447
20180208,25.41,25.41,24.89,24.89,15609
20180209,25.05,25.24,24.36,25.12,40913
20180212,25.33,25.44,25.25,25.42,1051
20180213,25.4,25.57,25.31,25.55,7892
20180214,25.28,25.89,25.28,25.86,17267
20180215,26.11,26.12,25.8,26.09,18405
20180216,26.11,26.24,26.11,26.21,6569
20180220,26.03,26.1,25.92,25.92,4416
20180221,26.01,26.19,25.94,25.97,16900
20180222,26.1,26.1,25.87,26.06,11511
20180223,25.99,26.15,25.99,26.15,15429
20180226,26.41,26.46,26.31,26.45,4116
20180227,26.35,26.36,26.22,26.22,2914
20180228,26.15,26.23,25.86,25.86,4804
20180301,25.86,25.99,25.53,25.53,2076
20180302,25.34,25.6,25.34,25.6,862
20180305,25.61,26.04,25.61,26.02,9509
20180306,26.01,26.06,25.91,26.04,139208
20180307,25.93,26.06,25.87,26.05,2299
20180308,26.15,26.15,25.99,26.09,18604
20180309,26.37,26.46,26.26,26.46,18732
20180312,26.53,26.53,26.45,26.46,1653
20180313,26.57,26.57,26.3,26.3,2049
20180314,26.36,26.36,26.14,26.18,3568027
20180315,26.18,26.25,26.12,26.16,4148
20180316,26.23,26.26,26.19,26.19,647
20180319,26.01,26.01,25.96,25.96,538
20180320,25.97,25.97,25.91,25.97,2855
20180321,26.07,26.07,25.98,25.98,379
20180322,25.78,25.78,25.32,25.32,4762
20180323,25.2,25.2,24.84,24.84,15234
20180326,25.05,25.51,25.05,25.5,12757
20180327,25.43,25.59,25.02,25.04,4674
20180328,25.09,25.21,25.09,25.12,3467
20180329,25.17,25.44,25.17,25.43,3513
20180402,24.74,24.74,24.61,24.69,6684
20180403,24.88,25.15,24.88,25.11,55470
20180404,24.85,25.44,24.85,25.43,9512
20180405,25.59,25.7,25.56,25.56,1517
20180406,25.6,25.6,25.02,25.02,6572
20180409,25.28,25.43,25.2,25.2,1060
20180410,25.47,25.61,25.44,25.61,3772
20180411,25.51,25.6,25.47,25.47,4165
20180412,25.68,25.7,25.62,25.65,3192
20180413,25.63,25.66,25.49,25.59,3971
20180416,25.86,25.88,25.83,25.83,4794
20180417,26.05,26.08,26.01,26.05,7405
20180418,26.07,26.15,26.07,26.13,6260
20180419,25.81,25.88,25.81,25.88,11567
20180420,25.71,25.71,25.64,25.64,537
20180424,25.81,25.81,25.31,25.35,4801
20180425,25.33,25.37,25.24,25.37,2394
20180426,25.57,25.73,25.57,25.73,2196
20180427,25.74,25.75,25.74,25.75,406
20180430,25.69,25.69,25.64,25.64,935
20180501,25.38,25.5,25.38,25.5,331
20180502,25.46,25.58,25.46,25.5,2743
20180503,25.33,25.33,25.05,25.32,12262
20180504,25.58,25.58,25.58,25.58,388
20180507,25.58,25.63,25.58,25.63,3911
20180508,25.66,25.66,25.51,25.61,4903
20180509,25.86,25.86,25.79,25.83,2426
20180511,25.99,26.14,25.99,26.11,15790
20180514,26.16,26.16,26.15,26.15,1766
20180515,26.02,26.05,25.97,25.99,5372
20180516,26.17,26.22,26.17,26.19,3616
20180517,26.25,26.26,26.15,26.26,6290
20180518,26.15,26.18,26.15,26.18,496
20180521,26.37,26.39,26.32,26.37,14605
20180522,26.45,26.45,26.38,26.4,1292
20180523,26.13,26.13,26.13,26.13,968
20180524,26.27,26.28,26.27,26.27,589
20180525,26.16,26.16,26.16,26.16,538
20180529,26.02,26.13,25.86,25.95,8950
20180530,26.15,26.37,26.15,26.37,2864
20180531,26.19,26.19,26.14,26.15,1584
20180601,26.29,26.29,26.28,26.28,722
20180604,26.46,26.48,26.46,26.48,1219
20180605,26.55,26.59,26.55,26.59,755
20180606,26.66,26.75,26.66,26.75,1722
20180607,26.85,26.85,26.78,26.79,2033
20180608,26.82,26.87,26.82,26.87,982
20180611,27.02,27.02,27,27,1652
20180612,27,27.01,26.93,26.94,5379
20180613,26.96,26.96,26.95,26.95,637
20180614,26.94,26.94,26.87,26.87,1735
20180615,26.8,26.82,26.79,26.79,2734
20180618,26.84,26.86,26.83,26.85,3009
20180619,26.67,26.79,26.67,26.74,3706
20180620,26.96,26.96,26.81,26.84,13073
20180621,26.8,26.8,26.69,26.72,13310
20180622,26.91,26.91,26.78,26.78,1899
20180625,26.36,26.39,26.22,26.39,2424
20180626,26.36,26.36,26.36,26.36,1505
20180627,26.48,26.54,26.24,26.26,7312
20180628,26.25,26.4,26.25,26.34,2088
20180629,26.49,26.55,26.36,26.37,13723
20180702,26.23,26.28,26.11,26.28,2655
20180703,26.38,26.38,26.32,26.34,3252
20180705,26.54,26.54,26.3,26.35,7924
20180706,26.55,26.76,26.55,26.7,8893
20180709,26.92,26.98,26.83,26.96,4564
20180710,27.07,27.11,27.02,27.08,3476
20180711,26.87,26.95,26.78,26.8,12636
20180712,27.07,27.07,26.84,26.96,3886
20180713,27.02,27.02,26.93,26.94,3553
20180716,27.15,27.15,26.82,26.83,2294
20180717,26.81,26.98,26.81,26.96,20118
20180718,26.96,27,26.96,27,385
20180719,26.97,27.02,26.95,26.99,7947
20180720,26.96,26.96,26.9,26.91,1663
20180723,26.9,26.91,26.78,26.89,103380
20180724,27.18,27.18,26.85,26.89,31831
20180725,26.86,26.92,26.86,26.92,3426
20180726,27.25,27.25,27.16,27.16,643
20180727,26.93,26.93,26.93,26.93,535
20180730,27.15,27.15,26.86,26.86,3763
20180731,27.12,27.12,26.97,27.05,1707
20180801,27.09,27.09,26.8,26.86,80904
20180802,26.85,26.96,26.81,26.96,6956
20180803,27.07,27.09,27.03,27.08,2874
20180806,27.27,27.27,27.07,27.18,122053
20180807,27.29,27.32,27.29,27.29,1786
20180808,27.49,27.49,27.25,27.29,2922
20180809,27.27,27.29,27.27,27.29,499
20180810,27.12,27.12,27.1,27.1,760
20180814,27.27,27.28,27.17,27.28,1514
20180815,26.87,26.92,26.87,26.92,252
20180816,27.15,27.25,27.15,27.23,799
20180817,27.14,27.36,27.14,27.35,11594
20180820,27.49,27.49,27.49,27.49,2905
20180821,27.58,27.6,27.57,27.6,1477
20180822,27.59,27.63,27.56,27.56,1926
20180823,27.54,27.61,27.51,27.56,23886
20180824,27.63,27.72,27.63,27.66,5506
20180827,27.82,27.84,27.8,27.81,1909
20180828,27.89,27.89,27.76,27.8,23381
