Date,Open,High,Low,Close,Volume
20071227,38.73,38.73,38.47,38.47,4333
20071228,38.62,38.62,38.25,38.34,27832
20071231,38.22,38.24,38.05,38.2,13522
20080102,38.09,38.09,37.51,37.58,23236
20080103,37.69,37.79,37.58,37.59,24681
20080104,37.3,37.3,36.75,36.75,22712
20080107,36.93,37,36.69,36.69,17988
20080108,37.03,37.14,36.49,36.5,11814
20080109,36.22,36.62,36.03,36.62,40172
20080110,36.45,37.2,36.45,37.17,55527
20080111,36.68,36.87,36.5,36.55,15754
20080114,36.78,36.91,36.67,36.84,61702
20080115,36.23,36.24,36.06,36.06,15623
20080116,35.82,36,35.71,35.95,17852
20080117,35.88,35.88,34.71,34.76,20480
20080118,34.98,34.98,34.27,34.54,32033
20080122,34.27,34.36,32.96,34.17,38732
20080123,33.32,34.73,33.15,34.73,31624
20080124,34.99,35.18,34.73,35.17,46082
20080125,35.56,35.6,34.66,34.79,15754
20080128,34.67,35.12,34.67,35.12,6959
20080129,35.47,35.47,35.2,35.4,34661
20080130,35.33,36.03,35.24,35.24,28885
20080131,34.74,35.94,34.63,35.94,21401
20080201,35.87,36.2,35.83,36.2,19953
20080204,36.2,36.2,35.87,35.92,21400
20080205,35.19,35.25,34.76,34.76,18250
20080206,34.91,35.08,34.53,34.53,13916
20080207,34.37,34.68,34.28,34.68,2889
20080208,34.57,34.83,34.44,34.55,130495
20080211,34.6,34.82,34.37,34.7,116186
20080212,35.02,35.37,34.99,35.14,90979
20080213,35.31,35.61,35.21,35.6,46213
20080214,35.59,35.59,35.08,35.08,61176
20080215,34.99,35.04,34.85,35.02,41485
20080219,35.66,35.66,35.01,35.08,27437
20080220,34.81,35.4,34.8,35.25,69321
20080221,35.48,35.53,34.92,34.99,51980
20080222,35.08,35.21,34.65,35.21,52645
20080225,35.21,35.75,35.12,35.75,59865
20080226,35.63,36,35.55,35.8,34135
20080227,35.7,36.08,35.7,35.88,31900
20080228,35.66,35.8,35.53,35.64,72863
20080229,35.24,35.28,34.64,34.64,154524
20080303,34.7,34.75,34.43,34.61,23236
20080304,34.45,34.67,34.1,34.6,47654
20080305,34.73,34.93,34.42,34.69,80477
20080306,34.42,34.46,34.09,34.09,34791
