Date,Open,High,Low,Close,Volume
20090108,2.2522,2.4009,2.2506,2.4009,2421105
20090109,2.4239,2.4282,2.2244,2.2724,1704864
20090112,2.2478,2.2478,2.0159,2.0619,1170964
20090113,2.0443,2.1102,1.9938,2.072,3012262
20090114,1.9949,1.9949,1.8002,1.8438,3056956
20090115,1.8493,1.9905,1.6919,1.9211,2109496
20090116,2.0345,2.0496,1.8478,2.0095,4135253
20090120,2.0068,2.0068,1.6772,1.6868,2878956
20090121,1.7585,1.8787,1.6396,1.8735,2024856
20090122,1.7443,1.8648,1.6697,1.7542,2792124
20090123,1.6217,1.8589,1.6071,1.8029,3710810
20090126,1.8085,1.9485,1.7665,1.8366,3332509
20090127,1.8624,1.9247,1.8129,1.8997,1457837
20090128,2.0175,2.1388,2,2.1057,4479333
20090129,2.0222,2.0341,1.8684,1.8759,3429880
20090130,1.9152,1.9342,1.6848,1.7221,3934481
20090202,1.632,1.7304,1.6106,1.7197,1674253
20090203,1.7367,1.8148,1.6693,1.7811,3174959
20090204,1.7907,1.887,1.7423,1.7708,3730729
20090205,1.7276,1.9096,1.7002,1.8636,2862237
20090206,1.8711,2.0619,1.8612,2.042,3024346
20090209,2.0397,2.0809,2,2.0575,1078733
20090210,2.0024,2.0571,1.7252,1.7653,6266440
20090211,1.7918,1.8355,1.705,1.7657,1784361
20090212,1.68,1.8105,1.6372,1.7998,2233881
20090213,1.8224,1.8573,1.751,1.7688,3014990
20090217,1.5813,1.7094,1.5095,1.5111,4950415
20090218,1.5472,1.5472,1.4302,1.4731,2181551
20090219,1.5179,1.5476,1.3912,1.4059,2120031
20090220,1.3287,1.4211,1.2788,1.3688,2325427
20090223,1.4096,1.4215,1.2117,1.2248,1454888
20090224,1.2514,1.3985,1.2308,1.3874,2055958
20090225,1.3652,1.4152,1.2736,1.3407,3292290
20090226,1.3945,1.4025,1.2552,1.2649,1796015
20090227,1.2102,1.2966,1.1792,1.2129,1390224
20090302,1.1297,1.1439,0.9956,1.0044,2110382
20090303,1.0571,1.0571,0.9532,0.9818,1455421
20090304,1.025,1.1134,1.0087,1.0706,1603486
20090305,0.9941,1.0246,0.9003,0.921,1557580
20090306,0.9358,0.9766,0.8422,0.9024,2985303
20090309,0.8807,0.9592,0.8715,0.8826,2284537
20090310,0.9477,1.0611,0.9362,1.0575,2059155
20090311,1.0876,1.1201,1.044,1.0978,2096053
20090312,1.0857,1.232,1.0527,1.2161,2618784
20090313,1.251,1.255,1.1792,1.2474,1566762
20090316,1.2998,1.318,1.2094,1.2094,1869329
20090317,1.2169,1.3311,1.1816,1.3311,1672661
20090318,1.3287,1.4885,1.2748,1.4564,3536434
20090319,1.5147,1.5175,1.4112,1.4195,2162534
20090320,1.4366,1.4441,1.2843,1.3117,2119607
20090323,1.4343,1.5944,1.3894,1.5944,2232982
20090324,1.5312,1.5932,1.4902,1.4902,1799649
20090325,1.5325,1.613,1.3962,1.5262,2998294
20090326,1.5897,1.681,1.5638,1.6755,1360466
20090327,1.609,1.6277,1.557,1.5701,2182092
20090330,1.4525,1.4564,1.3511,1.3952,1706083
20090331,1.4449,1.5172,1.3995,1.4525,814378
20090401,1.375,1.5272,1.3511,1.5097,1136852
20090402,1.6361,1.7561,1.6245,1.6834,1943952
20090403,1.6794,1.7688,1.6528,1.7676,793615
20090406,1.7295,1.7382,1.6476,1.7243,987768
20090407,1.6277,1.6484,1.5618,1.5618,1705052
20090408,1.6075,1.6563,1.5729,1.6563,1859813
20090409,1.803,1.8876,1.7585,1.8856,3517163
20090413,1.836,1.917,1.7788,1.8873,3519853
20090414,1.8103,1.8872,1.7594,1.7694,2601341
20090415,1.7338,1.8364,1.7116,1.8348,849881
20090416,1.8928,2.0207,1.834,1.9814,2053869
20090417,1.9965,2.0863,1.956,2.0466,1699988
20090420,1.9162,1.9309,1.7501,1.7533,2842302
20090421,1.7099,1.8801,1.7083,1.8769,2493231
20090422,1.799,2.0362,1.799,1.9003,4414935
20090423,1.9262,1.9381,1.8157,1.9337,2687173
20090424,1.9854,2.1014,1.9417,2.0492,3435003
20090427,1.9822,2.0625,1.9401,1.9699,2085029
20090428,1.9091,2.0267,1.894,1.9544,1748150
20090429,2.0033,2.169,2.0033,2.1002,2473074
20090430,2.1992,2.2632,2.1022,2.1197,2741657
20090501,2.0684,2.1825,2.0664,2.1384,1605451
20090504,2.2035,2.3903,2.1773,2.3903,2493282
20090505,2.3641,2.3955,2.2906,2.3661,2016352
20090506,2.4587,2.4638,2.316,2.4281,2385584
20090507,2.5135,2.5326,2.2135,2.2596,1944412
20090508,2.3514,2.4742,2.3071,2.4595,2038594
20090511,2.3935,2.3987,2.2679,2.3021,2145823
20090512,2.3319,2.3601,2.1209,2.2349,2215272
20090513,2.13,2.1952,1.9607,1.9766,2719536
20090514,1.9774,2.0998,1.9516,2.0545,1655153
20090515,2.0192,2.1102,1.9631,1.9921,1568715
20090518,2.1356,2.223,2.0569,2.2091,1880266
20090519,2.2063,2.3049,2.1737,2.2318,1761520
20090520,2.3037,2.3955,2.1805,2.1924,3161311
20090521,2.1102,2.1372,2.0068,2.0684,2212906
20090522,2.1082,2.1268,2.0315,2.0641,1785208
20090526,1.9949,2.2787,1.9917,2.2707,2294132
20090527,2.2492,2.3216,2.1503,2.1559,1815450
20090528,2.2171,2.2373,2.0839,2.2274,1520550
20090529,2.2612,2.3542,2.2254,2.3542,1615621
20090601,2.4646,2.6264,2.44,2.5886,2094193
20090602,2.5707,2.6498,2.5525,2.6085,1891515
20090603,2.531,2.5604,2.3844,2.4567,1529131
20090604,2.4909,2.5556,2.4368,2.5453,2565840
20090605,2.6339,2.6454,2.4626,2.5397,4940177
20090608,2.5001,2.5405,2.3888,2.5064,1327938
20090609,2.527,2.5993,2.5,2.5759,1792778
20090610,2.6347,2.6498,2.4444,2.5453,3036905
20090611,2.5552,2.6701,2.5552,2.5795,3313121
20090612,2.5203,2.5755,2.4615,2.5755,2273502
20090615,2.5358,2.5358,2.3311,2.382,2168037
20090616,2.4249,2.4396,2.2441,2.2492,2254008
20090617,2.2469,2.3029,2.1602,2.2417,1728552
20090618,2.254,2.2961,2.196,2.2727,1009041
20090619,2.3565,2.3645,2.2679,2.2993,1769903
20090622,2.221,2.2302,2.068,2.0704,2594745
20090623,2.0886,2.1085,2.0174,2.06,1484643
20090624,2.094,2.202,2.094,2.1377,1913371
20090625,2.1101,2.2983,2.0966,2.2939,1888856
20090626,2.2581,2.3269,2.2458,2.2907,943687
20090629,2.3166,2.3755,2.2665,2.3556,1434546
20090630,2.3576,2.387,2.2613,2.3178,2989033
20090701,2.3671,2.4348,2.3528,2.3659,1658635
20090702,2.2521,2.2521,2.1534,2.1559,1886550
20090706,2.0914,2.1229,2.0317,2.1181,2977260
20090707,2.1069,2.1137,1.9637,1.9669,1608390
20090708,1.9888,1.9999,1.8635,1.9458,1932563
20090709,1.9912,2.0186,1.9376,1.9764,1063691
20090710,1.9311,1.9991,1.9056,1.9629,1066151
20090713,1.9981,2.1089,1.9097,2.1065,1135257
20090714,2.1018,2.1579,2.0687,2.1579,1448695
20090715,2.2748,2.3588,2.249,2.3496,1744530
20090716,2.3261,2.4574,2.3009,2.4292,1217943
20090717,2.4359,2.4403,2.3683,2.4161,881002
20090720,2.4737,2.5481,2.455,2.5366,1687966
20090721,2.607,2.6146,2.4451,2.5505,2240764
20090722,2.5143,2.6186,2.5068,2.5724,1618264
20090723,2.5792,2.8171,2.5792,2.788,2556578
20090724,2.7355,2.8529,2.7093,2.8529,2013396
20090727,2.8557,2.8958,2.786,2.8855,3186861
20090728,2.8398,2.8919,2.7602,2.8596,3188197
20090729,2.8262,2.8457,2.7558,2.7948,1924832
20090730,2.9141,3.0108,2.8935,2.9221,2843170
20090731,2.9038,2.9957,2.8907,2.944,2516018
20090803,3.0347,3.1147,2.9778,3.1139,1794697
20090804,3.0741,3.2089,3.0552,3.1735,1798324
20090805,3.2026,3.2074,3.0602,3.1632,2266528
20090806,3.2085,3.2408,3.0542,3.0892,1717529
20090807,3.228,3.3538,3.1566,3.2985,2872650
20090810,3.2576,3.3064,3.1903,3.2556,2338177
20090811,3.2276,3.2276,3.0924,3.1294,1943555
20090812,3.129,3.3263,3.1282,3.2579,1514804
20090813,3.3267,3.3466,3.2024,3.3422,1039092
20090814,3.3478,3.3518,3.127,3.2058,1594435
20090817,3.0387,3.0423,2.9149,2.9324,2649326
20090818,2.9738,3.0522,2.948,3.0335,1573721
20090819,2.9281,3.1178,2.9189,3.0952,1478958
20090820,3.0876,3.2133,3.0792,3.1978,1054386
20090821,3.2873,3.4075,3.2627,3.3939,2561245
20090824,3.4449,3.4986,3.3494,3.3729,3227922
20090825,3.4385,3.5153,3.3975,3.4162,1905487
20090826,3.3868,3.4632,3.3343,3.4138,2857197
20090827,3.3971,3.4731,3.2599,3.4504,1110971
20090828,3.5793,3.5873,3.4059,3.4735,1060225
