Date,Open,High,Low,Close,Volume
20100714,12.304,12.403,12.304,12.339,42970
20100715,12.393,13.336,12.329,12.383,190648
20100716,12.448,12.452,12.314,12.393,34765
20100719,12.452,12.472,12.377,12.443,25614
20100720,12.403,12.674,12.334,12.67,56349
20100721,12.926,12.926,12.541,12.576,44365
20100722,12.847,12.847,12.67,12.714,35370
20100723,12.724,12.778,12.724,12.753,11504
20100726,12.778,12.827,12.778,12.778,3243
20100727,13.069,13.069,12.541,12.546,16194
20100728,12.536,12.556,12.536,12.556,6485
20100729,12.541,12.951,12.448,12.448,47277
20100730,12.211,12.679,12.211,12.615,33949
20100802,12.778,12.842,12.778,12.818,9244
20100803,12.808,12.832,12.778,12.811,16487
20100804,12.837,13.148,12.827,13.005,67605
20100805,12.926,12.941,12.877,12.937,34881
20100806,12.926,12.926,12.837,12.882,12314
20100809,13.049,13.049,12.679,12.699,12090
20100810,12.433,12.586,12.374,12.556,22170
20100811,12.482,12.482,11.989,12.169,10534
20100812,12.211,12.211,12.033,12.112,11151
20100813,12.827,12.827,12.241,12.304,20880
20100816,12.383,12.428,12.369,12.378,19053
20100817,12.477,12.487,12.467,12.467,7499
20100818,12.383,12.393,12.354,12.362,4459
20100819,12.418,12.418,12.383,12.389,4661
20100820,12.285,12.383,12.285,12.329,6535
20100823,12.423,12.423,12.383,12.393,1419
20100824,12.383,12.383,12.156,12.156,12973
20100825,12.137,12.526,12.112,12.275,17616
20100826,12.299,12.314,12.036,12.305,7183
20100827,12.378,12.378,12.378,12.378,253
20100830,12.334,12.334,12.216,12.27,5288
20100831,12.023,12.216,12.023,12.176,15607
20100902,12.105,12.388,12.105,12.388,22697
20100903,12.456,12.477,12.423,12.477,1723
20100907,12.507,12.507,12.393,12.393,8980
20100908,12.462,12.462,12.423,12.423,2331
20100909,12.5,12.526,12.5,12.526,2831
20100910,12.581,12.581,12.568,12.572,2229
20100913,12.66,12.66,12.581,12.581,2635
20100914,12.482,12.684,12.482,12.61,3142
20100915,12.645,12.645,12.541,12.541,2481
20100916,12.492,12.492,12.492,12.492,507
20100917,12.6,12.6,12.511,12.511,4053
20100920,12.66,12.66,12.642,12.642,3953
20100921,12.625,12.778,12.625,12.761,1276
20100922,12.778,12.837,12.776,12.778,16418
20100923,12.689,12.739,12.689,12.709,13933
20100924,12.778,12.778,12.778,12.778,1419
20100927,12.818,12.837,12.818,12.837,609
20100930,12.951,12.951,12.926,12.941,18446
20101004,13.053,13.123,13.053,13.123,9669
20101005,13.183,13.252,13.163,13.252,2482
20101006,13.252,13.286,13.242,13.242,2950
20101007,13.444,13.444,13.232,13.296,14896
20101008,13.43,13.43,13.42,13.42,3000
20101011,13.495,13.495,13.495,13.495,500
20101012,13.495,13.54,13.495,13.54,19850
20101013,13.655,13.705,13.655,13.69,4800
20101014,13.69,13.69,13.575,13.575,1900
20101015,13.6,13.665,13.54,13.665,3660
20101018,13.65,13.65,13.485,13.485,800
20101019,13.502,13.505,13.426,13.426,4300
20101020,13.535,13.54,13.535,13.54,700
20101021,13.67,13.67,13.45,13.49,31968
20101022,13.45,13.51,13.45,13.5,3670
20101025,13.62,13.62,13.575,13.575,3720
20101026,13.59,13.59,13.59,13.59,200
20101027,13.555,13.565,13.555,13.565,600
20101028,13.58,13.58,13.58,13.58,1000
20101029,13.6,13.67,13.065,13.67,6924
20101101,13.725,13.725,13.7,13.7,2800
20101102,13.729,13.84,13.729,13.84,2970
20101103,13.87,13.875,13.87,13.87,11500
20101104,14.07,14.07,13.975,13.975,5548
20101105,14.089,14.13,14.089,14.121,2000
20101108,14.16,14.175,14.09,14.175,4300
20101109,14.15,14.17,14.135,14.16,8994
20101110,14.095,14.12,14.095,14.12,2200
20101112,14.075,14.1,14,14,13600
20101115,14.14,14.14,14.132,14.132,900
20101116,14.005,14.005,13.695,13.785,11402
20101117,13.88,13.88,13.827,13.827,10706
20101118,13.965,13.965,13.965,13.965,6000
20101122,13.855,13.955,13.855,13.955,800
20101123,13.995,14.02,13.845,13.89,9496
20101124,13.965,14,13.935,13.935,2600
20101126,13.935,13.935,13.935,13.935,500
20101129,13.875,13.88,13.875,13.88,1712
20101130,13.82,13.82,13.82,13.82,200
20101202,13.83,13.83,13.825,13.825,4300
20101203,13.89,13.89,13.89,13.89,600
20101207,13.945,13.99,13.92,13.949,2200
20101208,13.855,13.855,13.855,13.855,304
20101209,13.885,13.905,13.88,13.888,54601
20101210,13.96,13.96,13.96,13.96,200
20101213,14.09,14.09,14.09,14.09,8000
