Date,Open,High,Low,Close,Volume
20100114,47.13,47.13,47.11,47.11,1519
20100115,47.24,47.3,47.24,47.27,2675
20100119,47.36,47.36,47.36,47.36,107
20100120,47.35,47.35,47.35,47.35,1955
20100121,47.35,47.35,47.35,47.35,1166
20100122,47.38,47.38,47.38,47.38,642
20100125,47.38,47.38,47.38,47.38,535
20100126,47.39,47.4,47.39,47.4,2675
20100127,47.39,47.44,47.39,47.43,4974
20100128,47.43,47.43,47.43,47.43,107
20100129,47.52,47.52,47.52,47.52,107
20100201,47.53,47.53,47.53,47.53,2986
20100203,47.62,47.62,47.62,47.62,534
20100204,47.68,47.68,47.68,47.68,534
20100205,47.7,47.7,47.7,47.7,214
20100208,47.76,47.76,47.76,47.76,107
20100209,47.66,47.67,47.61,47.61,15862
20100210,47.59,47.59,47.59,47.59,214
20100211,47.61,47.61,47.59,47.59,949
20100216,47.59,47.61,47.59,47.61,813
20100217,47.63,47.63,47.63,47.63,534
20100219,47.61,47.61,47.61,47.61,813
20100224,47.69,47.69,47.69,47.69,107
20100301,47.9,47.9,47.9,47.9,1066
20100302,47.9,47.91,47.9,47.91,2133
20100303,47.85,47.85,47.47,47.47,804
20100305,48.07,48.08,48.07,48.07,5440
20100308,48.06,48.09,48.06,48.09,1267
20100309,48.16,48.16,48.16,48.16,107
20100310,48.13,48.13,48.13,48.13,427
20100311,48.15,48.15,48.15,48.15,1162
20100312,48.15,48.15,48.15,48.15,534
20100315,48.16,48.18,48.16,48.18,3330
20100316,48.18,48.18,48.16,48.16,1578
20100317,48.14,48.15,48.14,48.15,1813
20100322,48.15,48.18,48.15,48.15,4906
20100323,48.13,48.13,48.13,48.13,534
20100324,47.9,47.9,47.9,47.9,523
20100325,47.84,47.84,47.57,47.6,1678
20100326,47.42,47.44,47.38,47.38,2560
20100330,47.4,47.4,47.4,47.4,338
20100331,47.27,47.27,47.24,47.27,741
20100401,47.32,47.32,47.32,47.32,524
20100405,47.23,47.29,47.2,47.26,1061
20100408,47.23,47.23,47.23,47.23,106
