Date,Open,High,Low,Close,Volume
20070823,24.69,24.69,24.46,24.57,520
20070824,24.87,24.87,24.87,24.87,820
20070827,24.84,24.84,24.84,24.84,620
20070828,24.37,24.37,24.35,24.35,210
20070830,24.73,24.74,24.67,24.67,520
20070831,24.93,24.93,24.93,24.93,310
20070906,25.05,25.05,25.05,25.05,210
20070907,24.8,24.8,24.8,24.8,510
20070910,24.56,24.56,24.56,24.56,100
20070921,26.31,26.31,26.31,26.31,100
20070924,26.31,26.31,26.31,26.31,310
20070926,26.35,26.35,26.35,26.35,210
20070927,26.43,26.43,26.43,26.43,1030
20070928,26.41,26.41,26.41,26.41,100
20071009,26.73,26.73,26.73,26.73,100
20071011,26.93,26.93,26.93,26.93,310
20071015,26.93,26.93,26.93,26.93,1030
20071023,26.28,26.28,26.28,26.28,210
20071025,26.38,26.39,26.38,26.39,420
20071107,26.5,26.5,26.22,26.22,10260
20071108,26.41,26.41,26.33,26.33,4620
20071109,26.02,26.02,25.94,25.94,1440
20071112,25.78,25.78,25.75,25.75,510
20071114,26,26.01,25.98,26.01,20520
20071115,25.72,25.72,25.63,25.63,25650
20071116,25.39,25.39,25.37,25.37,10260
20071119,25.42,25.43,25.32,25.34,31810
20071120,25.64,25.64,25.51,25.51,10260
20071121,25.43,25.43,25.31,25.33,15590
20071130,26.11,26.11,26.11,26.11,510
20071210,27.17,27.17,26.9,26.9,1030
20071211,26.9,26.9,26.9,26.9,510
20071212,26.43,26.55,26.43,26.44,14890
20071213,26.6,26.73,26.57,26.73,41930
20071214,26.6,26.6,26.6,26.6,620
20071217,28.51,28.51,26.19,26.23,410
20071218,26.05,26.05,26.05,26.05,210
20071220,26.24,26.24,26.21,26.22,410
20071226,27.01,27.01,27.01,27.01,100
20071227,26.86,26.86,26.71,26.71,11290
20071228,26.66,26.7,26.65,26.66,16420
20071231,26.69,26.69,26.69,26.69,100
20080102,26.27,26.27,26.27,26.27,100
20080103,26.51,26.54,26.51,26.54,920
20080104,26.16,26.2,26.16,26.2,1030
20080107,26.01,26.81,25.79,25.85,45430
20080109,25.46,25.46,25.46,25.46,100
20080110,25.52,25.52,25.52,25.52,210
20080115,25.27,25.27,25,25,720
20080122,23.3,23.46,23.3,23.46,920
20080124,23.88,23.88,22.98,22.98,1910
20080130,24.17,24.17,24.17,24.17,510
20080201,24.67,24.67,24.67,24.67,210
20080208,23.92,23.92,23.92,23.92,1030
20080212,24.66,24.66,24.57,24.57,5440
20080214,24.78,24.78,24.74,24.74,200
20080219,24.85,24.93,24.85,24.93,520
20080220,24.76,24.91,24.76,24.88,1440
20080221,25.05,25.05,24.74,24.74,1350
20080222,24.62,24.69,24.62,24.69,420
20080225,24.95,25.38,24.9,25.38,3210
20080226,25.24,25.47,25.24,25.47,830
20080227,25.61,25.61,25.57,25.59,840
20080229,25.17,25.17,25.17,25.17,100
