Date,Open,High,Low,Close,Volume
20110713,14.153,14.248,14.135,14.154,59962
20110714,14.219,14.219,14.003,14.003,80581
20110715,14.191,14.21,14.154,14.21,102755
20110718,14.041,14.059,13.918,13.984,206554
20110719,14.125,14.163,14.106,14.116,190430
20110720,14.21,14.276,14.191,14.248,304085
20110721,14.314,14.436,14.314,14.417,163220
20110722,14.483,14.483,14.426,14.464,178821
20110725,14.426,14.445,14.379,14.445,219317
20110726,14.445,14.52,14.445,14.483,127411
20110727,14.398,14.398,14.238,14.257,150574
20110728,14.295,14.323,14.257,14.266,479384
20110729,14.219,14.332,14.21,14.323,279577
20110801,14.445,14.445,14.238,14.276,604283
20110802,14.238,14.238,14.078,14.078,332074
20110803,14.041,14.097,13.909,14.097,146605
20110804,13.561,13.579,13.203,13.203,122354
20110805,13.372,13.372,13.052,13.278,312835
20110808,13.118,13.194,12.716,12.733,181706
20110809,13.1,13.165,12.893,13.081,335322
20110810,13.034,13.034,12.789,12.789,304613
20110811,13.015,13.288,12.949,13.25,171025
20110812,13.248,13.248,13.158,13.186,211854
20110815,13.325,13.354,13.288,13.354,105377
20110816,13.145,13.252,13.145,13.252,114926
20110817,13.307,13.325,13.203,13.241,121883
20110818,12.968,12.968,12.714,12.714,112442
20110819,12.751,12.937,12.62,12.62,509800
20110822,12.723,12.751,12.638,12.657,104935
20110823,12.742,12.855,12.714,12.817,162216
20110824,12.704,12.761,12.676,12.742,202751
20110825,12.874,12.874,12.601,12.62,367289
20110826,12.733,12.827,12.676,12.827,230341
20110829,13.005,13.047,12.977,13.043,145005
20110830,13.024,13.043,12.977,13.043,143561
20110831,13.212,13.278,13.165,13.222,166830
20110901,13.165,13.203,13.128,13.184,118408
20110902,12.93,12.949,12.883,12.893,89006
20110906,12.516,12.572,12.478,12.488,86705
20110907,12.75,12.809,12.75,12.809,48197
20110908,12.789,12.808,12.695,12.704,212348
20110909,12.488,12.497,12.337,12.356,171617
20110912,12.356,12.413,12.262,12.337,247501
20110913,12.582,12.62,12.563,12.582,198269
20110914,12.563,12.742,12.544,12.742,112161
20110915,12.77,12.827,12.733,12.827,140803
20110916,12.977,12.996,12.893,12.93,232860
20110919,12.798,12.845,12.685,12.827,127063
20110920,12.798,12.902,12.751,12.751,220175
20110921,12.845,12.845,12.61,12.667,120122
20110922,12.403,12.422,12.309,12.337,152616
20110923,12.431,12.497,12.384,12.403,147812
20110926,12.422,12.507,12.326,12.507,188036
20110927,12.742,12.808,12.62,12.62,163027
20110928,12.781,12.797,12.59,12.599,142403
20110929,12.855,12.855,12.704,12.78,119114
20110930,12.648,12.657,12.554,12.563,135713
20111003,12.552,12.556,12.414,12.442,293478
20111004,12.318,12.516,12.234,12.516,225458
20111005,12.356,12.554,12.356,12.516,134112
20111006,12.554,12.667,12.554,12.667,119337
20111007,12.657,12.676,12.563,12.563,142346
20111010,12.761,12.921,12.761,12.893,125427
20111011,12.808,12.893,12.798,12.827,137856
20111012,12.893,12.977,12.855,12.911,161595
20111013,12.874,12.883,12.845,12.883,113808
20111014,12.911,12.958,12.836,12.921,104244
20111017,12.93,12.977,12.883,12.911,192125
20111018,12.845,13.024,12.78,13.024,269166
20111019,12.902,12.94,12.845,12.864,140584
20111020,12.761,12.761,12.676,12.742,119760
20111021,12.902,12.958,12.902,12.958,108601
20111024,13.024,13.118,13.024,13.1,134384
20111025,13.024,13.024,12.902,12.911,168532
20111026,13.024,13.024,12.93,13.015,197649
20111027,13.382,13.467,13.354,13.401,155886
20111028,13.42,13.504,13.41,13.504,114657
20111031,12.893,12.902,12.798,12.798,189625
20111101,12.582,12.601,12.526,12.544,120262
20111102,12.563,12.573,12.507,12.563,137824
20111103,12.685,12.742,12.573,12.742,69709
20111104,12.62,12.638,12.582,12.638,144093
20111107,12.648,12.667,12.638,12.648,117633
20111108,12.62,12.704,12.591,12.685,123583
20111109,12.544,12.544,12.413,12.441,173911
20111110,12.441,12.441,12.394,12.394,113606
20111111,12.488,12.554,12.488,12.554,97018
20111114,12.554,12.573,12.526,12.526,134274
20111115,12.535,12.563,12.46,12.535,108512
20111116,12.422,12.488,12.3,12.318,159608
20111117,12.384,12.394,12.262,12.309,129852
20111118,12.366,12.375,12.318,12.347,155252
20111121,12.149,12.149,12.073,12.13,106487
20111122,12.13,12.15,12.093,12.121,126973
20111123,11.999,11.999,11.886,11.895,139689
20111125,11.876,11.923,11.839,11.839,108710
20111128,12.14,12.168,12.121,12.149,93192
20111129,12.243,12.29,12.224,12.243,101520
20111130,12.582,12.582,12.535,12.582,111651
20111201,12.507,12.544,12.469,12.478,135059
20111202,12.61,12.61,12.526,12.535,132189
20111205,12.61,12.657,12.573,12.573,154187
20111206,12.469,12.573,12.46,12.516,119227
20111207,12.526,12.657,12.507,12.657,152719
20111208,12.591,12.62,12.394,12.403,126983
20111209,12.441,12.601,12.441,12.601,149195
20111212,12.413,12.422,12.356,12.403,218797
20111213,12.516,12.535,12.29,12.29,179139
20111214,12.271,12.271,12.206,12.206,146430
20111215,12.215,12.215,12.168,12.187,140479
20111216,12.187,12.224,12.14,12.14,158581
20111219,12.121,12.121,11.999,11.999,126630
20111220,12.215,12.3,12.215,12.3,123158
20111221,12.187,12.234,12.14,12.234,106796
20111222,12.149,12.271,12.149,12.262,114284
20111223,12.281,12.356,12.281,12.337,115124
20111227,12.253,12.3,12.252,12.29,127940
20111228,12.259,12.259,12.107,12.107,141524
20111229,12.145,12.297,12.145,12.297,119148
20111230,12.316,12.382,12.306,12.373,157700
20120103,12.633,12.633,12.586,12.633,120392
20120104,12.52,12.538,12.482,12.529,161256
20120105,12.411,12.439,12.373,12.411,110838
20120106,12.297,12.297,12.24,12.259,111007
20120109,12.306,12.306,12.25,12.25,130212
20120110,12.458,12.458,12.42,12.42,129272
20120111,12.354,12.426,12.335,12.392,118725
20120112,12.401,12.401,12.335,12.344,106717
20120113,12.42,12.42,12.373,12.392,153963
20120117,12.505,12.505,12.466,12.486,112340
20120118,12.581,12.704,12.572,12.676,170731
20120119,12.789,12.789,12.731,12.742,119747
20120120,12.79,12.856,12.79,12.837,110298
20120123,12.894,12.922,12.875,12.903,110940
20120124,12.742,12.808,12.742,12.799,112387
20120125,12.79,12.932,12.733,12.922,183983
20120126,12.988,13.007,12.884,12.913,101336
20120127,12.979,13.007,12.951,13.007,126772
20120130,12.932,12.988,12.913,12.96,114213
20120131,13.074,13.084,12.988,13.045,110519
20120201,13.093,13.178,13.093,13.178,106085
20120202,13.187,13.196,13.15,13.15,118741
20120203,13.159,13.187,13.112,13.168,104206
20120206,13.121,13.15,13.093,13.121,110044
20120207,13.15,13.187,13.093,13.187,237078
20120208,13.211,13.211,13.145,13.211,206620
20120209,13.187,13.197,13.121,13.121,110782
20120210,12.979,12.979,12.894,12.97,108124
20120213,13.131,13.15,13.102,13.112,106137
20120214,13.159,13.159,13.055,13.102,119070
20120215,13.348,13.396,13.292,13.33,109551
20120216,13.32,13.434,13.301,13.424,122922
20120217,13.538,13.538,13.453,13.462,119186
20120221,13.444,13.463,13.406,13.433,133941
20120222,13.481,13.5,13.453,13.481,243379
20120223,13.481,13.576,13.462,13.557,118708
20120224,13.633,13.633,13.547,13.566,217841
20120227,13.358,13.481,13.339,13.472,132263
20120228,13.69,13.765,13.68,13.765,143177
20120229,13.756,13.756,13.557,13.557,164979
20120301,13.595,13.652,13.576,13.652,129383
20120302,13.547,13.576,13.519,13.547,129382
20120305,13.491,13.491,13.405,13.462,172568
20120306,13.33,13.349,13.282,13.32,295814
20120307,13.424,13.5,13.424,13.481,389307
20120308,13.652,13.718,13.652,13.708,264765
20120309,13.748,13.792,13.716,13.782,336431
20120312,13.652,13.661,13.595,13.661,304694
20120313,13.661,13.746,13.633,13.746,443909
20120314,13.708,13.718,13.623,13.623,422859
20120315,13.727,13.746,13.68,13.708,420080
20120316,13.765,13.794,13.708,13.708,355586
20120319,13.727,13.794,13.708,13.765,309991
20120320,13.652,13.69,13.595,13.642,280817
20120321,13.595,13.68,13.595,13.671,422439
20120322,13.652,13.737,13.652,13.708,446557
20120323,13.642,13.737,13.642,13.718,324228
20120326,13.765,13.832,13.765,13.832,384353
20120327,13.955,13.955,13.898,13.898,377133
20120328,13.936,13.945,13.881,13.907,602187
20120329,13.917,13.926,13.86,13.926,422550
20120330,14.021,14.021,13.955,13.993,423983
20120402,13.898,14.04,13.898,14.031,339787
20120403,13.936,13.936,13.746,13.832,404231
20120404,13.462,13.462,13.367,13.424,404339
20120405,13.434,13.5,13.405,13.434,332412
20120409,13.339,13.367,13.292,13.33,343387
20120410,13.282,13.33,13.168,13.197,349904
20120411,13.377,13.405,13.301,13.377,373202
20120412,13.367,13.508,13.348,13.491,408556
20120413,13.472,13.472,13.386,13.386,471706
20120416,13.462,13.585,13.415,13.424,337478
20120417,13.481,13.557,13.481,13.51,388919
20120418,13.453,13.5,13.453,13.472,317134
20120419,13.405,13.443,13.311,13.32,326152
20120420,13.358,13.415,13.358,13.367,233584
20120423,13.244,13.263,13.197,13.263,358491
20120424,13.358,13.386,13.311,13.358,548864
20120425,13.424,13.453,13.396,13.434,432248
20120426,13.415,13.519,13.415,13.481,440843
20120427,13.481,13.519,13.453,13.519,374556
20120430,13.491,13.491,13.424,13.462,356875
20120501,13.311,13.348,13.282,13.33,649088
20120502,13.254,13.263,13.225,13.254,464023
20120503,13.197,13.197,13.121,13.168,333467
20120504,13.126,13.127,13.041,13.059,291902
20120507,13.064,13.151,13.055,13.121,417719
20120508,13.012,13.031,12.917,12.993,588358
20120509,12.827,12.922,12.808,12.856,536150
20120510,12.941,12.941,12.884,12.884,562270
20120511,12.752,12.827,12.752,12.78,540949
20120514,12.704,12.723,12.666,12.666,743367
20120515,12.647,12.666,12.543,12.543,676709
20120516,12.486,12.509,12.42,12.43,670232
20120517,12.496,12.543,12.467,12.467,727747
