Date,Open,High,Low,Close,Volume
20190410,484.63,484.63,484.63,484.63,3
20190411,482.15,482.15,482.15,482.15,3
20190412,482.15,482.15,482.15,482.15,3
20190415,482.15,482.15,482.15,482.15,3
20190416,482.15,482.15,482.15,482.15,3
20190417,427.96,427.96,427.96,427.96,3
20190418,427.96,427.96,427.96,427.96,3
20190422,406.57,406.57,406.57,406.57,3
20190423,406.57,406.57,406.57,406.57,3
20190424,420.87,420.87,420.87,420.87,3
20190425,420.87,420.87,420.87,420.87,3
20190426,441.43,441.43,441.43,441.43,23
20190429,435.03,435.03,435.03,435.03,3
20190430,435.03,435.03,435.03,435.03,3
20190501,440.08,442.48,440.08,442.48,53
20190502,488.62,488.62,483.81,483.81,53
20190503,466.97,466.97,466.97,466.97,43
20190506,470.48,470.48,470.48,470.48,3
20190507,484.27,484.67,482.53,482.53,203
20190508,484.05,484.05,484.05,484.05,3
20190509,506.26,506.26,506.26,506.26,3
20190510,504.5,521.3,504.5,521.3,33
20190513,523.39,528.3,522.99,528.3,153
20190514,507.68,508.08,507.68,508.08,73
20190515,522.19,522.99,521.89,522.99,83
20190516,504.77,504.77,504.77,504.77,3
20190517,510.47,510.47,510.47,510.47,23
20190520,509.44,509.44,509.44,509.44,3
20190521,509.44,509.44,509.44,509.44,3
20190522,497.63,513.43,496.13,513.43,183
20190523,563.5,569,563.5,566.9,53
20190524,566.72,566.72,566.72,566.72,3
20190528,566.72,566.72,566.72,566.72,3
20190529,592.8832,597.1844,591.405,597.1844,74
20190530,580.54,580.54,580.54,580.54,3
20190531,628.0267,644.63,627.8616,644.63,43
20190603,626.599,637.2,621,629.6,310
20190604,594.68,594.68,594.68,594.68,3
20190605,594.68,594.68,594.68,594.68,3
20190606,581.43,581.43,569.72,569.72,77
20190607,555.8,555.8,555.8,555.8,24
20190610,580.69,580.69,580.69,580.69,3
20190611,574.5,574.5,574.5,574.5,23
20190612,575.05,575.05,575.05,575.05,3
20190613,575,577,569.5,577,93
20190614,578.1,582.1,578.1,582.1,63
20190617,567.39,567.39,567.39,567.39,3
20190618,542.47,542.47,542.47,542.47,3
20190619,552.3,552.3,552.3,552.3,23
20190620,542.01,542.01,542.01,542.01,3
20190621,542.01,542.01,542.01,542.01,3
20190624,542.01,542.01,542.01,542.01,3
20190625,545.05,545.05,545.05,545.05,22
20190626,518.85,518.85,518.85,518.85,3
20190627,523.6,524.15,521.32,521.32,50
20190628,530.2,530.2,521.76,524.47,75
20190701,472.54,472.54,472.54,472.54,3
20190702,500.9,501.69,500.9,501.69,94
20190703,508.24,508.24,508.24,508.24,3
20190705,508.24,508.24,508.24,508.24,3
20190708,508.24,508.24,508.24,508.24,3
20190709,495.77,495.77,495.77,495.77,3
20190710,495.77,495.77,495.77,495.77,3
20190711,495.77,495.77,495.77,495.77,3
20190712,489.21,489.21,489.21,489.21,22
20190715,473.33,473.33,473.33,473.33,3
20190716,473.33,473.33,473.33,473.33,3
20190717,485.78,485.78,485.78,485.78,23
20190718,495.18,495.18,495.18,495.18,23
20190719,481.13,481.13,481.13,481.13,23
20190722,476.21,476.21,476.21,476.21,3
20190723,476.21,476.21,476.21,476.21,3
20190724,476.21,476.21,476.21,476.21,3
20190725,476.21,476.21,476.21,476.21,3
20190726,476.21,476.21,476.21,476.21,3
20190729,476.21,476.21,476.21,476.21,3
20190730,472.14,472.14,472.14,472.14,3
20190731,472.14,472.14,472.14,472.14,3
20190801,479.08,484.1,476.03,481.05,124
20190802,526.3,530.1,526.3,530.1,43
20190805,585.5,585.5,585.5,585.5,23
20190806,596.49,596.49,596.49,596.49,3
20190807,623.7,623.7,623.7,623.7,13
20190808,560.45,560.45,560.45,560.45,3
20190809,575.61,575.61,575.61,575.61,3
20190812,609.2,609.4,608.4,608.6,273
20190813,589.04,589.04,589.04,589.04,3
20190814,629.51,653.42,629.51,653.32,192
20190815,655.4,672.2,650,665.7,703
20190816,633.8,636.6,626.1,626.1,243
20190819,589.7,598.4,579.8,579.8,1323
20190820,585.2,589.2,585.2,588.8,73
20190821,579.7,579.7,575.6,575.6,33
20190822,586.2,588.4,586.2,588.4,23
20190823,610.8,626.4,605.5,624.1,133
20190826,658.7,662.4,653.9,659.3,63
20190827,677.1,677.1,677.1,677.1,13
20190828,646.5,646.5,646.5,646.5,13
20190829,640.73,640.73,640.73,640.73,3
20190830,597.19,597.19,597.19,597.19,3
20190903,603.16,603.16,603.16,603.16,3
20190904,575.591,575.591,575.591,575.591,13
20190905,549.1319,549.1319,549.1319,549.1319,13
20190906,543.41,543.41,543.41,543.41,3
20190909,514.11,514.11,514.11,514.11,3
20190910,514.11,514.11,514.11,514.11,3
20190911,487.39,487.39,487.39,487.39,3
20190912,500.3,500.3,500.3,500.3,13
20190913,500.51,500.51,500.51,500.51,3
20190916,500.51,500.51,500.51,500.51,3
20190917,533.199,533.199,533.199,533.199,12
20190918,538.45,538.45,538.45,538.45,12
20190919,461.79,461.79,461.79,461.79,3
20190920,461.79,461.79,461.79,461.79,3
20190923,459.84,459.84,459.84,459.84,3
20190924,459.84,459.84,459.84,459.84,3
20190925,455.03,456.82,455.03,456.82,23
20190926,469.63,469.63,469.63,469.63,3
20190927,469.63,469.63,469.63,469.63,3
20190930,469.63,469.63,469.63,469.63,3
20191001,469.63,469.63,469.63,469.63,3
20191002,469.63,469.63,469.63,469.63,3
20191003,539.26,539.26,539.26,539.26,3
20191004,539.26,539.26,539.26,539.26,3
20191007,539.26,539.26,539.26,539.26,3
20191008,539.26,539.26,539.26,539.26,3
20191009,539.26,539.26,539.26,539.26,3
20191010,522.18,522.18,522.18,522.18,13
20191011,486.25,486.25,486.25,486.25,13
20191014,479,479,479,479,3
20191015,479,479,479,479,3
20191016,479,479,479,479,3
20191017,471.54,471.54,471.54,471.54,13
20191018,496.23,496.23,496.23,496.23,3
20191021,496.23,496.23,496.23,496.23,3
20191022,496.23,496.23,496.23,496.23,3
20191023,496.23,496.23,496.23,496.23,3
20191024,496.23,496.23,496.23,496.23,3
20191025,425.07,425.07,425.07,425.07,3
20191028,425.07,425.07,425.07,425.07,3
20191029,425.07,425.07,425.07,425.07,3
20191030,439.54,439.54,439.54,439.54,13
20191031,480.36,480.36,480.36,480.36,43
20191101,459.04,459.04,426.8086,426.8086,13
20191104,463.95,463.95,463.95,463.95,3
20191105,463.95,463.95,463.95,463.95,3
20191106,397.3,416.8,392.6,416.7,313
20191107,393.3,393.8,393.3,393.6,123
20191108,390.03,390.03,390.03,390.03,3
20191111,390.03,390.03,390.03,390.03,3
20191112,390.03,390.03,390.03,390.03,3
20191113,390.03,390.03,390.03,390.03,3
20191114,390.03,390.03,390.03,390.03,3
20191115,410.87,410.87,410.87,410.87,3
20191118,410.87,410.87,410.87,410.87,3
20191119,410.87,410.87,410.87,410.87,3
20191120,428.1,433.6,428.1,433.6,33
20191121,430.43,430.43,430.43,430.43,3
20191122,432.4,432.4,432.4,432.4,13
20191125,423.66,423.66,423.66,423.66,3
20191126,423.66,423.66,423.66,423.66,3
