Date,Open,High,Low,Close,Volume
20171003,22.55,22.55,22.54,22.55,225149
20171004,22.51,22.52,22.5,22.52,223043
20171005,22.5,22.5,22.5,22.5,222709
20171006,22.47,22.47,22.47,22.47,220148
20171009,22.47,22.48,22.46,22.48,1998
20171011,22.49,22.49,22.49,22.49,339
20171016,22.55,22.55,22.55,22.55,245
20171017,22.54,22.54,22.54,22.54,333
20171019,22.5,22.5,22.5,22.5,730
20171020,22.47,22.47,22.47,22.47,244
20171024,22.45,22.45,22.45,22.45,1326
20171025,22.41,22.42,22.41,22.42,1111
20171026,22.41,22.41,22.41,22.41,111
20171030,22.48,22.48,22.48,22.48,32442
20171031,22.49,22.5,22.49,22.49,668
20171102,22.51,22.52,22.48,22.51,11229
20171106,22.55,22.55,22.55,22.55,156
20171108,22.55,22.55,22.53,22.55,1546
20171110,22.46,22.46,22.46,22.46,111
20171113,22.41,22.41,22.41,22.41,778
20171114,22.45,22.45,22.45,22.45,508
20171121,22.48,22.48,22.48,22.48,3125
20171124,22.55,22.55,22.54,22.54,1550
20171127,22.54,22.54,22.54,22.54,111
20171128,22.54,22.55,22.53,22.55,5899
20171129,22.49,22.49,22.48,22.48,4448
20171130,22.48,22.48,22.47,22.47,333
20171204,22.51,22.51,22.51,22.51,444
20171208,22.52,22.52,22.52,22.52,111
20171211,22.52,22.52,22.52,22.52,8395
20171212,22.46,22.47,22.46,22.46,28402
20171213,22.49,22.49,22.49,22.49,222
20171214,22.53,22.54,22.53,22.54,2219
20171215,22.57,23.07,22.54,22.55,18419
20171219,22.48,22.48,22.44,22.45,4188
20171220,22.42,22.42,22.4,22.41,5196
20171221,22.4,22.42,22.4,22.42,13184
20171222,22.41,22.43,22.41,22.43,2031
20171226,22.45,22.46,22.43,22.43,1255
20171227,22.47,22.47,22.46,22.46,3321
20171228,22.49,22.5,22.48,22.49,3763
20171229,22.53,22.53,22.53,22.53,413
20180102,22.47,22.47,22.47,22.47,111
20180103,22.49,22.49,22.48,22.48,1388
20180104,22.49,22.49,22.49,22.49,332
20180105,22.46,22.47,22.46,22.46,4267
20180108,22.46,22.46,22.45,22.46,8713
20180109,22.45,22.45,22.45,22.45,266
20180110,22.34,22.36,22.34,22.36,2754
20180111,22.39,22.39,22.39,22.39,476
20180112,22.41,22.42,22.4,22.4,3575
20180116,22.42,22.42,22.42,22.42,996
20180117,22.41,22.41,22.38,22.4,9550
20180118,22.35,22.37,22.32,22.35,4737
20180119,22.33,22.33,22.32,22.32,3469
20180122,22.32,22.33,22.3,22.3,3687
20180123,22.33,22.33,22.31,22.32,888
20180124,22.3,22.31,22.3,22.31,3064
20180125,22.31,22.34,22.3,22.34,892
20180129,22.28,22.29,22.28,22.29,16758
20180130,22.27,22.27,22.25,22.26,21496
20180131,22.27,22.27,22.24,22.24,1716
20180201,22.21,22.21,22.21,22.21,331
20180202,22.14,22.16,22.14,22.16,3975
20180205,22.11,22.14,22.11,22.14,1280
20180206,22.18,22.19,22.15,22.16,18300
20180207,22.11,22.11,22.11,22.11,663
20180208,22.08,22.08,22.08,22.08,1921
20180209,22.06,22.1,22.06,22.1,9383
20180212,22.06,22.06,22.06,22.06,125
20180213,22.08,22.08,22.06,22.06,221
20180214,22.05,22.05,22.01,22.01,6108
20180215,22.05,22.06,22.04,22.04,3799
20180216,22.08,22.09,22.06,22.07,65485
20180220,22.01,22.01,21.99,21.99,5130
20180221,22.03,22.03,22.01,22.01,1614
20180222,21.99,21.99,21.98,21.98,773
20180223,22.03,22.03,22.03,22.03,190
20180226,22.07,22.07,22.05,22.05,1645
20180227,22.02,22.02,21.99,22.01,6479
20180228,22.01,22.03,22,22,79996
20180301,22.05,22.07,22.03,22.06,27422
20180302,22.05,22.05,22.04,22.04,947
20180305,22.03,22.03,22.03,22.03,1776
20180306,22,22.04,22,22.02,902
20180307,22,22,22,22,657
20180308,22.05,22.05,22.03,22.03,6472
20180309,22.02,22.02,22.01,22.02,2118
20180312,22.02,22.04,22.02,22.03,893
20180313,22.01,22.03,22.01,22.02,3805
20180314,22.04,22.05,22.03,22.05,4198
20180315,22.06,22.06,22.05,22.05,4564
20180316,22.05,22.05,22.04,22.05,1100
20180319,22.04,22.04,22.03,22.03,551
20180320,22,22.01,22,22.01,2071
20180321,22,22.01,21.99,22,551
20180322,22.05,22.07,22.03,22.05,7651
20180323,22.06,22.06,22.06,22.06,4343
20180326,22.07,22.07,22.06,22.06,2589
20180327,22.09,22.1,22.06,22.09,23826
20180328,22.07,22.28,22.06,22.07,54490
20180402,22.09,22.15,22.09,22.15,1683
20180403,22.13,22.16,22.13,22.15,12545
20180404,22.12,22.18,22.12,22.16,34184
20180405,22.12,22.13,22.12,22.13,3018
20180406,22.16,22.18,22.14,22.17,1965
20180409,22.18,22.18,22.14,22.14,3170
20180410,22.17,22.17,22.14,22.17,1009
20180411,22.16,22.18,22.16,22.16,3495
20180412,22.17,22.17,22.1,22.16,13319
20180413,22.14,22.14,22.14,22.14,110
20180416,22.06,22.14,22.06,22.14,3722
20180417,22.15,22.15,22.14,22.15,3945
20180418,22.14,22.14,22.09,22.09,1976
20180419,22.05,22.06,22.03,22.03,7388
20180420,22.01,22.05,22.01,22.02,11435
20180423,22,22.01,21.97,21.97,9981
20180424,21.92,21.99,21.92,21.96,11041
20180425,21.97,21.98,21.96,21.98,3974
20180426,21.99,21.99,21.95,21.99,3176
20180427,22.02,22.03,22.02,22.03,11832
20180430,22.08,22.09,22.05,22.05,1198
20180501,22.06,22.06,22.03,22.03,364
20180502,22.06,22.06,22,22.05,1178
20180503,22.06,22.06,22.03,22.03,685
20180504,22.07,22.08,22.07,22.07,1446
20180507,22.07,22.08,22.03,22.08,6013
20180508,22.06,22.06,22.05,22.05,3610
20180509,22.02,22.24,22.01,22.04,85195
20180510,22.05,22.05,22.05,22.05,110
20180511,22.05,22.06,22.05,22.06,7543
20180514,22.06,22.06,22.03,22.05,4628
20180515,22.01,22.01,21.97,22,2872
20180516,21.97,21.97,21.92,21.96,1736
20180517,21.94,21.94,21.87,21.94,3655
20180518,21.91,21.95,21.91,21.94,4509
20180522,21.94,21.96,21.94,21.96,3003
20180523,21.98,21.98,21.98,21.98,216
