Date,Open,High,Low,Close,Volume
20170607,25.16,25.16,25.08,25.15,390143
20170608,25.27,25.28,25.27,25.27,621
20170613,25.01,25.01,25.01,25.01,439
20170614,25.27,25.27,25.27,25.27,2500
20170615,24.87,24.87,24.87,24.87,52
20170616,24.87,24.87,24.87,24.87,1
20170619,24.87,24.87,24.87,24.87,1
20170620,24.87,24.87,24.87,24.87,78
20170621,24.83,24.83,24.83,24.83,399
20170622,24.83,24.83,24.83,24.83,3
20170627,24.83,24.83,24.83,24.83,2
20170628,25.18,25.27,25.18,25.1899,744
20170629,25.08,25.08,24.9925,24.9925,1665
20170630,25.1495,25.1495,25.1495,25.1495,391
20170703,25.1495,25.1495,25.1495,25.1495,7
20170705,25.1495,25.1495,25.1495,25.1495,2
20170706,25.0671,25.07,25.0286,25.0286,3063
20170707,25.0286,25.0286,25.0286,25.0286,84
20170710,25.0286,25.0286,25.0286,25.0286,2
20170711,25.0286,25.0286,25.0286,25.0286,5
20170712,25.0286,25.0286,25.0286,25.0286,41
20170713,25.89,25.95,25.865,25.95,1311
20170714,26.15,26.23,26.14,26.2294,1960
20170717,26.14,26.14,26.14,26.14,623
20170718,26.1969,26.2394,26.1969,26.2394,584
20170719,26.3896,26.43,26.3896,26.4037,585
20170720,26.4136,26.53,26.4062,26.51,20258
20170721,26.4099,26.41,26.351,26.351,711
20170724,26.5162,26.5162,26.5162,26.5162,278
20170725,26.4799,26.48,26.46,26.46,848
20170726,26.45,26.59,26.41,26.59,2021
20170727,26.62,26.62,26.39,26.39,446
20170728,26.309,26.32,26.309,26.32,672
20170731,26.42,26.42,26.3684,26.39,812
20170801,26.52,26.53,26.4401,26.4401,1130
20170802,26.4401,26.4401,26.4401,26.4401,69
20170803,26.34,26.37,26.32,26.36,792
20170804,26.36,26.36,26.36,26.36,3
20170807,26.72,26.72,26.7156,26.72,869
20170808,26.72,26.72,26.72,26.72,11
20170809,26.72,26.72,26.72,26.72,4
20170810,26.72,26.72,26.72,26.72,12
20170811,26.16,26.2,26.16,26.2,244
20170814,26.51,26.51,26.46,26.46,297
20170815,26.63,26.64,26.42,26.42,1329
20170816,26.42,26.42,26.42,26.42,2
20170817,26.42,26.42,26.42,26.42,52
20170818,26.42,26.42,26.42,26.42,43
