Date,Open,High,Low,Close,Volume
20170110,22.08,22.08,22.08,22.08,11
20170111,22.08,22.08,22.08,22.08,11
20170112,21.99,22.06,21.99,22.06,1710
20170113,22.06,22.06,22.06,22.06,11
20170117,22.06,22.06,22.06,22.06,11
20170118,22.06,22.06,22.06,22.06,11
20170119,21.94,21.94,21.94,21.94,1121
20170120,21.97,21.97,21.97,21.97,238
20170123,21.97,21.97,21.97,21.97,11
20170124,21.97,21.97,21.97,21.97,11
20170125,21.97,21.97,21.97,21.97,11
20170126,21.97,21.97,21.97,21.97,11
20170127,22.23,22.23,22.23,22.23,124
20170130,22.27,22.27,22.27,22.27,226
20170131,22.27,22.27,22.27,22.27,11
20170201,22.27,22.27,22.27,22.27,11
20170202,22.27,22.27,22.27,22.27,11
20170203,22.27,22.27,22.27,22.27,11
20170206,22.18,22.18,22.18,22.18,2275
20170207,22.18,22.18,22.18,22.18,11
20170208,22.18,22.18,22.18,22.18,11
20170209,22.18,22.18,22.18,22.18,11
20170210,22.18,22.18,22.18,22.18,11
20170213,22.53,22.56,22.52,22.56,17569
20170214,22.56,22.56,22.56,22.56,11
20170215,22.56,22.56,22.56,22.56,11
20170216,22.65,22.65,22.64,22.64,1266
20170217,22.64,22.64,22.64,22.64,11
20170221,22.64,22.64,22.64,22.64,11
20170222,22.79,22.84,22.79,22.83,8564
20170223,22.83,22.83,22.83,22.83,11
20170224,22.83,22.83,22.83,22.83,11
20170227,22.9,22.9,22.84,22.84,1196
20170228,22.84,22.84,22.84,22.84,11
20170301,23.19,23.19,23.19,23.19,815
20170302,23.19,23.19,23.19,23.19,11
20170303,23.19,23.19,23.19,23.19,11
20170306,22.86,22.86,22.83,22.86,3306
20170307,22.86,22.86,22.86,22.86,11
20170308,22.86,22.86,22.86,22.86,11
20170309,22.86,22.86,22.86,22.86,11
20170310,22.78,22.78,22.78,22.78,695
20170313,22.79,22.79,22.77,22.77,885
20170314,22.69,22.69,22.69,22.69,223
20170315,22.69,22.69,22.69,22.69,11
20170316,22.69,22.69,22.69,22.69,11
20170317,22.69,22.69,22.69,22.69,11
20170320,22.81,22.81,22.79,22.79,1968
20170321,22.47,22.47,22.47,22.47,351
20170322,22.47,22.47,22.47,22.47,11
20170323,22.47,22.47,22.47,22.47,11
20170324,22.47,22.47,22.47,22.47,11
20170327,22.37,22.37,22.37,22.37,930
20170328,22.37,22.37,22.37,22.37,11
20170329,22.37,22.37,22.37,22.37,11
20170330,22.37,22.37,22.37,22.37,11
20170331,22.6,22.6,22.6,22.6,657
