Date,Open,High,Low,Close,Volume
20150827,25.35,25.38,25.35,25.37,364
20150909,24.8,24.8,24.8,24.8,208
20150910,24.67,24.77,24.67,24.77,520
20150911,24.58,24.58,24.58,24.58,653
20150916,24.6,24.6,24.6,24.6,416
20150922,24.08,24.08,24.08,24.08,520
20150929,23.59,23.59,23.59,23.59,260
20151005,24.62,24.62,24.62,24.62,104
20151006,24.62,24.62,24.62,24.62,208
20151009,25.02,25.02,25.02,25.02,832
20151019,24.98,24.98,24.98,24.98,103
20151022,25.51,25.51,25.51,25.51,103
20151023,25.87,25.87,25.85,25.85,414
20151026,25.61,25.61,25.61,25.61,3105
20151027,25.44,25.49,25.44,25.49,310
20151028,25.82,25.84,25.79,25.79,517
20151106,25.73,25.74,25.73,25.74,207
20151109,25.01,25.03,25.01,25.03,828
20151117,25.11,25.11,25.11,25.11,119
20151118,25.21,25.21,25.2,25.2,497
20151120,25.37,25.37,25.37,25.37,103
20151124,25.24,25.37,25.24,25.37,614
20151127,25.25,25.25,25.25,25.25,103
20151209,24.64,24.64,24.64,24.64,103
20151217,24.87,24.87,24.87,24.87,103
20151228,25.11,25.11,25.11,25.11,206
20151229,25.18,25.18,25.18,25.18,510
20151230,25.17,25.17,25.15,25.15,306
20151231,24.95,24.95,24.95,24.95,102
20160107,24.1,24.14,24.03,24.03,918
20160108,24.24,24.24,23.72,23.72,1989
20160111,25.35,25.35,25.35,25.35,204
20160112,24.03,24.03,23.67,23.67,714
20160114,23.6,23.94,23.6,23.91,1749
20160119,23.73,23.73,23.47,23.57,1402
20160120,22.93,22.93,22.72,22.72,423
20160121,23.27,23.27,23.27,23.27,102
20160122,23.24,23.82,23.24,23.82,714
20160125,23.69,23.69,23.69,23.69,306
20160126,23.74,23.74,23.74,23.74,255
20160127,24,24,23.64,23.64,408
20160128,23.65,23.65,23.65,23.65,102
20160129,24.25,24.35,24.25,24.35,612
20160201,24.67,24.72,24.64,24.72,612
20160202,24.43,24.46,24.38,24.38,1326
20160203,23.71,23.71,23.67,23.67,1224
20160204,23.76,23.76,23.76,23.76,204
20160208,23.74,23.79,23.74,23.79,1198
20160209,23.6,23.6,23.6,23.6,204
20160210,23.58,23.58,23.43,23.43,311
20160212,23.24,23.24,22.7,22.7,362
20160217,23.65,23.78,23.65,23.78,228
20160222,24.07,24.07,24.07,24.07,1020
20160224,23.62,23.7,23.62,23.7,612
20160225,23.84,23.88,23.84,23.88,408
20160226,23.81,23.81,23.81,23.81,204
20160229,23.67,23.71,23.67,23.71,612
20160303,24.34,24.38,24.34,24.38,204
20160304,24.54,24.54,24.54,24.54,102
20160309,24.19,24.19,24.19,24.19,102
20160315,24.62,24.66,24.21,24.29,1530
20160317,24.57,24.59,24.57,24.58,4758
20160318,24.58,24.58,24.55,24.55,204
20160322,24.77,24.77,24.76,24.77,1122
20160323,24.57,24.65,24.51,24.55,5182
20160324,24.55,24.56,24.55,24.56,551
20160328,24.62,24.62,24.56,24.56,304
20160329,24.58,24.85,24.54,24.85,3213
20160330,24.97,24.97,24.97,24.97,102
20160331,24.67,24.67,24.67,24.67,102
20160404,24.14,24.14,24.14,24.14,102
20160405,23.81,23.85,23.81,23.85,495
20160407,23.77,23.77,23.51,23.74,2346
20160412,24.4,24.4,24.4,24.4,204
