Date,Open,High,Low,Close,Volume
20180605,25.25,29.82,25.1748,25.25,652659
20180606,25.7,26.3,25.35,25.4,393074
20180607,25.55,25.6,24.77,24.9445,302997
20180608,25,25.14,24.79,25.12,149576
20180611,25.29,25.329,25.2,25.238,170467
20180612,25.33,25.64,25.26,25.57,153214
20180613,25.66,25.77,25.56,25.56,197984
20180614,25.7,26,25.7,25.97,313045
20180615,25.83,25.8559,25.57,25.8,170143
20180618,25.65,25.9,25.52,25.85,149963
20180619,25.5,25.53,25.03,25.53,176554
20180620,25.63,25.78,25.6,25.62,153316
20180621,25.68,25.68,25.2201,25.27,61484
20180622,25.35,25.459,24.99,25.1,67227
20180625,24.93,24.93,24.0598,24.24,301150
20180626,24.43,24.56,24.26,24.3848,43481
20180627,24.5,24.5,23.72,23.72,92581
20180628,23.64,24.15,23.5113,24.0999,80638
20180629,24.25,24.329,24.1,24.1,90825
20180702,23.87,24.2,23.74,24.2,65817
20180703,24.43,24.43,24.1,24.1,22783
20180705,24.17,24.328,24.011,24.29,43451
20180706,24.2,24.789,24.2,24.76,44066
20180709,24.97,25,24.8,25,52583
20180710,25.02,25.0455,24.79,24.82,57265
20180711,24.63,24.8224,24.52,24.79,42678
20180712,24.88,25.22,24.88,25.2,90581
20180713,25.14,25.1546,25,25.099,29631
20180716,25.05,25.1701,25.02,25.059,40491
20180717,24.9,25.32,24.775,25.275,81879
20180718,25.3,25.33,25.15,25.27,76970
20180719,25.13,25.1799,24.989,24.99,29078
20180720,25.08,25.2091,24.9798,24.9902,32206
20180723,24.95,25.0184,24.78,24.97,22152
20180724,25.35,25.39,24.7688,24.915,54465
20180725,24.95,25.569,24.95,25.5424,47634
20180726,25,25.18,24.844,25.0265,51454
20180727,25.26,25.26,24.34,24.5298,86758
20180730,24.4,24.4,23.6,23.765,83722
20180731,23.8,23.96,23.4,23.701,47480
20180801,23.72,23.99,23.7,23.75,300115
20180802,23.63,23.9837,23.4798,23.96,87774
20180803,24.06,24.06,23.8,23.9,69476
20180806,23.93,24.1185,23.79,24.11,82148
20180807,24.22,24.309,24.13,24.18,42217
20180808,24.26,24.26,24.041,24.08,45808
20180809,24.04,24.3997,24.04,24.25,44316
20180810,24.06,24.25,24.047,24.22,23532
20180813,24.13,24.209,23.9,23.93,58854
20180814,23.83,23.83,23.56,23.66,150449
20180815,23.28,23.3235,23,23.18,129400
20180816,23.37,23.4497,23.2,23.22,55736
20180817,23.21,23.3044,23,23.21,27169
20180820,23.37,23.5099,23.221,23.4585,27238
20180821,23.47,23.715,23.47,23.5923,52499
20180822,23.62,23.869,23.62,23.8395,24416
20180823,23.83,24.0693,23.6868,23.7304,31683
20180824,23.92,24.16,23.92,24.12,40426
20180827,24.37,24.565,24.3066,24.52,60768
20180828,24.52,24.57,24.42,24.4945,38255
20180829,24.58,24.69,24.471,24.69,43218
20180830,24.62,24.62,24.3311,24.3549,44293
20180831,24.33,24.4635,24.29,24.3858,184304
20180904,24.25,24.27,24,24.24,46328
20180905,24,24.1,23.29,23.3615,37553
20180906,23.38,23.4138,23.027,23.1826,157955
20180907,23.06,23.47,23.025,23.28,68430
20180910,23.28,23.2846,23.05,23.14,19387
20180911,23.05,23.44,22.95,23.3901,35782
20180912,23.3,23.49,23.011,23.469,27460
20180913,23.66,23.931,23.66,23.79,24240
20180914,23.86,23.972,23.69,23.81,13850
20180917,23.7,23.7,23.1415,23.1415,43156
20180918,23.18,23.45,23.18,23.2922,20350
20180919,23.4,23.4,23.23,23.3728,32057
20180920,23.43,23.6,23.3636,23.5899,20315
20180921,23.7,23.7,23.311,23.332,14331
20180924,23.1,23.2667,22.8447,23.23,18263
20180925,23.3,23.56,23.3,23.52,18254
20180926,23.67,23.8162,23.55,23.62,24444
20180927,23.68,23.7991,23.6006,23.75,38730
20180928,23.6101,23.6669,23.5,23.5201,21476
20181001,23.66,23.71,23.39,23.39,18520
20181002,23.21,23.21,22.91,22.9411,35071
20181003,23,23.16,23,23.09,25274
20181004,22.95,22.95,22.2,22.3455,76814
20181005,22.42,22.4433,21.86,22.1549,66069
20181008,21.89,21.9935,21.41,21.7,29615
20181009,21.54,21.7599,21.45,21.48,34923
20181010,21.29,21.2965,20.35,20.35,68861
20181011,20.16,20.71,20.1,20.3086,48137
20181012,20.94,21.2299,20.8808,21.22,26281
20181015,21.02,21.035,20.655,20.9828,16295
20181016,21,21.55,21,21.55,9644
20181017,21.75,21.75,21.31,21.51,20016
20181018,21.42,21.42,20.7501,20.8822,14240
20181019,20.98,21.2099,20.5,20.53,27034
20181022,20.83,20.9999,20.6499,20.91,27389
20181023,20.2,20.7787,20.15,20.77,19756
20181024,20.68,20.68,19.61,19.645,35981
20181025,19.89,20.36,19.89,20.31,46562
20181026,19.61,20,19.35,19.67,48582
20181029,20,20,18.9,19.24,41117
20181030,18.88,19.56,18.84,19.485,28488
20181031,20,20.5286,20,20.3926,18731
20181101,20.48,20.9384,20.18,20.88,19903
20181102,21.225,21.225,20.665,20.73,12069
20181105,20.76,20.76,20.4231,20.65,15969
20181106,20.54,20.7151,20.333,20.5,23674
20181107,20.71,21.28,20.71,21.27,37471
20181108,21.09,21.1,20.7075,20.86,18717
20181109,20.52,20.52,20.09,20.23,36346
20181112,20.13,20.13,19.4,19.6106,16919
20181113,19.69,20.0378,19.62,19.691,11204
20181114,20.1448,20.1448,19.728,19.73,12021
20181115,19.71,20.275,19.7,20.14,9740
20181116,20.01,20.07,19.78,19.97,21765
20181119,19.84,19.95,18.93,18.9328,37304
20181120,18.35,18.91,18.0695,18.68,49602
20181121,19.02,19.3245,19.01,19.15,10993
20181123,19.09,19.2078,19.09,19.1453,1708
20181126,19.38,19.8,19.32,19.8,17423
20181127,19.8,19.89,19.67,19.8,40382
20181128,20.14,20.6285,19.94,20.58,73020
20181129,20.48,20.74,20.32,20.59,22851
20181130,20.57,20.8799,20.57,20.84,22369
20181203,21.53,21.65,21.25,21.38,59745
20181204,21.31,21.31,20.49,20.56,20815
20181206,19.92,20.64,19.85,20.59,21041
20181207,20.57,20.6767,19.9718,20.13,8876
20181210,19.97,20.25,19.82,20.22,23158
20181211,20.64,20.6544,20.25,20.44,19121
20181212,20.68,21.02,20.68,20.75,26338
20181213,20.8437,20.86,20.4355,20.62,8001
20181214,20.28,20.4216,20.08,20.15,25714
20181217,19.95,19.95,19.1,19.28,43749
20181218,19.37,19.52,19.2515,19.44,19635
20181219,19.34,19.6728,18.915,19.06,16075
20181220,19.0079,19.0079,18.25,18.6,29457
20181221,18.72,18.72,17.9105,18.06,26278
20181224,17.78,18.1369,17.61,17.77,27750
20181226,17.88,18.78,17.88,18.78,43103
20181227,18.59,19.03,18.3815,18.99,29180
20181228,19,19.3185,18.88,19.02,22496
20181231,19.19,19.306,19,19.1,26622
20190102,18.77,19.2656,18.66,19.051,10629
20190103,18.94,18.94,18.5712,18.61,21262
20190104,18.87,19.6997,18.87,19.56,21186
20190107,19.71,20.2,19.71,20.13,17567
20190108,20.39,20.434,20.0516,20.4,19969
20190109,20.52,20.72,20.5,20.72,14676
20190110,20.55,20.68,20.374,20.68,11430
20190111,20.56,20.61,20.4488,20.5687,5826
20190114,20.37,20.42,20.2505,20.31,8264
20190115,20.75,20.876,20.7,20.75,7366
20190116,20.85,20.986,20.78,20.84,17631
20190117,20.81,21.1623,20.69,21.0662,15773
20190118,21.26,21.5271,21.165,21.33,18568
20190122,21.17,21.17,20.6,20.6948,25935
20190123,20.85,21.0192,20.595,20.79,16750
20190124,20.8953,21,20.78,21,5307
20190125,21.2,21.52,21.2,21.5,15598
20190128,21.11,21.3491,21.1,21.2909,14318
20190129,21.31,21.348,20.9701,21,8727
20190130,21.17,21.6375,21.159,21.62,23182
20190131,21.74,22.1999,21.74,22.09,31957
20190201,22.03,22.245,21.98,22.1499,21110
20190204,22.07,22.4399,22.07,22.4399,19980
20190205,22.5,22.6838,22.5,22.6532,11252
20190206,22.75,22.75,22.47,22.57,10964
20190207,22.35,22.35,21.945,22.24,16030
20190208,21.94,22.4174,21.93,22.386,9309
20190211,22.59,22.64,22.45,22.46,13441
20190212,22.61,22.85,22.61,22.84,17659
20190213,22.88,22.89,22.71,22.78,14676
20190214,22.61,22.81,22.4881,22.72,14745
20190215,22.8329,22.8329,22.6112,22.7,22283
20190219,22.59,22.9452,22.59,22.84,10760
20190220,22.86,23.0162,22.66,22.8099,10703
20190221,22.5845,22.75,22.5,22.7,18588
20190222,22.93,23.29,22.93,23.25,14444
20190225,23.54,23.7388,23.48,23.68,23225
20190226,23.58,23.72,23.51,23.7057,21661
20190227,23.6,23.79,23.5401,23.77,22982
20190228,23.74,23.85,23.6428,23.7499,9682
20190301,23.88,23.88,23.615,23.7244,124429
20190304,23.89,23.9071,23.1501,23.55,115327
20190305,23.57,23.894,23.55,23.86,22258
20190306,23.85,23.9026,23.5601,23.67,28293
20190307,23.55,23.55,23.1,23.175,11816
20190308,22.85,23.1543,22.7,23.1543,19342
20190311,23.29,23.7995,23.29,23.7892,19160
20190312,23.87,23.939,23.79,23.899,20768
20190313,23.98,24.12,23.94,24.02,30925
20190314,24,24.071,23.9332,24.065,26056
20190315,24.06,24.122,23.999,24.05,18972
20190318,24.16,24.27,24.0506,24.1755,18309
20190319,24.18,24.253,24.075,24.105,18580
20190320,24.1,24.3487,23.93,24.24,27555
20190321,24.12,24.58,24.12,24.5401,34889
20190322,24.47,24.47,23.8518,23.87,16433
20190325,23.7,23.9764,23.61,23.9764,8363
20190326,24.07,24.1727,23.875,23.96,16531
20190327,23.989,24.0049,23.4396,23.63,12099
20190328,23.68,23.9,23.547,23.8199,17062
20190329,23.98,24.15,23.92,24.1,11317
20190401,24.32,24.4455,24.15,24.4022,27540
20190402,24.3,24.45,24.2404,24.45,64636
20190403,24.56,24.8,24.56,24.58,29841
20190404,24.63,24.63,24.0433,24.2926,39967
20190405,24.37,24.5095,24.37,24.4291,9195
20190408,24.41,24.45,24.1599,24.4083,12378
20190409,24.39,24.51,24.39,24.445,12705
20190410,24.51,24.7,24.51,24.6532,16507
20190411,24.66,24.66,24.56,24.62,20976
20190412,24.83,24.83,24.6938,24.8,18044
20190415,24.82,24.82,24.53,24.7185,25252
20190416,24.86,24.89,24.71,24.72,24660
20190417,24.92,24.92,24.53,24.58,25149
20190418,24.51,24.55,24.32,24.55,31090
20190422,24.44,24.7808,24.44,24.7808,32780
20190423,24.82,25.2248,24.82,25.2,80438
20190424,25.23,25.25,25.02,25.04,11743
20190425,25.13,25.26,24.9332,25.2,23554
20190426,25.19,25.4,25.0801,25.36,29420
20190429,25.44,25.55,25.4059,25.5157,29829
20190430,25.42,25.54,25.24,25.381,29103
20190501,25.48,25.55,25.3333,25.3333,25014
20190502,25.19,25.375,24.8924,25.12,20929
20190503,25.36,25.69,25.351,25.69,35765
20190506,25.01,25.6,24.8641,25.5365,39003
20190507,25.27,25.36,24.61,24.8696,30514
20190508,24.83,25.04,24.75,24.9599,19135
20190509,24.57,24.8393,24.1584,24.7837,31193
20190510,24.82,24.928,24.3488,24.833,15498
20190513,24.16,24.26,23.781,23.855,67977
20190514,24,24.41,23.91,24.3,23899
20190515,24.16,24.778,24.16,24.7369,12099
20190516,24.76,25.2862,24.709,25.1104,29017
20190517,24.72,24.929,24.59,24.65,13422
20190520,24.32,24.32,24,24.16,9808
20190521,24.32,24.45,24.305,24.3969,14435
20190522,24.28,24.4755,24.28,24.3968,28601
20190523,23.96,23.96,23.6208,23.73,44783
20190524,23.99,24.0331,23.79,23.855,20227
20190528,23.96,24.1915,23.87,23.91,22700
20190529,23.81,23.81,23.44,23.612,26413
20190530,23.65,23.75,23.56,23.67,8055
20190531,23.38,23.56,23.32,23.4108,15756
20190603,23.36,23.36,22.5492,22.71,34197
20190604,22.83,23.33,22.74,23.3,35441
20190605,23.52,23.639,23.25,23.63,27574
20190606,23.62,23.8299,23.4279,23.81,28895
20190607,23.92,24.3139,23.8593,24.27,19753
20190610,24.57,24.9599,24.57,24.61,39349
20190611,24.96,24.96,24.4,24.52,16500
20190612,24.47,24.536,24.35,24.44,16903
20190613,24.54,24.67,24.54,24.5913,6000
20190614,24.59,24.59,24.33,24.42,6245
20190617,24.49,24.73,24.46,24.6,13818
20190618,24.97,25.2498,24.935,24.97,38701
20190619,25.05,25.26,24.9061,25.26,17467
20190620,25.59,25.72,25.354,25.52,38293
20190621,25.46,25.55,25.3017,25.32,32480
20190624,25.35,25.4,25.1,25.2,16341
20190625,25.11,25.11,24.49,24.56,16118
20190626,24.69,24.96,24.65,24.66,13199
20190627,24.83,25.1688,24.73,25.01,32028
20190628,25.01,25.08,24.9,24.99,16388
20190701,25.41,25.63,25.301,25.36,23587
20190702,25.34,25.4994,25.31,25.475,12072
20190703,25.54,25.63,25.4883,25.6102,13154
20190705,25.48,25.696,25.3805,25.635,8645
20190708,25.47,25.479,25.34,25.44,16790
20190709,25.3,25.69,25.3,25.69,14731
20190710,25.75,26.07,25.75,25.93,65024
20190711,25.93,25.9617,25.71,25.91,13330
20190712,25.91,26.006,25.7434,25.91,32830
20190715,26.05,26.19,25.885,26.09,54318
20190716,26.1,26.1252,25.8,25.8,10377
20190717,25.91,26.07,25.9,25.97,4975
20190718,25.75,25.8333,25.6,25.78,12387
20190719,25.98,25.98,25.7,25.71,10692
20190722,25.72,25.869,25.71,25.81,12268
20190723,25.87,25.9,25.7079,25.8861,21367
20190724,25.81,26.1975,25.73,26.185,13593
20190725,26.19,26.19,25.9774,26.06,10407
20190726,26.17,26.54,26.17,26.4899,8407
20190729,26.52,26.52,25.95,26.14,15453
20190730,25.94,26.0501,25.91,25.91,9636
20190731,25.81,25.8476,25.22,25.48,16994
20190801,25.57,26.0546,25.231,25.3353,15260
20190802,25.15,25.15,24.684,24.81,34045
20190805,24.2,24.2,23.49,23.74,37035
20190806,24.02,24.23,23.8078,24.0848,54710
20190807,23.78,24.265,23.7215,24.252,24746
20190808,24.37,24.8,24.27,24.8,23425
20190809,24.67,24.67,24.36,24.47,23269
20190812,24.27,24.28,23.96,24.08,32595
20190813,24.09,24.67,24.09,24.5201,31862
20190814,24.15,24.15,23.61,23.775,17197
20190815,23.9,23.9227,23.6,23.7314,12782
20190816,23.99,24.2431,23.95,24.17,12663
20190819,24.52,24.57,24.3351,24.38,13492
20190820,24.34,24.43,24.3,24.3893,14309
20190821,24.58,24.75,24.57,24.6763,10628
20190822,24.66,24.66,24.3,24.54,6123
20190823,24.44,24.5875,24,24,10147
20190826,24.28,24.28,24.0679,24.25,5473
20190827,24.3598,24.5545,24.0301,24.24,18780
20190828,23.89,24.132,23.8834,24.13,8797
20190829,24.44,24.64,24.4326,24.55,14002
20190830,24.63,24.66,24.21,24.485,58579
20190903,24.34,24.4599,24.17,24.2251,19078
20190904,24.49,24.592,24.49,24.54,9244
20190905,24.78,24.91,24.6872,24.9,14342
20190906,25.01,25.1022,24.81,24.81,39764
20190909,24.86,24.86,24.3,24.51,12254
20190910,24.29,24.358,24.1032,24.22,11995
20190911,24.31,24.6599,24.31,24.54,12336
20190912,24.77,24.93,24.705,24.72,10848
20190913,24.77,24.77,24.5989,24.6303,10501
20190916,24.47,24.579,24.4301,24.57,16587
20190917,24.4906,24.734,24.4906,24.734,5240
20190918,24.74,24.74,24.39,24.64,3071
20190919,24.65,24.8885,24.6152,24.6992,9240
20190920,24.69,24.7,24.37,24.5714,5205
20190923,24.4721,24.51,24.311,24.3929,7447
20190924,24.5,24.5,23.71,23.71,16713
20190925,23.72,23.9835,23.45,23.97,22982
20190926,23.95,23.9589,23.7525,23.9276,6400
20190927,23.752,23.752,23.1001,23.25,23272
20190930,23.35,23.499,23.3401,23.415,5160
20191001,23.49,23.602,23.28,23.2818,16275
20191002,23.1,23.1,22.9147,23.03,8338
20191003,23.03,23.53,22.8538,23.53,15173
20191004,23.64,23.8401,23.64,23.8401,6421
20191007,23.77,24.04,23.77,23.91,3389
20191008,23.69,23.7916,23.32,23.32,11481
20191009,23.54,23.746,23.54,23.66,8504
20191010,23.65,23.8,23.64,23.7056,11756
20191011,24.06,24.2889,24.06,24.11,18945
20191014,24.084,24.15,24.05,24.1,4489
20191015,24.2299,24.42,24.1359,24.4199,14300
20191016,24.34,24.34,23.8901,23.98,48496
20191017,24.1271,24.1959,23.98,23.99,26431
20191018,23.95,23.95,23.1708,23.42,23179
20191021,23.54,23.67,23.4401,23.65,50052
20191022,23.74,23.7684,23.2,23.24,12609
20191023,23.13,23.4,23.13,23.23,7912
20191024,23.32,23.67,23.32,23.66,11681
20191025,23.6897,23.9486,23.6897,23.854,14040
20191028,24.03,24.2899,24.0156,24.25,11075
20191029,24.02,24.03,23.8207,23.8485,6874
20191030,23.78,24.1715,23.78,24.17,7139
20191031,24.11,24.11,23.71,23.8,8533
20191101,24.0692,24.0692,23.934,24.0317,45778
20191104,24.24,24.2885,24.09,24.1433,5236
20191105,24.23,24.23,23.9399,23.9701,11820
20191106,23.9909,23.9909,23.8512,23.91,7912
20191107,24.03,24.2,23.94,23.942,37610
20191108,23.9,24.16,23.9,24.096,9028
20191111,24,24.1944,23.933,24.1699,11003
20191112,24.18,24.3236,24.18,24.2207,2564
20191113,24.2011,24.32,24.2,24.213,5565
20191114,24.21,24.2591,24.1736,24.2556,8552
20191115,24.42,24.5,24.32,24.4761,11084
20191118,24.5,24.724,24.4253,24.6,26652
20191119,24.7438,24.83,24.6074,24.78,21262
20191120,24.77,24.9194,24.65,24.7841,11126
20191121,24.83,24.9295,24.75,24.81,11776
20191122,24.92,24.96,24.7858,24.94,14691
20191125,25.07,25.33,25.07,25.2201,16336
20191126,25.26,25.4483,25.25,25.4185,29623
20191127,25.48,25.6,25.47,25.538,14563
20191129,25.45,25.574,25.45,25.5,2700
20191202,25.5,25.5,24.74,24.9846,20670
20191203,24.4,25.04,24.4,25.04,20564
20191204,25.09,25.1713,25.01,25.0234,13451
20191205,25.05,25.15,24.9672,25.0309,9917
20191206,25.22,25.22,25.14,25.14,14461
20191209,25.11,25.2949,25.09,25.0985,7589
20191210,25.06,25.07,24.89,24.89,9306
20191211,24.99,25.0069,24.9001,25.0069,8006
20191212,25.03,25.24,24.9155,25.0601,35669
20191213,25.17,25.344,25.17,25.281,15262
20191216,25.52,25.6909,25.52,25.65,12482
20191217,25.78,25.78,25.5997,25.7,14529
20191218,25.74,25.95,25.74,25.8343,6442
20191219,25.85,26,25.85,25.9951,8312
20191220,26.08,26.12,26.0048,26.0767,13990
20191223,26.14,26.226,26.1083,26.19,19718
20191224,26.16,26.246,26.14,26.21,17724
20191226,26.25,26.542,26.18,26.455,11249
20191227,26.57,26.5874,26.44,26.4788,9538
20191230,26.51,26.51,26.061,26.15,8530
20191231,26,26.16,25.95,26.1046,19145
20200102,26.4,26.87,26.4,26.87,16383
20200103,26.57,26.9025,26.37,26.8,7134
20200106,26.6,27.2,26.6,27.1832,20664
20200107,27.16,27.3285,27.119,27.2439,37302
20200108,27.22,27.69,27.22,27.645,18584
20200109,27.74,27.9581,27.7007,27.8777,19202
20200110,28.01,28.12,27.8507,27.9,24453
20200113,28.08,28.48,28.08,28.43,27061
20200114,28.35,28.4596,28.18,28.3293,24144
20200115,28.32,28.61,28.32,28.4192,18696
20200116,28.6056,28.61,28.4012,28.54,25890
20200117,28.72,28.72,28.5112,28.55,16901
20200121,28.31,28.52,28.3,28.43,15293
20200122,28.6,28.7204,28.4,28.4299,16279
20200123,28.21,28.3797,28.1204,28.3797,10744
20200124,28.44,28.6,27.9102,28.0796,18322
20200127,27.41,27.64,27.02,27.48,26952
20200128,27.7,28.0393,27.6808,27.9985,20161
20200129,28.22,28.38,28.17,28.22,21624
20200130,28.15,28.2103,27.8,28.2103,21249
20200131,28.13,28.1575,27.7401,27.82,21274
20200203,28.11,28.468,28.11,28.4462,8047
20200204,28.87,29.31,28.8114,29.235,15824
20200205,29.53,29.5684,28.69,28.8,55275
20200206,28.98,29.21,28.89,29.137,32923
20200207,29.09,29.31,29.01,29.08,21020
20200210,29.07,29.477,29.02,29.477,18993
20200211,29.64,29.79,29.5,29.5102,21339
20200212,29.76,29.95,29.6101,29.937,24343
20200213,29.78,30.0683,29.7051,29.9128,21249
20200214,29.92,30.07,29.88,30.02,44379
20200218,29.95,30.1543,29.9487,30.1128,16776
20200219,30.26,30.4884,30.26,30.38,32458
20200220,30.3,30.58,29.7155,30.13,25098
20200221,30,30,29.2495,29.3564,49745
20200224,28.24,28.518,27.71,28.4067,60423
20200225,28.6,28.84,27.635,27.7497,60212
20200226,27.93,28.4079,27.6847,27.9,39161
20200227,26.87,27.9093,26.8,27.0232,66023
20200228,26.33,27.01,26.03,26.92,81467
20200302,27.28,27.8299,26.74,27.8299,28115
20200303,28.08,28.1964,26.765,27.23,53143
20200304,27.6,28,27.43,28,28364
20200305,27.41,28.2,27.41,27.69,918300
20200306,26.86,26.9599,26.02,26.6,88783
20200309,24.93,25.52,23.75,24.85,72656
20200310,25.66,25.89,24.855,25.89,24581
20200311,25.07,25.261,24.0806,24.49,40189
20200312,22.27,23.4861,22.1608,22.2516,110504
20200313,23.6,23.76,22.2726,23.65,69290
20200316,21.18,22.56,20.48,21.21,86997
20200317,21.72,22.81,20.8988,22.3,48116
20200318,21.04,22.0257,20.5,21.36,65130
20200319,21.48,22.875,21.22,22.34,836728
20200320,22.96,23.5969,22.13,22.13,26935
20200323,22,22.822,21.75,22.4687,32172
20200324,23.51,24.1182,23.51,24,31038
20200325,24.12,25.05,23.721,24.22,42605
20200326,24.4952,25.24,24.415,25.24,38039
20200327,24.42,24.6799,24.025,24.38,35674
20200330,24.52,24.95,24.465,24.95,19806
20200331,24.59,25.4084,24.521,24.78,49643
20200401,23.9,24.1999,23.46,23.53,32134
20200402,23.55,23.9721,23.28,23.4824,45696
20200403,23.59,23.83,23.1637,23.46,100623
20200406,24.34,25.11,24.0922,25.11,49588
20200407,25.78,25.8,24.86,24.962,27265
20200408,25.23,25.8155,25.18,25.76,37931
20200409,26.01,26.3,25.75,25.9,35125
20200413,26.05,26.25,25.6102,26.2,50013
20200414,26.52,27.47,26.52,27.32,42299
20200415,26.89,27.54,26.8025,27.34,77292
20200416,27.66,28.2062,27.55,27.9,178758
20200417,28.4,28.4,27.88,28.18,111695
20200420,28.15,28.94,28.0206,28.5,106644
20200421,28.11,28.28,27.065,27.44,127809
20200422,28.39,28.5,28.12,28.425,86190
20200423,28.64,28.74,28.281,28.38,102261
20200424,28.53,28.8999,28.286,28.825,97172
20200427,29.17,29.41,29.1,29.15,80071
20200428,29.5,29.5,28.46,28.51,107483
20200429,29.05,29.57,28.7663,29.44,109426
20200430,29.34,29.8209,29.2,29.34,95385
20200501,28.73,28.9,28.3074,28.55,60782
20200504,28.38,29.12,28.23,29.12,292294
20200505,29.67,30.21,29.67,29.85,153369
20200506,30.09,30.61,29.99,30.37,285458
20200507,30.89,31.36,30.89,31.22,150682
20200508,31.61,31.92,31.2257,31.72,227604
20200511,31.71,32.35,31.5631,32.18,350894
20200512,32.41,32.58,31.7,31.7,215391
20200513,31.74,32.289,30.92,31.62,334027
20200514,31.14,31.7,30.8204,31.67,200252
20200515,31.51,32.21,31.415,32.145,163854
20200518,32.77,32.825,32.2501,32.37,375230
20200519,32.38,33.1,32.38,32.705,231010
20200520,33.24,33.47,32.86,33.27,174113
20200521,33.17,33.32,32.6,33.04,178861
20200522,33,33.34,32.69,33.34,100191
20200526,34.09,34.1,33,33.04,165903
20200527,32.97,32.97,31.39,32.5,311161
20200528,32.53,33.33,32.43,32.76,218640
20200529,33.02,34.04,33.02,34.02,273543
20200601,34.1,34.7,34.02,34.63,342480
20200602,34.87,35,34.335,34.985,296755
20200603,35.17,35.34,34.9,35.194,248282
20200604,35.07,35.159,34.11,34.29,198817
20200605,34.42,34.61,33.84,34.55,257225
20200608,34.47,34.75,34.15,34.69,142898
20200609,34.55,35.0199,34.545,34.76,108518
20200610,35.18,35.7,35.1073,35.49,166665
20200611,34.85,35.41,34,34.11,337239
20200612,35,35.15,33.91,34.56,188224
20200615,34.19,35.49,34.19,35.45,335653
20200616,36.27,36.27,35.409,36.01,248780
20200617,36.3,36.68,36.17,36.51,242986
20200618,36.53,37.0299,36.53,36.94,425428
20200619,37.43,37.5,36.96,37.17,378881
20200622,37.51,37.76,37.35,37.755,264094
20200623,38.15,38.49,37.99,38.095,406120
