Date,Open,High,Low,Close,Volume
20120206,0.3,0.5,0.3,0.45,108500
20120208,0.5,0.51,0.5,0.51,200000
20120209,0.45,0.45,0.45,0.45,1500
20120210,0.6,0.6,0.58,0.58,4000
20120213,0.59,0.6,0.48,0.6,173500
20120214,0.65,0.65,0.6,0.6,385200
20120215,0.53,0.59,0.53,0.58,301800
20120216,0.55,0.6,0.52,0.6,71000
20120217,0.48,0.55,0.48,0.52,38500
20120221,0.52,0.55,0.5,0.52,229700
20120222,0.55,0.55,0.42,0.51,973000
20120223,0.53,0.55,0.5,0.53,2102555
20120224,0.53,0.54,0.5,0.5,258850
20120228,0.52,0.58,0.51,0.53,657035
20120229,0.55,0.57,0.54,0.56,623000
20120301,0.57,0.58,0.51,0.55,130725
20120302,0.56,0.6,0.56,0.6,61835
20120305,0.56,0.56,0.56,0.56,25000
20120307,0.5,0.57,0.5,0.55,467300
20120308,0.56,0.57,0.56,0.57,34000
20120309,0.57,0.57,0.57,0.57,2000
20120312,0.57,0.57,0.55,0.56,212000
20120313,0.555,0.555,0.55,0.55,200000
20120321,0.56,0.58,0.52,0.58,135000
20120322,0.55,0.6,0.545,0.57,154000
20120326,0.59,0.6,0.59,0.59,48000
20120327,0.58,0.6,0.575,0.6,149000
20120329,0.57,0.57,0.55,0.55,56000
20120330,0.6,0.6,0.6,0.6,4700
20120402,0.6,0.6,0.59,0.59,53000
20120403,0.6,0.6,0.58,0.59,168000
20120404,0.59,0.6,0.58,0.58,150000
20120405,0.58,0.61,0.56,0.58,66100
20120412,0.55,0.6,0.55,0.6,16023
20120420,0.55,0.56,0.55,0.55,175700
20120423,0.53,0.57,0.53,0.57,265000
20120424,0.51,0.54,0.5,0.5,135700
20120425,0.51,0.52,0.49,0.5,964305
20120426,0.495,0.5,0.48,0.48,510500
20120427,0.48,0.49,0.48,0.49,70000
20120430,0.49,0.5,0.48,0.49,602000
20120501,0.49,0.49,0.48,0.49,143250
20120503,0.5,0.5,0.479,0.48,734750
20120504,0.5,0.5,0.48,0.48,290000
20120507,0.495,0.5,0.48,0.48,660000
20120509,0.48,0.5,0.48,0.5,310000
20120510,0.42,0.48,0.42,0.43,2897500
20120511,0.45,0.45,0.4,0.44,1326000
20120514,0.42,0.45,0.42,0.45,150000
20120515,0.42,0.44,0.41,0.41,1011125
20120516,0.42,0.42,0.4,0.41,260000
20120517,0.42,0.42,0.37,0.42,320300
20120518,0.4,0.42,0.38,0.42,218000
20120523,0.4,0.41,0.4,0.41,3000
20120524,0.39,0.39,0.35,0.35,314000
20120525,0.35,0.37,0.34,0.35,1821500
20120529,0.39,0.39,0.37,0.38,1002000
20120531,0.38,0.39,0.38,0.39,900000
20120601,0.39,0.42,0.38,0.39,333447
20120604,0.41,0.41,0.41,0.41,25000
20120605,0.4,0.4,0.4,0.4,10000
20120606,0.4,0.41,0.35,0.39,326900
20120607,0.4,0.4,0.38,0.39,705000
20120608,0.38,0.38,0.37,0.38,300000
20120613,0.36,0.385,0.36,0.385,104500
20120614,0.39,0.39,0.37,0.37,422087
20120615,0.37,0.39,0.36,0.39,1170263
