Date,Open,High,Low,Close,Volume
20060816,49.72,49.79,49.11,49.19,183900
20060817,48.55,48.58,48,48.36,122200
20060818,48.54,48.56,47.85,48.44,149100
20060821,49.02,49.4,48.7,49.4,143700
20060822,49.35,49.43,49,49.23,27300
20060823,48.83,48.86,47.93,48.33,133900
20060824,48.24,48.9,48.13,48.9,109200
20060825,49.46,49.62,48.8,48.84,191300
20060828,48.02,48.02,47.33,47.48,22000
20060829,47.03,47.28,46.82,46.99,37700
20060830,47.08,47.43,46.36,47.42,74400
20060831,47.11,47.41,46.89,47.41,49700
20060901,47.38,47.49,46.55,46.7,102400
20060905,46.19,46.44,46.03,46.44,151100
20060906,45.82,46.27,45.52,45.66,200600
20060907,45.62,45.65,45.01,45.26,433300
20060908,45.36,45.36,44.59,44.73,151000
20060911,44.14,44.64,43.79,44.1,157900
20060912,44.18,44.28,43.01,43.05,58900
20060913,43.28,43.6,42.91,43.2,47600
20060914,43.23,43.26,42.43,42.64,64400
20060915,42.33,42.63,41.91,42.55,66600
20060918,42.75,43.2,42.23,42.84,119900
20060919,43,43.2,41.27,41.32,100800
20060920,40.85,41.33,40.34,40.4,102700
20060921,40.57,41,40.38,41,39500
20060922,41.19,41.27,40.07,40.08,54700
20060925,39.85,41.21,39.66,40.76,137100
20060926,40.7,41.14,40.29,40.68,142200
20060927,40.83,41.97,40,41.9,72300
20060928,41.95,42.59,41.55,41.55,216000
20060929,41.5,41.9295,41,41.88,93800
20061002,41.6,41.73,40.53,40.55,26100
20061003,39.93,39.96,38.99,39,94300
20061004,39.31,39.7,38.5001,39.65,127300
20061005,40.55,40.55,39.54,40.05,66800
20061006,39.89,40.03,39.25,39.9,57700
20061009,40.3,40.7299,39.92,39.98,16800
20061010,39.6,39.73,39.02,39.09,35600
20061011,39.1599,39.276,38.3601,38.3601,22300
20061012,38.5,38.89,38.45,38.82,27300
20061013,39.1501,39.52,39.0901,39.15,27200
20061016,39.05,39.92,38.82,39.85,53000
20061017,40.15,40.15,39.27,39.37,22500
20061018,39.22,39.62,38.3,38.54,32300
20061019,38.7,39.48,38.42,39.3699,41300
20061020,39.45,39.45,38.36,38.5,153900
20061023,38.01,38.22,37.75,38.22,57400
20061024,38.05,38.64,37.98,38.52,20800
20061025,38.65,39.9,38.6,39.9,62200
20061026,39.96,39.98,39.01,39.17,96900
20061027,39.37,39.46,38.92,39.38,30100
20061030,38.8,38.82,37.88,37.92,74500
20061031,37.55,38.12,37.08,38.05,72700
20061101,38.05,38.5699,37.62,38.03,103200
20061102,37.7,38.2501,37.44,37.6,37000
20061103,37.99,38.49,37.92,38.42,46700
20061106,38.33,39.2801,37.58,39.01,92500
20061107,39.05,39.12,38.3,38.42,15900
20061108,38.5,39.11,38.44,39,67700
20061109,39.55,39.79,39.44,39.78,59700
