Date,Open,High,Low,Close,Volume
20181018,34.09,34.1,33.35,33.36,4425
20181019,33.66,33.66,32.89,32.94,3405
20181022,33.23,33.5,33.07,33.48,4687
20181023,32.71,33.16,32.15,33.06,30761
20181024,32.69,32.69,31.72,31.72,4419
20181025,32.12,32.92,32.03,32.77,19599
20181026,31.46,32.13,31.08,31.45,23188
20181029,31.77,31.82,30.01,30.24,27388
20181030,30.23,31.11,30.23,31.1,36694
20181031,31.78,32.07,31.36,32.06,10837
20181101,31.78,33.26,31.78,33.25,5985
20181102,33.57,33.75,32.94,33.11,7407
20181105,33.04,33.14,32.45,32.87,8534
20181106,33.18,33.18,32.63,32.63,5027
20181107,33.26,34.14,33.05,34.14,34084
20181108,34.09,34.11,33.68,33.71,3823
20181109,33.42,33.63,32.81,32.96,11700
20181112,32.86,32.86,31.92,32.29,8548
20181113,32.25,32.76,31.97,32.23,17935
20181114,32.92,32.92,31.99,31.99,3411
20181115,31.95,32.46,31.9,32.3,4702
20181116,32.32,32.45,31.98,32.32,5463
20181119,32.12,32.12,30.98,30.98,9809
20181120,29.88,30.84,29.41,30.23,21559
20181121,30.73,31.2,30.66,30.75,64493
20181123,30.76,30.99,30.75,30.75,4164
20181126,31.28,31.81,30.98,31.77,28167
20181127,31.67,32.02,31.33,31.91,13138
20181128,31.93,33.25,31.93,33.25,110410
20181129,33.23,33.49,32.86,33.26,22369
20181130,33.19,33.64,33.19,33.55,33603
20181203,35.18,35.18,34.15,34.48,27028
20181204,34.47,34.47,33.15,33.18,9091
20181206,32.27,33.22,32.04,33.22,50095
20181207,33.15,33.43,31.98,31.98,8333
20181210,32.04,32.58,31.99,32.48,13384
20181211,32.64,32.78,32.25,32.25,18114
20181212,32.38,33.31,32.37,33.03,7550
20181213,32.72,32.78,32.18,32.3,13468
20181214,31.74,32.2,31.73,31.74,9683
20181217,31.34,31.5,30.1,30.3,66502
20181218,30.56,30.82,30.32,30.36,6056
20181219,30.84,30.88,29.61,29.74,13577
20181220,29.46,29.7,28.71,29.12,63892
20181221,29.02,29.17,27.7,27.82,23109
20181224,27.63,28.2,27.29,27.35,9649
20181226,28.08,29.43,28.08,29.43,7858
20181227,29.13,29.7,28.71,29.67,23802
20181228,29.87,30.36,29.46,29.8,321034
20181231,30.16,30.2,29.73,29.85,11095
20190102,29.14,30.37,29.14,30.15,14832
20190103,29.69,30.01,29.54,29.54,4665
20190104,30.05,31.25,30.05,31.01,6581
20190107,31.34,32.24,31.21,32.11,39763
20190108,32.63,32.74,32.03,32.62,17307
20190109,32.77,33.2,32.76,33.02,9739
20190110,32.56,32.92,32.36,32.83,8588
20190111,32.7,32.88,32.7,32.83,3032
20190114,32.56,32.76,32.23,32.52,7145
20190115,32.64,33.21,32.64,33.15,10152
20190116,33.28,33.58,33.15,33.38,191220
20190117,33.19,33.71,33.19,33.57,7407
20190118,33.98,34.19,33.75,34,7915
20190122,33.87,33.87,32.66,32.86,5116
20190123,33.16,33.38,32.85,33.04,5447
20190124,32.97,33.59,32.97,33.49,7797
20190125,33.97,34.45,33.97,34.42,5665
20190128,34.07,34.38,33.77,34.35,2419
20190129,34.19,34.25,33.83,33.83,4538
