Date,Open,High,Low,Close,Volume
20210113,25.05,25.12,24.98,25.0791,235899
20210114,25.13,25.15,25.0092,25.0092,342222
20210115,25.05,25.05,24.68,24.7512,386137
20210119,24.86,25.33,24.83,24.9636,123719
20210120,25.16,25.38,25.16,25.3567,32712
20210121,25.35,26.68,25.337,25.5913,70837
20210122,25.2633,25.32,25.2099,25.29,121590
20210125,25.5,25.5,25.05,25.3295,25536
20210126,25.33,25.37,25.2702,25.2702,49243
20210127,24.89,24.95,24.52,24.6258,123854
20210128,24.25,25.14,24.25,24.8911,12825
20210129,24.5,24.81,24.38,24.4981,8519
20210201,24.56,24.87,24.5387,24.8338,60132
20210202,25.12,25.28,25.12,25.19,32917
20210203,25.26,25.29,25.19,25.2167,35575
20210204,25.325,25.4276,25.3,25.4276,4399
20210205,25.8,25.8,25.54,25.5793,251963
20210208,26,26,25.659,25.7489,66527
20210209,25.77,25.83,25.7201,25.7568,79235
20210210,26.1,26.1,25.7,25.7289,95132
20210211,25.87,25.87,25.7,25.7903,15133
20210212,25.81,25.94,25.8,25.94,7806
20210216,25.94,25.94,25.92,25.92,15763
20210217,25.75,25.9,25.75,25.885,55484
20210218,25.74,25.83,25.638,25.775,16797
20210219,25.84,25.9,25.7278,25.7278,4876
20210222,25.59,25.66,25.4665,25.4665,7503
20210223,25.25,25.46,25.175,25.46,5040
20210224,25.38,25.74,25.38,25.74,61160
20210225,25.61,25.61,25.09,25.09,49870
20210226,25.25,25.33,25,25,3836
20210301,25.49,25.68,25.46,25.6008,3060
20210302,25.61,25.61,25.35,25.35,3853
20210303,25.29,25.29,24.92,24.92,3456
20210304,25.07,25.08,24.52,24.61,6487
20210305,24.85,25.05,24.52,25.02,23376
20210308,25.5,25.5,24.86,24.86,18699
20210309,24.9,25.54,24.9,25.29,17026
20210310,25.49,25.548,25.41,25.41,6482
20210311,25.665,25.9099,25.62,25.72,8299
20210312,25.75,25.75,25.57,25.75,13080
20210315,26.09,26.09,25.65,25.9174,12245
20210316,26.0999,26.0999,25.87,25.87,8973
20210317,25.72,26.045,25.69,25.96,7558
20210318,25.89,25.91,25.6327,25.6327,8960
20210319,25.51,25.65,25.51,25.592,4958
20210322,25.785,25.83,25.72,25.72,1211
20210323,25.72,25.81,25.53,25.53,4329
20210324,25.66,25.69,25.3968,25.3968,4120
20210325,25.41,25.46,25.4,25.46,1992
20210326,25.68,25.8516,25.61,25.8516,12896
20210329,25.85,25.9,25.82,25.8583,5145
20210330,25.74,25.838,25.71,25.71,6659
20210331,25.95,26.06,25.9465,25.9465,4435
20210401,26.16,26.2089,26.14,26.2089,1009
20210405,26.48,26.57,26.44,26.56,7000
20210406,26.59,26.62,26.564,26.6136,8915
20210407,26.64,26.64,26.58,26.58,11589
20210408,26.7,26.92,26.6801,26.7,6530
20210409,26.8,26.9268,26.79,26.9268,2193
20210412,26.9,26.98,26.9,26.9679,44849
20210413,26.965,27.105,26.965,27.098,10103
20210414,27.13,27.16,26.9432,26.949,43251
20210415,27.157,27.27,27.1399,27.2691,5763
20210416,27.3368,27.35,27.2999,27.3402,1320
20210419,27.55,27.55,27.14,27.1598,4456
20210420,26.9,27.13,26.9,26.9991,3972
20210421,27.0999,27.2394,27.0801,27.2265,53549
20210422,27.17,27.27,27.0149,27.0486,14178
20210423,27.35,27.375,27.321,27.375,1465
20210426,27.13,27.48,27.13,27.36,14559
20210427,27.42,27.57,27.39,27.45,3422
20210428,27.405,27.48,27.4,27.4,30654
20210429,27.83,27.83,27.41,27.55,12594
20210430,27.44,27.44,27.28,27.28,12026
20210503,27.455,27.5049,27.33,27.3303,6157
20210504,27.225,27.225,26.99,27.101,4251
20210505,27.18,27.26,27.1,27.1108,9818
20210506,27.06,27.2635,27.06,27.2635,8660
20210507,27.393,27.58,27.393,27.515,8111
20210510,27.78,27.78,27.2313,27.2313,6575
20210511,26.84,27.05,26.78,26.9821,20973
20210512,26.6786,26.7,25.28,26.3932,6210
20210513,26.765,26.84,26.7025,26.7025,6685
20210514,26.9,27.19,26.9,27.1532,10994
20210517,27,27.0317,26.98,27.0317,1037
20210518,26.72,27.13,26.72,26.8622,12170
20210519,26.43,26.7412,26.43,26.7412,9202
20210520,26.93,27.16,26.93,27.0821,3528
20210521,27.25,27.25,27.0615,27.0615,2915
20210524,27.28,27.45,27.28,27.3462,3850
20210525,27.48,27.48,27.3,27.3231,16367
20210526,27.4,27.42,27.3578,27.3578,14786
20210527,27.46,27.46,27.3983,27.3983,1161
20210528,27.5,27.51,27.4278,27.4278,28723
20210601,27.62,27.62,27.34,27.4041,9249
20210602,27.5,27.51,27.395,27.4163,20198
20210603,27.5,27.5,27.16,27.3021,3611
20210604,27.53,27.5625,27.4801,27.5625,4667
20210607,27.525,27.61,27.487,27.5733,10542
20210608,27.57,27.5991,27.5591,27.5619,5433
20210609,27.58,27.64,27.5435,27.5435,7464
20210610,27.66,27.75,27.65,27.6752,17545
20210611,27.71,27.75,27.71,27.7219,5658
20210614,27.76,27.79,27.6708,27.79,954
20210615,27.77,27.8,27.7294,27.7294,7072
20210616,28.03,28.03,27.5999,27.6043,2179
20210617,27.42,27.71,27.42,27.6591,7843
20210618,27.39,27.45,27.39,27.39,4931
20210621,27.515,27.71,27.515,27.6869,16872
20210622,27.85,27.93,27.77,27.8651,5847
20210623,27.9,27.9,27.8222,27.8222,4541
20210624,28.03,28.05,28.0023,28.0023,9338
20210625,28.0777,28.12,28.071,28.09,3160
20210628,28.09,28.175,28.09,28.1716,26809
20210629,28.12,28.15,28.07,28.0993,5507
20210630,28.109,28.1499,28.1,28.1443,6807
20210701,28.194,28.26,28.15,28.2281,8395
20210702,28.388,28.4964,28.38,28.4964,11991
20210706,28.4,28.5,28.34,28.4506,35097
20210707,28.527,28.62,28.4901,28.5882,41088
20210708,28.22,28.3699,28.22,28.2769,1218
20210709,28.47,28.65,28.4,28.5995,15322
20210712,28.7,28.74,28.6448,28.6688,8645
20210713,28.58,28.5831,28.58,28.5831,1079
20210714,28.67,28.7,28.5991,28.5991,3778
20210715,28.51,28.56,28.48,28.56,11239
20210716,28.5,28.51,28.3338,28.3338,21800
20210719,28.2,28.2,27.7731,27.8822,34867
20210720,28.02,28.42,27.95,28.377,1730
20210721,28.4948,28.5454,28.44,28.5454,19442
20210722,28.83,28.83,28.59,28.6334,11088
20210723,29.04,29.04,28.84,28.9453,4258
20210726,29.1,29.1,28.89,28.915,9908
20210727,28.83,28.83,28.64,28.7862,7012
20210728,28.82,28.8587,28.78,28.8587,3256
20210729,28.955,29.06,28.92,28.9653,8020
20210730,28.9,28.9,28.7985,28.7985,1571
20210802,28.91,28.91,28.755,28.7607,41444
20210803,28.8,29.0299,28.7887,28.9772,1130
20210804,29.08,29.08,28.8715,28.8715,576
20210805,29.0149,29.0399,28.995,29.0349,2641
20210806,29.33,29.33,29.043,29.043,2200
20210809,29.1,29.1,29.0489,29.0489,4035
20210810,29.13,29.13,29.0282,29.0282,15499
20210811,29.36,29.36,29.06,29.1265,6070
20210812,29.11,29.2067,29.075,29.2067,249
20210813,29.26,29.26,29.25,29.25,1793
20210816,29.17,29.31,29.0999,29.3001,14541
20210817,29.12,29.14,29.0593,29.1085,1254
20210818,29.08,29.158,28.8353,28.8353,10356
20210819,28.8163,28.8755,28.758,28.8145,1027
20210820,28.99,29.11,28.99,29.078,10666
20210823,29.32,29.42,29.32,29.3385,10933
20210824,29.44,29.45,29.3915,29.3915,4192
20210825,29.5,29.51,29.4732,29.4732,2379
20210826,29.43,29.43,29.26,29.308,3940
20210827,29.5,29.57,29.5,29.548,2506
20210830,29.49,29.76,29.49,29.7171,1555
20210831,29.64,29.72,29.64,29.6763,21763
20210901,29.9,29.9,29.6538,29.6538,8029
20210902,29.81,29.81,29.705,29.7233,16239
20210903,29.69,29.81,29.69,29.7575,2773
20210907,29.88,29.88,29.66,29.665,12260
20210908,29.62,29.64,29.56,29.5998,6528
20210909,29.71,29.73,29.497,29.497,18053
20210910,29.84,29.84,29.265,29.265,30901
20210913,29.73,29.73,29.26,29.2878,7550
20210914,29.38,29.38,29.11,29.1464,10227
20210915,29.48,29.48,29.2,29.4058,16775
20210916,29.36,29.43,29.21,29.3759,6141
20210917,29.28,29.28,29.13,29.1339,7450
20210920,29.33,29.33,28.355,28.67,11097
20210921,28.64,28.77,28.64,28.6426,14560
20210922,28.8,28.9875,28.8,28.87,3918
20210923,29.13,29.31,29.13,29.25,8465
20210924,29.2499,29.2994,29.2,29.2872,11237
20210927,28.9501,29.2987,28.9501,29.2159,6986
20210928,28.85,28.88,28.5315,28.5315,7907
20210929,28.71,28.7199,28.5402,28.5402,2027
20210930,28.53,28.69,28.3332,28.3332,22916
20211001,28.34,28.59,28.18,28.566,10446
20211004,28.44,28.44,28.105,28.1517,3081
20211005,28.18,28.65,28.18,28.4771,28438
20211006,28.4,28.5922,28.32,28.5922,9425
20211007,28.97,29.07,28.8388,28.8388,22210
20211008,28.8691,28.94,28.7998,28.7998,21692
20211011,28.935,28.935,28.6048,28.6048,797
20211012,28.555,28.67,28.46,28.53,21157
20211013,28.49,28.65,28.49,28.645,17311
20211014,29.05,29.17,29.05,29.1348,35558
20211015,29.36,29.43,29.35,29.383,7393
20211018,29.44,29.51,29.4108,29.4695,6225
20211019,29.77,29.77,29.65,29.6776,6697
20211020,29.77,29.85,29.77,29.83,37288
20211021,29.82,29.8908,29.7993,29.8908,9933
20211022,29.9,29.92,29.81,29.8524,24060
20211025,30.13,30.13,29.96,30,14034
20211026,30.27,30.27,29.97,30.0581,12151
20211027,29.984,30.0499,29.8594,29.8594,22428
20211028,30.15,30.15,30.05,30.1351,5007
20211029,30.09,30.2278,30.058,30.2278,32023
20211101,30.25,30.29,30.184,30.2456,6250
20211102,30.34,30.42,30.34,30.3595,17646
20211103,30.33,30.6999,30.33,30.6313,8695
20211104,31.13,31.16,30.61,30.7215,51665
20211105,30.82,30.93,30.72,30.7791,7011
20211108,30.86,30.89,30.83,30.8468,2365
20211109,30.82,30.82,30.6701,30.7473,1437
20211110,30.75,30.76,30.36,30.5038,4480
20211111,30.514,30.5512,30.4787,30.4787,4366
20211112,30.555,30.7139,30.51,30.7139,645
20211115,30.805,30.805,30.6942,30.6942,3337
20211116,31.02,31.02,30.81,30.8703,6172
20211117,30.81,30.96,30.81,30.8833,25440
20211118,30.91,30.91,30.85,30.8745,5579
20211119,31.18,31.18,30.8106,30.8265,7352
