Date,Open,High,Low,Close,Volume
20210225,25.3,25.3,24.5353,24.5353,500
20210226,24.575,24.671,24.575,24.6567,1470
20210301,25.18,25.18,25.1724,25.1724,261
20210302,24.7909,24.7909,24.7909,24.7909,2
20210303,24.2495,24.26,24.1319,24.1319,286
20210304,23.88,23.88,23.341,23.341,6514
20210305,23.57,23.6067,23.57,23.6067,3721
20210308,23.43,23.48,23.3375,23.3375,18192
20210309,23.97,23.97,23.8734,23.8734,389
20210310,24.05,24.07,23.9565,23.9565,8565
20210311,24.28,24.56,24.25,24.4523,14511
20210312,24.36,24.4778,24.36,24.4778,40033
20210315,24.47,24.5988,24.47,24.5988,3123
20210316,24.61,24.62,24.5148,24.5148,13649
20210317,24.59,24.6,24.5885,24.5885,3502
20210318,24.36,25.15,24.04,24.0517,34477
20210319,24.11,24.13,24.0063,24.0063,5140
20210322,24.05,24.0563,24.04,24.0563,945
20210323,24.0268,24.0268,23.78,23.8248,1027
20210324,24,24.19,23.7,23.7,21499
20210325,23.79,23.842,23.79,23.842,6053
20210326,24.11,24.3448,24.11,24.3448,8953
20210329,24.39,24.4,24.13,24.2391,8579
20210330,24.25,24.34,24.14,24.2362,18527
20210331,24.46,24.56,24.4188,24.4188,12025
20210401,24.63,24.7363,24.63,24.7363,14906
20210405,24.95,25.1,24.95,25.0696,1120
20210406,25.03,25.03,25.0241,25.0241,120
20210407,25.11,25.7,24.98,24.9931,15728
20210408,25.1691,25.1691,25.1,25.1685,4092
20210409,25.28,25.3541,25.28,25.3541,4276
20210412,25.34,25.3774,25.34,25.3774,7447
20210413,25.32,25.3795,25.32,25.3795,440
20210414,25.41,25.41,25.295,25.3059,5813
20210415,25.54,25.62,25.54,25.5913,2320
20210416,25.76,25.79,25.7199,25.7199,6749
20210419,25.58,25.58,25.5195,25.5356,1220
20210420,25.2,25.2744,25.2,25.2744,2864
20210421,25.46,25.5004,25.45,25.5004,6343
20210422,25.44,25.47,25.3648,25.3648,9550
20210423,25.7186,25.7186,25.7186,25.7186,9
20210426,25.87,25.87,25.8213,25.8213,1934
20210427,25.86,25.87,25.8454,25.865,1260
20210428,25.79,25.89,25.79,25.8189,8024
20210430,25.84,25.84,25.6571,25.6571,4461
20210503,25.7,25.71,25.6127,25.6127,540
20210504,25.375,25.4561,25.375,25.4561,2925
20210505,25.4565,25.4565,25.4565,25.4565,40
20210507,25.91,25.9183,25.87,25.9183,6850
20210510,25.6258,25.6258,25.5483,25.5483,1105
20210511,25.2,25.2859,25.2,25.2859,2872
20210512,24.84,24.85,24.6692,24.6692,4621
20210513,24.8701,25.04,24.855,25.0323,2554
20210514,25.48,25.48,25.4695,25.4695,842
20210517,25.28,25.3321,25.28,25.3321,15268
20210518,25.36,25.38,25.1416,25.1416,8522
20210519,24.73,24.9858,24.73,24.9858,118
20210520,25.36,25.36,25.29,25.3032,33169
20210521,25.36,25.39,25.2735,25.2735,18198
20210524,25.5202,25.57,25.4786,25.4786,46286
20210525,25.491,25.4999,25.3699,25.3699,18437
20210526,25.46,25.47,25.4322,25.4322,11408
20210527,25.6,25.63,25.5693,25.5693,8411
20210528,25.5906,25.62,25.5705,25.5705,3382
20210601,25.86,25.86,25.6396,25.6396,2564
20210602,25.6,25.6,25.57,25.5768,7563
20210603,25.4788,25.4788,25.4788,25.4788,1700
20210604,25.649,25.66,25.64,25.6458,15372
20210607,25.56,25.64,25.56,25.5859,7297
20210608,25.63,25.65,25.6118,25.6118,16099
20210609,25.6,25.6,25.493,25.493,15231
20210610,25.5,25.51,25.4708,25.4708,4162
20210614,25.48,25.5,25.38,25.4842,12864
20210615,25.47,25.55,25.47,25.5068,1435
20210616,25.4396,25.4396,25.26,25.3511,2129
20210617,25.27,25.27,25.2545,25.2545,12207
20210618,24.86,24.89,24.7903,24.7903,21977
20210621,25.24,25.24,25.21,25.2197,6506
20210622,25.35,25.3537,25.3434,25.3537,5190
20210623,25.41,25.42,25.3358,25.3358,921
20210624,25.46,25.53,25.4447,25.4845,27970
20210625,25.66,25.7037,25.66,25.7037,983
20210628,25.6,25.6,25.5958,25.5958,976
20210629,25.5854,25.5854,25.5854,25.5854,128
20210701,25.69,25.73,25.68,25.6877,1101
20210706,25.6504,25.714,25.6504,25.714,7710
20210707,25.74,25.8158,25.74,25.8158,758
20210708,25.54,25.56,25.527,25.527,10092
20210709,25.9025,25.93,25.9025,25.905,2766
20210712,25.97,26.0206,25.97,26.013,1625
20210714,25.92,25.92,25.8478,25.8478,1142
20210716,25.5699,25.5699,25.5699,25.5699,51
20210719,25.1211,25.1211,25.1211,25.1211,1
20210720,25.69,25.72,25.6459,25.6459,5188
20210721,25.88,25.9561,25.88,25.9561,778
20210722,25.9429,25.9429,25.9429,25.9429,1
20210726,26.2781,26.2781,26.2781,26.2781,28
20210727,26.03,26.0742,26.03,26.0742,8196
20210728,26.22,26.24,26.2137,26.2137,907
20210729,26.4265,26.4265,26.4265,26.4265,50
20210803,26.58,26.5923,26.58,26.5923,5242
20210805,26.699,26.7415,26.699,26.7415,2971
20210806,26.7751,26.7751,26.7751,26.7751,62
20210809,26.77,26.77,26.6885,26.6885,3099
20210810,26.7318,26.7318,26.7,26.7192,3369
